PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Tamaño del destornillador,Tipo de destornillador,Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1050657,89117000,E220310,EXPERT,EXPER ROLLER CAB 6 DRAWERS 123 TOOLS,Carros de taller EXPERT equipado de 123 herramientas,1276.88,1055.27,844.22,E220310,3,8206000000,0,0,"Carro de herramientas con 6 cajones equipados con 6 bandejas de plástico (123 herramientas), con capacidad para 3 bandejas por cajón: 15 repartidos entre los cajones de 60 y 130 mm, los tres restantes en el cajón más alto, de 200 mm.				3 cajones de 60 mm de altura, 2 cajones de 130 mm de altura, 1 cajón de 200 mm de altura					 			Superficie de trabajo resistente:				Ante impactos, hidrocarburos y carga estática de 700 kg 					 			Fácil de mover:				Los bordes de la superficie de trabajo impiden que las herramientas se caigan al desplazarlo					 			Práctico: 				Superficie de trabajo con espacio para 3 destornilladores Cierre centralizado (con 2 llaves) Medidas útiles de los cajones (largo x ancho x alto): 569 x 421 x 60/130/200 mm Medidas totales sin ruedas y asas (largo x ancho x alto): 748 x 515 x 970 mm Peso: 54 Kg					 			Incluye bandejas de herramientas Expert:				Bandeja con 16 llaves combinadas: De 6 a 24 mm (ref. 89101130) Bandeja con vasos, carraca y puntas de 1/4"""""""""""""""": 67 unidades Bandeja de vasos y carraca 1/2"""""""""""""""": 21 unidades (ref. 89101125) Bandeja con 4 alicates (ref. 89101127) Bandeja con 8 destornilladores (ref. 89101132) Bandeja con herramientas de impacto (ref. 89101131)					 """"""""","Carro de herramientas con 6 cajones equipados con 6 bandejas de plástico (123 herramientas), con capacidad para 3 bandejas por cajón: 15 repartidos entre los cajones de 60 y 130 mm, los tres restantes en el cajón más alto, de 200 mm.				3 cajones de 60 mm de altura, 2 cajones de 130 mm de altura, 1 cajón de 200 mm de altura					 			Superficie de trabajo resistente:				Ante impactos, hidrocarburos y carga estática de 700 kg 					 			Fácil de mover:				Los bordes de la superficie de trabajo impiden que las herramientas se caigan al desplazarlo					 			Práctico: 				Superficie de trabajo con espacio para 3 destornilladores Cierre centralizado (con 2 llaves) Medidas útiles de los cajones (largo x ancho x alto): 569 x 421 x 60/130/200 mm Medidas totales sin ruedas y asas (largo x ancho x alto): 748 x 515 x 970 mm Peso: 54 Kg					 			Incluye bandejas de herramientas Expert:				Bandeja con 16 llaves combinadas: De 6 a 24 mm (ref. 89101130) Bandeja con vasos, carraca y puntas de 1/4"""""""""""""""": 67 unidades Bandeja de vasos y carraca 1/2"""""""""""""""": 21 unidades (ref. 89101125) Bandeja con 4 alicates (ref. 89101127) Bandeja con 8 destornilladores (ref. 89101132) Bandeja con herramientas de impacto (ref. 89101131)					 """"""""",TOOLING & WS,WS,WS. TOOL STORAGE,649600,77000,800,560,1450,,,https://api.mybihr.com/medias/1050657-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk3NTExfGltYWdlL2pwZWd8YUdKaUwyaG1OaTg0T1RNNU5UUTNOelUwTlRJMkx6RXdOVEEyTlRjdE1WODRNREJYZURnd01FZ3w5NDkwNzcwMzBhY2Q3ODk4YTVmZjFhMjA2ZmYxN2VhYTY1MDExYTEzZWU4YTUzZGYyOWFhYjNiY2QwN2M3ZTVl,,https://static.bihr.pro/eBihr/Pictures/EXPERT-pictures.zip,Spain Warehouse (Parts)
1050658,892753,E697624,EXPERT,EXPER ROLLER CAB 7 DRAWERS 250 TOOLS,Carros de taller EXPERT XL equipado de 250 herramientas - 7 Cajones,2300.86,1901.54,1521.23,3258956976246,2,8206000000,0,0,"Carro de herramientas con 7 cajones y 19 bandejas de plástico (250 herramientas).  			Superficie de trabajo resistente:				Ante impactos, hidrocarburos y carga estática de 800 kg					 			Práctico:				Cajones 100% retráctiles Cierre centralizado con llave Medidas útiles de los cajones (largo x ancho x alto): 760 x 420 x 60/130 mm Medidas totales, incluida el asa (largo x ancho x alto): 1005 x 500 x 987 mm Peso: 95 kg					 			Contiene:				10 llaves de pipa: De 8 a 19 mm (ref. 891011297) 7 llaves combinadas con carraca y llave ajustable 4 llaves combinadas: De 27 a 32 mm 16 llaves combinadas: De 6 a 24 mm (ref. 891011301) Carraca y vasos 1/4"""""""""""""""": 45 unidades (ref. 891011353) Carraca y vasos 3/8"""""""""""""""": 20 unidades (ref. 891011261) Carraca y vasos 1/2"""""""""""""""": 21 unidades (ref. 89101125) Vasos de impacto y Torx: 24 unidades Herramientas de impacto: 7 unidades (ref. 89101131) Herramientas de medición (ref. 891011219) 9 vasos largos 4 limas (ref. 891011244) Alicates para arandelas (ref. 891011232) 4 alicates (ref. 89101122) 8 destornilladores (ref. 891011278) 6 destornilladores Resistorx® Puntas de atornillado 1/4"""""""""""""""": 32 unidades 8 llaves hexagonales (ref. 89101132) Llave dinamométrica, 40 a 210 Nm (ref. 893323)					  """"""""","Carro de herramientas con 7 cajones y 19 bandejas de plástico (250 herramientas).  			Superficie de trabajo resistente:				Ante impactos, hidrocarburos y carga estática de 800 kg					 			Práctico:				Cajones 100% retráctiles Cierre centralizado con llave Medidas útiles de los cajones (largo x ancho x alto): 760 x 420 x 60/130 mm Medidas totales, incluida el asa (largo x ancho x alto): 1005 x 500 x 987 mm Peso: 95 kg					 			Contiene:				10 llaves de pipa: De 8 a 19 mm (ref. 891011297) 7 llaves combinadas con carraca y llave ajustable 4 llaves combinadas: De 27 a 32 mm 16 llaves combinadas: De 6 a 24 mm (ref. 891011301) Carraca y vasos 1/4"""""""""""""""": 45 unidades (ref. 891011353) Carraca y vasos 3/8"""""""""""""""": 20 unidades (ref. 891011261) Carraca y vasos 1/2"""""""""""""""": 21 unidades (ref. 89101125) Vasos de impacto y Torx: 24 unidades Herramientas de impacto: 7 unidades (ref. 89101131) Herramientas de medición (ref. 891011219) 9 vasos largos 4 limas (ref. 891011244) Alicates para arandelas (ref. 891011232) 4 alicates (ref. 89101122) 8 destornilladores (ref. 891011278) 6 destornilladores Resistorx® Puntas de atornillado 1/4"""""""""""""""": 32 unidades 8 llaves hexagonales (ref. 89101132) Llave dinamométrica, 40 a 210 Nm (ref. 893323)					  """"""""",TOOLING & WS,WS,WS. TOOL STORAGE,784000,125000,1000,560,1400,,,https://api.mybihr.com/medias/1050658-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ2NTZ8aW1hZ2UvanBlZ3xhR1JtTDJnMllpODRPVEkwT0RneE1Ua3dPVFF5THpFd05UQTJOVGd0TVY4NE1EQlhlRGd3TUVnfDFiZjE2MTM3M2MzMjkxZmY1YWJhOTUwMzkxMTI1YzAwMmNjMGM1MmM5YjI5NjFlYzBiNmZhYWZhYzM0MzQ4OGM,https://api.mybihr.com/medias/1050658-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTIyMTU3fGltYWdlL2pwZWd8YURsa0wyZzNNaTg0T1RJME9EZ3hNemczTlRVd0x6RXdOVEEyTlRndE1sODRNREJYZURnd01FZ3w0Y2Y0N2U1ZWI0OWJhOTY1MTY3NTVmODdkZGIzYTA1ZWI4Y2I0ZDMzMWE0ZDYyOWE5OTAxNTE3MjI1MjY5OTg3,https://static.bihr.pro/eBihr/Pictures/EXPERT-pictures.zip,France Warehouse (Parts)
1051498,89209005,E030925,EXPERT,EXPER SOCKET IMPACT TOOLS,Vasos destornillador PHILIPS PH1 EXPERT 3/8'',7.50,6.20,4.96,E030925,1,8204200000,0,1,"Vasos destornilladores de 3/8"" para tornillos ranurados, Philips® y Pozidriv®. Forjados en acero acero al cromo-vanadioAcabado en cromo pulidoLongitud: 50 mm","Vasos destornilladores de 3/8"" para tornillos ranurados, Philips® y Pozidriv®. Forjados en acero acero al cromo-vanadioAcabado en cromo pulidoLongitud: 50 mm",TOOLING & WS,TOOLING,TOOLING GENERAL,102,63,93,50,22,PH2,Phillips®,https://api.mybihr.com/medias/1051498-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY2Nzh8aW1hZ2UvanBlZ3xhRFU1TDJnell5OHhNREl5TVRNME9EY3hOalUzTkM4eE1EVXhORGs0TFRGZk9EQXdWM2c0TURCSXxiNjM3MzU4YWU1MjM2N2Y3MWJjZGJiMDZlM2Y1ODMxNmI5MWJmMjg1MWY5NGUyODBjMTA4OTcyMTRiNjVjOTA3,,https://static.bihr.pro/eBihr/Pictures/EXPERT-pictures.zip,Spain Warehouse (Parts)
1051511,89101127,E080821,EXPERT,EXPER MODULE 4 MECHANICS PLIERS,Módulo de 4 alicates para mecánicos EXPERT - Bandeja de plastico,101.00,83.47,66.78,3258950808215,1,8203200000,0,1,Alicates de corte diagonal Alicates universales Alicates pelacables Alicates de boca recta semirredonda,Alicates de corte diagonal Alicates universales Alicates pelacables Alicates de boca recta semirredonda,TOOLING & WS,TOOLING,TOOLING GENERAL,5240,1263,442,208,57,,,https://api.mybihr.com/medias/1051511-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTc5MTZ8aW1hZ2UvanBlZ3xhREU0TDJnMFlTODRPVEkwT0RrM01UUTRPVFU0THpFd05URTFNVEV0TVY4NE1EQlhlRGd3TUVnfGQwMmIyYWZjNGI2OWQyNjA0YTVmNDRjYjA4ZTQzZjkzMDhmMDYzNjhkMjdhY2FiYWI2ZTQyZTA5OWUzYTlmZGE,,https://static.bihr.pro/eBihr/Pictures/EXPERT-pictures.zip,Spain Warehouse (Parts)
1051543,89101132,E194940,EXPERT,EXPER MODULE 8 SCREWDRIVERS FLAT+CRUCI,Módulo de 8 destornillador estrella/ranurado EXPERT - Bandeja de plastico,60.50,50.00,40.00,3258951949405,1,8205400000,0,1,"Bandeja termoformada Destornilladores para cabezas ranuradas (de electricista): 3'5 x 75 y 4 x 100 Destornilladores para cabezas ranurada (de mecánico): 5'5 x 125,  6'5 x 150 y 8 x 175 Destornilladores Phillips®: PH0 x 75, PH1 x 100 y PH2 x 125","Bandeja termoformada Destornilladores para cabezas ranuradas (de electricista): 3'5 x 75 y 4 x 100 Destornilladores para cabezas ranurada (de mecánico): 5'5 x 125,  6'5 x 150 y 8 x 175 Destornilladores Phillips®: PH0 x 75, PH1 x 100 y PH2 x 125",TOOLING & WS,TOOLING,TOOLING GENERAL,5252,907,443,208,57,,,https://api.mybihr.com/medias/1051543-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjY3MjF8aW1hZ2UvanBlZ3xhR0k1TDJneU5pODRPVEkwT0RrNE16WXhNemMwTHpFd05URTFORE10TVY4NE1EQlhlRGd3TUVnfDNmNjBiOTM0YjJhYWQyNTc2NGY4NTE3ZWM3NWYzZGIwZWYxZWUwMWVhZmNlNTNjNmQyZTQ4YmZmZjY0M2RmNTU,,https://static.bihr.pro/eBihr/Pictures/EXPERT-pictures.zip,Spain Warehouse (Parts)
1102762,893151,E030907,EXPERT,EXPER SCREWDRIVER BIT10 3/8 - 6 POINT LO,Vasos hexagonales destornillador EXPERT 3/8'' 10mm - 6caras,9.50,7.85,6.28,E030907,1,8204200000,0,1,"Vaso destornillador hexagonal de 3/8"", de acero al cromo-vanadio.Acabado en cromo pulido","Vaso destornillador hexagonal de 3/8"", de acero al cromo-vanadio.Acabado en cromo pulido",TOOLING & WS,TOOLING,TOOLING GENERAL,50,60,55,53,17,,,https://api.mybihr.com/medias/1102762-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDU3NTB8aW1hZ2UvanBlZ3xhRE15TDJnd09DODVOakV6TmpnME56QXpNall5THpFeE1ESTNOakl0TVY4NE1EQlhlRGd3TUVnfGU0NTczNmUwODFlNzlhMmUzYTcwMDQ4YjQ4MzNlMWY3MDNkNDJhZmZkMjJhM2Y0MGJhZDBmYTMyMmQ5NDk2NTg,,https://static.bihr.pro/eBihr/Pictures/EXPERT-pictures.zip,Spain Warehouse (Parts)
1102768,893155,E031916,EXPERT,EXPER SCREWDRIVER BIT10 1/2 - 6 POINT LO,Vasos hexagonales largo destornillador EXPERT 1/2'' 10mm - 6caras,17.50,14.46,11.57,E031916,1,8204200000,0,1,"Vaso destornillador hexagonal de 1/2"", de acero al cromo-vanadioAcabado en cromo pulido Longitud: 100 mm","Vaso destornillador hexagonal de 1/2"", de acero al cromo-vanadioAcabado en cromo pulido Longitud: 100 mm",TOOLING & WS,TOOLING,TOOLING GENERAL,93,114,101,42,22,,,https://api.mybihr.com/medias/1102768-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM4MDh8aW1hZ2UvanBlZ3xhR0poTDJnd1pTODVOak15T0RFMk9UZzRNVGt3THpFeE1ESTNOamd0TVY4NE1EQlhlRGd3TUVnfDQwN2MxMDk1NzZhMDc3OWFkMDRiMjZhYTE0OGM2YTE3NDcxYWQ2YzQxOWQxYzBkZWM2YmJjNDI0NDFiMmI1YmY,,https://static.bihr.pro/eBihr/Pictures/EXPERT-pictures.zip,Spain Warehouse (Parts)
1102766,89209008,E031983,EXPERT,EXPER SCREWDRIVER1/2 - HEXAGON - 14MM LO,Vasos hexagonales largo destornillador EXPERT 1/2'' 14mm - 6caras,17.50,14.46,11.57,E031983,1,8204200000,0,1,"Vasos destornillador hexagonal de 1/2"", de acero al cromo-vanadio Acabado en cromo pulido Longitud: 100 mm","Vasos destornillador hexagonal de 1/2"", de acero al cromo-vanadio Acabado en cromo pulido Longitud: 100 mm",TOOLING & WS,TOOLING,TOOLING GENERAL,174,183,120,50,29,,,https://api.mybihr.com/medias/1102766-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODkwNHxpbWFnZS9qcGVnfGFEZzFMMmd5Tnk4NU5qTXlPREUyTWpBeE56VTRMekV4TURJM05qWXRNVjg0TURCWGVEZ3dNRWd8NWQxYWQyZTU3NTlhY2JiZTEwNjdiYTNhODU5ODU0ZTAxYjFjMDM2M2UyYTE4OTQyMGJkMGY4YzkzMzM1ZGMxOQ,,https://static.bihr.pro/eBihr/Pictures/EXPERT-pictures.zip,Spain Warehouse (Parts)
1051526,89101222,E121708,EXPERT,EXPER MODULE 7 T-HANDLE TORX KEYS,Módulo de 7 llaves Torx con mango en T EXPERT Bandeja de plástico,57.00,47.11,37.69,E121708,1,8204110000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <ul> <li>Thermoformed module</li><li>Torx® T-handle spinner keys: T10-T15-T20-T25-T27-T30-T40</li></ul> <p> </p></body> </html>","        Thermoformed moduleTorx® T-handle spinner keys: T10-T15-T20-T25-T27-T30-T40   ",TOOLING & WS,TOOLING,TOOLING GENERAL,4901,757,439,203,55,,,https://api.mybihr.com/medias/1051526-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTk5NzF8aW1hZ2UvanBlZ3xhRGt5TDJneVpTODRPVEkwT0RrM09UWTRNVFU0THpFd05URTFNall0TVY4NE1EQlhlRGd3TUVnfDkzOWM5YTRiMDU1ZWQzYjI1NmE1OTVjNjA4Mjk0ODBkYTQzNzJlMDVmNzZlMzY5OWUxMDkzOTYyNzY5MjM0ZjU,,https://static.bihr.pro/eBihr/Pictures/EXPERT-pictures.zip,Spain Warehouse (Parts)
1051528,892728,E131701,EXPERT,EXPER SET OF 48 PIECE BIT SETS 1/4,Maleta de 48 herramientas 1/4'',41.99,34.70,27.76,3258951317013,1,8207909900,0,1,"Accesorios y set de puntas de 1/4"". El producto contiene:			Puntas planas: 4, 4'5, 5'5, 6'5 (x2) y 8 puntas Phillips®: PH1(x2), PH2(x3) y PH3(x2) Puntas Pozidriv®: PZ1(x2), PZ2(x3) y PZ3(x2) Puntas hexagonales: 2, 3(x2), 4(x2), 5(x2) y 6(x2) mm Puntas Torx®: T10(x2), T15(x2), T20(x2), T25(x2) y T30(x2) Puntas ResisTorx®: TT10, TT15(x2), TT20(x2), TT25(x2), TT30(x2) y TT40 Portapuntas","Accesorios y set de puntas de 1/4"". El producto contiene:			Puntas planas: 4, 4'5, 5'5, 6'5 (x2) y 8 puntas Phillips®: PH1(x2), PH2(x3) y PH3(x2) Puntas Pozidriv®: PZ1(x2), PZ2(x3) y PZ3(x2) Puntas hexagonales: 2, 3(x2), 4(x2), 5(x2) y 6(x2) mm Puntas Torx®: T10(x2), T15(x2), T20(x2), T25(x2) y T30(x2) Puntas ResisTorx®: TT10, TT15(x2), TT20(x2), TT25(x2), TT30(x2) y TT40 Portapuntas",TOOLING & WS,TOOLING,TOOLING GENERAL,302,239,108,70,40,,,https://api.mybihr.com/medias/1051528-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODQ3MzR8aW1hZ2UvanBlZ3xhRFUyTDJobVpTODRPVEF5TWpjM01UTTJOREUwTHpFd05URTFNamd0TVY4NE1EQlhlRGd3TUVnfDVjZWI1NDk0ZjBjYzI0NWVhYmI0OTViNTVhODk3ODc4YzI1ZGMwMDI1NDk4Mjg3ZTgxMzVhYjRkOGFhOTc0OTA,,https://static.bihr.pro/eBihr/Pictures/EXPERT-pictures.zip,Spain Warehouse (Parts)
