PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (cm),Altura (mm),Anchura (cm),Anchura (mm),Capacidad (Ah),Longitud (cm),Longitud (mm),Longitud de rosca,Número de puntos,Peso (g),Peso (kg),Tamaño de accionamiento cuadrado,Tipo de toma,Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,DeliveryPlant
1050598,891706,PK.1,FACOM,FACOM PANEL PK1 PERFORATED,Panel perforado PK1 FACOM,74.40,61.49,49.19,PK.1,4,7326909890,0,1,Panel perforado PK1 			Medidas (largo x ancho x alto): 444 x 888 x 10 mm Peso: 2'35 Kg,Panel perforado PK1 			Medidas (largo x ancho x alto): 444 x 888 x 10 mm Peso: 2'35 Kg,TOOLING & WS,WS,WS. FURNITURE,,3961,2322,890,445,10,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1050598-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTQ1NTl8aW1hZ2UvanBlZ3xhR015TDJoaFppODRPVFEyTURZd05UVTRNelkyTHpFd05UQTFPVGd0TVY4NE1EQlhlRGd3TUVnfGFkNzg5YzAyYmEyNjFmZGFhNDkzNTQwNmE2NTgyNjljNDM5YzRhNjUzMDE5YjVlZTg2Zjg1OTNlNDQzZWUwOTM,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102734,890739,75.12,FACOM,FACOM ANGLEDWRENCH 12MM 6 POINTS,Llaves de pipa FACOM OGV 12mm -  6caras,14.79,12.22,9.78,75.12,1,8204110000,0,1,"Llave de pipa, abierta, perfil OGV�; muy �til cuando queremos apretar o aflojar con fuerza.�Acabado en cromo satinado Cabeza corta y cabeza larga: 6 caras Cabeza corta abierta para paso de varillas roscadas","Llave de pipa, abierta, perfil OGV�; muy �til cuando queremos apretar o aflojar con fuerza.�Acabado en cromo satinado Cabeza corta y cabeza larga: 6 caras Cabeza corta abierta para paso de varillas roscadas",TOOLING & WS,TOOLING,TOOLING GENERAL,,116,148,145,40,20,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102734-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ3MjB8aW1hZ2UvanBlZ3xhRGRtTDJnNVl5ODVOak15T0RBMU1Ua3hOekV3THpFeE1ESTNNelF0TVY4NE1EQlhlRGd3TUVnfDliYzY0YTBlMmM4OTIwNzY0MjIzZjU3NTY3MDY5NGE4ODk1ZTAxZDA5YWFkMWVjOTk2YTlhY2Y5NTg3MWZiMzI,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102737,891805,83SH.3,FACOM,FACOM HEX. LONG KEY 3MM,Llaves allen en T FACOM 3mm Largo,4.09,3.38,2.70,83SH.3,1,8204110000,0,1,"Juego de llaves macho largas, con 6 caras y cabeza esf�rica de acero al silicio.Acabado fosfatado negro","Juego de llaves macho largas, con 6 caras y cabeza esf�rica de acero al silicio.Acabado fosfatado negro",TOOLING & WS,TOOLING,TOOLING GENERAL,,10,8,120,40,2,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102737-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTcyOTZ8aW1hZ2UvanBlZ3xhREU1TDJobU15ODVOak15T0RBMk16Y3hNelU0THpFeE1ESTNNemN0TVY4NE1EQlhlRGd3TUVnfDBmZGNjYzE1MThlNWNmNWExZThhMjk5N2VlYTVmMTlkZmNmODM2MGU4MzhiOGExODJjNDQ3NWUyN2JmYmFmZDY,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102739,890750,440.19,FACOM,FACOM COMBI WRENCH 19MM,Llaves mixta FACOM OGV Serie 440 19mm,16.84,13.92,11.14,3148517680616,1,8204110000,0,1,"Llave mixta, perfil OGV�, serie 467B. Alto nivel de prestaciones mec�nicas y dimensiones reducidas que respetan las normas aeron�uticas.�Acabado en cromo satinado Cabeza de 12 caras con perfil OGV�, inclinada a 15� Cabeza de horquilla inclinada a 15��","Llave mixta, perfil OGV�, serie 467B. Alto nivel de prestaciones mec�nicas y dimensiones reducidas que respetan las normas aeron�uticas.�Acabado en cromo satinado Cabeza de 12 caras con perfil OGV�, inclinada a 15� Cabeza de horquilla inclinada a 15��",TOOLING & WS,TOOLING,TOOLING GENERAL,,198,163,220,45,20,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102739-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjM2Njh8aW1hZ2UvanBlZ3xhRFV5TDJnNU1DODVOak15T0RBM01UVTNOemt3THpFeE1ESTNNemt0TVY4NE1EQlhlRGd3TUVnfDM4Njk2Y2E4MDE0NGU1YmM3MTBlNzY5NGJjOTVmODVkY2M2NWM2NjRlOTJiOGMzYTdhNzc5MjlmNTc3MjJiOGU,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102740,890378,K.36HB,FACOM,FACOM SOCKET 3/4 36MM 6 POINTS,Vasos FACOM OGV 3/4'' 36mm - 6caras,33.15,27.40,21.92,3148516600172,1,8204200000,0,1,"Vasos de 3/4"", perfil OGV�, 6 caras m�tricas.�Bloqueo y liberaci�n r�pidos Acabado en cromo satinado","Vasos de 3/4"", perfil OGV�, 6 caras m�tricas.�Bloqueo y liberaci�n r�pidos Acabado en cromo satinado",TOOLING & WS,TOOLING,TOOLING GENERAL,,150,380,60,50,50,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102740-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM3NDh8aW1hZ2UvanBlZ3xhR0l4TDJnNE1pODVOak15T0RBM05UVXhNREEyTHpFeE1ESTNOREF0TVY4NE1EQlhlRGd3TUVnfGIzZTg2NDY2MDMwNThjZDBkNGZiZDBmZDZlYmY2YTEzY2Y5NGExZmM3YTNiODY2ZWY0NDc0ZjJlMzI5ZmNiYWI,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102741,890544,S.19HLA,FACOM,FACOM LONG19 MM 1/2'DRIVE 12 POINT,Vasos  largo FACOM OGV 1/2'' 19mm - 6caras,24.48,20.23,16.18,3148510541594,1,8204200000,0,1,"Vasos de 1/2"", perfil OGV�, 6 caras m�tricas.�Acabado cromado brillante Vaso largo Longitud: 77 mm","Vasos de 1/2"", perfil OGV�, 6 caras m�tricas.�Acabado cromado brillante Vaso largo Longitud: 77 mm",TOOLING & WS,TOOLING,TOOLING GENERAL,,98,161,91,40,27,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102741-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ4MzN8aW1hZ2UvanBlZ3xhREkwTDJnM05TODVOak15T0RBM09UUTBNakl5THpFeE1ESTNOREV0TVY4NE1EQlhlRGd3TUVnfGEzNWY5NzYxZDA1ZjRhNzlhMTVlNTAwNmQ2YTJkNjYyYzFlMmM5MzU2NjQ4MjU2Njc0MzJlY2UxOTVmNzdlOGI,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102748,890556,84TC.3,FACOM,FACOM T-HANDLE HEXAGON KEY 3 MM,Llaves allen en T FACOM 3mm,27.21,22.49,17.99,3148511255803,1,8204110000,0,1,"Llave macho en T, con 6 caras m�tricasAcabado en cromo, extremos bru�idos.","Llave macho en T, con 6 caras m�tricasAcabado en cromo, extremos bru�idos.",TOOLING & WS,TOOLING,TOOLING GENERAL,,140,26,155,53,17,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102748-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk4NzZ8aW1hZ2UvanBlZ3xhR0UzTDJnNU15ODVOak15T0RFd05qazJOek0wTHpFeE1ESTNORGd0TVY4NE1EQlhlRGd3TUVnfDFmY2NhYWU2NWQ5YmM3MGQzMjBmYWZjYjZlMGE3ZDk4MmJjZTY5ZmI1OTdlN2E4MWNlNDZkOGE4OWM0MDI1NmY,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1051387,892947,PM.384,FACOM,FACOM MODULE STORAGE,Módulo de almacenamiento FACOM,46.17,38.16,30.53,PM.384,1,3921190099,0,1,"Detalles del producto:  			Compartimento para organización de herramientas: 6 espacios, con 3 tamaños diferentes.","Detalles del producto:  			Compartimento para organización de herramientas: 6 espacios, con 3 tamaños diferentes.",TOOLING & WS,TOOLING,TOOLING GENERAL,,7068,54,442,246,65,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051387-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDE5NzB8aW1hZ2UvanBlZ3xhRFF4TDJobU55ODRPVEF5TWpjeU9UUXlNVEV3THpFd05URXpPRGN0TVY4NE1EQlhlRGd3TUVnfGQ1ODRjYzY5ZTI3MzAwOWQ3YTYzMjBiMmMwODVlMGM1Y2EzNDliYjFhNjg1Y2YwYjIyYmMyNzJiODE1Mzg2YWQ,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1051315,890829,601PB,FACOM,FACOM HACKSAW COMPACT,Arco de sierra para metales compacto FACOM,39.52,32.66,26.13,3148519885224,1,8202100000,0,1,"Sierra de arco con posición de la hoja regulable: 45° y 90°.			Longitud de la hoja: 300 mm Se entrega con una hoja""""""""","Sierra de arco con posición de la hoja regulable: 45° y 90°.			Longitud de la hoja: 300 mm Se entrega con una hoja""""""""",TOOLING & WS,TOOLING,TOOLING GENERAL,,2821,683,407,154,45,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051315-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk3OTZ8aW1hZ2UvanBlZ3xhR0prTDJobVlTODRPVEF5TWpZNU1qQTJOVFU0THpFd05URXpNVFV0TVY4NE1EQlhlRGd3TUVnfGM5MTA4ZmJhMDY4NmE3NTc3OGM3YjMyYjNlNWM4OTZkOGExYjRmN2FhMzhjZGJiNGE2NGNjNDczZTVlNDQ5ZDg,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1051414,890383,S.230,FACOM,FACOM ADAPTOR REDUCER 1/2-3/8,Reductor FACOM 1/2'' (F) x 3/8'' (M),13.78,11.39,9.11,3148510580005,1,8204200000,0,1,Acabado en cromo satinado,Acabado en cromo satinado,TOOLING & WS,TOOLING,TOOLING GENERAL,,14,56,36,20,20,,,,,,,,,,,,1/2'' (Hembra) -  3/8'' (Macho),,,https://api.mybihr.com/medias/1051414-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzc2MTl8aW1hZ2UvanBlZ3xhRGRpTDJnNU5DODRPVEF5TWpjek56STROVFF5THpFd05URTBNVFF0TVY4NE1EQlhlRGd3TUVnfGYzODJhNWIxYTFkOGQ3YTQ2Nzk0Y2MzZmZhYjkwYWQ1MDhjNmFkMDA2MmQwYzU5NmUwYTczZDJiNjRiOGQxYjQ,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
