PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm)," Espesor",Color,Diámetro exterior (mm),Diámetro interior (mm),Embalaje,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,DeliveryPlant
1090938,,RWK-H-193,FACTORY LINKS,FACTO KIT BEARINGS REAR WHEEL,Kit de rodamientos de rueda FACTORY LINKS,37.00,30.58,18.35,3000000007075,5,8708809990,0,1,"<ul> <li>FACTORY LINKS bearings are packed with a heavy duty premium marine grease and an addition of a special complex thickeners which allows it to be virtually waterproof. It provides unsurpassed rust and corrosion protection.</li> <li>Also to keep any moisture out, we have gone from 30% grease filling to a 60% for harsh conditions.</li> <li>Our FACTORY LINKS ball bearings are specially developed for an Off-Road use, unlike Industrial 2RS type ball bearings offer low torque resistance and hence weak resistance to water intrusion.</li> </ul>"," FACTORY LINKS bearings are packed with a heavy duty premium marine grease and an addition of a special complex thickeners which allows it to be virtually waterproof. It provides unsurpassed rust and corrosion protection. Also to keep any moisture out, we have gone from 30% grease filling to a 60% for harsh conditions. Our FACTORY LINKS ball bearings are specially developed for an Off-Road use, unlike Industrial 2RS type ball bearings offer low torque resistance and hence weak resistance to water intrusion. ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,360,174,106,117,29,,,,,,https://api.mybihr.com/medias/1090938-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTQwNTl8aW1hZ2UvanBlZ3xhR0UxTDJnellTOHhOekkyTmpBNU1ETTNOekkwTmk4eE1Ea3dPVE00TFRGZk9EQXdWM2c0TURCSXxmMjc3NmJkYTY4MjJjMDEwOWM0MjdkMGQzODdmYzk2ZDBkNzYwMWNhYTMwMDY5NTFmMWI4ODkwMzEwOGUwZGMy,,,,,,https://static.bihr.pro/eBihr/Pictures/FACTORY_LINKS-pictures.zip,Spain Warehouse (Parts)
1049729,,LSA-T-001,FACTORY LINKS,FACTO LOWER SHOCK BEARING KIT,Kit reparación PDS KTM FACTORY LINKS,37.00,30.58,18.35,3000000014417,0,8708809990,0,1,"<h4>Contains</h4><p>Dust Seals x2, Pins, Collars - Special x2, Sphericals Plain x1</p><br><p>FACTORY LINKS kits contain all elements required for lower shock absorber renew. The needle bearing, pin and oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.</p>
<ul>
<li>52100 High Grade Steel Pins</li>
<li>Nitrile Butadiene Dust Seals</li>
</ul>","Contains
Dust Seals x2, Pins, Collars - Special x2, Sphericals Plain x1
FACTORY LINKS kits contain all elements required for lower shock absorber renew. The needle bearing, pin and oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.

52100 High Grade Steel Pins
Nitrile Butadiene Dust Seals
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,431,147,113,103,37,,,,,,https://api.mybihr.com/medias/1049729-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA2NTR8aW1hZ2UvanBlZ3xhREExTDJneU9DOHhOekkyTmpBNE1UUTJORE0xTUM4eE1EUTVOekk1TFRGZk9EQXdWM2c0TURCSXxlYTZiNThiNmNiZmFhMDkxMWJmMTQyMTFhZDIzM2YyZmYxMjFlZGRhNmZmMTFlNDZkMDg1ODAyNDFkYjk5Y2Jj,,,,,,https://static.bihr.pro/eBihr/Pictures/FACTORY_LINKS-pictures.zip,Spain Warehouse (Parts)
1049732,,SSK-G-015,FACTORY LINKS,FACTO STEERING SHAFT BEARING KIT,Kit de rodamientos de columna de dirección FACTORY LINKS,37.99,31.40,18.84,3000000013779,1,8482200000,0,1,"<h4>Contains</h4><p>Dust Seals x2, Tapered Roller x2</p><br><p>Steering Stem Bearing Service Kits</p>
<ul>
<li>Full Service Steering Stem OEM quality Set</li>
<li>OEM type tapered Roller bearings</li>
<li>NBR Race Dust Seals</li>
</ul>","Contains
Dust Seals x2, Tapered Roller x2
Steering Stem Bearing Service Kits

Full Service Steering Stem OEM quality Set
OEM type tapered Roller bearings
NBR Race Dust Seals
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,369,370,107,119,29,,,,,,https://api.mybihr.com/medias/1049732-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTAwODN8aW1hZ2UvanBlZ3xhREJtTDJnME5pOHhNVEF5TnpNNE56STFNamMyTmk4eE1EUTVOek15TFRGZk9EQXdWM2c0TURCSXwwZTY0NjZkYTY3OThhNWI4NGQxZWQxYmRiZDc3NGMxMzcwZWY4ZTM3ZmJhMWYyMWRjZmM1MmQyNzRkNzYwODFj,https://api.mybihr.com/medias/1049732-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDYzOTd8aW1hZ2UvanBlZ3xhR0l5TDJnMllTODRPVGN4TWpjd056Z3pNREEyTHpFd05EazNNekl0TWw4NE1EQlhlRGd3TUVnfGI0MDc3NDE0NWJjNWRiMGYzM2RjN2U1MThmMjJhNWM0MWM5MmQ0ZGM0MWUyYTM0YWVkOTZkMmQxODAyMTgxNWM,https://api.mybihr.com/medias/1049732-3-800Wx800H?context=bWFzdGVyfHJvb3R8ODY5Mjh8aW1hZ2UvanBlZ3xhRFptTDJnM01TODRPVGN4TWpjd09UYzVOakUwTHpFd05EazNNekl0TTE4NE1EQlhlRGd3TUVnfGNkMDEwNGQ3NTZmNmQ1NWZjNDhiMTI5MjMzZGU0YjFkNTczYzQxMjkxZmQ4NjMxOWRkYzdiOGMyMzEzYzljOGE,https://api.mybihr.com/medias/1049732-4-800Wx800H?context=bWFzdGVyfHJvb3R8MzY2Mjh8aW1hZ2UvanBlZ3xhR1ZpTDJoaVppODRPVGN4TWpjeE1UYzJNakl5THpFd05EazNNekl0TkY4NE1EQlhlRGd3TUVnfGIzYzNkNGIxODRjMjU5ZWJiZWM4ZWIxMjc1YjZhNTA1MWU1MDY1MmFlM2Y2MjE3MGQ1MTQ4NGMxNDA1M2U3OWI,https://api.mybihr.com/medias/1049732-5-800Wx800H?context=bWFzdGVyfHJvb3R8NTQ2ODN8aW1hZ2UvanBlZ3xhR0ppTDJoak5pODRPVGN4TWpjeE16Y3lPRE13THpFd05EazNNekl0TlY4NE1EQlhlRGd3TUVnfDFkN2E5MjIwMDE3YzQ2MTJmZGQ1MjgyZjQ5MWU0MmU5MTQyOGE3OGMxOTY2ZTViMDdjMjUyMDE3MmRlYzVmYmM,https://api.mybihr.com/medias/1049732-6-800Wx800H?context=bWFzdGVyfHJvb3R8OTUwMjl8aW1hZ2UvanBlZ3xhRGM0TDJoalpDODRPVGN4TWpjeE5UWTVORE00THpFd05EazNNekl0Tmw4NE1EQlhlRGd3TUVnfGJkNDg3NjQ4OTg0ZTljZDU4NTRkMTY1OTE2MGJlYjc1MWRhM2Y0NWYyZDc3OGM3MzhmZWFhMDg5OTg5OWVhMjY,https://static.bihr.pro/eBihr/Pictures/FACTORY_LINKS-pictures.zip,Spain Warehouse (Parts)
1049734,,SSK-H-399,FACTORY LINKS,FACTO STEERING SHAFT BEARING KIT,Kit de rodamientos de columna de dirección FACTORY LINKS,51.00,42.15,25.29,3000000013830,0,8482200000,0,1,"<h4>Contains</h4><p>Dust Seals x2, Tapered Roller x2</p><br><p>Steering Stem Bearing Service Kits</p>
<ul>
<li>Full Service Steering Stem OEM quality Set</li>
<li>OEM type tapered Roller bearings</li>
<li>NBR Race Dust Seals</li>
</ul>","Contains
Dust Seals x2, Tapered Roller x2
Steering Stem Bearing Service Kits

Full Service Steering Stem OEM quality Set
OEM type tapered Roller bearings
NBR Race Dust Seals
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,364,271,115,109,29,,,,,,https://api.mybihr.com/medias/1049734-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDg4NzV8aW1hZ2UvanBlZ3xhRGd4TDJnek9DOHhNVEF5TnpNNE56WTBOVGs0TWk4eE1EUTVOek0wTFRGZk9EQXdWM2c0TURCSXxmODhkNWQyMDJjZmUwNTkxNTA3NjI2M2QzNzBhNjY4ODIwNjA1ZTU5ODk5MWRhNmYxZTMzYWM4MDU3ZmRkMjky,https://api.mybihr.com/medias/1049734-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDYzOTd8aW1hZ2UvanBlZ3xhR1EzTDJoaU1pODVNREV5T0RVNE56Z3hOekkyTHpFd05EazNNelF0TWw4NE1EQlhlRGd3TUVnfDk2NGIxODY4NDZiMmQ3NDUxODUyZTNjODU1YmI3YzYyM2U3NGVhM2I5MjJmZDNjYjY2ZDFiYWJlMDlhY2ZhYjE,https://api.mybihr.com/medias/1049734-3-800Wx800H?context=bWFzdGVyfHJvb3R8ODY5Mjh8aW1hZ2UvanBlZ3xhREZoTDJoaFl5ODVNREV5T0RVNE9UYzRNek0wTHpFd05EazNNelF0TTE4NE1EQlhlRGd3TUVnfDU4OWU3YWY2NmZmN2Y2MTAyOThlNGVhM2JmZTNjOTJkYzI4MjcyM2I1MjBkZDBhYTI5ZjQ2YTEzZjAxYjM1NWY,https://api.mybihr.com/medias/1049734-4-800Wx800H?context=bWFzdGVyfHJvb3R8NTQ2ODN8aW1hZ2UvanBlZ3xhRGxsTDJnMVpDODVNREV5T0RVNU1UYzBPVFF5THpFd05EazNNelF0TkY4NE1EQlhlRGd3TUVnfDE3NDg1MmQ3YzFmZWU1YTBlY2E5NTIzNjY4MTg2NWEyMGViOTM1NTdkMmY2N2JmOWY0MTNlYzI4ZmEwNjVlNGY,https://api.mybihr.com/medias/1049734-5-800Wx800H?context=bWFzdGVyfHJvb3R8MzY2Mjh8aW1hZ2UvanBlZ3xhR05sTDJnMU5pODVNREV5T0RVNU16Y3hOVFV3THpFd05EazNNelF0TlY4NE1EQlhlRGd3TUVnfGU1NzE1NzI3ZWEyNGViZmMzZWMzODAzZmY1ZmQyODhlMTNjMGViNWFiYzIxNjU1ZmE4MGNmNTBiMWFmZDMxZTQ,https://api.mybihr.com/medias/1049734-6-800Wx800H?context=bWFzdGVyfHJvb3R8OTUwMjl8aW1hZ2UvanBlZ3xhREV3TDJnMU1DODVNREV5T0RVNU5UWTRNVFU0THpFd05EazNNelF0Tmw4NE1EQlhlRGd3TUVnfDdiNzk0NWZhYjM5MGQ1YTJkMDVmYjA4YzI5NTkxNTJlZDQyYmExYmY3ZmEzNzg5MTg0MjYxM2M5Y2ZlZjljNTk,https://static.bihr.pro/eBihr/Pictures/FACTORY_LINKS-pictures.zip,Spain Warehouse (Parts)
1049727,,LSA-B-001,FACTORY LINKS,FACTO LOWER SHOCK BEARING KIT,Kit de rodamientos inferiores de amortiguador FACTORY LINKS,32.00,26.45,15.87,3000000014653,0,8708809990,0,1,"<h4>Contains</h4><p>Dust Seals x2, Needles x1, Pins, Collars - Flanged x2, Pins, Collars - Plain x1</p><br><p>FACTORY LINKS kits contain all elements required for lower shock absorber renew. The needle bearing, pin and oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.</p>
<ul>
<li>52100 High Grade Steel Pins</li>
<li>Nitrile Butadiene Dust Seals</li>
</ul>","Contains
Dust Seals x2, Needles x1, Pins, Collars - Flanged x2, Pins, Collars - Plain x1
FACTORY LINKS kits contain all elements required for lower shock absorber renew. The needle bearing, pin and oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.

52100 High Grade Steel Pins
Nitrile Butadiene Dust Seals
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,320,95,115,103,27,,,,,,https://api.mybihr.com/medias/1049727-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTEzNDB8aW1hZ2UvanBlZ3xhRGt5TDJnek5TOHhOekkyTmpBNE1UQTNNVEV6TkM4eE1EUTVOekkzTFRGZk9EQXdWM2c0TURCSXw0NzMwODQ2NTQxNTVmMWZjNGVjZjZiY2U3ZGQ4OTcwOTRjMTQ1Yzg0YTkwOTJjOWNiMWNmMjNlZDAwODNhYWQ1,,,,,,https://static.bihr.pro/eBihr/Pictures/FACTORY_LINKS-pictures.zip,Spain Warehouse (Parts)
1049728,,LSA-G-001,FACTORY LINKS,FACTO LOWER SHOCK BEARING KIT,Kit de rodamientos inferiores de amortiguador FACTORY LINKS,37.00,30.58,18.35,3000000014233,1,8708809990,0,1,"<h4>Contains</h4><p>Needles x1, O ring x2, Pins, Collars - Plain x1, Washers x2</p><br><p>FACTORY LINKS kits contain all elements required for lower shock absorber renew. The needle bearing, pin and oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.</p>
<ul>
<li>52100 High Grade Steel Pins</li>
<li>Nitrile Butadiene Dust Seals</li>
</ul>","Contains
Needles x1, O ring x2, Pins, Collars - Plain x1, Washers x2
FACTORY LINKS kits contain all elements required for lower shock absorber renew. The needle bearing, pin and oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.

52100 High Grade Steel Pins
Nitrile Butadiene Dust Seals
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,314,82,113,103,27,,,,,,https://api.mybihr.com/medias/1049728-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDEyOTJ8aW1hZ2UvanBlZ3xhR1EyTDJneVpTOHhOekkyTmpBNE1USTJOemMwTWk4eE1EUTVOekk0TFRGZk9EQXdWM2c0TURCSXxjN2I2ZmQ5ZjY5MmUyOTE1Y2YyMmYyZWJkM2NkYTY4Nzg1MWM4NzU3NTRhMjRlYzRhMjgyM2UyZmI1YmRlOTE2,,,,,,https://static.bihr.pro/eBihr/Pictures/FACTORY_LINKS-pictures.zip,Spain Warehouse (Parts)
1049783,,SAK-S-262,FACTORY LINKS,FACTO SWINGARM BEARING KIT,Kit de rodamientos de basculante FACTORY LINKS,103.00,85.12,51.07,3000000012055,1,8708809990,0,1,"<h4>Contains</h4><p>Dust Seals x4, Needles x2, Pins, Collars - Flanged x2, Pins, Collars - Plain x2, Thrust (with washers) x6, Washers x2</p><br><p>FACTORY LINKS kits contain all elements required for a full service of your swing arm. Our needle bearings, collars, pins and Oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.</p>
<ul>
<li>52100 High Grade Steel Pins</li>
<li>Zinc Plated Steel Collars</li>
<li>Nitrile Butadiene Dust Seals</li>
</ul>","Contains
Dust Seals x4, Needles x2, Pins, Collars - Flanged x2, Pins, Collars - Plain x2, Thrust (with washers) x6, Washers x2
FACTORY LINKS kits contain all elements required for a full service of your swing arm. Our needle bearings, collars, pins and Oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.

52100 High Grade Steel Pins
Zinc Plated Steel Collars
Nitrile Butadiene Dust Seals
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,1110,385,238,111,42,,,,,,https://api.mybihr.com/medias/1049783-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjA0NTZ8aW1hZ2UvanBlZ3xhRGhtTDJoak9TOHhOekkyTmpBNE9EZ3dORE00TWk4eE1EUTVOemd6TFRGZk9EQXdWM2c0TURCSXw1ZjAwOGIwZDM5NGNlM2FjZmEwOGFlNmNiZGM4ZDJhYThmMTVkNjMzYWM5MzYzYTIxZjkzZDcyMDdhZDk4Y2U5,,,,,,https://static.bihr.pro/eBihr/Pictures/FACTORY_LINKS-pictures.zip,Spain Warehouse (Parts)
1049784,,SAK-Y-282,FACTORY LINKS,FACTO SWINGARM BEARING KIT,Kit de rodamientos de basculante FACTORY LINKS,103.00,85.12,51.07,3000000012437,0,8708809990,0,1,"<h4>Contains</h4><p>Dust Seals x4, Needles x4, Pins, Collars - Plain x4, Thrust (with washers) x6</p><br><p>FACTORY LINKS kits contain all elements required for a full service of your swing arm. Our needle bearings, collars, pins and Oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.</p>
<ul>
<li>52100 High Grade Steel Pins</li>
<li>Zinc Plated Steel Collars</li>
<li>Nitrile Butadiene Dust Seals</li>
</ul>","Contains
Dust Seals x4, Needles x4, Pins, Collars - Plain x4, Thrust (with washers) x6
FACTORY LINKS kits contain all elements required for a full service of your swing arm. Our needle bearings, collars, pins and Oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.

52100 High Grade Steel Pins
Zinc Plated Steel Collars
Nitrile Butadiene Dust Seals
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,1169,308,234,111,45,,,,,,https://api.mybihr.com/medias/1049784-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTE4MDV8aW1hZ2UvanBlZ3xhR1kxTDJobE55OHhOekkyTmpBNE9UQXdNRGs1TUM4eE1EUTVOemcwTFRGZk9EQXdWM2c0TURCSXwyNjcxYjAyYzY1MDEwMTFkOWJmMGM1ZWVjOWZjNDdkNGFkNDAxNGYyNmU0MzJlYTZjYjlmMWE3NDNiNjBmOWQ1,,,,,,https://static.bihr.pro/eBihr/Pictures/FACTORY_LINKS-pictures.zip,Spain Warehouse (Parts)
1049785,,SAK-Y-283,FACTORY LINKS,FACTO SWINGARM BEARING KIT,Kit de rodamientos de basculante FACTORY LINKS,103.00,85.12,51.07,3000000012444,1,8708809990,0,1,"<h4>Contains</h4><p>Dust Seals x4, Needles x4, Pins, Collars - Plain x4, Thrust (with washers) x6</p><br><p>FACTORY LINKS kits contain all elements required for a full service of your swing arm. Our needle bearings, collars, pins and Oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.</p>
<ul>
<li>52100 High Grade Steel Pins</li>
<li>Zinc Plated Steel Collars</li>
<li>Nitrile Butadiene Dust Seals</li>
</ul>","Contains
Dust Seals x4, Needles x4, Pins, Collars - Plain x4, Thrust (with washers) x6
FACTORY LINKS kits contain all elements required for a full service of your swing arm. Our needle bearings, collars, pins and Oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.

52100 High Grade Steel Pins
Zinc Plated Steel Collars
Nitrile Butadiene Dust Seals
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,1128,506,230,109,45,,,,,,https://api.mybihr.com/medias/1049785-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTM1MzR8aW1hZ2UvanBlZ3xhRGczTDJobE15OHhOekkyTmpBNE9URTVOelU1T0M4eE1EUTVOemcxTFRGZk9EQXdWM2c0TURCSXwxMzA4NWUwYmVkYTc3MDg0MjVlMDhhY2MyNDRkYTM5MzA4MTgzOTAxMTYxNDk3MzRiOGU1NzY4MGRjN2ZhMjVi,,,,,,https://static.bihr.pro/eBihr/Pictures/FACTORY_LINKS-pictures.zip,Spain Warehouse (Parts)
1049775,,SAK-T-046,FACTORY LINKS,FACTO SWINGARM BEARING KIT,Kit de rodamientos de basculante FACTORY LINKS,112.00,92.56,55.54,3000000012086,1,8708809990,0,1,"<h4>Contains</h4><p>Dust Seals x4, Needles x4, Pins, Collars - Flanged x4, Pins, Collars - Plain x2, Washers x2</p><br><p>FACTORY LINKS kits contain all elements required for a full service of your swing arm. Our needle bearings, collars, pins and Oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.</p>
<ul>
<li>52100 High Grade Steel Pins</li>
<li>Zinc Plated Steel Collars</li>
<li>Nitrile Butadiene Dust Seals</li>
</ul>","Contains
Dust Seals x4, Needles x4, Pins, Collars - Flanged x4, Pins, Collars - Plain x2, Washers x2
FACTORY LINKS kits contain all elements required for a full service of your swing arm. Our needle bearings, collars, pins and Oil seals are specifically manufactured in order to reach OEM quality requirements, in terms of materials, dimension tolerances, hardness and surface roughness. This brings your bike back to its former condition as defined by the manufacturers.

52100 High Grade Steel Pins
Zinc Plated Steel Collars
Nitrile Butadiene Dust Seals
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,1020,351,229,106,42,,,,,,https://api.mybihr.com/medias/1049775-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY4ODh8aW1hZ2UvanBlZ3xhRFU0TDJnMU1pOHhOekkyTmpBNE56UXlPREV5Tmk4eE1EUTVOemMxTFRGZk9EQXdWM2c0TURCSXw0NmUxMTBiMGE2OTlmMDlmMGJkNjA2MmJmNTFiMTY5ODI0NzI4MGIyZDQ0MDBjNWM5OTcxZjUwYjgxYjNlYWE4,,,,,,https://static.bihr.pro/eBihr/Pictures/FACTORY_LINKS-pictures.zip,Spain Warehouse (Parts)
