PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (mm),Color,Diámetro Ø (mm),Especificaciones,Homologación,Número de filtro,Referencias OEM,Versión de filtro,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
1014523,10000022,HF124RC,HIFLOFILTRO,HIFLO FILTER OIL-RACING HF124RC,Filtro de aceite HIFLOFILTRO Racing - HF124RC,15.69,12.97,7.78,824225111743,0,8421230090,0,1,"<p><strong>Filtros de aceite de alto rendimiento ""RC"".</strong></p><p>&nbsp;</p><p>Desarrollados y fabricados con especificaciones muy elevadas para superar las exigencias de los motores de competici&oacute;n modernos y las condiciones de carrera extremas, la gama Hiflofiltro RC ofrece numerosas ventajas tanto para el usuario de carretera como para el corredor de pista.</p><p>&nbsp;</p><ul><li>Tuerca perforada en cruz de 17 mm que permite una f&aacute;cil extracci&oacute;n y bloqueo del cableado para su uso en competici&oacute;n.</li><li>Medio filtrante avanzado de tres fibras de alto rendimiento para una filtraci&oacute;n &oacute;ptima, alta capacidad y un mejor flujo de aceite. Capaz de capturar part&iacute;culas tan peque&ntilde;as como 5 micras.</li><li>Recipiente de acero resistente capaz de soportar presiones extremas.</li><li>V&aacute;lvula de alivio especial revestida de fibra o de goma para un sellado perfecto.</li><li>Compatible con todos los tipos de aceite, minerales y sint&eacute;ticos.</li></ul>","
Filtros de aceite de alto rendimiento ""RC"".
 
Desarrollados y fabricados con especificaciones muy elevadas para superar las exigencias de los motores de competición modernos y las condiciones de carrera extremas, la gama Hiflofiltro RC ofrece numerosas ventajas tanto para el usuario de carretera como para el corredor de pista.
 Tuerca perforada en cruz de 17 mm que permite una fácil extracción y bloqueo del cableado para su uso en competición.Medio filtrante avanzado de tres fibras de alto rendimiento para una filtración óptima, alta capacidad y un mejor flujo de aceite. Capaz de capturar partículas tan pequeñas como 5 micras.Recipiente de acero resistente capaz de soportar presiones extremas.Válvula de alivio especial revestida de fibra o de goma para un sellado perfecto.Compatible con todos los tipos de aceite, minerales y sintéticos.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. OIL FILTER,696,350,90,91,85,,,,,,,,RACING,https://api.mybihr.com/medias/1014523-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMzMzg5fGltYWdlL2pwZWd8YURJeUwyaGlZeTg0T1RJME5EWTNPREl5TmpJeUx6RXdNVFExTWpNdE1WODRNREJYZURnd01FZ3wyZGU0YmI3YjU1Nzc4MmUzYTQ3MWZmZTY1MDc1Y2M4NDgwZmY2NGVmMGZhODAyYzdhZWU3MGEzZjAxNDZmNTcx,https://api.mybihr.com/medias/1014523-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTEzNzV8aW1hZ2UvanBlZ3xhRGMwTDJobU5TODRPVEkwTkRZNE1ERTVNak13THpFd01UUTFNak10TWw4NE1EQlhlRGd3TUVnfDRmZjkyNDQwOTAxNTM3OTMwOWZiODE3OGEzNjMxNWUxODA4MDgwN2YzNzEzZGEzM2NjMjQ3YmE1MjcxOTA1Y2M,,,https://static.bihr.pro/eBihr/Pictures/HIFLOFILTRO-pictures.zip,Spain Warehouse (Parts)
1000457,18712,HF116,HIFLOFILTRO,HIFLO OIL FILTER HF116,Filtro de aceite HIFLOFILTRO - HF116,4.51,3.73,2.24,824225100044,475,8421230090,0,1,"<ul>
 <li>
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 </li>
 <li>
  The filters are composed of paper pulp, fiber and resin
 </li>
 <li>
  Processed to obtain the thickness and density to provide optimal filtering
 </li>
</ul>","
 
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 
 
  The filters are composed of paper pulp, fiber and resin
 
 
  Processed to obtain the thickness and density to provide optimal filtering
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. OIL FILTER,115,35,48,48,50,,,,,,,,Estándar,https://api.mybihr.com/medias/1000457-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMyOTk2fGltYWdlL2pwZWd8YUdGakwyZ3dOQzg0T1RBNU1UazFNelExT1RVd0x6RXdNREEwTlRjdE1WODRNREJYZURnd01FZ3w3ZmJhM2FmZWQ4OWUyNDkzYTc4OGFmYzI0YWU0ZDczODIxNDk1MTE2MDIwMTlmZDk3YTlmZjJkMDc1MTM4Y2Q0,https://api.mybihr.com/medias/1000457-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjI2ODN8aW1hZ2UvanBlZ3xhRGRrTDJnd1lpODRPVEE1TVRrMU5UUXlOVFU0THpFd01EQTBOVGN0TWw4NE1EQlhlRGd3TUVnfGIzNmRjNDdhODM1NDNjYjlhNWQ0OTk2MTI1ZWM0Y2EzOGM0YjA4NThmY2Q5ODA2MzhiM2E4MGMzYjhmMGMxMzM,https://api.mybihr.com/medias/1000457-3-800Wx800H?context=bWFzdGVyfHJvb3R8NjI2ODN8aW1hZ2UvanBlZ3xhRE5oTDJneE1pODRPVEE1TVRrMU56TTVNVFkyTHpFd01EQTBOVGN0TTE4NE1EQlhlRGd3TUVnfGE0ZGZlZDNmY2E3OTcwNTk2MWIwMmM4OGU1ZmNhZGM1NTZmNzE0ODAxN2E1ZjdiYjJlMGFhOGEyOGE2M2IyZDk,,https://static.bihr.pro/eBihr/Pictures/HIFLOFILTRO-pictures.zip,Spain Warehouse (Parts)
1000460,18715,HF126,HIFLOFILTRO,HIFLO OIL FILTER HF126,Filtro de aceite HIFLOFILTRO - HF126,8.28,6.84,4.10,824225110074,3,8421230090,0,1,"<ul>
 <li>
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 </li>
 <li>
  The filters are composed of paper pulp, fiber and resin
 </li>
 <li>
  Processed to obtain the thickness and density to provide optimal filtering
 </li>
</ul>","
 
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 
 
  The filters are composed of paper pulp, fiber and resin
 
 
  Processed to obtain the thickness and density to provide optimal filtering
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. OIL FILTER,544,160,80,80,85,,,,,,,,Estándar,https://api.mybihr.com/medias/1000460-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1NjA1fGltYWdlL2pwZWd8YURRMEwyaGtZUzg0T0RVek9EUTJPREU0T0RRMkx6RXdNREEwTmpBdE1WODRNREJYZURnd01FZ3w4MDljZjBhODcyYWYyMjk2MDMwYTIwMzU0NTAwMzYzODc0OGY2MzI1NWE3ODI0YTg0NDVjNzMyNzc0OTVmNjM1,https://api.mybihr.com/medias/1000460-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzEzNTN8aW1hZ2UvanBlZ3xhRFpsTDJoa01DODRPRFV6T0RRM01qRXlNRFl5THpFd01EQTBOakF0TWw4NE1EQlhlRGd3TUVnfDBhZDljMjQ3YzBiMzlmMzdkMWVjMjJiMzQ3ZTczMzgxOGEzODUxMGE4ODI4ZTRmY2RiNWRkZmIzNzgwMmI4MjI,https://api.mybihr.com/medias/1000460-3-800Wx800H?context=bWFzdGVyfHJvb3R8NzEzNTN8aW1hZ2UvanBlZ3xhR1V4TDJoak1pODRPRFV6T0RRM05qQTFNamM0THpFd01EQTBOakF0TTE4NE1EQlhlRGd3TUVnfDkwMGJiZTg5ZDM1OTFhZmNmNzk4M2I1NTUzNzY3YzZiOTFiMGE5MzExYzk3YjQ0ODZjNmYzNmU2YzlhMDA0MzI,,https://static.bihr.pro/eBihr/Pictures/HIFLOFILTRO-pictures.zip,Spain Warehouse (Parts)
1000465,18720,HF133,HIFLOFILTRO,HIFLO OIL FILTER HF133,Filtro de aceite HIFLOFILTRO - HF133,6.88,5.69,3.41,8242251101118,283,8421230090,0,1,"<ul>
 <li>
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 </li>
 <li>
  The filters are composed of paper pulp, fiber and resin
 </li>
 <li>
  Processed to obtain the thickness and density to provide optimal filtering
 </li>
</ul>","
 
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 
 
  The filters are composed of paper pulp, fiber and resin
 
 
  Processed to obtain the thickness and density to provide optimal filtering
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. OIL FILTER,448,120,80,80,70,,,,,,,,Estándar,https://api.mybihr.com/medias/1000465-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ1NTQzfGltYWdlL2pwZWd8YURFeUwyaGpOeTg0T1RBd09UWTBNRGc1T0RnMkx6RXdNREEwTmpVdE1WODRNREJYZURnd01FZ3xmNWNmOWU2OGRjYjdjMGFhODI4NDY4MmM5OGE3YzFhNWE2N2IzYTFhMzFjNjE4NWVhYjJmOGU3YzA0MzRhMTI4,https://api.mybihr.com/medias/1000465-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjkxNzR8aW1hZ2UvanBlZ3xhRFF5TDJoak1DODRPVEF3T1RZME1qZzJORGswTHpFd01EQTBOalV0TWw4NE1EQlhlRGd3TUVnfGZiNGQ2MDBmODVmMDdlYjNmZGVlOWI3ODlhMjEyYzQxZDBlZmQ5MGEzNzFmMDA2MDdmZGVjMzllMWE5YjYzNmM,https://api.mybihr.com/medias/1000465-3-800Wx800H?context=bWFzdGVyfHJvb3R8NjkxNzR8aW1hZ2UvanBlZ3xhRGN4TDJoaU9TODRPVEF3T1RZME5EZ3pNVEF5THpFd01EQTBOalV0TTE4NE1EQlhlRGd3TUVnfDU2YTkzNzJkNzUyYzRmZmU3YjEyZWQ5NTExODIzOTk0ZDI1Yzg5OTNjM2NkOGQ0Y2ZlMjU2Y2UyNDkyNWNlZDI,,https://static.bihr.pro/eBihr/Pictures/HIFLOFILTRO-pictures.zip,Spain Warehouse (Parts)
1000469,18724,HF138,HIFLOFILTRO,HIFLO OIL FILTER HF138,Filtro de aceite HIFLOFILTRO - HF138,9.76,8.07,4.84,8242251101590,1104,8421230090,0,1,"<ul>
 <li>
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 </li>
 <li>
  The filters are composed of paper pulp, fiber and resin
 </li>
 <li>
  Processed to obtain the thickness and density to provide optimal filtering
 </li>
</ul>","
 
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 
 
  The filters are composed of paper pulp, fiber and resin
 
 
  Processed to obtain the thickness and density to provide optimal filtering
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. OIL FILTER,422,234,75,75,75,,Negro,,,,,,Estándar,https://api.mybihr.com/medias/1000469-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMxMDk3fGltYWdlL2pwZWd8YUdSaEwyaGlZUzg0T1RJMk56RTVNelEwTmpjd0x6RXdNREEwTmprdE1WODRNREJYZURnd01FZ3w1MjViYWUxOTI4ZTg3N2JiOGMwYzBmMzMwOTM1MzkxMmM1NTdhYzA4MWFkZDlkYWQ2MGI0ZTdhOGQ3MDJjY2U3,https://api.mybihr.com/medias/1000469-3-800Wx800H?context=bWFzdGVyfHJvb3R8NTkzNDZ8aW1hZ2UvanBlZ3xhREF4TDJoak1pODRPVEkyTnpFNU5UYzBNRFEyTHpFd01EQTBOamt0TTE4NE1EQlhlRGd3TUVnfGNmOTE5ODdmNmZlOGNjZWUzMTIzMTExOTFlMTZmMjcyN2U1Y2MyOThjZDE5MDM3NjE4YjdkM2FhYzJmOGY4YTc,,,https://static.bihr.pro/eBihr/Pictures/HIFLOFILTRO-pictures.zip,Spain Warehouse (Parts)
1000470,34414,HF138RC,HIFLOFILTRO,HIFLO OIL FILTER HF138RC,Filtro de aceite HIFLOFILTRO Racing - HF138RC,12.89,10.65,6.39,8242251115696,172,8421230090,0,1,"<ul>
 <li>
  The new range of Hiflofiltro RC oil filters has been developed to meet the rigorous requirements of high level racing, offering unparalleled performance, Hiflofiltro RC is the ultimate performance oil filter.
 </li>
 <li>
  Hiflofiltro are the only TÜV certified filters that ensure high quality, performance and compatibility with vehicle warranties.
 </li>
 <li>
  17 mm drilled nut for easy installation and disassembly
 </li>
 <li>
  Robust steel box
 </li>
 <li>
  Improved oil flow rate
 </li>
 <li>
  Optimal filtration
 </li>
 <li>
  Street or race use
 </li>
 <li>
  Compatible with all types of oil
 </li>
</ul>","
 
  The new range of Hiflofiltro RC oil filters has been developed to meet the rigorous requirements of high level racing, offering unparalleled performance, Hiflofiltro RC is the ultimate performance oil filter.
 
 
  Hiflofiltro are the only TÜV certified filters that ensure high quality, performance and compatibility with vehicle warranties.
 
 
  17 mm drilled nut for easy installation and disassembly
 
 
  Robust steel box
 
 
  Improved oil flow rate
 
 
  Optimal filtration
 
 
  Street or race use
 
 
  Compatible with all types of oil
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. OIL FILTER,456,247,75,76,80,,Negro,,,,,,RACING,https://api.mybihr.com/medias/1000470-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM2ODk5fGltYWdlL2pwZWd8YURNMEwyZzFaQzg0T1RNME9EQTNOak16T1RVd0x6RXdNREEwTnpBdE1WODRNREJYZURnd01FZ3xkZjdjMzhkNjdjZTE1ZDJmMTU3OTEwODk5MWUzYmEwZjMzMzBiMWNjODAyZmQ4MGZmODg3OGU0YjU1ZDYyY2Rl,https://api.mybihr.com/medias/1000470-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTg1OTZ8aW1hZ2UvanBlZ3xhRFkwTDJnMU5pODRPVE0wT0RBM09ETXdOVFU0THpFd01EQTBOekF0TWw4NE1EQlhlRGd3TUVnfDgzYjc2NjcyNGNkYTFhNmZhMmZkMjk0NDYwNjY4OWVmNzg2MTJhNzMyN2QzNjkyZTY1YTBkNTgzM2EzMzkzODk,https://api.mybihr.com/medias/1000470-3-800Wx800H?context=bWFzdGVyfHJvb3R8MTAzMTA3fGltYWdlL2pwZWd8YUdaaUwyZ3dOeTg0T1RNME9EQTRNREkzTVRZMkx6RXdNREEwTnpBdE0xODRNREJYZURnd01FZ3xkNzQwNDM0NzY3YTgxNWI3ODM4NTM5ZWY2NmNiMGQ2MjljNDljMjNjYjU4MjQ0OTZjN2ViZDU4NDg5NmY1YjNk,,https://static.bihr.pro/eBihr/Pictures/HIFLOFILTRO-pictures.zip,Spain Warehouse (Parts)
1000473,18727,HF142,HIFLOFILTRO,HIFLO OIL FILTER HF142,Filtro de aceite HIFLOFILTRO - HF142,10.15,8.39,5.03,8242251101804,2,8421230090,0,1,"<ul>
 <li>
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 </li>
 <li>
  The filters are composed of paper pulp, fiber and resin
 </li>
 <li>
  Processed to obtain the thickness and density to provide optimal filtering
 </li>
</ul>","
 
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 
 
  The filters are composed of paper pulp, fiber and resin
 
 
  Processed to obtain the thickness and density to provide optimal filtering
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. OIL FILTER,93,40,41,43,53,,,,,,,,Estándar,https://api.mybihr.com/medias/1000473-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQwNjAxfGltYWdlL2pwZWd8YUdZNEwyZzNaaTg0T1RJMk56STVNREV4TWpNd0x6RXdNREEwTnpNdE1WODRNREJYZURnd01FZ3w5MTU1YTZlZTY1OTU5ZGJlZTFhOGZmYTdhYzU0MDVlMjQ4NjYwYTkyYmRjNzZiZTJiMTUyZDNlNGI4OGUzNTQ1,https://api.mybihr.com/medias/1000473-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjMxMDJ8aW1hZ2UvanBlZ3xhRE5pTDJnM09TODRPVEkyTnpJNU1qQTNPRE00THpFd01EQTBOek10TWw4NE1EQlhlRGd3TUVnfDM4M2EzYTQ0YTRhZDRkNmUyMDk2ZWQ4NzcyNDg5NTE3MDE1NWE2ODFjYjhkMDA1OTk1NDI2MzE0YjczZjYyMzU,https://api.mybihr.com/medias/1000473-3-800Wx800H?context=bWFzdGVyfHJvb3R8NjMxMDJ8aW1hZ2UvanBlZ3xhRFpoTDJnM01pODRPVEkyTnpJNU5EQTBORFEyTHpFd01EQTBOek10TTE4NE1EQlhlRGd3TUVnfDgxM2UxNzZhYTRiN2E1OGJlODIxOTBhOTYyYjE4YTdmYWQ2OGMyM2UzODM1NjBjZjc0ZjQ5NmE4NjE4MWI5NzE,,https://static.bihr.pro/eBihr/Pictures/HIFLOFILTRO-pictures.zip,Spain Warehouse (Parts)
1000540,18788,HF567,HIFLOFILTRO,HIFLO OIL FILTER HF567,Filtro de aceite HIFLOFILTRO - HF567,14.65,12.11,7.27,824225111538,0,8421230090,0,1,"<ul>
 <li>
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 </li>
 <li>
  The filters are composed of paper pulp, fiber and resin
 </li>
 <li>
  Processed to obtain the thickness and density to provide optimal filtering
 </li>
</ul>","
 
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 
 
  The filters are composed of paper pulp, fiber and resin
 
 
  Processed to obtain the thickness and density to provide optimal filtering
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. OIL FILTER,250,51,100,50,50,,,,,,,,Estándar,https://api.mybihr.com/medias/800Wx800H-1000540-1.jpg?context=bWFzdGVyfHJvb3R8MTE3NTE2fGltYWdlL2pwZWd8YUdNMUwyZzNZeTgzT1RjMk1UazNNVEV4T0RFeE1DODRNREJYZURnd01FaGZNVEF3TURVME1DMHhMbXB3Wnd8NTNkMjI2MWJhNmJmMWZjYjgxYTQ3NjQ2MmQ1ZTVlOTI3MGEzN2VkMTJmNDg1MTA0ZDAxYzJjY2U3OWU5MzE5NQ,https://api.mybihr.com/medias/800Wx800H-1000540-2.jpg?context=bWFzdGVyfHJvb3R8MTA0NTE4fGltYWdlL2pwZWd8YURrMEwyZzRNeTgzT1RjMk1UazNNVE14TkRjeE9DODRNREJYZURnd01FaGZNVEF3TURVME1DMHlMbXB3Wnd8YTg5N2YzNzljY2JmNDkyMGI2NDViMDExOTZiMGY0OGNjMzA2Yzg4MWJkYjM2ZmFmN2ZkZWNhNjFlNDkyODQzNQ,,,https://static.bihr.pro/eBihr/Pictures/HIFLOFILTRO-pictures.zip,Spain Warehouse (Parts)
1000478,18732,HF147,HIFLOFILTRO,HIFLO OIL FILTER HF147,Filtro de aceite HIFLOFILTRO - HF147,10.41,8.60,5.16,8242251102344,466,8421230090,0,1,"<ul>
 <li>
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 </li>
 <li>
  The filters are composed of paper pulp, fiber and resin
 </li>
 <li>
  Processed to obtain the thickness and density to provide optimal filtering
 </li>
</ul>","
 
  Contributing to the longevity of motors, filters HIFLOFILTRO are recognized for the choice of materials and build quality filter elements.
 
 
  The filters are composed of paper pulp, fiber and resin
 
 
  Processed to obtain the thickness and density to provide optimal filtering
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. OIL FILTER,267,200,71,71,53,,Negro,,,,,,Estándar,https://api.mybihr.com/medias/1000478-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTIwMzEwfGltYWdlL2pwZWd8YURjMUwyZ3pNQzg0T1RNNE5EY3hOREkwTURNd0x6RXdNREEwTnpndE1WODRNREJYZURnd01FZ3wxMzQ4MzcwYzJiNjM0ODVmMTIxMGJhZTRmZTQwMGJiZDdhZDEyOWM4YWM4NzkzZTI0OTYwMmIwN2VlZjdjNzc0,https://api.mybihr.com/medias/1000478-2-800Wx800H?context=bWFzdGVyfHJvb3R8NTc3MzN8aW1hZ2UvanBlZ3xhR0UxTDJneU9TODRPVE00TkRjeE5qSXdOak00THpFd01EQTBOemd0TWw4NE1EQlhlRGd3TUVnfDhiMjM0YWNmYTUwZjk3Y2U1M2QyNDA3NDA0YTE3MDMyN2I4ZTYyMDVjZTc1OTg2MzYyMjAzOWI0OWYwNmY0ZWE,https://api.mybihr.com/medias/1000478-3-800Wx800H?context=bWFzdGVyfHJvb3R8NTc3MzN8aW1hZ2UvanBlZ3xhR1U0TDJneU1pODRPVE00TkRjeE9ERTNNalEyTHpFd01EQTBOemd0TTE4NE1EQlhlRGd3TUVnfDBhNGU0MzVjOWFlMjdkY2JhNzgzMWUzMGVjZTg4MThmNmQ2YzA2NjYxY2RhMmQ5OWYzMjdhZjRjYWZkNjRiMDU,,https://static.bihr.pro/eBihr/Pictures/HIFLOFILTRO-pictures.zip,Spain Warehouse (Parts)
1014521,7906730,HF140,HIFLOFILTRO,HIFLO OIL FILTER HF140,Filtro de aceite HIFLOFILTRO - HF140,5.77,4.77,2.86,8242251105864,247,8421230090,0,1,"<ul>
 <li>
  <strong>
   Filtros de aceite de recambio OE
  </strong>
 </li>
 <li>
  Hiflofiltro es el primer y único filtro de aceite para motocicletas aprobado por la TÜV. Construidos con los mejores materiales disponibles, todos los filtros de aceite Hiflofiltro cumplen o superan los niveles de rendimiento del equipo original. Disponible para modelos de calle, scooter, motocross, enduro, ATV, UTV, fueraborda marino y motos de nieve.
 </li>
</ul>","
 
  
   Filtros de aceite de recambio OE
  
 
 
  Hiflofiltro es el primer y único filtro de aceite para motocicletas aprobado por la TÜV. Construidos con los mejores materiales disponibles, todos los filtros de aceite Hiflofiltro cumplen o superan los niveles de rendimiento del equipo original. Disponible para modelos de calle, scooter, motocross, enduro, ATV, UTV, fueraborda marino y motos de nieve.
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. OIL FILTER,103,40,43,45,53,,,,,,,,Estándar,https://api.mybihr.com/medias/1014521-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ2Nzk2fGltYWdlL2pwZWd8YUdObEwyZzVaUzg0T1RBd09EZzJPRGc0TkRjNEx6RXdNVFExTWpFdE1WODRNREJYZURnd01FZ3w0ZGVmMGYwZjJkYWZiYTQ0ZDQwZTVkOWE2NzkxNzMzNTI1YzhhYWQzYzA4ZmFhMDYwOWJiNTFhMjRmOGE3NDRj,https://api.mybihr.com/medias/1014521-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjAyMDB8aW1hZ2UvanBlZ3xhRFJoTDJobFpDODRPVEF3T0RnM01EZzFNRGcyTHpFd01UUTFNakV0TWw4NE1EQlhlRGd3TUVnfDFjOWRjMjQyNTk0MjdlNzYxYmE2YTAzMjY5NTA1OTYyY2Y0MmZiNTNlZTUwNDdhNmNiZjE3ZjVjMjU5MDQ3YTQ,,,https://static.bihr.pro/eBihr/Pictures/HIFLOFILTRO-pictures.zip,Spain Warehouse (Parts)
