PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1011044,124951,H071,HINSON,HINSO CLUTCH INNER HUB,Maza de embrague HINSON - Yamaha WR125 (99-03) / YZ125 (93-10),423.50,350.00,245.00,4000304002010,0,8483608090,0,1,"<p><strong>Maza de embrague Billetproof</strong></p>
<ul>
	<li>Mejora el rendimiento y la vida útil del embrague</li>
	<li>Mejora la disipación del calor</li>
	<li>Mecanizado con precisión a partir de un bloque de aluminio T-6 de calidad aeronáutica con tolerancias aeroespaciales, y con un revestimiento duro que le confiere una resistencia al desgaste cinco veces superior a la de serie* (*con un mantenimiento adecuado)</li>
	<li>Permite que el conjunto del embrague gire con más precisión, generando menos calor cuando el embrague está desembragado</li>
	<li>Cuando se utiliza con la campana de embrague y el plato de presión de Hinson Clutch Components, ayuda a eliminar las vibraciones del embrague</li>
</ul>
","
Maza de embrague Billetproof

	Mejora el rendimiento y la vida útil del embrague
	Mejora la disipación del calor
	Mecanizado con precisión a partir de un bloque de aluminio T-6 de calidad aeronáutica con tolerancias aeroespaciales, y con un revestimiento duro que le confiere una resistencia al desgaste cinco veces superior a la de serie* (*con un mantenimiento adecuado)
	Permite que el conjunto del embrague gire con más precisión, generando menos calor cuando el embrague está desembragado
	Cuando se utiliza con la campana de embrague y el plato de presión de Hinson Clutch Components, ayuda a eliminar las vibraciones del embrague

",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2752,440,175,185,85,,,https://api.mybihr.com/medias/800Wx800H-1011044-1.jpg?context=bWFzdGVyfHJvb3R8NjM0NzB8aW1hZ2UvanBlZ3xhRFUwTDJobE9TODJNams1T1RVME1ESXdNelUxTUM4NE1EQlhlRGd3TUVoZk1UQXhNVEEwTkMweExtcHdad3w1YThiNTQxMTI1ZTAxNGE0OGRjMGM2N2NiNzE2ZGMzYTkyN2VlYzMyOTA3ZWU5NTA1OGUwMGNjNjI3OTQ0OGJl,,,https://static.bihr.pro/eBihr/Pictures/HINSON-pictures.zip,Spain Warehouse (Parts)
1109509,,SP073-7-001,HINSON,HINSO STEEL PLATE KIT (SET OF 7),Kit de separadores de embrague HINSON,96.80,80.00,56.00,SP073-7-001,0,8483608090,0,1,"<p>Hinson Clutches are championship proven by almost every major factory team and rider in the world, including Eli Tomac, Ken Roczen, Cooper Webb, Tim Gajser, Jeffrey Herlings, Jeremy Seewer, Chase Sexton, &amp; Joey Savatgy.</p>
<ul>
<li>Provide optimum hook up with minimum heat build up</li>
<li>Exceptional production tolerances and flatness</li>
<li>Developed with and recommended to enhance the performance of Hinson Clutch Baskets, Inner Hubs, and Pressure Plates</li>
<li>Manufactured to OE specs using high quality materials</li>
<li>Can be used with OE baskets, inner hubs, &amp; pressure plates* (*some models may vary)</li>
<li>Made in the USA.</li>
</ul>","
Hinson Clutches are championship proven by almost every major factory team and rider in the world, including Eli Tomac, Ken Roczen, Cooper Webb, Tim Gajser, Jeffrey Herlings, Jeremy Seewer, Chase Sexton, & Joey Savatgy.

Provide optimum hook up with minimum heat build up
Exceptional production tolerances and flatness
Developed with and recommended to enhance the performance of Hinson Clutch Baskets, Inner Hubs, and Pressure Plates
Manufactured to OE specs using high quality materials
Can be used with OE baskets, inner hubs, & pressure plates* (*some models may vary)
Made in the USA.
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,1885,618,208,171,53,,,https://api.mybihr.com/medias/1109509-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njc0MDN8aW1hZ2UvanBlZ3xhR1ZpTDJnNE1TOHhNakUyTlRNek56ZzBNVFk1TkM4eE1UQTVOVEE1TFRGZk9EQXdWM2c0TURCSXxmZTk3NzZiYzExYjBhNjQ1Y2EzM2U2ODYyYjU5MWU4NDc5YzFlMjJmZTJjM2VlMDhmY2RmYWJiNDQ3MjZjZWY5,,,https://static.bihr.pro/eBihr/Pictures/HINSON-pictures.zip,Spain Warehouse (Parts)
1121001,,H616-PP-2301,HINSON,HINSO PLATE PRESSURE,Plato de presión HINSON aluminio,271.40,224.30,157.01,H616-PP-2301,1,8483608090,0,1,"<p>La larga y estrecha colaboración con los mejores pilotos de los equipos más prestigiosos ha permitido a Hinson desarrollar una gama completa de discos de embrague, bujes y juntas.</p>
<p>Cortados a partir de un bloque de aluminio de alta calidad, se someten a un tratamiento térmico seguido de anodización, lo que les confiere una dureza y una resistencia mejor adaptadas a las condiciones extremas del MX y el SX.</p>
<p>Puestos a prueba durante los arranques y la absorción de impactos en los saltos, son mucho más resistentes al desgaste y a las marcas provocadas por el embrague y los discos de fricción.</p>
<ul>
	<li>Mejor sensación de embrague</li>
	<li>Aumenta la vida útil del embrague</li>
	<li>Mejora la disipación del calor</li>
	<li>5 veces más resistente que el original</li>
	<li>Ultraligero</li>
</ul>
","
La larga y estrecha colaboración con los mejores pilotos de los equipos más prestigiosos ha permitido a Hinson desarrollar una gama completa de discos de embrague, bujes y juntas.

Cortados a partir de un bloque de aluminio de alta calidad, se someten a un tratamiento térmico seguido de anodización, lo que les confiere una dureza y una resistencia mejor adaptadas a las condiciones extremas del MX y el SX.

Puestos a prueba durante los arranques y la absorción de impactos en los saltos, son mucho más resistentes al desgaste y a las marcas provocadas por el embrague y los discos de fricción.

	Mejor sensación de embrague
	Aumenta la vida útil del embrague
	Mejora la disipación del calor
	5 veces más resistente que el original
	Ultraligero

",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2612,363,184,171,83,,,https://api.mybihr.com/medias/800Wx800H-1121001-1.jpg?context=bWFzdGVyfHJvb3R8NzEyOTJ8aW1hZ2UvanBlZ3xhR1V4TDJnMlpTOHpNRFU1TXpjd05UWXdOekU1T0M4NE1EQlhlRGd3TUVoZk1URXlNVEF3TVMweExtcHdad3w2YmM0OGFiMGJkZDdlYTU2OTA4YTA3ZjI3ZjZlMDc5Y2YxN2YzYjcxNmMxYjhiMmM1N2RhYThlNjA3MDExMjVj,,,https://static.bihr.pro/eBihr/Pictures/HINSON-pictures.zip,Spain Warehouse (Parts)
1122743,,FS616-8-2301,HINSON,HINSO CLUTCH PLATE KIT FIBER/STEEL,Juego de discos de embrague HINSON,254.10,210.00,147.00,FS616-8-2301,1,8483608090,0,1,"<ul>
	<li>Se puede utilizar con campanas, bujes interiores y placas de presión de Equipo Original</li>
	<li>Desarrollados y recomendados para mejorar el rendimiento de las campanas, bujes interiores y placas de presión de los embragues Hinson</li>
	<li>Proporcionan un enganche óptimo con una acumulación mínima de calor</li>
	<li>Tolerancias de producción y planitud excepcionales</li>
	<li>Todas los discos de fibra utilizan materiales orgánicos no abrasivos para evitar dañar el resto del motor a medida que los materiales de los discos se descomponen y circulan por el motor mediante aceite fabricado según las especificaciones de Equipo Original utilizando materiales de alta calidad.</li>
</ul>
","
	Se puede utilizar con campanas, bujes interiores y placas de presión de Equipo Original
	Desarrollados y recomendados para mejorar el rendimiento de las campanas, bujes interiores y placas de presión de los embragues Hinson
	Proporcionan un enganche óptimo con una acumulación mínima de calor
	Tolerancias de producción y planitud excepcionales
	Todas los discos de fibra utilizan materiales orgánicos no abrasivos para evitar dañar el resto del motor a medida que los materiales de los discos se descomponen y circulan por el motor mediante aceite fabricado según las especificaciones de Equipo Original utilizando materiales de alta calidad.

",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,1775,1008,203,165,53,,,https://api.mybihr.com/medias/800Wx800H-1122743-1.jpg?context=bWFzdGVyfHJvb3R8Mjk2OTg5fGltYWdlL2pwZWd8YURsaEwyZzBaaTg0TVRVeU1qZ3pNRE14TVRRMU5DODRNREJYZURnd01FaGZNVEV5TWpjME15MHhMbXB3Wnd8ZjU5YmFmNzcyN2YzMzFkNTVhNWY4OTllZmRiNGJhMzhjYTJlODhkMzhhM2IwNDMwMzRiMzhjNmI4ZjQyN2JkMg,,,https://static.bihr.pro/eBihr/Pictures/HINSON-pictures.zip,Spain Warehouse (Parts)
1011048,124956,H198,HINSON,HINSO CLUTCH INNER HUB,Maza de embrague HINSON - Yamaha WR450F (03-10) / YZ450F (03-11),423.50,350.00,245.00,4000304007015,0,8483608090,0,1,"<p><strong>Maza de embrague&nbsp;Billetproof</strong></p>
<ul>
<li>Los embragues Hinson han sido probados en campeonatos por casi todos los grandes equipos de f&aacute;brica y pilotos del mundo, como Eli Tomac, Ken Roczen, Cooper Webb, Tim Gajser, Jeffrey Herlings, Jeremy Seewer, Chase Sexton y Joey Savatgy.</li>
<li>Mejora el rendimiento y la vida &uacute;til del embrague</li>
<li>Mejora la disipaci&oacute;n del calor</li>
<li>Mecanizado con precisi&oacute;n a partir de una pieza de aluminio billet T-6 de calidad aeron&aacute;utica con tolerancias aeroespaciales, y con revestimiento duro para una resistencia al desgaste cinco veces superior a la de serie* (*con el mantenimiento adecuado)</li>
<li>Permite que el conjunto del embrague gire con m&aacute;s precisi&oacute;n, lo que reduce el calor cuando el embrague est&aacute; desembragado</li>
<li>Cuando se utiliza con la campana de embrague y el plato de presi&oacute;n de Hinson Clutch Components, ayuda a eliminar la vibraci&oacute;n del embrague</li>
</ul>","
Maza de embrague Billetproof

Los embragues Hinson han sido probados en campeonatos por casi todos los grandes equipos de fábrica y pilotos del mundo, como Eli Tomac, Ken Roczen, Cooper Webb, Tim Gajser, Jeffrey Herlings, Jeremy Seewer, Chase Sexton y Joey Savatgy.
Mejora el rendimiento y la vida útil del embrague
Mejora la disipación del calor
Mecanizado con precisión a partir de una pieza de aluminio billet T-6 de calidad aeronáutica con tolerancias aeroespaciales, y con revestimiento duro para una resistencia al desgaste cinco veces superior a la de serie* (*con el mantenimiento adecuado)
Permite que el conjunto del embrague gire con más precisión, lo que reduce el calor cuando el embrague está desembragado
Cuando se utiliza con la campana de embrague y el plato de presión de Hinson Clutch Components, ayuda a eliminar la vibración del embrague
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2752,585,175,185,85,,,https://api.mybihr.com/medias/800Wx800H-1011048-1.jpg?context=bWFzdGVyfHJvb3R8NzMzMzZ8aW1hZ2UvanBlZ3xhRGhsTDJobU1DODJNekEyTURVeE5EQTNPRGMxTUM4NE1EQlhlRGd3TUVoZk1UQXhNVEEwT0MweExtcHdad3w2YTY2OTUyNTlhNTU2NzhhZGEwY2IyOGVjZTBiYzMyODRkZDE4MDEwZjY4OTBmNTI3ODdkYjlmODVkZmZmNWYz,https://api.mybihr.com/medias/800Wx800H-1011048-2.jpg?context=bWFzdGVyfHJvb3R8NTkwMTh8aW1hZ2UvanBlZ3xhRFptTDJobVlTODJNekEyTURVeE5ETTBNRGc1TkM4NE1EQlhlRGd3TUVoZk1UQXhNVEEwT0MweUxtcHdad3wzMTgwNjM5MWE1NzhlM2RjN2Y2ZTE3MjJjNTFmOTBhM2UzYmZiYjIxYmZlODY5Nzc3MWI5NzE4NGM4YjE5ZTg2,,https://static.bihr.pro/eBihr/Pictures/HINSON-pictures.zip,Spain Warehouse (Parts)
1109502,,FP217-8-001,HINSON,HINSO FIBRE PLATE KIT SET OF 8,Kit de discos de embrague HINSON,145.20,120.00,84.00,FP217-8-001,0,8483608090,0,1,"<p>Hinson Clutches are championship proven by almost every major factory team and rider in the world, including Eli Tomac, Ken Roczen, Cooper Webb, Tim Gajser, Jeffrey Herlings, Jeremy Seewer, Chase Sexton, &amp; Joey Savatgy.</p>
<ul>
<li>Provide optimum hook up with minimum heat build up</li>
<li>Exceptional production tolerances and flatness</li>
<li>Fiber plates use organic non-abrasive materials to avoid damage to rest of motor as plate materials break down and are circulated through engine by oil.</li>
<li>Developed with and recommended to enhance the performance of Hinson Clutch Baskets, Inner Hubs, and Pressure Plates</li>
<li>Manufactured to OE specs using high quality materials</li>
<li>Can be used with OE baskets, inner hubs, &amp; pressure plates* (*some models may vary)</li>
</ul>","
Hinson Clutches are championship proven by almost every major factory team and rider in the world, including Eli Tomac, Ken Roczen, Cooper Webb, Tim Gajser, Jeffrey Herlings, Jeremy Seewer, Chase Sexton, & Joey Savatgy.

Provide optimum hook up with minimum heat build up
Exceptional production tolerances and flatness
Fiber plates use organic non-abrasive materials to avoid damage to rest of motor as plate materials break down and are circulated through engine by oil.
Developed with and recommended to enhance the performance of Hinson Clutch Baskets, Inner Hubs, and Pressure Plates
Manufactured to OE specs using high quality materials
Can be used with OE baskets, inner hubs, & pressure plates* (*some models may vary)
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,1810,311,207,165,53,,,https://api.mybihr.com/medias/1109502-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODI5OTd8aW1hZ2UvanBlZ3xhR1V6TDJnd015OHhNakUyTlRNek5qSTJPRGd6TUM4eE1UQTVOVEF5TFRGZk9EQXdWM2c0TURCSXxmNThhMDA5NTk0OGUzYWVhMzkzYjZiZWNjZDlmOTQ5NTY2OWM1YTk4YTEyNDVkZjYxYWY1ZTA2YzYwODA0NDcw,,,https://static.bihr.pro/eBihr/Pictures/HINSON-pictures.zip,Spain Warehouse (Parts)
1011045,124950,H073,HINSON,HINSO CLUTCH INNER HUB,Maza de embrague HINSON - Yamaha YZ250X (16-20),423.50,350.00,245.00,H073,1,8483608090,0,1,"<p><strong>Maza de embrague&nbsp;Billetproof</strong></p>
<ul>
<li>Los embragues Hinson han sido probados en campeonatos por casi todos los grandes equipos de f&aacute;brica y pilotos del mundo, como Eli Tomac, Ken Roczen, Cooper Webb, Tim Gajser, Jeffrey Herlings, Jeremy Seewer, Chase Sexton y Joey Savatgy.</li>
<li>Mejora el rendimiento y la vida &uacute;til del embrague</li>
<li>Mejora la disipaci&oacute;n del calor</li>
<li>Mecanizado con precisi&oacute;n a partir de una pieza de aluminio billet T-6 de calidad aeron&aacute;utica con tolerancias aeroespaciales, y con revestimiento duro para una resistencia al desgaste cinco veces superior a la de serie* (*con el mantenimiento adecuado)</li>
<li>Permite que el conjunto del embrague gire con m&aacute;s precisi&oacute;n, lo que reduce el calor cuando el embrague est&aacute; desembragado</li>
<li>Cuando se utiliza con la campana de embrague y el plato de presi&oacute;n de Hinson Clutch Components, ayuda a eliminar la vibraci&oacute;n del embrague</li>
</ul>","
Maza de embrague Billetproof

Los embragues Hinson han sido probados en campeonatos por casi todos los grandes equipos de fábrica y pilotos del mundo, como Eli Tomac, Ken Roczen, Cooper Webb, Tim Gajser, Jeffrey Herlings, Jeremy Seewer, Chase Sexton y Joey Savatgy.
Mejora el rendimiento y la vida útil del embrague
Mejora la disipación del calor
Mecanizado con precisión a partir de una pieza de aluminio billet T-6 de calidad aeronáutica con tolerancias aeroespaciales, y con revestimiento duro para una resistencia al desgaste cinco veces superior a la de serie* (*con el mantenimiento adecuado)
Permite que el conjunto del embrague gire con más precisión, lo que reduce el calor cuando el embrague está desembragado
Cuando se utiliza con la campana de embrague y el plato de presión de Hinson Clutch Components, ayuda a eliminar la vibración del embrague
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2628,530,174,182,83,,,https://api.mybihr.com/medias/800Wx800H-1011045-1.jpg?context=bWFzdGVyfHJvb3R8NzMzMzZ8aW1hZ2UvanBlZ3xhRFpsTDJneU5pODJNekEyTURVeE1qTXdPVEkzT0M4NE1EQlhlRGd3TUVoZk1UQXhNVEEwTlMweExtcHdad3w2MmRlZWUyYzRjNGIyNjVmZDdlMmE4Zjg3M2UwYzJkOTEzZTNiNWMyMzZjNzFhNDMwNjFkYWZkYmFhN2I5MjVh,https://api.mybihr.com/medias/800Wx800H-1011045-2.jpg?context=bWFzdGVyfHJvb3R8NTkwMTh8aW1hZ2UvanBlZ3xhR1ptTDJneVpDODJNekEyTURVeE1qVTNNVFF5TWk4NE1EQlhlRGd3TUVoZk1UQXhNVEEwTlMweUxtcHdad3wzMWFhNWU5MDNjMWExY2ZhYjRjNDlmZGM0ODgzYjBkZTNmOGQ4ODBlMmNmZjY4MzMyZGIzYjUyZmU3ZTU2OWNm,,https://static.bihr.pro/eBihr/Pictures/HINSON-pictures.zip,Spain Warehouse (Parts)
1010985,124916,H240,HINSON,HINSO BASKET CLUTCH,Campana de embrague HINSON aluminio - Yamaha YZ125,429.55,355.00,248.50,4000104021013,0,8483608090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html ; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left ; margin:0pt 0pt 0pt 0pt ; }.csA7555675{color:#000 ; background-color:transparent ; font-weight:normal ; font-style:normal ; }.cs4FC7BF42{text-align:left ; margin:0pt 0pt 0pt 0pt ; list-style-type:disc ; color:#000 ; background-color:transparent ; font-weight:normal ; font-style:normal ; }</style> </head> <body> <p>Hinson clutch components are developed and manufactured in the United States and work to improve the performance of your clutch. They offer a better riding feel as well as better resistance during intensive use. </p><p> </p><ul> <li>Clutch gasket </li><li>More resistant than the first set-up </li><li>Delivered as a single unit </li><li>Designed for competition preparation </li><li>Hinson components set a benchmark in terms of clutches, which is why numerous engines are equipped with them in the MX, SX and Enduro fields.</li></ul> </body> </html>","       Hinson clutch components are developed and manufactured in the United States and work to improve the performance of your clutch. They offer a better riding feel as well as better resistance during intensive use.   Clutch gasket More resistant than the first set-up Delivered as a single unit Designed for competition preparation Hinson components set a benchmark in terms of clutches, which is why numerous engines are equipped with them in the MX, SX and Enduro fields.  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2540,595,180,170,83,,,https://api.mybihr.com/medias/800Wx800H-1010985-1.jpg?context=bWFzdGVyfHJvb3R8OTMzOTR8aW1hZ2UvanBlZ3xhRFZrTDJnMFppODRNVGN5TXpRNU5EazRPVGcxTkM4NE1EQlhlRGd3TUVoZk1UQXhNRGs0TlMweExtcHdad3w4ZDg5OTI1ZGU4OGY2NDExYjdkOTJkNjA5NTczODJkZGYwODc4NmRjY2Y4MjRhZDA1MzFkMDAwYTc3NjA0ZWRl,https://api.mybihr.com/medias/800Wx800H-1010985-2.jpg?context=bWFzdGVyfHJvb3R8NzgxOTN8aW1hZ2UvanBlZ3xhREpsTDJnd01pODRNVGN5TXpRNU5USTFNVGs1T0M4NE1EQlhlRGd3TUVoZk1UQXhNRGs0TlMweUxtcHdad3w5NTBlMzIzYjljMzY0OGQ4Y2U4YmQ0MjVlYWFlY2M3Y2VmMDQ2N2RjZjhkNjRjMTllNDZjYTI0MDhjNTlhMGNl,,https://static.bihr.pro/eBihr/Pictures/HINSON-pictures.zip,Spain Warehouse (Parts)
1109508,,SP071-7-001,HINSON,HINSO STEEL PLATE KIT (SET OF 7),Kit de separadores de embrague HINSON,96.80,80.00,56.00,SP071-7-001,0,8483608090,0,1,"<p>Hinson Clutches are championship proven by almost every major factory team and rider in the world, including Eli Tomac, Ken Roczen, Cooper Webb, Tim Gajser, Jeffrey Herlings, Jeremy Seewer, Chase Sexton, &amp; Joey Savatgy.</p>
<ul>
<li>Provide optimum hook up with minimum heat build up</li>
<li>Exceptional production tolerances and flatness</li>
<li>Developed with and recommended to enhance the performance of Hinson Clutch Baskets, Inner Hubs, and Pressure Plates</li>
<li>Manufactured to OE specs using high quality materials</li>
<li>Can be used with OE baskets, inner hubs, &amp; pressure plates* (*some models may vary)</li>
<li>Made in the USA.</li>
</ul>","
Hinson Clutches are championship proven by almost every major factory team and rider in the world, including Eli Tomac, Ken Roczen, Cooper Webb, Tim Gajser, Jeffrey Herlings, Jeremy Seewer, Chase Sexton, & Joey Savatgy.

Provide optimum hook up with minimum heat build up
Exceptional production tolerances and flatness
Developed with and recommended to enhance the performance of Hinson Clutch Baskets, Inner Hubs, and Pressure Plates
Manufactured to OE specs using high quality materials
Can be used with OE baskets, inner hubs, & pressure plates* (*some models may vary)
Made in the USA.
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2714,782,189,173,83,,,https://api.mybihr.com/medias/1109508-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njc0MDN8aW1hZ2UvanBlZ3xhREZpTDJnM1lpOHhNakUyTlRNek56WTBOVEE0Tmk4eE1UQTVOVEE0TFRGZk9EQXdWM2c0TURCSXw1ZDBiOTBiMGZiYzczODNmMzExZjU5YmFkMjEwMjg3MjRmZjRhNjg2NTFlMThiNjM3YjNmZjZjN2Y1OTBlNzY0,,,https://static.bihr.pro/eBihr/Pictures/HINSON-pictures.zip,Spain Warehouse (Parts)
1130821,,HB641-1901,HINSON,HINSO CLUTCH COMPLETE,Kit embrague anti-rebote HINSON BTL,1804.11,1491.00,1043.70,HB641-1901,0,8409910090,0,1,"<ul>
<li>Los embragues Hinson son utilizados por casi todos los principales equipos de fábrica del mundo, incluidos Team HRC Honda, Team Monster Kawasaki, Team RedBull KTM, Team JGR Suzuki y Team Wilvo Yamaha.</li>
<li>La tecnología de embrague antirrebote mejora el manejo en terrenos irregulares y reduce los tiempos por vuelta.</li>
<li>Ofrece un agarre máximo y salidas increíbles.</li>
<li>Permite que el conjunto del embrague gire con mayor precisión, reduciendo el calor cuando está desacoplado y proporcionando un acoplamiento más suave.</li>
<li>Mejora la disipación del calor.</li>
<li>Fabricado con precisión en aluminio T-6 de calidad aeronáutica, con tolerancias aeroespaciales y recubierto para una resistencia al desgaste cinco veces mayor que la de serie (con el mantenimiento adecuado).</li>
<li>Ayuda a eliminar las vibraciones del embrague.</li>
<li>Mejora el rendimiento y la durabilidad del embrague.</li>
</ul>","
Los embragues Hinson son utilizados por casi todos los principales equipos de fábrica del mundo, incluidos Team HRC Honda, Team Monster Kawasaki, Team RedBull KTM, Team JGR Suzuki y Team Wilvo Yamaha.
La tecnología de embrague antirrebote mejora el manejo en terrenos irregulares y reduce los tiempos por vuelta.
Ofrece un agarre máximo y salidas increíbles.
Permite que el conjunto del embrague gire con mayor precisión, reduciendo el calor cuando está desacoplado y proporcionando un acoplamiento más suave.
Mejora la disipación del calor.
Fabricado con precisión en aluminio T-6 de calidad aeronáutica, con tolerancias aeroespaciales y recubierto para una resistencia al desgaste cinco veces mayor que la de serie (con el mantenimiento adecuado).
Ayuda a eliminar las vibraciones del embrague.
Mejora el rendimiento y la durabilidad del embrague.
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,6732,2746,219,212,145,,,https://api.mybihr.com/medias/800Wx800H-1130821-1.jpg?context=bWFzdGVyfHJvb3R8MjM2NzY1fGltYWdlL2pwZWd8YURFekwyZ3haUzg0TURJNE1EZzVNVFV5TXpFd01pODRNREJYZURnd01FaGZNVEV6TURneU1TMHhMbXB3Wnd8M2Q5NjYyZTRhNzhiYWU1OTg2NTVlNDFhMjA1NjZhYWUxMGU1MjU3MTk3ODk1Yjg4M2FkNjhmZDQ3YTZlMDU4YQ,,,https://static.bihr.pro/eBihr/Pictures/HINSON-pictures.zip,Spain Warehouse (Parts)
