PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Espesor (mm),Longitud (mm),Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,DeliveryPlant
1006933,46069,K239,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos de cigüeñal HOT RODS K239,81.20,67.11,43.62,K239,1,8714109090,0,1,"<ul>
	<li>Kit de rodamientos del cig&uuml;e&ntilde;al</li>
	<li>Fabricado en EE.UU.</li>
	<li>Para un reacondicionamiento de calidad superior</li>
</ul>
","
	Kit de rodamientos del cigüeñal
	Fabricado en EE.UU.
	Para un reacondicionamiento de calidad superior

",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,774,727,129,200,30,,,,,,,,https://api.mybihr.com/medias/1006933-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY0MTF8aW1hZ2UvanBlZ3xhREF3TDJoa05TODRPVEF3T1RBMU5UWTJNak00THpFd01EWTVNek10TVY4NE1EQlhlRGd3TUVnfGY5ZWRiMGYyMzIzNjM1ODdmMzY4MmViMmIzMzUwZjY3YzhlYjExZDEzODFmOTQxYzU3NWYwMzQwNzU5ZmU4MDI,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006921,46057,K227,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K227,133.66,110.46,71.80,K227,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,865,774,215,149,27,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1006921-1.jpg?context=bWFzdGVyfHJvb3R8NTc2Nzh8aW1hZ2UvanBlZ3xhR1EwTDJoaVppODVPRGd5TkRJeE1qTTBPRGsxT0M4NE1EQlhlRGd3TUVoZk1UQXdOamt5TVMweExtcHdad3xiZTVhMTdkYzdhMmY1NWZiNjdjMjUzMTk0NDdmZDVmZTdkZjJhMTc5Yjg1MmVmYTJlNDc5OTk0YmE3YzcyOGNj,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006923,46059,K229,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K229,91.49,75.61,49.15,8430525460591,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,961,628,215,149,30,,,,,,,,https://api.mybihr.com/medias/1006923-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA5Mzl8aW1hZ2UvanBlZ3xhRE5rTDJnM01TODRPVEF4TnpBek1qY3dORE13THpFd01EWTVNak10TVY4NE1EQlhlRGd3TUVnfGFiZmFlYTFmNWJiZDdlZjFiMjE2YjBhMWM3NmU1ZWIzZjBiYTZkMTNiNDNlMzg3YWNmMzUzOWU3YzU3NGE5ZWI,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006927,46063,K233,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K233,66.80,55.21,35.89,8430525460638,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,425,343,122,116,30,,,,,,,,https://api.mybihr.com/medias/1006927-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA4MTV8aW1hZ2UvanBlZ3xhRE14TDJnME5DODRPVFk0T0RBMk1ETTVOVGd5THpFd01EWTVNamN0TVY4NE1EQlhlRGd3TUVnfGI4ZTc4YWVlNDdmYmRhNjQ3OGM5MzdlNmJhMjc2MmUyZDBhOGYzNGYxYmM3NzBjNTRmNTJjOGM2MzJjMWNjNzM,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006915,46054,K085,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K085,219.02,181.01,117.66,8430525460546,1,8714109090,0,1,"<p>Like other Hot Rods products, these main bearing and seal kits are built to the highest quality standards that meet or exceed those of OEM. Additionally, not only will Hot Rods main bearing and seal kits work in rebuilding a Hot Rods crankshaft; but, they also work in rebuilding OEM cranks as well.</p> <ul> <li>Contains : bearings – crankshaft seals</li> <li>For a high quality standard replacement</li> <li>High resistance and long term reliability</li> <li>For intensive use and competition<br></li></ul>","
Like other Hot Rods products, these main bearing and seal kits are built to the highest quality standards that meet or exceed those of OEM. Additionally, not only will Hot Rods main bearing and seal kits work in rebuilding a Hot Rods crankshaft; but, they also work in rebuilding OEM cranks as well.  Contains : bearings – crankshaft seals For a high quality standard replacement High resistance and long term reliability For intensive use and competition",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,739,462,109,119,57,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1006915-1.jpg?context=bWFzdGVyfHJvb3R8MzI2MTF8aW1hZ2UvanBlZ3xhREJsTDJnMVpDODVPRGd5TkRJeE1UVTJNalV5Tmk4NE1EQlhlRGd3TUVoZk1UQXdOamt4TlMweExtcHdad3xhMWFmNGE3NWU5ZTcyNmNiMDkwZTVjNTYxZGJkY2M5NmMxN2Y0ZTcyMjNjYzRlNTE4OWJhZWMzOTBhNzdlZjhl,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006917,93482,K092,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K092,170.68,141.06,91.69,8430525934825,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>HOT RODS crankshaft bearing + seal kits enable you to renew your connecting rod system as well ans its seal.</p><p>Crankshaft bearing + seal kit includes : </p><ul> <li>Bearing - crankshaft oil seal (content varies according to make) </li><li>For a superior quality replacement</li><li>These bearings are machined and assembled with the expertise acquired through engine component manufacturing</li><li>Suitable for racing preparation</li></ul> </body> </html>","       HOT RODS crankshaft bearing + seal kits enable you to renew your connecting rod system as well ans its seal.Crankshaft bearing + seal kit includes :  Bearing - crankshaft oil seal (content varies according to make) For a superior quality replacementThese bearings are machined and assembled with the expertise acquired through engine component manufacturingSuitable for racing preparation  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,659,480,184,128,28,,,,,,,,https://api.mybihr.com/medias/1006917-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODAxMzV8aW1hZ2UvanBlZ3xhREJtTDJoaU15ODRPVEkzTURJME5URXpNRFUwTHpFd01EWTVNVGN0TVY4NE1EQlhlRGd3TUVnfDdlZmQxMTU0YzkwYjZlMmFhODlmNzBhZjI4YWE0YjM1YWZkYmZmZWI5OWVhNmUzMDg5Y2Q4YjM3YzBiMWMzMWI,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019231,,TBK0024,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS Kawasaki KX250-F,156.28,129.16,83.95,TBK0024,0,8714109090,0,1,<p>Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. </p><ul><li>Gearbox bearing kit</li><li>Includes: bearings – needle bearing – washer – spacer (depending on usage)</li><li>For a superior-quality replacement</li><li>These bearings are machined and assembled with expertise acquired through engine component manufacture</li><li>Compatible with competition preparation<br></li></ul>,"
Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. Gearbox bearing kitIncludes: bearings – needle bearing – washer – spacer (depending on usage)For a superior-quality replacementThese bearings are machined and assembled with expertise acquired through engine component manufactureCompatible with competition preparation",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,459,482,107,116,37,,,,,,,,https://api.mybihr.com/medias/1019231-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ1Mzd8aW1hZ2UvanBlZ3xhRFJoTDJobFpTODRPVEF4TlRrME1EVTBOamcyTHpFd01Ua3lNekV0TVY4NE1EQlhlRGd3TUVnfGNiODJlOWM5YWMwMjQ3YTVlNTcyZTRlYWU4YTE4OTBlYjFjZTUyYWE5ZDdjMTdiZmZhMGJmODk2MDg2NjE2NDk,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006907,46043,K073,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K073,86.35,71.36,46.38,K073,2,8714109090,0,1,<p>Hot Rods crankshaft bearing + seal kits enable you to renew your connecting rod system as well as its seal. </p><ul><li>Crankshaft bearing + seal kit</li><li>Includes: bearings – crankshaft oil seal (contents correspond with usage)</li><li>For a superior-quality replacement</li><li>These bearings are machined and assembled with expertise acquired through engine component manufacture</li><li>Compatible with competition preparation</li></ul>,"
Hot Rods crankshaft bearing + seal kits enable you to renew your connecting rod system as well as its seal. Crankshaft bearing + seal kitIncludes: bearings – crankshaft oil seal (contents correspond with usage)For a superior-quality replacementThese bearings are machined and assembled with expertise acquired through engine component manufactureCompatible with competition preparation",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,799,476,120,111,60,,,,,,,,https://api.mybihr.com/medias/1006907-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDEwMjh8aW1hZ2UvanBlZ3xhR1kwTDJnMU9TODRPVEkyTkRRME5URTVORFUwTHpFd01EWTVNRGN0TVY4NE1EQlhlRGd3TUVnfGQyNmNlZDQ4YTc1NWJlNGIyNTZkZmRhOWIyZDRiNDQyODZmMzAwNjc0ZDk3MjU3YTZkZDMyZDZmYjIyMDE1OTI,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006908,46044,K074,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K074,122.34,101.11,65.72,8430525460447,1,8714109090,0,1,<p>Hot Rods crankshaft bearing + seal kits enable you to renew your connecting rod system as well as its seal. </p><ul><li>Crankshaft bearing + seal kit</li><li>Includes: bearings – crankshaft oil seal (contents correspond with usage)</li><li>For a superior-quality replacement</li><li>These bearings are machined and assembled with expertise acquired through engine component manufacture</li><li>Compatible with competition preparation</li></ul>,"
Hot Rods crankshaft bearing + seal kits enable you to renew your connecting rod system as well as its seal. Crankshaft bearing + seal kitIncludes: bearings – crankshaft oil seal (contents correspond with usage)For a superior-quality replacementThese bearings are machined and assembled with expertise acquired through engine component manufactureCompatible with competition preparation",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,536,452,115,111,42,,,,,,,,https://api.mybihr.com/medias/1006908-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDEwMjh8aW1hZ2UvanBlZ3xhREEyTDJnd1pDODRPVEE0TkRBME9UZ3hOemt3THpFd01EWTVNRGd0TVY4NE1EQlhlRGd3TUVnfDA2OTQyNzMzMGIwMDFmOTI3ZmIyZTI5ZjMxOWU5ODRjN2RkZTU1ZGZmN2E4NjIwNDE2M2JlMGIyMWJkYzQ1MjQ,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006911,46050,K080,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K080,64.75,53.51,34.78,8430525460508,0,8714109090,0,1,<p>Hot Rods crankshaft bearing + seal kits enable you to renew your connecting rod system as well as its seal. </p><ul><li>Crankshaft bearing + seal kit</li><li>Includes: bearings – crankshaft oil seal (contents correspond with usage)</li><li>For a superior-quality replacement</li><li>These bearings are machined and assembled with expertise acquired through engine component manufacture</li><li>Compatible with competition preparation</li></ul>,"
Hot Rods crankshaft bearing + seal kits enable you to renew your connecting rod system as well as its seal. Crankshaft bearing + seal kitIncludes: bearings – crankshaft oil seal (contents correspond with usage)For a superior-quality replacementThese bearings are machined and assembled with expertise acquired through engine component manufactureCompatible with competition preparation",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,380,175,118,111,29,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1006911-1.jpg?context=bWFzdGVyfHJvb3R8NTAwNDh8aW1hZ2UvanBlZ3xhRFpsTDJnMFppODVPRGd5TkRJeE1URTJPVE14TUM4NE1EQlhlRGd3TUVoZk1UQXdOamt4TVMweExtcHdad3xiMTkyMTk0MWEwZGIwOTM0M2U1ZTI4MzE1N2NjMWU1NWE0NjE1MGJjNTdlNjMxMDkyMjFmY2Y0NjhiYjVhYWEx,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
