PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Nº de rodillos,Peso (g),Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1015230,400448,6110604,JASIL,JASIL BEARING NEEDLE ROLLER,Jaula de agujas JASIL 12x15x15mm,10.01,8.27,4.96,5605822012351,9,8482400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,161,15,126,75,17,,,,,,,,https://api.mybihr.com/medias/1015230-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODcxNDJ8aW1hZ2UvanBlZ3xhREkyTDJnME9DODRPVEF4TlRreE1qWTVOREEyTHpFd01UVXlNekF0TVY4NE1EQlhlRGd3TUVnfGQzZDlkOTZkN2MyOTIzNTA5ODhhMDk4N2RhOWYwNGYzNzAxMDNkMTlhOWZjNjE2YTdmNWZlZTJmZjI0ZjBjZmU,,https://static.bihr.pro/eBihr/Pictures/JASIL-pictures.zip,Spain Warehouse (Parts)
1015229,400447,6110603,JASIL,JASIL BEARING NEEDLE ROLLER,Jaula de agujas JASIL 10x14x13mm,10.01,8.27,4.96,5605822012344,10,8482400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,120,15,128,78,12,,,,,,,,https://api.mybihr.com/medias/1015229-1-800Wx800H?context=bWFzdGVyfHJvb3R8Nzg5MDd8aW1hZ2UvanBlZ3xhRFJtTDJnMU5TODRPVFk0T1RneU5Ua3pOVFkyTHpFd01UVXlNamt0TVY4NE1EQlhlRGd3TUVnfDc0ODRlN2QxN2EzYzU1ZDQ2MzBmMGEzMGFkNDFkZDc1ZThiOGE5YzdhNmY2NTNkOGJkMmJkNzA4YjI0MmUzMTg,,https://static.bihr.pro/eBihr/Pictures/JASIL-pictures.zip,Spain Warehouse (Parts)
1015233,400451,6110607,JASIL,JASIL BEARING NEEDLE ROLLER,Jaula de agujas JASIL 12x17x13mm,11.77,9.73,5.84,5605822012382,3,8482400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,119,15,127,78,12,,,,,,,,https://api.mybihr.com/medias/1015233-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODQzNjN8aW1hZ2UvanBlZ3xhR1U0TDJnd01pODRPRFUzT1RZek5USTRNakl5THpFd01UVXlNek10TVY4NE1EQlhlRGd3TUVnfDc0NWVmZDE4YzI5ODBiMzZhOTVhMTAwNmVlMzE3N2YyYzFjOTNmYzZjZGZiN2MyNDJlYzAyNWUxNzVlZWFkZDM,,https://static.bihr.pro/eBihr/Pictures/JASIL-pictures.zip,Spain Warehouse (Parts)
1015382,TR6080536,6080536,JASIL,JASIL SPRINGS CLUTCH - SET OF 9,Kit de muelles de embrague JASIL,11.22,9.27,5.56,5605822012061,8,8483608090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,96,42,128,75,10,,,,,,,,https://api.mybihr.com/medias/1015382-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTAzNzV8aW1hZ2UvanBlZ3xhRFZqTDJnelpDODRPVE00TXpnek1EZ3hOVEF5THpFd01UVXpPREl0TVY4NE1EQlhlRGd3TUVnfGMwNzE4MTdjMDBlNzM2ZGJhOTVlYjQwYjM2MGNjZjQ5MDJkZWJhZjA4MjhiNzBmZjM5NWJlZjk2MmQ2NjRkODA,,https://static.bihr.pro/eBihr/Pictures/JASIL-pictures.zip,Spain Warehouse (Parts)
1015387,TR6040423,6040423,JASIL,JASIL VARIATOR S1V,"Variador JASIL S1V PEUGEOT Ludix, Trekker",61.27,50.64,30.38,5605822006367,4,8483405990,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2119,564,210,174,58,,,,,,,,https://api.mybihr.com/medias/1015387-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzkwMzd8aW1hZ2UvanBlZ3xhRFZqTDJneE15ODRPVEkwTVRnd016UTRPVFU0THpFd01UVXpPRGN0TVY4NE1EQlhlRGd3TUVnfGI1MmJkOWE2NmQ3NzdiYWUwMjVhZWY0NDRiMzMzNDg4YjkyM2Q0NDk5N2VhNDRkMjI5ZmI0MmRkZmUzZDg4OGE,,https://static.bihr.pro/eBihr/Pictures/JASIL-pictures.zip,Spain Warehouse (Parts)
1015392,TR6040430,6040430,JASIL,JASIL VARIATOR S1V,Variador JASIL S1V SUZUKI Katana '99,61.27,50.64,30.38,5605822006435,2,8483405990,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2075,497,208,172,58,,,,,,,,https://api.mybihr.com/medias/1015392-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA3ODgwfGltYWdlL2pwZWd8YUdReUwyZzNPQzg0T1RNME56TTJOREk1TURnMkx6RXdNVFV6T1RJdE1WODRNREJYZURnd01FZ3wwYWE3YTI1NjU1ZWZiMWIzNjQyZWFjNTJhZTljNGJlODY0YzBhYzc0ZjhiZGZmYmU0NWJhZWJmNjZkOTE2MmFk,,https://static.bihr.pro/eBihr/Pictures/JASIL-pictures.zip,Spain Warehouse (Parts)
1015274,TR6068001,6068001,JASIL,"JASIL ROLLERS 15MMX12/3,5G/X6","Rodillos de variador JASIL 15x12mm 3,5gr - 6 piezas",9.53,7.88,4.73,5605822009290,1,8483405990,0,1,"<p>Los rodillos&nbsp;JASIL&nbsp;est&aacute;n fabricados con pol&iacute;meros t&eacute;cnicos resistentes a la abrasi&oacute;n y a las altas temperaturas.</p> <p>Cada rodillo est&aacute; disponible en dos tama&ntilde;os, con el peso impreso.</p> <p>Permiten ajustar la transmisi&oacute;n del scooter a la configuraci&oacute;n deseada. Estos rodillos son un excelente compromiso entre rendimiento y duraci&oacute;n.</p>","
Los rodillos JASIL están fabricados con polímeros técnicos resistentes a la abrasión y a las altas temperaturas. 
Cada rodillo está disponible en dos tamaños, con el peso impreso. 
Permiten ajustar la transmisión del scooter a la configuración deseada. Estos rodillos son un excelente compromiso entre rendimiento y duración.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,159,29,131,81,15,,,,,,,,https://api.mybihr.com/medias/1015274-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTU5NzN8aW1hZ2UvanBlZ3xhR0V3TDJnelpDODRPVFExTnpJd016WXdPVGt3THpFd01UVXlOelF0TVY4NE1EQlhlRGd3TUVnfDQ4YzQxNjk0N2QwNDZjOGZjODhiNjQ5Zjk2Y2EwMThhOGNkODI2ZjY3Mzc5MzNkNTUxZTYxMWI5NzdkOWFhZDU,,https://static.bihr.pro/eBihr/Pictures/JASIL-pictures.zip,Spain Warehouse (Parts)
1015355,TR6075005,6075005,JASIL,JASIL ROLLERS 20MMX12/10G/X6,Rodillos de variador JASIL 20x12mm 10gr - 6 piezas,13.47,11.13,6.68,5605822011880,42,8483405990,0,1,"<p>Los rodillos&nbsp;JASIL&nbsp;est&aacute;n fabricados con pol&iacute;meros t&eacute;cnicos resistentes a la abrasi&oacute;n y a las altas temperaturas.</p> <p>Cada rodillo est&aacute; disponible en dos tama&ntilde;os, con el peso impreso.</p> <p>Permiten ajustar la transmisi&oacute;n del scooter a la configuraci&oacute;n deseada. Estos rodillos son un excelente compromiso entre rendimiento y duraci&oacute;n.</p>","
Los rodillos JASIL están fabricados con polímeros técnicos resistentes a la abrasión y a las altas temperaturas. 
Cada rodillo está disponible en dos tamaños, con el peso impreso. 
Permiten ajustar la transmisión del scooter a la configuración deseada. Estos rodillos son un excelente compromiso entre rendimiento y duración.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,263,72,146,90,20,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1015355-1.jpg?context=bWFzdGVyfHJvb3R8NDczOTh8aW1hZ2UvanBlZ3xhRFZqTDJneE5DODJPRFV3TURBd05qazJNVEU0TWk4NE1EQlhlRGd3TUVoZk1UQXhOVE0xTlMweExtcHdad3xiNzJlMzUzMDc2Y2Q0MjVkNGRjZjFkNWI5M2Y1MGM3NjdmYjUxYzBmNDA5NzQ5YmFlOWE3NDVhODliNzUwZjE3,,https://static.bihr.pro/eBihr/Pictures/JASIL-pictures.zip,Spain Warehouse (Parts)
1015219,TR6030125,6030125,JASIL,JASIL CRANKSHAFT OEM TYPE,Cigueñal JASIL tipo origen Minarelli YP 125,493.75,408.06,244.84,5605822004233,1,8483102590,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html ; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left ; margin:0pt 0pt 0pt 0pt ; }.csA7555675{color:#000 ; background-color:transparent ; font-weight:normal ; font-style:normal ; }</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BOTTOM ENGINE,8856,3694,370,187,128,,,,,,,,https://api.mybihr.com/medias/1015219-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc5ODF8aW1hZ2UvanBlZ3xhR1ZrTDJobFpDODRPVEkwTlRFMU1qTTNPVEU0THpFd01UVXlNVGt0TVY4NE1EQlhlRGd3TUVnfDMxMGZkYjAzYjMxMjU3MThkOTkyY2NlNmYwMzRhNDQ1OGY0ZDQ5OWUyNDJkOThkMDVkMTA0NmM0ZTNjZWI0MTI,,https://static.bihr.pro/eBihr/Pictures/JASIL-pictures.zip,Spain Warehouse (Parts)
1155398,,6030031,JASIL,JASIL ORIGINAL CRANKSHAFT VESPINO NLX,Cigueñal JASIL tipo origen,125.01,103.31,61.99,6030031,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BOTTOM ENGINE,1,1,10,10,10,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1155398-1.jpg?context=bWFzdGVyfHJvb3R8MjQ1MDZ8aW1hZ2UvanBlZ3xhREpsTDJobE9DOHhNRE14T0RNMk5EQTRNakUzT1RBdk9EQXdWM2c0TURCSVh6RXhOVFV6T1RndE1TNXFjR2N8ZjNiZjkwYjBiYzA1MDhkMTFmYjE3YzNjN2I4MTUyMGFjNjVkMmIzMDg2MjhlNmM4ZmRjMTM2YzY2MzgzNTM2OQ,,https://static.bihr.pro/eBihr/Pictures/JASIL-pictures.zip,Spain Warehouse (Parts)
