PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad de eslabones,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Calidad,Color de la cadena,Eslabón de conexión,Eslabones de cadena,Especificaciones,Material de la corona,Paso de cadena,Peso (kg/100 eslabones),Resistencia a la tracción (kN),Resistencia a la tracción (lbs),Retenes,Tipo de cadena D.I.D,Tipo de cadena JT,Tipo de retén,Uso,Versión de corona,Versión de piñón,Vida útil relativa (por 100 eslabones),Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,Document1,DeliveryPlant
1043785,,JTC-L-525Z3-R,JT DRIVE CHAIN,JTDRI CONNECT LINK Z3 525 PIN RIVET,Enganche de cadena JT DRIVE CHAIN 525Z3 con reten X.Ring tipo remache 525,5.01,4.14,2.28,824225607543,7,7315111000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Connecting link for JT Drive Chain 525 Z3</li><li>Rivet Link</li></ul> </body> </html>","        Connecting link for JT Drive Chain 525 Z3Rivet Link  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,46,15,68,48,14,,,Remache,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1043785-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTQwNTB8aW1hZ2UvanBlZ3xhR0UxTDJnM09TODRPVGN3TXpJM05UZzRPRGswTHpFd05ETTNPRFV0TVY4NE1EQlhlRGd3TUVnfGM5NTM0NWE4ZGI1YWU4OGQ1NGZmZjcwZTllYzgyOGVjNTAxYjc0YWMwM2Q5NDA5ZTNmYjE5NmE1NmQ3N2YxNjE,,,,,,https://static.bihr.pro/eBihr/Pictures/JT_DRIVE_CHAIN-pictures.zip,,Spain Warehouse (Parts)
1043784,,JTC-L-520X1R-R,JT DRIVE CHAIN,JTDRI CONNECT LINK X1R 520 PIN RIVET,Enganche de cadena JT DRIVE CHAIN 520X1R con reten X-Ring tipo remache 520,12.08,9.98,5.49,824225603033,18,7315111000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Connecting link for JT Drive Chain 520 X1R</li><li>Rivet Link</li></ul> </body> </html>","        Connecting link for JT Drive Chain 520 X1RRivet Link  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,51,16,61,70,12,,,Remache,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1043784-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTI4MjR8aW1hZ2UvanBlZ3xhR1U0TDJnM01pODRPVGN3TXpJM016a3lNamcyTHpFd05ETTNPRFF0TVY4NE1EQlhlRGd3TUVnfDA4ODc0ZDcxODYzNmI0YTE4MTVmOWQwNmFhMDY5YjQyMGU0MmRkNWE1YTQ2M2MxMDY4N2RlMjY5YTQ0Y2YwNTg,,,,,,https://static.bihr.pro/eBihr/Pictures/JT_DRIVE_CHAIN-pictures.zip,,Spain Warehouse (Parts)
1022176,100106RV,JTC520HDRRL,JT DRIVE CHAIN,JTDRI CONNECT LINK HDR 520 PIN RIVET,Enganche Tipo Remache para Cadena JT 520HDR,2.00,1.65,0.91,824225602357,10,7315111000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,60,16,54,56,20,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1022176-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDk0Mzd8aW1hZ2UvanBlZ3xhREl5TDJneU1pOHhOVFF4TkRNNE5qTTVNekV4T0M4eE1ESXlNVGMyTFRGZk9EQXdWM2c0TURCSXxhMjJiYmJkZmFkM2NjMGI2MDdiYzY5MWJhMjViNTc4YTM1MDBmZGY4YThhNzM1ZGI2NGFiMzQ0ZTgzOTQ1NWI3,,,,,,https://static.bihr.pro/eBihr/Pictures/JT_DRIVE_CHAIN-pictures.zip,,Spain Warehouse (Parts)
1022172,100109CL,JTC-L-520HDSGB-S,JT DRIVE CHAIN,JTDRI CONNECT LINK HDR 520 LOOSE FIT,Enganche de cadena JT cierre rápido 520HDS oro,2.49,2.06,1.13,824225603262,2,7315111000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,15,18,36,30,14,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1022172-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTg4NDZ8aW1hZ2UvanBlZ3xhRFV5TDJnMVlpOHhOVFF4TkRRd05URXpOalF4TkM4eE1ESXlNVGN5TFRGZk9EQXdWM2c0TURCSXw0ODMxM2NhZDRhNDc5YjNlOTUxMWZhZTk2YjY4ZmJiZjI4OGQxZGUyMGUzNTY1OTk5ODkyMDlkYWQ0YjFiMzk0,,,,,,https://static.bihr.pro/eBihr/Pictures/JT_DRIVE_CHAIN-pictures.zip,,Spain Warehouse (Parts)
1022174,100110RV,JTC-L-520X1R-R,JT DRIVE CHAIN,JTDRI CONNECT LINK HDR 520 PIN RIVET,Enganche Tipo Remache para Cadena JT 520X1R,3.01,2.49,1.37,8242256030338,0,7315111000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,46,16,65,55,13,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1022174-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDk0Mzd8aW1hZ2UvanBlZ3xhRFJtTDJnMVlpOHhOVFF4TkRRME5UUTBNVEExTkM4eE1ESXlNVGMwTFRGZk9EQXdWM2c0TURCSXxjOGYwZGY2ZmY5NGRiNGVmODg0NGI3OWQwMmJlYmExMGViODU3MjU0YjAxODk1NThkZjQ4YjU1Yjc1NmIwOTdm,,,,,,https://static.bihr.pro/eBihr/Pictures/JT_DRIVE_CHAIN-pictures.zip,,Spain Warehouse (Parts)
1022175,100115CL,JTC530X1RGBSL,JT DRIVE CHAIN,JTDRI CONNECT LINK HDR 530 LOOSE FIT,Enganche de cadena JT cierre rápido 530X1R oro,4.49,3.71,2.04,824225601251,0,7315111000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,48,24,57,50,17,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1022175-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTg4NDZ8aW1hZ2UvanBlZ3xhREk1TDJnek15OHhOVFF4TkRNNE5UazVPVGt3TWk4eE1ESXlNVGMxTFRGZk9EQXdWM2c0TURCSXw4OTVmN2IyNjI2YWVlMThmNDEzNzRmZWVlODQyNGQzN2UxNTIzNGQ3ODlhZjJmNmJkMDZlYTZhZmNhMjZhZDhh,,,,,,https://static.bihr.pro/eBihr/Pictures/JT_DRIVE_CHAIN-pictures.zip,,Spain Warehouse (Parts)
1022178,100109RV,JTC520HDSRVGB,JT DRIVE CHAIN,JTDRI CONNECT LINK HDS 520 PIN RIVET,Enganche Tipo Remache oro para Cadena JT 520HDS GB,2.34,1.93,1.06,824225603255,2,7315111000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,15,16,34,30,15,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1022178-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDk0Mzd8aW1hZ2UvanBlZ3xhR0l3TDJneVppOHhOVFF4TkRNNE5qYzROak16TkM4eE1ESXlNVGM0TFRGZk9EQXdWM2c0TURCSXxiZDhlYzY4YTdkMTAxMzBmZjg2Nzk5ODE3MDVjM2UxNTY3YjdhM2M5OGY1NWNhZGFjMjAwNTcyMmU5ZmI0NzRk,,,,,,https://static.bihr.pro/eBihr/Pictures/JT_DRIVE_CHAIN-pictures.zip,,Spain Warehouse (Parts)
1022179,100111CL,JTC-L-520X1RGB-S,JT DRIVE CHAIN,JTDRI CONNECT LINK X1 520 LOOSE FIT,Enganche de cadena JT cierre rápido 520X1R oro,3.99,3.30,1.82,824225600636,27,7315111000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,53,22,54,65,15,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1022179-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTg4NDZ8aW1hZ2UvanBlZ3xhRGd3TDJnM05pOHhOVFF4TkRRd05Ua3lNamcwTmk4eE1ESXlNVGM1TFRGZk9EQXdWM2c0TURCSXxiYTQzM2JiNzMxMzhiMzgxM2UyMThjM2Q2YjdmYjRhNDUzOGRiZmUyMWMzOTJmNDMxZDBkNmZjYzJkZTI1OWY4,,,,,,https://static.bihr.pro/eBihr/Pictures/JT_DRIVE_CHAIN-pictures.zip,,Spain Warehouse (Parts)
1022170,100104110,JTC428HDR110SL,JT DRIVE CHAIN,JTDRI CHAIN HDR 428 LO FIT,Cadena JT 428HDR con 110 eslabones negro,15.52,12.83,7.06,8430525279346,0,7315111000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,521,1132,89,225,26,,,Clip a presión,,,,428,,,,Sin retenes,,HDR,,,,,,https://api.mybihr.com/medias/1022170-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg4ODV8aW1hZ2UvanBlZ3xhR1l3TDJnMk9DOHhOVFF4TkRRME5UQTBOemd6T0M4eE1ESXlNVGN3TFRGZk9EQXdWM2c0TURCSXxjMjIxODVmY2E5YmZjZGI0MDlhNDU4MDA3ZWY4NmEzMWUyZGZhMTU2NzYwMDdlY2UxYWE4YTQ5ZDk4ODNiZmJj,,,,,,https://static.bihr.pro/eBihr/Pictures/JT_DRIVE_CHAIN-pictures.zip,https://api.mybihr.com/medias/JT-Chains-Specs-v2020.pdf?context=bWFzdGVyfGRvY3VtZW50c3wxMjEzNjM2fGFwcGxpY2F0aW9uL3BkZnxhRFprTDJoaU1DODJOVEkxT0RjNU16SXdOVGM1TUM5S1ZGOURhR0ZwYm5OZlUzQmxZM05mZGpJd01qQXVjR1JtfDM2ODg1MzFiZjM1MTYzMDdiMGQzNjcyZjhiOWYxYTBmMTRlZjQ4ODY0NTg0MzI2MjNhYWQyMzgyN2I0YThiZDI,Spain Warehouse (Parts)
1043782,,JTC-L-520HDS-R,JT DRIVE CHAIN,JTDRI CONNECT LINK HDS 520 PIN RIVET,Enganche de cadena JT DRIVE CHAIN 520HDS tipo remache 520,1.94,1.60,0.88,824225602098,0,7315111000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Connecting link for JT Drive Chain 520 HDS</li><li>Rivet Link</li></ul> </body> </html>","        Connecting link for JT Drive Chain 520 HDSRivet Link  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,25,21,27,66,14,,,Remache,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1043782-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDk3MzB8aW1hZ2UvanBlZ3xhRGxqTDJneFpDODRPVGN3TXpJMk9UazVNRGN3THpFd05ETTNPREl0TVY4NE1EQlhlRGd3TUVnfDkwMzRlOTRhOTI3ZWViNGRkOWVmNjI1YjI1ZDU3ODFjYzI0YWIzNzA3ZjI5Y2FlZTkyYTAxNzQ0ZDFlM2NhZGE,,,,,,https://static.bihr.pro/eBihr/Pictures/JT_DRIVE_CHAIN-pictures.zip,,Spain Warehouse (Parts)
