PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad de dientes,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Especificaciones,Número de dientes de la corona,Número de dientes del piñón,Paso de cadena,Tipo,Tipo de corona,Tipo de piñón,Versión de corona,Versión de piñón,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
1075513003,R47939,JTR479.39,JT SPROCKETS,"JTSPR RR SPROC 530 STEEL ST 479, 39",Corona JT SPROCKETS acero estándar 479 - Paso 530,40.49,33.46,18.40,824225304855,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,39 dientes,,264,706,215,205,6,Negro,Acero,,39,,530,,,,Estándar,,https://api.mybihr.com/medias/1075513003-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM5MDZ8aW1hZ2UvanBlZ3xhRE5oTDJnNFlpODVNREV5TVRZeU1qTXlNelV3THpFd056VTFNVE13TURNdE1WODRNREJYZURnd01FZ3w2NWM2ZjUzYjkxY2Q2ODBhNjg4YmY0NWQwZmRhY2Y4YzVjNDIxYTViMTIyNjcwOTcxYzY1Yjk3YzJiNDU0Yzc0,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075513008,R47945,JTR479.45,JT SPROCKETS,"JTSPR RR SPROC 530 STEEL ST 479, 45",Corona JT SPROCKETS acero estándar 479 - Paso 530,45.50,37.60,20.68,824225304909,8,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,45 dientes,,476,1145,274,248,7,Negro,Acero,,45,,530,,,,Estándar,,https://api.mybihr.com/medias/1075513008-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM5MDZ8aW1hZ2UvanBlZ3xhR015TDJoaE55ODRPVFkzTkRNME1UQTRPVFU0THpFd056VTFNVE13TURndE1WODRNREJYZURnd01FZ3w4ZjcyZjA2ZjA1OWVmN2I3Y2VjNzExMmM0YmUwNmM5ZGVmNjdlMjM3MThlM2IwNTU4N2E0OTE1NDcyZGQwZDE5,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075513001,R47938,JTR479.38,JT SPROCKETS,"JTSPR RR SPROC 530 STEEL ST 479, 38",Corona JT SPROCKETS acero estándar 479 - Paso 530,38.49,31.81,17.50,824225311617,1,8714930090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,38 dientes,,474,593,228,208,10,Negro,Acero,,38,,530,,,,Estándar,,https://api.mybihr.com/medias/1075513001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM5MDZ8aW1hZ2UvanBlZ3xhRGcyTDJobE1DODVNREV5TVRZeE9ETTVNVE0wTHpFd056VTFNVE13TURFdE1WODRNREJYZURnd01FZ3xiOGMzMTA4YzIxNDU0MTBiNDY3NTA3MDBlZmRlMjg1ODMwNzQ1YzViNzUzNDI0OGMzMWU4ZmY1ZTMzMDNjZWRl,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075513006,R47943,JTR479.43,JT SPROCKETS,"JTSPR RR SPROC 530 STEEL ST 479, 43",Corona JT SPROCKETS acero estándar 479 - Paso 530,45.99,38.01,20.91,824225304886,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,43 dientes,,782,1092,245,228,14,Negro,Acero,,43,,530,,,,Estándar,,https://api.mybihr.com/medias/1075513006-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM5MDZ8aW1hZ2UvanBlZ3xhRFJrTDJneE5pODVNREV5TURZeE5EY3dOelV3THpFd056VTFNVE13TURZdE1WODRNREJYZURnd01FZ3wzNGFkNDYzOGIxNjY1YzA1ZDY4YzdlMzJmMDcwNWI0ODYyOWExNzMwNjU0ZjA0MDVmODRjNDE3OTdhYWJiZjlk,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075513010,,JTR479.47,JT SPROCKETS,"JTSPR RR SPROC 530 STEEL ST 479, 47",Corona JT SPROCKETS acero estándar 479 - 530,48.32,39.93,21.96,824225304923,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,47 dientes,,252,1320,205,205,6,Negro,Acero,,47,,530,,,,Estándar,,https://api.mybihr.com/medias/1075513010-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM5MDZ8aW1hZ2UvanBlZ3xhR013TDJnd09DODVNREV5TURZeE9EWXpPVFkyTHpFd056VTFNVE13TVRBdE1WODRNREJYZURnd01FZ3wwY2FjNmVmNWM2MTE2NjNiNzAxNzNiMzg2YTVkYmY2YTY2ODVkY2I2YjhmZjQwZjgwOWI5NTRjMGM4ZDIxNGE3,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075513002,R47948,JTR479.48,JT SPROCKETS,"JTSPR RR SPROC 530 STEEL ST 479, 48",Corona JT SPROCKETS acero estándar 479 - Paso 530,50.99,42.14,23.18,824225304930,10,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,48 dientes,,467,1455,277,241,7,Negro,Acero,,48,,530,,,,Estándar,,https://api.mybihr.com/medias/1075513002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM5MDZ8aW1hZ2UvanBlZ3xhREJpTDJnNU1pODVNREV5TVRZeU1ETTFOelF5THpFd056VTFNVE13TURJdE1WODRNREJYZURnd01FZ3w0MjFhY2Q4OGNhZmM3NmI3M2FiYjYzZGIxY2Q3NWIxMTY3NDViZDJkZTdjOGM4NTk1YWUzMzkxNGYzNzA1ZmJh,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075513009,R47946,JTR479.46,JT SPROCKETS,"JTSPR RR SPROC 530 STEEL ST 479, 46",Corona JT 479 de acero con 46 dientes,48.48,40.07,22.04,8242253049166,11,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,46 dientes,,990,1180,250,233,17,Acero,Acero,,46,,530,,,,Estándar,,https://api.mybihr.com/medias/1075513009-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM5MDZ8aW1hZ2UvanBlZ3xhRGt3TDJnd1ppODVNREV5TURZeE5qWTNNelU0THpFd056VTFNVE13TURrdE1WODRNREJYZURnd01FZ3xlZGQ0NGY3MDFkN2Q3ZDYyMDJhMGI5MjllNDcyYWFlM2U1OWY5MzM4NmQwNzBhMGVhNzFjNTY3OTk5NWVmYWQ0,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075513007,R47944,JTR479.44,JT SPROCKETS,"JTSPR RR SPROC 530 STEEL ST 479, 44",Corona JT SPROCKETS acero estándar 479 - Paso 530,44.00,36.36,20.00,824225304893,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,44 dientes,,387,1021,235,235,7,Negro,Acero,,44,,530,,,,Estándar,,https://api.mybihr.com/medias/1075513007-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM5MDZ8aW1hZ2UvanBlZ3xhRGRsTDJnNE5DODVNREV5TVRZeU5ESTRPVFU0THpFd056VTFNVE13TURjdE1WODRNREJYZURnd01FZ3wxNWU2NDUyMGMxZTcxOWEzOTgxM2NhMWY3NTQ5ZDhlMjNlOTc1YmU3ZDJkY2I2MmJkYWE1YThiM2RiMGJhNTQ2,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075513005,R47942,JTR479.42,JT SPROCKETS,"JTSPR RR SPROC 530 STEEL ST 479, 42",Corona JT SPROCKETS acero estándar 479 - Paso 530,42.99,35.53,19.54,824225304879,3,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,42 dientes,,1006,858,222,302,15,Negro,Acero,,42,,530,,,,Estándar,,https://api.mybihr.com/medias/1075513005-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM5MDZ8aW1hZ2UvanBlZ3xhRFJoTDJnd1pDODRPVFk0TVRjMk9Ea3pPVGd5THpFd056VTFNVE13TURVdE1WODRNREJYZURnd01FZ3w1MWIwZjliN2QwMDI3MjliNzk2OWU4YTlmZjEwMjM2N2Q5ZGFlNjRiZmU0ZDdkNWExNWNiZDkxNzU3MzVjOWVj,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075518002,R745,JTR7.45,JT SPROCKETS,"JTSPR RR SPROC 525 STEEL ST 7, 45",Corona JT SPROCKETS acero estándar 7 - Paso 525,36.49,30.16,16.59,824225312539,5,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,45 dientes,,431,796,232,232,8,Negro,Acero,,45,,525,,,,Estándar,,https://api.mybihr.com/medias/1075518002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzA3NjV8aW1hZ2UvanBlZ3xhR05sTDJoa09DODRPVEk0TkRFNU9UY3hNVEF5THpFd056VTFNVGd3TURJdE1WODRNREJYZURnd01FZ3xjNTI2ZTM5M2MzNjlhZDhmYmFkZjJhODgzMDQ4NDZmMmZiYTJlOWIxMGY1N2ZiM2MxYWY2MGE0MGEzOTE3YjU0,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
