PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura de llanta,Capacidad (ml/l),Diámetro de la llanta,Posición,Tipo de cámara de aire,Tipo de válvula,Picture1,AllPicturesZIP,Document1,DeliveryPlant
9004378,48650,MOM 14,MEFO,MEFO MOUSSE MOM 14 60/100-14,Mousse MEFO MOM 14 (60/100-14),120.00,99.17,74.38,4250663641140,3,4013900000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.csC583D0C8{text-align:left;margin:12pt 0pt 12pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <p>MEFO is the only manufacturer to adapt the diameter of the cross-section of its foams according to the internal volume of the tyres, which varies according to the brand. MEFO also offers different foam structures depending on the type of riding.</p><ul> <li>Foam for tyres</li><li>Reduced weight compared to a reinforced air chamber</li><li>Prevents the risk of puncture </li><li>Equivalent pressure: 0.8 - 0.9 bar</li><li>Uses:MX and endurance</li></ul> <p> </p></body> </html>","       MEFO is the only manufacturer to adapt the diameter of the cross-section of its foams according to the internal volume of the tyres, which varies according to the brand. MEFO also offers different foam structures depending on the type of riding. Foam for tyresReduced weight compared to a reinforced air chamberPrevents the risk of puncture Equivalent pressure: 0.8 - 0.9 barUses:MX and endurance   ",TIRES & ACCESSORIES,ACCESSORIES,TIRE ACC. MOUSSE,26750,1320,535,500,100,,,14,Delantero,,,https://api.mybihr.com/medias/9004378-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYxMTk3fGltYWdlL2pwZWd8YUdRMEwyaGpZUzg0T1RrMU1qUXpPVFV3TVRFd0x6a3dNRFF6TnpndE1WODRNREJYZURnd01FZ3wwYzVmNzFlNjUwNTQxZGEzMzVjMDg4YzU1YmVlNzhiZjVhYzkzZWNhYjNiNGEyMTlmNGU3MTc5M2UyZjBiZWVh,https://static.bihr.pro/eBihr/Pictures/MEFO-pictures.zip,https://api.mybihr.com/medias/MOM-14.pdf?context=bWFzdGVyfHJvb3R8MTAyMzQwfGFwcGxpY2F0aW9uL3BkZnxhREk0TDJnek1DODVPVEl5T0RZNE1UVXdNamMxTUM5TlQwMGdNVFF1Y0dSbXxmODlkOWU4Y2FkYmQwNzUxNzc3MmNhZGFkNWUyZGVhZDM4NjFjNzJlYzFjYjE1ZDM4ZTAzYzZkY2IyOTFkNTRm,Spain Warehouse (Tires)
9004377,48649,MOM 12,MEFO,MEFO MOUSSE MOM 12 80-90/100-12,Mousse MEFO MOM 12 (80-90/100-12),120.00,99.17,74.38,4250663641126,4,4013900000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.csC583D0C8{text-align:left;margin:12pt 0pt 12pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <p>MEFO is the only manufacturer to adapt the diameter of the cross-section of its foams according to the internal volume of the tyres, which varies according to the brand. MEFO also offers different foam structures depending on the type of riding.</p><ul> <li>Foam for tyres</li><li>Reduced weight compared to a reinforced air chamber</li><li>Prevents the risk of puncture </li><li>Equivalent pressure: 0.8 - 0.9 bar</li><li>Uses:MX and endurance</li></ul> <p> </p></body> </html>","       MEFO is the only manufacturer to adapt the diameter of the cross-section of its foams according to the internal volume of the tyres, which varies according to the brand. MEFO also offers different foam structures depending on the type of riding. Foam for tyresReduced weight compared to a reinforced air chamberPrevents the risk of puncture Equivalent pressure: 0.8 - 0.9 barUses:MX and endurance   ",TIRES & ACCESSORIES,ACCESSORIES,TIRE ACC. MOUSSE,42925,1651,645,605,110,,,12,Trasero,,,https://api.mybihr.com/medias/9004377-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYxMTk3fGltYWdlL2pwZWd8YUdFMUwyaGtNUzg0T1RrMU1qUXpOelV6TlRBeUx6a3dNRFF6TnpjdE1WODRNREJYZURnd01FZ3xjYjlmN2M1ZTE2MTBmOWE5ODM5ZGJiZDhhMzU4MTdjNTUxYmFkZTMwZTNlNDM0YzdkNzI5ZDBkNDE4MzkyYjRk,https://static.bihr.pro/eBihr/Pictures/MEFO-pictures.zip,https://api.mybihr.com/medias/MOM-12.pdf?context=bWFzdGVyfHJvb3R8MTExNTA5fGFwcGxpY2F0aW9uL3BkZnxhRE0zTDJnek5pODVPVEl5T0RZNE1UTTNNVFkzT0M5TlQwMGdNVEl1Y0dSbXxhMmZhNzhkYTc4YzAxODM5YzhlMjNhNDc5NjYwMmY2NDIwMjNkZGQ0YzNkNDMyNjE5NzBhMGViODlkODI0MTRi,Spain Warehouse (Tires)
9004389,48656,MOM 18-1,MEFO,MEFO MOUSSE MOM 18-1,Mousse MEFO MOM 18-1 (120/90-18 120/100-18 y 140/80-18 FIM-Enduro Michelin Comp III & VI/Mefo Sport),144.99,119.83,89.87,4250663641812,2,4013900000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.csC583D0C8{text-align:left;margin:12pt 0pt 12pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <p>MEFO is the only manufacturer to adapt the diameter of the cross-section of its foams according to the internal volume of the tyres, which varies according to the brand. MEFO also offers different foam structures depending on the type of riding.</p><ul> <li>Foam for tyres</li><li>Reduced weight compared to a reinforced air chamber</li><li>Prevents the risk of puncture </li><li>Equivalent pressure: 0.8 - 0.9 bar</li><li>Uses:MX and endurance</li></ul> <p> </p></body> </html>","       MEFO is the only manufacturer to adapt the diameter of the cross-section of its foams according to the internal volume of the tyres, which varies according to the brand. MEFO also offers different foam structures depending on the type of riding. Foam for tyresReduced weight compared to a reinforced air chamberPrevents the risk of puncture Equivalent pressure: 0.8 - 0.9 barUses:MX and endurance   ",TIRES & ACCESSORIES,ACCESSORIES,TIRE ACC. MOUSSE,53856,2835,720,680,110,,,18,Trasero,,,https://api.mybihr.com/medias/9004389-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYxMTk3fGltYWdlL2pwZWd8YURVNUwyZ3dPQzg0T1RrMU1qUTFPVEUyTVRrd0x6a3dNRFF6T0RrdE1WODRNREJYZURnd01FZ3wxOTllZjc2YzI3ZTQ0NTZiODJkYWZlOTllYzU1ZTdiMDVkNTM2YmViNDdmMTlkNzMwNGM3NDBiYjM2YTZmN2Jj,https://static.bihr.pro/eBihr/Pictures/MEFO-pictures.zip,https://api.mybihr.com/medias/MOM-18-1.pdf?context=bWFzdGVyfHJvb3R8MjY3NzgyfGFwcGxpY2F0aW9uL3BkZnxhRGs0TDJneU5TODVPVEl5T0RZNE1UZ3pNRFF6TUM5TlQwMGdNVGd0TVM1d1pHWXxjM2QzMjY5MTY3YzJhODY0MDZjMzUyY2I1MWNhODk2MmYyYzFhM2I2Nzk0ZmJmZjViYjY2OGM3NjNjY2FiYzZi,Spain Warehouse (Tires)
9004391,48657,MOM 18-1EX,MEFO,MEFO MOUSSE MOM 18-1EX,Mousse MEFO MOM 18-1EX (140/80-18 FIM-Enduro) Extreme-Enduro Supersoft,168.99,139.66,104.75,4250663641799,1,4013900000,0,1,<p>Extreme-Enduro Supersoft Mouse (No Michelin)</p>,"
Extreme-Enduro Supersoft Mouse (No Michelin)",TIRES & ACCESSORIES,ACCESSORIES,TIRE ACC. MOUSSE,54252,2600,720,685,110,,,18,Trasero,,,https://api.mybihr.com/medias/9004391-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYxMTk3fGltYWdlL2pwZWd8YURreUwyZzFaQzg0T1RrMU1qUTJNekE1TkRBMkx6a3dNRFF6T1RFdE1WODRNREJYZURnd01FZ3xiMTA5MTk0MWFkNGY5MDYyYzFmNWQ0YjIzYzMyOWI2NjE0Yjg4YzA2NDVkODNiMDExYjM3NDAxNzgwZTEyMWFk,https://static.bihr.pro/eBihr/Pictures/MEFO-pictures.zip,https://api.mybihr.com/medias/MOM-18-1.pdf?context=bWFzdGVyfHJvb3R8MjY3NzgyfGFwcGxpY2F0aW9uL3BkZnxhRGs0TDJneU5TODVPVEl5T0RZNE1UZ3pNRFF6TUM5TlQwMGdNVGd0TVM1d1pHWXxjM2QzMjY5MTY3YzJhODY0MDZjMzUyY2I1MWNhODk2MmYyYzFhM2I2Nzk0ZmJmZjViYjY2OGM3NjNjY2FiYzZi,Spain Warehouse (Tires)
9004380,48651,MOM 16,MEFO,MEFO MOUSSE MOM 16 90/100-16,Mousse MEFO MOM 16 (90/100-16 4.10-16),127.50,105.37,79.03,4250663641164,0,4013900000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.csC583D0C8{text-align:left;margin:12pt 0pt 12pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <p>MEFO is the only manufacturer to adapt the diameter of the cross-section of its foams according to the internal volume of the tyres, which varies according to the brand. MEFO also offers different foam structures depending on the type of riding.</p><ul> <li>Foam for tyres</li><li>Reduced weight compared to a reinforced air chamber</li><li>Prevents the risk of puncture </li><li>Equivalent pressure: 0.8 - 0.9 bar</li><li>Uses:MX and endurance</li></ul> <p> </p></body> </html>","       MEFO is the only manufacturer to adapt the diameter of the cross-section of its foams according to the internal volume of the tyres, which varies according to the brand. MEFO also offers different foam structures depending on the type of riding. Foam for tyresReduced weight compared to a reinforced air chamberPrevents the risk of puncture Equivalent pressure: 0.8 - 0.9 barUses:MX and endurance   ",TIRES & ACCESSORIES,ACCESSORIES,TIRE ACC. MOUSSE,43258,1935,650,605,110,,,16,Trasero,,,https://api.mybihr.com/medias/9004380-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYxMTk3fGltYWdlL2pwZWd8YURsaUwyZzNOUzg0T1RrMU1qUTBNelF6TXpJMkx6a3dNRFF6T0RBdE1WODRNREJYZURnd01FZ3w3YmJkOTY5NmYyNzZjNWZmYmY0MGU2OGJiMzI2OTAzZTNiOTI4MWNhNDUyMDFhY2E4NDBjN2E0YThkZThjNGZi,https://static.bihr.pro/eBihr/Pictures/MEFO-pictures.zip,https://api.mybihr.com/medias/MOM-16.pdf?context=bWFzdGVyfHJvb3R8OTQwMDl8YXBwbGljYXRpb24vcGRmfGFEZGhMMmd5Wmk4NU9USXlPRFk0TVRVMk9ESTROaTlOVDAwZ01UWXVjR1JtfDQ0NGJmM2U4OWYwNDkwYzg3NWZiODAyOGUyMGQ5NDc4ZWMyODA3ZjA1NzczN2FmN2FkZWQxY2Y2ODViOGVhYTU,Spain Warehouse (Tires)
9004399,48664,MOM 19 BIG,MEFO,MEFO MOUSSE MOM 19 BIG,Mousse MEFO MOM 19 BIG (70/100-19 Pirelli/Maxxis/Kenda),127.50,105.37,79.03,4250663641096,0,4013900000,0,1,(Pirelli/Bridgestone/Maxxis),(Pirelli/Bridgestone/Maxxis),TIRES & ACCESSORIES,ACCESSORIES,TIRE ACC. MOUSSE,43258,1635,650,605,110,,,19,Delantero,,,https://api.mybihr.com/medias/9004399-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYxMTk3fGltYWdlL2pwZWd8YURSaEwyaGtPUzg0T1RrMU1qUTNPRGd5TWpjd0x6a3dNRFF6T1RrdE1WODRNREJYZURnd01FZ3wwN2QxNjUwODBjMTExOGZmZGFmOTNhZDgyMmQzNDU2Yjk0OTM3NTBlMzFlOTg4YWYwY2ZmNDdjYjA4Mjk5ZmMw,https://static.bihr.pro/eBihr/Pictures/MEFO-pictures.zip,,Spain Warehouse (Tires)
9004395,48660,MOM 18-2TCT,MEFO,MEFO TUBE MOM 18-2TCT,Cámara MEFO 18'' para sistema TCS,24.20,20.00,15.00,4250663641874,1,4013900000,0,1,<p>Cámara de recambio para sistemas TCS de Mefo</p><p>(Todas las marcas excepto Mitas)</p><p>Válido para los artículos 48655 y 48659</p><p> </p>,"
Cámara de recambio para sistemas TCS de Mefo
(Todas las marcas excepto Mitas)
Válido para los artículos 48655 y 48659
 ",TIRES & ACCESSORIES,ACCESSORIES,TIRE ACC. MOUSSE,1496,527,95,210,75,,,18 & 18,Trasero,,TR4,https://api.mybihr.com/medias/9004395-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTU1MjkxfGltYWdlL2pwZWd8YURGaUwyaGlaUzg0T1RrMU1qUTNNRGsxT0RNNEx6a3dNRFF6T1RVdE1WODRNREJYZURnd01FZ3w5MmE1MDc3MGJmYjA5NTNmMjA1M2IyZWY0YTRmN2Q2ZjdhMTU4MjRkYjdlN2FlM2VmYmVlYWRhYzZlYTA3MDI3,https://static.bihr.pro/eBihr/Pictures/MEFO-pictures.zip,,Spain Warehouse (Tires)
9004396,48661,MOM 18-3,MEFO,MEFO MOUSSE MOM 18-3,Mousse MEFO MOM 18-3 (140/80-18 Side Car Cross),121.00,100.00,75.00,4250663641836,1,4013900000,0,1,para Sidercar MX,para Sidercar MX,TIRES & ACCESSORIES,ACCESSORIES,TIRE ACC. MOUSSE,53856,3110,720,680,110,,,18,Trasero,,,https://api.mybihr.com/medias/9004396-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYxMTk3fGltYWdlL2pwZWd8YUdWakwyaGpOQzg0T1RrMU1qUTNNamt5TkRRMkx6a3dNRFF6T1RZdE1WODRNREJYZURnd01FZ3xiYWI2NDVkZjU0YTYzMDIzNTRkZTY1NWJkZTk3OThmZGZlOGEwZDk0ODExNDQ5MTQ5MjZhYmE3N2EzMzI2MmRi,https://static.bihr.pro/eBihr/Pictures/MEFO-pictures.zip,https://api.mybihr.com/medias/MOM-18-3.pdf?context=bWFzdGVyfHJvb3R8ODQ0NTZ8YXBwbGljYXRpb24vcGRmfGFEa3dMMmd5T1M4NU9USXlPRFk0TWpBNU1qVTNOQzlOVDAwZ01UZ3RNeTV3WkdZfDM4NWJlNGMwYzkzYjY2NGMzZWI2MTIyZTdiNzQ5NjExODYzNTkzZGRmM2JlMDA4OTU1NTEzNmY2OTljMzQ1ODg,Spain Warehouse (Tires)
9004402,48666,MOM 19-1,MEFO,MEFO MOUSSE MOM 19-1,Mousse MEFO MOM 19-1 (110/90-19),137.30,113.47,85.10,4250663641911,1,4013900000,0,1,<p>(Todas las marcas)</p>,"
(Todas las marcas)",TIRES & ACCESSORIES,ACCESSORIES,TIRE ACC. MOUSSE,53856,2550,720,680,110,,,19,Trasero,,,https://api.mybihr.com/medias/9004402-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYxMTk3fGltYWdlL2pwZWd8YURGbEwyaG1aQzg1TURJeU16YzFNalkwTWpnMkx6a3dNRFEwTURJdE1WODRNREJYZURnd01FZ3w1NDFlYzU5ZTNjYzYzM2E5NGJmYjdhNjg4ZDVhYjdlMzJiODYyNThmNDBlMzIyYjljODg4NDk5ZGQ3MzI0Yjdl,https://static.bihr.pro/eBihr/Pictures/MEFO-pictures.zip,https://api.mybihr.com/medias/MOM-19-1.pdf?context=bWFzdGVyfHJvb3R8MTg1MzcxfGFwcGxpY2F0aW9uL3BkZnxhRFZtTDJnek15ODVPVEl5T0RZNE1qTTFORGN4T0M5TlQwMGdNVGt0TVM1d1pHWXxhNjQ0OTgyZTRmMjYzMjk3MjJiMDdiNWI0ZWNjYzY0NWZiYjY2NGM5YjU2MTVmMGRmMjY4ZTgyODZlMmNiOWZh,Spain Warehouse (Tires)
9004408,48668,MOM 21-BIG,MEFO,MEFO MOUSSE MOM 21-BIG,Mousse MEFO MOM 21-BIG (90/90-21 y 90/100-21 carcasa grande),132.50,109.50,82.13,4250663641225,2,4013900000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.csC583D0C8{text-align:left;margin:12pt 0pt 12pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <p>MEFO is the only manufacturer to adapt the diameter of the cross-section of its foams according to the internal volume of the tyres, which varies according to the brand. MEFO also offers different foam structures depending on the type of riding.</p><ul> <li>Foam for tyres</li><li>Reduced weight compared to a reinforced air chamber</li><li>Prevents the risk of puncture </li><li>Equivalent pressure: 0.8 - 0.9 bar</li><li>Uses:MX and endurance</li></ul> <p> </p></body> </html>","       MEFO is the only manufacturer to adapt the diameter of the cross-section of its foams according to the internal volume of the tyres, which varies according to the brand. MEFO also offers different foam structures depending on the type of riding. Foam for tyresReduced weight compared to a reinforced air chamberPrevents the risk of puncture Equivalent pressure: 0.8 - 0.9 barUses:MX and endurance   ",TIRES & ACCESSORIES,ACCESSORIES,TIRE ACC. MOUSSE,53856,2235,720,680,110,,,21,Delantero,,,https://api.mybihr.com/medias/9004408-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYxMTk3fGltYWdlL2pwZWd8YURRMUwyZzFZUzg0T1RrMU1qUTVOalV4TnpReUx6a3dNRFEwTURndE1WODRNREJYZURnd01FZ3w2YmJhOTk0NGJiZGRjYzRiZDBiZDRkYzUzNmM4MmQzNmI3Njk0YWVkNDQwNDE4OTk2OTIxYzc5ZTFmNDkyNGQ5,https://static.bihr.pro/eBihr/Pictures/MEFO-pictures.zip,https://api.mybihr.com/medias/MOM-21-BIG.pdf?context=bWFzdGVyfHJvb3R8NjU1Nzd8YXBwbGljYXRpb24vcGRmfGFESm1MMmd6WVM4NU9USXlPRFk0TWpVMU1UTXlOaTlOVDAwZ01qRXRRa2xITG5Ca1pnfGM3M2NiODc5ZTFkOGQ0MzM1MmJmNmY1MDU4ZjI1MWY3YzNhODQ2ZGQ4Y2ZkNjg0MmM3ZDBhYjA2MjEzOTQ0ODE,Spain Warehouse (Tires)
