PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1050287,34974,4582002,METALWORKS,METAL COMPRESSOR 3CV 200L 230V,Compresor Metalworks Galaxy 200L 3CV/230V,1225.13,1012.50,810.00,8020119117453,2,8414401000,0,1,<p align=left>Compresor Metalworks Galaxy 200 litros.<br><br><strong>Aire aspirado:</strong> &nbsp;310 ltr./min.</p><p align=left><strong>Presión máxima:</strong> &nbsp;10 bares.</p><p align=left><strong>Capacidad del depósito:</strong> &nbsp;200 ltr.</p><p align=left><strong>Cilindros/etapas:</strong> &nbsp;2/1.</p><p align=left><strong>Nº de revoluciones:</strong> &nbsp;1.540 r.p.m.</p><p align=left><strong>Potencia del motor:</strong> &nbsp;3 CV / 230 V.</p><p align=left><strong>Dimensiones (l x an x al):</strong> &nbsp;1.460 x 640 x 1.140 mm.</p><p><strong>Peso neto:</strong> &nbsp;102 kg.</p>,"
Compresor Metalworks Galaxy 200 litros.Aire aspirado:  310 ltr./min.
Presión máxima:  10 bares.
Capacidad del depósito:  200 ltr.
Cilindros/etapas:  2/1.
Nº de revoluciones:  1.540 r.p.m.
Potencia del motor:  3 CV / 230 V.
Dimensiones (l x an x al):  1.460 x 640 x 1.140 mm.
Peso neto:  102 kg.",TOOLING & WS,WS,WS. COMPRESSED AIR,772200,96000,1560,1100,450,https://api.mybihr.com/medias/1050287-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTUwNDl8aW1hZ2UvanBlZ3xhRGN6TDJnMFpDOHhOVFF4TlRNeU5EQXhOalkzTUM4eE1EVXdNamczTFRGZk9EQXdWM2c0TURCSXxmZWUyOWYxNzI5MTAwMDdhOWJmMTI3MzEwYzllNWQ0NWI3NGMzYTlkZTU3NGE5NjI2MDQ5ZGQzNTBkNGVjNjM1,,https://static.bihr.pro/eBihr/Pictures/METALWORKS-pictures.zip,Spain Warehouse (Parts)
1050291,35683,758136800,METALWORKS,METAL SPARE PARTS,Protector de cable recto Metalworks CP1000 800x450x50mm,135.52,112.00,89.60,8430525356832,10,8466103800,0,1,<p>Protector de cable&nbsp;recto CP1000 con compuerta abatible.</p><p>&nbsp;</p><p><strong>Dimensiones (l x an x al):</strong>&nbsp;&nbsp;800 x 450 x 50 mm.</p><p><strong>Peso neto:</strong>&nbsp; 12 kg.</p>,"
Protector de cable recto CP1000 con compuerta abatible.
 
Dimensiones (l x an x al):  800 x 450 x 50 mm.
Peso neto:  12 kg.",TOOLING & WS,WS,WS. COMPRESSED AIR,21843,12,470,845,55,https://api.mybihr.com/medias/1050291-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk1MDl8aW1hZ2UvanBlZ3xhREU0TDJoak9TOHhOVFF4TlRNeU5UVTRPVFV6TkM4eE1EVXdNamt4TFRGZk9EQXdWM2c0TURCSXwxYzc5ZTM3MWZiZjM3ZDMwNjE0ZDlmMDVjOWM5N2Q0ZDU2ODdmYTc3MDRjZjYxYzAxYmIwNzdlNTU1ZDkxOTJi,https://api.mybihr.com/medias/1050291-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjI5ODN8aW1hZ2UvanBlZ3xhR0k0TDJoa05pOHhOVFF4TlRNeU5UazRNamMxTUM4eE1EVXdNamt4TFRKZk9EQXdWM2c0TURCSXxhOTRmYjIyZWRlYzczMjIxY2Q5ODkxNTA0NTMzYTkxNWY2MDYwNWJkY2JkOTA3YWU0YTI3ZjZhY2Y0NWJlODNi,https://static.bihr.pro/eBihr/Pictures/METALWORKS-pictures.zip,Spain Warehouse (Parts)
1050495,35028,758136801,METALWORKS,METAL PROTECTION FOR CABLE,PROTECTOR DE CABLE CURVO 380 X 450 X 50 MM CPR1000,68.06,56.25,16.88,8430525350281,2,8466103800,0,1,"<p>Protector de cable curvo CPR1000 con compuerta abatible.</p><p>&nbsp;</p><p><strong>Dimensiones (l x an x al):</strong>&nbsp; 380 x 450 x 50 mm.</p><p><strong>Peso neto:</strong>&nbsp; 2,6 kg.</p>","
Protector de cable curvo CPR1000 con compuerta abatible.
 
Dimensiones (l x an x al):  380 x 450 x 50 mm.
Peso neto:  2,6 kg.",TOOLING & WS,WS,WS. FURNITURE,14290,4230,445,446,72,https://api.mybihr.com/medias/1050495-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTcxNjR8aW1hZ2UvanBlZ3xhRGd4TDJnM01pOHhOVFF4TlRRek56TXlPRFF4TkM4eE1EVXdORGsxTFRGZk9EQXdWM2c0TURCSXw3MzBkMzMyMmU5OWVmNDdhMmM4MzgxMmY1NjYxZDE0YjQyOGQxMzk2OGRiOGZmYTc2MmY3OTQ2YzU4YTgxZmNm,https://api.mybihr.com/medias/1050495-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjAzODJ8aW1hZ2UvanBlZ3xhR1V3TDJnMk5DOHhOVFF4TlRRek56Y3lNVFl6TUM4eE1EVXdORGsxTFRKZk9EQXdWM2c0TURCSXw1NDkzNmUyMDg4Nzg3N2I3ZDdkNTE5YmE4ZTZiNDNlOGYxZjUzMDNlZjI1YTE2M2E4MzI4MDg0ZDI4MWEyZGRk,https://static.bihr.pro/eBihr/Pictures/METALWORKS-pictures.zip,Spain Warehouse (Parts)
1050483,35011,754800150,METALWORKS,METAL CHAIN PLASTIC 8MM,CADENAS DE Plástico 8 MM S2005G,60.50,50.00,40.00,8430525350113,1,3926909790,0,1,"<p>Cadenas de plástico.&nbsp;Rojo/blanco. Lavable, no conductor, anti-magnético. Resistente a temperaturas entre -10 ° y 75 °C.</p><p>&nbsp;</p><p><strong>Diámetro:</strong>&nbsp; 8 mm.</p><p><strong>Dimensiones anillo:</strong>&nbsp; 29 x 49 mm.</p><p><strong>Largo:</strong>&nbsp; 25 m.</p>","
Cadenas de plástico. Rojo/blanco. Lavable, no conductor, anti-magnético. Resistente a temperaturas entre -10 ° y 75 °C.
 
Diámetro:  8 mm.
Dimensiones anillo:  29 x 49 mm.
Largo:  25 m.",TOOLING & WS,WS,WS. FURNITURE,13020,3352,420,310,100,https://api.mybihr.com/medias/1050483-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMwODg1fGltYWdlL2pwZWd8YUdVNEwyaGlaQzh4TlRReE5UUXpNRGszTVRReU1pOHhNRFV3TkRnekxURmZPREF3VjNnNE1EQkl8N2U0MTViZmIwZDBhMzg2OGI3NjU5OGJiM2IyYjcwOWQzN2NjMDllMGJhNjQwMjc4NTc0MTI4NjIwNDdmZmE5Mw,,https://static.bihr.pro/eBihr/Pictures/METALWORKS-pictures.zip,Spain Warehouse (Parts)
1050492,35024,758136202,METALWORKS,METAL PROTECTION CORNER,Protector de angulo PU7325NJ,37.81,31.25,25.00,3321360006202,1,8714109090,0,1,<p>Protector de ángulo.</p><p><strong></strong>&nbsp;</p><p><strong>Color:</strong>&nbsp; Negro/amarillo.</p><p><strong>Dimensiones:</strong>&nbsp;&nbsp;73 cm x&nbsp;150 mm.</p>,"
Protector de ángulo.
 
Color:  Negro/amarillo.
Dimensiones:  73 cm x 150 mm.",TOOLING & WS,WS,WS. FURNITURE,6173,252,302,730,28,https://api.mybihr.com/medias/1050492-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTAzMzd8aW1hZ2UvanBlZ3xhR1V3TDJoak5DOHhOVFF4TlRRek5UWTVNREF4TkM4eE1EVXdORGt5TFRGZk9EQXdWM2c0TURCSXw0MWMxYzVmZmNjYjk0OTBkN2MzOTkzYzRhMjI3MzNkYTU0ZjJkZTllZDM2ZDM4ZDM0OGZhODFjOWFkNWMwNzY2,,https://static.bihr.pro/eBihr/Pictures/METALWORKS-pictures.zip,Spain Warehouse (Parts)
1050477,34998,751501102,METALWORKS,METAL PANEL GR17,PANEL PORTAHERRAMIENTAS GR17,240.49,198.75,159.00,8430525349988,1,7308905100,0,1,"<p align=left>Panel portaherramientas GR17. Distancia entre perforación 8 mm, Ø 5 mm.</p><p align=left>&nbsp;</p><p align=left><strong>Dimensiones</strong>: 2000x830 mm.</p><p align=left><strong>Peso neto:</strong> 13Kg.</p>","
Panel portaherramientas GR17. Distancia entre perforación 8 mm, Ø 5 mm.
 
Dimensiones: 2000x830 mm.
Peso neto: 13Kg.",TOOLING & WS,WS,WS. FURNITURE,56070,12,30,2100,890,https://api.mybihr.com/medias/1050477-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDUyNjF8aW1hZ2UvanBlZ3xhRFZpTDJoalpTOHhOVFF4TlRReU9EWXhNakV5Tmk4eE1EVXdORGMzTFRGZk9EQXdWM2c0TURCSXwyZTMwZmI0YTFjMTRkYjQ1Yjg0MTZiYzE3MDQwZTY5OWVmNjNhYjNkY2NjMDkyZGZhZDkwNTBmNjM2ZjVlODJl,,https://static.bihr.pro/eBihr/Pictures/METALWORKS-pictures.zip,Spain Warehouse (Parts)
1050493,35025,758136418,METALWORKS,METAL CORNER 75CMX40MM,ESQUINERA 75 CM X 40 MM,28.74,23.75,19.00,8430525350250,25,8714109090,0,1,<p>Esquinera de protección.<br><br><strong>Color:</strong>&nbsp; Negro/amarillo.</p><p><strong>Dimensiones:</strong>&nbsp;&nbsp;75 cm x&nbsp;40 mm.</p>,"
Esquinera de protección.Color:  Negro/amarillo.
Dimensiones:  75 cm x 40 mm.",TOOLING & WS,WS,WS. FURNITURE,320,54,50,160,40,https://api.mybihr.com/medias/1050493-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjU5MTd8aW1hZ2UvanBlZ3xhR1UyTDJobE5TOHhOVFF4TlRRek5qQTRNekl6TUM4eE1EVXdORGt6TFRGZk9EQXdWM2c0TURCSXw4YWJlMDc4NTBhZTRhYTdlZDY1NDI0MDhlNWJjZmY4N2Y5ZWIwNjI1ZDc3ZTMxODgyOTI4N2IwM2M1NTcwYmU3,https://api.mybihr.com/medias/1050493-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzIwMTd8aW1hZ2UvanBlZ3xhRFU0TDJoa09DOHhOVFF4TlRRek5qUTNOalEwTmk4eE1EVXdORGt6TFRKZk9EQXdWM2c0TURCSXxhZWVkYTA4NmZiMWU4MjgxZWFmOGJhNDQzOGU1Y2I2MTg3MjcxYTdkYmNhODg3ZWRkNzE4Njc3YjBmODVjZjBj,https://static.bihr.pro/eBihr/Pictures/METALWORKS-pictures.zip,Spain Warehouse (Parts)
1052460,35049,856118428,METALWORKS,METAL HOOKS SET,KIT DE GANCHOS para panel ref 34998,117.98,97.50,78.00,118478,1,7318130090,0,1,"Kit completo de ganchos, soportes y colgadores para panel portaherramientas.<br>","Kit completo de ganchos, soportes y colgadores para panel portaherramientas.",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,4930,2568,290,100,170,https://api.mybihr.com/medias/1052460-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjMzNjZ8aW1hZ2UvanBlZ3xhRGhqTDJnME15OHhOVFF4TlRVeE5UTTRNVGM1TUM4eE1EVXlORFl3TFRGZk9EQXdWM2c0TURCSXwxMDk5ZjY5ZWJkZTcyZWNlMWI1ZTc0ZTY5YzljY2M3NGY0ODFlNTQ3OTg1MzU4ZTRmOTQ0ZTEzOWNiZGFkNWM3,,https://static.bihr.pro/eBihr/Pictures/METALWORKS-pictures.zip,Spain Warehouse (Parts)
1052455,37814,754773030,METALWORKS,METAL PUMP OIL DURM ROTATIVE 50-208L,Bomba bidón de aceite 50-208L rotativa Metal Works PPKQ25,146.85,121.36,97.09,8901486440521,1,8413602090,0,1,,,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,6480,6452,180,240,150,https://api.mybihr.com/medias/1052455-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjcwNjJ8aW1hZ2UvanBlZ3xhRFkwTDJnNFpDOHhOVFF4TlRVeE16UXhOVGN4TUM4eE1EVXlORFUxTFRGZk9EQXdWM2c0TURCSXwwZTM5MzM1MTA3YjgyYzhhZDk4N2M0YjljOWM0ZGZmN2EyM2VhOWVmYWExM2VkNTM2OGM1YTgxN2RmNjBjMTlh,,https://static.bihr.pro/eBihr/Pictures/METALWORKS-pictures.zip,Spain Warehouse (Parts)
1052457,35046,7581374564,METALWORKS,METAL NAILS RRSIKE4SB,CLAVOS RRSIKE4SB,12.10,10.00,3.00,8430525350465,1,7317006000,0,1,"<p>Clavos metálicos para anclaje de rampas de polietileno.<br>Ø6mm (x2), Ø10mm (x2).</p><p>&nbsp;</p>","
Clavos metálicos para anclaje de rampas de polietileno.Ø6mm (x2), Ø10mm (x2).
 ",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,1295,662,70,370,50,https://api.mybihr.com/medias/1052457-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDQyODh8aW1hZ2UvanBlZ3xhRGhoTDJneVlTOHhOVFF4TlRVeE5ESXdNakUwTWk4eE1EVXlORFUzTFRGZk9EQXdWM2c0TURCSXwyZjM0MjhiMmI3YTI1YTE1YTNjZTM1OTM1NDBlZjY2YWI3NGM3NTJjM2FjYzE2ZTcxMjRhYWQwOTFkZDVmNDI3,,https://static.bihr.pro/eBihr/Pictures/METALWORKS-pictures.zip,Spain Warehouse (Parts)
