PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (cm),Anchura (cm),Anchura (mm),Capacidad (ml/l),Color,Composición,Diámetro int/ext (mm/mm),Diámetro Ø (mm),Embalaje,Longitud (cm),Longitud (mm),Número de puntos,Profundidad (cm),Rosca (mm),Sentido de rosca,Tamaño de accionamiento cuadrado,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,AllPicturesZIP,Document1,Document2,DeliveryPlant
1041643,17451,02-0029,MOTION PRO,MOPRO CABLE CLUTCH,Cable embrague,33.88,28.00,18.20,02-0029,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their braiding made of highly resistant and supple steel, they combine safety and reliability. The sheaths are fitted with nylon inserts for more comfortable control.</p></body> </html>","       With their braiding made of highly resistant and supple steel, they combine safety and reliability. The sheaths are fitted with nylon inserts for more comfortable control. ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,1386,200,177,135,58,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1041643-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc0MzJ8aW1hZ2UvanBlZ3xhRFl4TDJnMVlTODRPVEkwTnpJME1qazNOelU0THpFd05ERTJORE10TVY4NE1EQlhlRGd3TUVnfGZlM2QxNjZhYzY1NjM2YWI1MDA5ODAwZmE3NGZhNGZhMWVlYzI2MmI2OGFiM2U2MjI4MDBhZWE1NDA4ZGRkMTQ,,,,,,,https://static.bihr.pro/eBihr/Pictures/MOTION_PRO-pictures.zip,,,Spain Warehouse (Parts)
1041649,17456,02-0060,MOTION PRO,MOPRO CABLE CLUTCH,Cable embrague,26.00,21.49,13.97,02-0060,2,8714109090,0,1,Longitud cable: 1085 mm.<br>Longitud camisa: 1055 mm.,Longitud cable: 1085 mm.Longitud camisa: 1055 mm.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,1386,200,177,135,58,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1041649-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc0MzJ8aW1hZ2UvanBlZ3xhREUxTDJoaFlpODRPVE01TWprd09EZzJNVGMwTHpFd05ERTJORGt0TVY4NE1EQlhlRGd3TUVnfDNhMzM3NjE4ODkyNDhkNzUzZGQ1ZTBmNWRhNDBjNDY1YTQ2NjkyZWI0NTRiYWIxYWNjODRlYTc2MWUwZjBmOGI,,,,,,,https://static.bihr.pro/eBihr/Pictures/MOTION_PRO-pictures.zip,,,Spain Warehouse (Parts)
1041651,17457,02-0067,MOTION PRO,MOPRO CABLE CLUTCH,Cable embrague,46.28,38.25,24.86,000000200677,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their braiding made of highly resistant and supple steel, they combine safety and reliability. The sheaths are fitted with nylon inserts for more comfortable control.</p></body> </html>","       With their braiding made of highly resistant and supple steel, they combine safety and reliability. The sheaths are fitted with nylon inserts for more comfortable control. ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,2000,200,200,200,50,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1041651-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc0MzJ8aW1hZ2UvanBlZ3xhR013TDJneE9TODRPRFkwTkRZNU5ERTRNREUwTHpFd05ERTJOVEV0TVY4NE1EQlhlRGd3TUVnfGY3ODliZDBjMDdjZWQ0NDc1OTk3MDIwOWVmMjQ2OGEwNWVlZTRiY2Q1ZTY1ZmI1OWQwM2FiZmQxYjA3ZjFiMDQ,,,,,,,https://static.bihr.pro/eBihr/Pictures/MOTION_PRO-pictures.zip,,,Spain Warehouse (Parts)
1041653,18065,02-0094,MOTION PRO,MOPRO CABLE THROTTLE PULL,Cable gas tiro MOTION PRO,39.33,32.50,21.13,02-0094,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their braiding made of highly resistant and supple steel, they combine safety and reliability. The sheaths are fitted with nylon inserts for more comfortable control.</p></body> </html>","       With their braiding made of highly resistant and supple steel, they combine safety and reliability. The sheaths are fitted with nylon inserts for more comfortable control. ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,2000,200,200,200,50,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1041653-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc0MzJ8aW1hZ2UvanBlZ3xhR0ZqTDJnM05pODRPVE0xTURVMU9EVXhOVFV3THpFd05ERTJOVE10TVY4NE1EQlhlRGd3TUVnfGJmODY5M2YxMTA3YWVhZDFmZjg5NDMzZjc0MzQ0MDYxNjFiYTBmYzI1ODMxZTMwODMxM2Q1YmI3ZjAzYTZhZTA,,,,,,,https://static.bihr.pro/eBihr/Pictures/MOTION_PRO-pictures.zip,,,Spain Warehouse (Parts)
1041831,880045,08-0045,MOTION PRO,MOPRO CABLE THROTTLE PUSH,Kit instalación tornillos de ralentí + broca + macho Motion Pro para Banshee,37.03,30.60,19.89,08-0045,1,8205100000,0,1,"<html>	<head>		<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title>		</title>		<style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style>	</head>	<body>		<ul>			<li>Used to install a standard Mikuni idle adjuster into the carburetor body</li><li>For use on Yamaha Banshee and Blaster models</li><li>Idle adjuster is necessary if carburetor top has been replaced with a standard Mikuni cap</li><li>Drill press or mill should be used to drill holes in the carburetor bodies</li></ul>		<p> </p><p>Kit includes : </p><p> </p><ul>			<li>A drill bit (#6)</li><li>Thread tap (6mm x .75mm)</li><li>2 idle screws with lock nuts</li><li>Instructions</li></ul>	</body></html>",														Used to install a standard Mikuni idle adjuster into the carburetor bodyFor use on Yamaha Banshee and Blaster modelsIdle adjuster is necessary if carburetor top has been replaced with a standard Mikuni capDrill press or mill should be used to drill holes in the carburetor bodies		 Kit includes :  			A drill bit (#6)Thread tap (6mm x .75mm)2 idle screws with lock nutsInstructions	,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,366,56,181,119,17,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1041831-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjU3MDl8aW1hZ2UvanBlZ3xhR05qTDJnNU1pODRPVGN3TVRjek5qRXlNRFl5THpFd05ERTRNekV0TVY4NE1EQlhlRGd3TUVnfDAwOTU3NDg4MjMxM2MwMjVmNTIyNjAyNTEzY2YzNzQ0MDU4ZjZlNTYyZTg2MjcyOGFiNDEwN2Q0NmI2YjQ2NjI,,,,,,,https://static.bihr.pro/eBihr/Pictures/MOTION_PRO-pictures.zip,,,Spain Warehouse (Parts)
1041834,885126,10-0126,MOTION PRO,MOPRO CABLE THROTTLE,Cable de gas Motion Pro SX450/505,42.96,35.50,23.08,10-0126,0,8714109090,0,1,"<html>	<head>		<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title>		</title>		<style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style>	</head>	<body>		<p>With their braiding made of highly resistant and supple steel, they combine safety and reliability. The sheaths are fitted with nylon inserts for more comfortable control.</p></body></html>","											With their braiding made of highly resistant and supple steel, they combine safety and reliability. The sheaths are fitted with nylon inserts for more comfortable control.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,2000,196,200,200,50,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1041834-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTcyNDh8aW1hZ2UvanBlZ3xhREpoTDJoak55ODRPVEkwTXpVM09URTROelV3THpFd05ERTRNelF0TVY4NE1EQlhlRGd3TUVnfDQzYmY3MWE3MzVmYWUzODhmZmI5NjExZmU5ZDc5MGI2MmJlNWJjYzE4Mjc1MmZhYTdmNTJlZWRiNWU2ZTg1ODc,,,,,,,https://static.bihr.pro/eBihr/Pictures/MOTION_PRO-pictures.zip,,,Spain Warehouse (Parts)
1041550,872621,01-2606,MOTION PRO,MOPRO THROTTLE KIT + CABLES,Acelerador Motion Pro CR-PRO,96.80,80.00,52.00,01-2606,1,8714109090,0,1,"<html>	<head>		<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title>		</title>		<style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs6FE56D2{text-align:left;margin:0pt 0pt 0pt 36pt;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style>	</head>	<body>		<ul>			<li>Kit includes Motion Pro CR Pro throttle, throttle cable and grips.</li><li>Designed to work with stock throttle body</li><li>Designed for ultimate throttle performance</li></ul>		<p> </p><p>Spare cable : 889997</p></body></html>","														Kit includes Motion Pro CR Pro throttle, throttle cable and grips.Designed to work with stock throttle bodyDesigned for ultimate throttle performance		 Spare cable : 889997",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,8140,819,350,306,76,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1041550-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI1ODR8aW1hZ2UvanBlZ3xhREZtTDJneVppODRPVFV6TmpVek9UZzFNekV3THpFd05ERTFOVEF0TVY4NE1EQlhlRGd3TUVnfDUxNDE0YmE1MDU1ZWI5MGMzZmFiZTA2NzkxNzJkMTc0MDZhY2E5YjY2ODIxNjIzNmI5ZTVmNzczMzQ0Mjg5NmQ,,,,,,,https://static.bihr.pro/eBihr/Pictures/MOTION_PRO-pictures.zip,,,Spain Warehouse (Parts)
1041571,875003,01-0083,MOTION PRO,MOPRO THROTTLE SLEEVE,Caña de gas Motion Pro KX125-250 83-91 KDX200 83-00 - KX500 83-00,13.31,11.00,7.15,01-0083,1,8714109090,0,1,"<html>	<head>		<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title>		</title>		<style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style>	</head>	<body>		<ul>			<li>OEM throttle tube replacement</li><li>Heavier duty and exceed the quality and durability of OEM tubes</li><li>Will not scar bars like aluminum tubes</li><li>Nylon fabric composite material</li><li>Pop-out end caps for use with bar-end-type hand guards</li></ul>	</body></html>",														OEM throttle tube replacementHeavier duty and exceed the quality and durability of OEM tubesWill not scar bars like aluminum tubesNylon fabric composite materialPop-out end caps for use with bar-end-type hand guards	,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,1077,61,181,119,50,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1041571-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk1NjN8aW1hZ2UvanBlZ3xhR1kzTDJnek1DODRPVGN3TVRZNU1qZzJOamcyTHpFd05ERTFOekV0TVY4NE1EQlhlRGd3TUVnfDdjNTkxNDhlODRkYTM0ODlhNWI5ODQ5OTk0ODlmODIzNDIzZTUyNzhiNjgyOTM4YmRjMzkyNWFkN2FhNzRjMmU,,,,,,,https://static.bihr.pro/eBihr/Pictures/MOTION_PRO-pictures.zip,,,Spain Warehouse (Parts)
1041573,875007,01-0085,MOTION PRO,MOPRO THROTTLE SLEEVE,Caña de gas Motion Pro,13.31,11.00,7.15,01-0085,1,8714109090,0,1,"<html>	<head>		<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title>		</title>		<style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style>	</head>	<body>		<ul>			<li>OEM throttle tube replacement</li><li>Heavier duty and exceed the quality and durability of OEM tubes</li><li>Will not scar bars like aluminum tubes</li><li>Nylon fabric composite material</li><li>Pop-out end caps for use with bar-end-type hand guards</li></ul>	</body></html>",														OEM throttle tube replacementHeavier duty and exceed the quality and durability of OEM tubesWill not scar bars like aluminum tubesNylon fabric composite materialPop-out end caps for use with bar-end-type hand guards	,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,750,56,180,119,35,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1041573-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA2MjR8aW1hZ2UvanBlZ3xhRGcwTDJnelpTODRPVGN3TVRZNU5qYzVPVEF5THpFd05ERTFOek10TVY4NE1EQlhlRGd3TUVnfDljOTJjMWYyMDgyNDhlZDkxNjY0NTFkODcyYTYzZTQzOGZjZDNmZDZmZTBkZDQ2NGY5NDY0YzUwMzU5MDE3YzU,,,,,,,https://static.bihr.pro/eBihr/Pictures/MOTION_PRO-pictures.zip,,,Spain Warehouse (Parts)
1041575,875013,01-0087,MOTION PRO,MOPRO THROTTLE SLEEVE,"Caña de gas Motion Pro XR200R 86-00, XR80-100 82-00- NX125",13.31,11.00,7.15,01-0087,1,8714109090,0,1,"<html>	<head>		<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title>		</title>		<style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style>	</head>	<body>		<ul>			<li>OEM throttle tube replacement</li><li>Heavier duty and exceed the quality and durability of OEM tubes</li><li>Will not scar bars like aluminum tubes</li><li>Nylon fabric composite material</li><li>Pop-out end caps for use with bar-end-type hand guards</li></ul>	</body></html>",														OEM throttle tube replacementHeavier duty and exceed the quality and durability of OEM tubesWill not scar bars like aluminum tubesNylon fabric composite materialPop-out end caps for use with bar-end-type hand guards	,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,1304,83,286,114,40,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1041575-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTkzNTd8aW1hZ2UvanBlZ3xhRFk1TDJoaVpTODRPVGN3TVRjd01EY3pNVEU0THpFd05ERTFOelV0TVY4NE1EQlhlRGd3TUVnfDk4MDg4OWVhZTBlYzA4YWE0NDQ2NmJhNmMzY2YwM2NhYjhjZGE1MDFhNTVjYmNiN2M5OGJiYmMwZWI3MWM1MDQ,,,,,,,https://static.bihr.pro/eBihr/Pictures/MOTION_PRO-pictures.zip,,,Spain Warehouse (Parts)
