PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1060349,789166,TB017MS,MOTOGRAFIX,MOTGF TANK PAD TB017MS,Protector de depósito Motografix R1200GS blanco/azul/rojo,31.33,25.89,13.57,TB017MS,3,8714109090,0,1,"Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.","Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,807,125,299,225,12,Blanco,https://api.mybihr.com/medias/1060349-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTAwMDUzfGltYWdlL2pwZWd8YURRM0wyaGpZUzg0T1RjeU9EVTBNRE0wTkRZeUx6RXdOakF6TkRrdE1WODRNREJYZURnd01FZ3xmODcwYWJiODNiMjhlNmMzM2JkZmRhMmUzNzQwOGM1M2NjZDI4ZTVjNGQ1OTBhMTUxNjQ5OWZmODRiZDk1YzA0,,https://static.bihr.pro/eBihr/Pictures/MOTOGRAFIX-pictures.zip,Spain Warehouse (Parts)
1060429,780373,TM004W,MOTOGRAFIX,MOTGF TANK PAD TM004W,Protector de depósito Motografix MV AGUSTA F4RR 3 piezas blanco,31.33,25.89,13.57,TM004W,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.</p></body> </html>","       Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics. ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,932,123,296,225,14,Blanco,https://api.mybihr.com/medias/1060429-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjExOTY5fGltYWdlL2pwZWd8YURobUwyaGlaUzg1TURFeU1qazJOVGd4TVRVd0x6RXdOakEwTWprdE1WODRNREJYZURnd01FZ3wzYTFjMmUzMDU0YzYxNjI1MTNhMjY4NmYzNjUzMjU1NGU4ZmIyMDBjOTE2MGIxZGJiMTY1OGIyYjA2Mjc1MWQ0,,https://static.bihr.pro/eBihr/Pictures/MOTOGRAFIX-pictures.zip,Spain Warehouse (Parts)
1060360,780185,TB023W,MOTOGRAFIX,MOTGF TANK PAD TB023W,Protector de depósito Motografix BMW S1000RR 4 piezas blanco,31.33,25.89,13.57,TB023W,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs2654AE3A{text-align:left;margin:0pt 0pt 0pt 0pt;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>100% proudly made in england since 1997 using the best materials available.</p><p>Factory fit, finest quality 3d gel protection system to prevent or cover existing stone chips & scratches and also gives the bike that all important race look. </p><p></p></body> </html>","       100% proudly made in england since 1997 using the best materials available.Factory fit, finest quality 3d gel protection system to prevent or cover existing stone chips & scratches and also gives the bike that all important race look.  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,939,123,298,225,14,Blanco,https://api.mybihr.com/medias/1060360-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzY3MDN8aW1hZ2UvanBlZ3xhRGd6TDJnME5TODRPVGN5T0RVMU9EQXpPVE0wTHpFd05qQXpOakF0TVY4NE1EQlhlRGd3TUVnfDg4Y2RlYmExNzdlNzA5MTY3ODhlZWFkYWM0N2ZjNzhiNWExMDc5Zjg2MzZlMWFhMWNjZWRjM2QyZTk1ZDIzOGM,,https://static.bihr.pro/eBihr/Pictures/MOTOGRAFIX-pictures.zip,Spain Warehouse (Parts)
1060340,788903,TB009K,MOTOGRAFIX,MOTGF TANK PAD TB009K,"Protector de depósito Motografix R1200GS negro, 4 piezas",31.33,25.89,13.57,TB009K,1,8714109090,0,1,MOTOGRAFIX resin guards are very hard-wearing and are an essential accessory for customizing your machine.,MOTOGRAFIX resin guards are very hard-wearing and are an essential accessory for customizing your machine.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,1107,136,296,220,17,,https://api.mybihr.com/medias/1060340-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg2Njh8aW1hZ2UvanBlZ3xhRE0zTDJoa1l5ODVNREV5T1RReU5UTTJOek0wTHpFd05qQXpOREF0TVY4NE1EQlhlRGd3TUVnfDliYjFmN2FiNDJkYjk4ZWU1YTJmY2EyYmMzYjhkYmM1MzBmMjk4NTdjZGI2ZDlkOTc0NjVhYWE1OTdmM2YyZDI,,https://static.bihr.pro/eBihr/Pictures/MOTOGRAFIX-pictures.zip,Spain Warehouse (Parts)
1060471,789144,TY017B,MOTOGRAFIX,MOTGF TANK PAD TY017B,Protector de depósito Motografix YZF-R125 azul,27.00,22.31,14.50,TY017B,1,8714109090,0,1,"Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.","Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,463,90,268,192,9,Azul,https://api.mybihr.com/medias/1060471-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE0OTIyfGltYWdlL2pwZWd8YURsa0wyaGtZeTg0T1RjeU9EYzBNamcxTURnMkx6RXdOakEwTnpFdE1WODRNREJYZURnd01FZ3xlYjY1ZDgzZDMzOWE2MGVkYzExYjdlNjQ0YzVhZjg3ZjYwYjY5MGRlYTMzYTI2MmMwNzg3NjViMDJkZjIwNWNl,,https://static.bihr.pro/eBihr/Pictures/MOTOGRAFIX-pictures.zip,Spain Warehouse (Parts)
1060443,780374,TS027BW,MOTOGRAFIX,MOTGF TANK PAD TS027BW,Protector de depÃ³sito Motografix SUZUKI GSR750 2 piezas blanco/azul,31.33,25.89,13.57,TS027BW,2,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.</p></body> </html>","       Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics. ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,932,122,296,225,14,Azul,https://api.mybihr.com/medias/1060443-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk3ODYxfGltYWdlL2pwZWd8YURaa0wyZ3pOUzg0T1RjeU9EWTVPVFU1TnpFd0x6RXdOakEwTkRNdE1WODRNREJYZURnd01FZ3xjNTRiNDE2Mzc2YzBiYzAzOTA5YTFhN2U4YmEzZWY3MGIxYTY4M2QzMGNkMDA4ODAxMDEyOGQ4ZjVmOTJkZGRj,,https://static.bihr.pro/eBihr/Pictures/MOTOGRAFIX-pictures.zip,Spain Warehouse (Parts)
1060458,789190,TT022RJ,MOTOGRAFIX,MOTGF TANK PAD TT022RJ,Protector de depósito Motografix Triumph 675 negro/rojo,31.33,25.89,13.57,TT022RJ,1,8714109090,0,1,"Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.","Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,945,131,300,225,14,Rojo,https://api.mybihr.com/medias/1060458-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMxMDY1fGltYWdlL2pwZWd8YURVM0wyZ3hOQzg0T1RZNE16VXdNak0yTnpBeUx6RXdOakEwTlRndE1WODRNREJYZURnd01FZ3w5MjJjODJhN2QwZDY2YmMyZDcyOTFjOTYzZjkxMzVmYjAxMjcwMmUwMGU0MTFiNjhkZDc4ZDlmOWQwMTA4ZDdh,,https://static.bihr.pro/eBihr/Pictures/MOTOGRAFIX-pictures.zip,Spain Warehouse (Parts)
1060451,789091,TT015U,MOTOGRAFIX,MOTGF TANK PAD TT015U,Protector de depósito Motografix Triumph Speed Triple blanco,27.00,22.31,14.50,TT015U,1,8714109090,0,1,"Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.","Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,958,152,300,228,14,,https://api.mybihr.com/medias/1060451-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzUyMjl8aW1hZ2UvanBlZ3xhR0ZpTDJnNU1DODRPVFk0TXprek1qSTRNekU0THpFd05qQTBOVEV0TVY4NE1EQlhlRGd3TUVnfDUyZWM4ZGU2N2M5M2FkMzJhYzA2NmJkOTE2NWQ5ODdkYjlmM2NlZTg5YTFiMGE1Y2MxOTY3OTQ1OWFhNjczZTM,,https://static.bihr.pro/eBihr/Pictures/MOTOGRAFIX-pictures.zip,Spain Warehouse (Parts)
1060350,789182,TB017W,MOTOGRAFIX,MOTGF TANK PAD TB017W,Protector de depósito Motografix R1200GS blanco,31.33,25.89,13.57,TB017W,5,8714109090,0,1,"Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.","Motografix tank guards are made with very strong resin for increased longevity. Available in several colours and designs, the brand's products combine protection and aesthetics.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,810,124,300,225,12,Blanco,https://api.mybihr.com/medias/1060350-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc4ODIyfGltYWdlL2pwZWd8YUdReEwyaG1aaTg1TURFeU1qWXpNREkyTnpFNEx6RXdOakF6TlRBdE1WODRNREJYZURnd01FZ3w1NGE2YTM3ZTI4NjBiODI4ODkyYTMxNWRlYjY0MmI2OTM3MjI2ZWYwN2UxZDViODQzYmE4MGE0NTk0ZjZmYWQw,,https://static.bihr.pro/eBihr/Pictures/MOTOGRAFIX-pictures.zip,Spain Warehouse (Parts)
1091456,60100041,TB049BS,MOTOGRAFIX,MOTGF TANK PAD TB049BS,Set de 4 protectores de depósito MOTOGRAFIX color azul/blanco BMW F900R,31.33,25.89,16.83,TB049BS,1,8714109090,0,1,"<p>Fabricados 100% en Inglaterra, desde 1997, con los mejores materiales disponibles.</p><p><br></p><p>Ajuste de fábrica, sistema de protección de gel 3D de la mejor calidad, para prevenir y proteger contra rayaduras de gravilla o arañazos, además de darle a la moto ese look de carrera que tanto importa.</p>","
Fabricados 100% en Inglaterra, desde 1997, con los mejores materiales disponibles.

Ajuste de fábrica, sistema de protección de gel 3D de la mejor calidad, para prevenir y proteger contra rayaduras de gravilla o arañazos, además de darle a la moto ese look de carrera que tanto importa.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,936,120,225,297,14,,https://api.mybihr.com/medias/1091456-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njc1OTh8aW1hZ2UvanBlZ3xhREZtTDJnellpODRPVEk1TlRZNE1qSTNNelU0THpFd09URTBOVFl0TVY4NE1EQlhlRGd3TUVnfDI3ZGVhYjJkY2Q1NTMxMGZmNzNiMGIzNDM2N2VjMTZmODY3MTQyMTc4Y2U4ZTQzMTQwYjI0NzA5M2ZhZjZlNDk,,https://static.bihr.pro/eBihr/Pictures/MOTOGRAFIX-pictures.zip,Spain Warehouse (Parts)
