PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Pastillas de freno] Altura 2 (mm),[Pastillas de freno] Anchura 2 (mm),[Pastillas de freno] Espesor 2 (mm),Altura (mm),Anchura (mm),Color,Composición,Construcción,Depósito,Diámetro exterior (mm),Diámetro interior (mm),Diámetro Ø (mm),Distancia entre centros,Espesor (mm),Fabricación,Forma de disco de freno,Homologación,Número de pistones,Posición,Tipo,Tipo de disco,Tipo de pastilla de freno,Uso,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,DeliveryPlant
1036741,2P299ST,2P-299ST,NISSIN,NISSI BRAKE PADS 2P-299ST SINTER METAL,Juego pastillas de freno NISSIN 2P299ST Tra. GS450 X,54.45,45.00,27.00,3661738006343,16,8714101000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs8C7BE0DE{text-align:left;margin:0pt 0pt 0pt 36pt;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC583D0C8{text-align:left;margin:12pt 0pt 12pt 0pt;}</style> </head> <body> <p>NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....</p><p> </p><ul> <li>New sintered pad material with the best fading resistance and high friction coefficient at low and high temperatures</li><li>Excellent performance, is recommended for faster riding conditions for GT and sports bikes. </li><li>For inox brake discs only</li></ul> <p><br>Never use sintered brake-pads in calipers orginally equipped with non-sintered brake-pads !!</p></body> </html>","       NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....  New sintered pad material with the best fading resistance and high friction coefficient at low and high temperaturesExcellent performance, is recommended for faster riding conditions for GT and sports bikes. For inox brake discs only Never use sintered brake-pads in calipers orginally equipped with non-sintered brake-pads !! ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,561,171,170,132,25,,,,,,,Sinterizado,,,,,,,,,,ECE R90,,,,,Recambio,Sport,https://api.mybihr.com/medias/1036741-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjM3NDd8aW1hZ2UvanBlZ3xhRGM1TDJnd1pDODRPRFl6TURjek9EazBORE13THpFd016WTNOREV0TVY4NE1EQlhlRGd3TUVnfDQ4ZTE1YTZjY2QzNWY3MzNkYTRhMmI1YTBhYjhkOWMyNWI4MTdlYTE3NTg5OGNiODg1ZDY5MzkzZGVkZmM5NWE,,,,,https://static.bihr.pro/eBihr/Pictures/NISSIN-pictures.zip,Spain Warehouse (Parts)
1036742,2P300ST,2P-300ST,NISSIN,NISSI BRAKE PADS 2P-300ST SINTER METAL,Juego pastillas de freno NISSIN 2P300ST Del. ZX10-R 04-07,61.71,51.00,30.60,2P-300ST,18,8714101000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs8C7BE0DE{text-align:left;margin:0pt 0pt 0pt 36pt;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC583D0C8{text-align:left;margin:12pt 0pt 12pt 0pt;}</style> </head> <body> <p>NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....</p><p> </p><ul> <li>New sintered pad material with the best fading resistance and high friction coefficient at low and high temperatures</li><li>Excellent performance, is recommended for faster riding conditions for GT and sports bikes. </li><li>For inox brake discs only</li></ul> <p><br>Never use sintered brake-pads in calipers orginally equipped with non-sintered brake-pads !!</p></body> </html>","       NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....  New sintered pad material with the best fading resistance and high friction coefficient at low and high temperaturesExcellent performance, is recommended for faster riding conditions for GT and sports bikes. For inox brake discs only Never use sintered brake-pads in calipers orginally equipped with non-sintered brake-pads !! ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,561,275,170,132,25,,,,,,,Sinterizado,,,,,,,,,,ECE R90,,,,,Recambio,Sport,https://api.mybihr.com/medias/1036742-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA1Mjd8aW1hZ2UvanBlZ3xhRGN4TDJnME5pODRPVFV6TlRZNU5qUXdORGM0THpFd016WTNOREl0TVY4NE1EQlhlRGd3TUVnfDA2ODE3MjkxNDA5N2ExZDNkMmQ3ZTYwZTkxYjllMzYwZjEyODY5ZTMzOTMxMjFlMmZhYmYzMTRiYmZjNTJiYzM,,,,,https://static.bihr.pro/eBihr/Pictures/NISSIN-pictures.zip,Spain Warehouse (Parts)
1036745,2P303ST,2P-303ST,NISSIN,NISSI BRAKE PADS 2P-303ST SINTER METAL,Juego pastillas de freno NISSIN 2P303ST Del. FZS600 98-03 / R6,61.71,51.00,30.60,2P-303ST,7,8714101000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs8C7BE0DE{text-align:left;margin:0pt 0pt 0pt 36pt;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC583D0C8{text-align:left;margin:12pt 0pt 12pt 0pt;}</style> </head> <body> <p>NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....</p><p> </p><ul> <li>New sintered pad material with the best fading resistance and high friction coefficient at low and high temperatures</li><li>Excellent performance, is recommended for faster riding conditions for GT and sports bikes. </li><li>For inox brake discs only</li></ul> <p><br>Never use sintered brake-pads in calipers orginally equipped with non-sintered brake-pads !!</p></body> </html>","       NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....  New sintered pad material with the best fading resistance and high friction coefficient at low and high temperaturesExcellent performance, is recommended for faster riding conditions for GT and sports bikes. For inox brake discs only Never use sintered brake-pads in calipers orginally equipped with non-sintered brake-pads !! ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,561,272,170,132,25,,,,,,,Sinterizado,,,,,,,,,,ECE R90,,,,,Recambio,Sport,https://api.mybihr.com/medias/1036745-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDgwOTN8aW1hZ2UvanBlZ3xhREpsTDJnMFpDODRPVFV6TlRZNU9ETTNNRGcyTHpFd016WTNORFV0TVY4NE1EQlhlRGd3TUVnfDcwMTdjMDFmYWJlNjQyNjNlMjNkOWI4MzdjYzI5Njg2ZjU0MGI5YWI4NjI2ZmY1ZTBlMjY2ZWY0MDhmODU2NzE,,,,,https://static.bihr.pro/eBihr/Pictures/NISSIN-pictures.zip,Spain Warehouse (Parts)
1036710,2P265NS,2P-265NS,NISSIN,NISSI BRAKE PADS 2P-265NS SINTER METAL,Juego pastillas de freno NISSIN 2P265NS Tra. 250 BURGMAN,43.56,36.00,21.60,2P-265NS,0,8714101000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs6FE56D2{text-align:left;margin:0pt 0pt 0pt 36pt;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....</p><p> </p><ul> <li>Semi-metallic pad</li><li>Recommended for GT, sport and street bikes on street use</li><li>Best balance performance provides high-mileage and stable friction coefficiency providing ultimate control in dry and wet conditions</li><li>For steel, inox or cast-iron brade-disc.</li></ul> </body> </html>","       NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....  Semi-metallic padRecommended for GT, sport and street bikes on street useBest balance performance provides high-mileage and stable friction coefficiency providing ultimate control in dry and wet conditionsFor steel, inox or cast-iron brade-disc.  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,621,185,169,136,27,,,,,,,Semimetálico,,,,,,,,,,,,,,,Recambio,Estándar,https://api.mybihr.com/medias/1036710-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA4OTl8aW1hZ2UvanBlZ3xhR0ZpTDJobVpTODRPVFE1TVRnek1EZzJOakl5THpFd016WTNNVEF0TVY4NE1EQlhlRGd3TUVnfDJmN2YxZTU1N2E0YTc2MjZjYWE4ZWYxZGQxMDYyMDJiYTZlNDRmZTJhOTE5OGYwZTUxY2U5MGNjYzBjYjM1YmU,,,,,https://static.bihr.pro/eBihr/Pictures/NISSIN-pictures.zip,Spain Warehouse (Parts)
1036711,2P266NS,2P-266NS,NISSIN,NISSI BRAKE PADS 2P-266NS SINTER METAL,Juego pastillas de freno NISSIN 2P266NS Tra. R6 98-02 R1 02-03,42.37,35.02,21.01,2P-266NS,0,8714101000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs6FE56D2{text-align:left;margin:0pt 0pt 0pt 36pt;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....</p><p> </p><ul> <li>Semi-metallic pad</li><li>Recommended for GT, sport and street bikes on street use</li><li>Best balance performance provides high-mileage and stable friction coefficiency providing ultimate control in dry and wet conditions</li><li>For steel, inox or cast-iron brade-disc.</li></ul> </body> </html>","       NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....  Semi-metallic padRecommended for GT, sport and street bikes on street useBest balance performance provides high-mileage and stable friction coefficiency providing ultimate control in dry and wet conditionsFor steel, inox or cast-iron brade-disc.  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,561,236,170,132,25,,,,,,,Semimetálico,,,,,,,,,,ECE R90,,,,,Recambio,Estándar,https://api.mybihr.com/medias/1036711-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDQ3ODZ8aW1hZ2UvanBlZ3xhRGRtTDJnME1TODRPRGN6T1Rjd05UazNPVEU0THpFd016WTNNVEV0TVY4NE1EQlhlRGd3TUVnfDRlN2U0MGJkYmM5ZjFiODMzNDY2YWFlYWM0YWJiMDBlMmJjYzcyMzYzNGFhODJkNmYxY2E2OGUxOTlkNTEyOTc,,,,,https://static.bihr.pro/eBihr/Pictures/NISSIN-pictures.zip,Spain Warehouse (Parts)
1036712,2P269NS,2P-269NS,NISSIN,NISSI BRAKE PADS 2P-269NS SINTER METAL,Juego pastillas de freno NISSIN 2P269NS Tra. YZF-R1 98-01,43.56,36.00,21.60,2P-269NS,216,8714101000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs6FE56D2{text-align:left;margin:0pt 0pt 0pt 36pt;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....</p><p> </p><ul> <li>Semi-metallic pad</li><li>Recommended for GT, sport and street bikes on street use</li><li>Best balance performance provides high-mileage and stable friction coefficiency providing ultimate control in dry and wet conditions</li><li>For steel, inox or cast-iron brade-disc.</li></ul> </body> </html>","       NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....  Semi-metallic padRecommended for GT, sport and street bikes on street useBest balance performance provides high-mileage and stable friction coefficiency providing ultimate control in dry and wet conditionsFor steel, inox or cast-iron brade-disc.  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,624,238,170,136,27,,,,,,,Semimetálico,,,,,,,,,,ECE R90,,,,,Recambio,Estándar,https://api.mybihr.com/medias/1036712-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMzODd8aW1hZ2UvanBlZ3xhR00yTDJoaU5pODRPVEF3T0RFM016ZzNOVFV3THpFd016WTNNVEl0TVY4NE1EQlhlRGd3TUVnfGMzNGIwY2NjMTRjYWYzZjIwYTc4MDhlZTc5MmJmODU4Yjg3YTRmZTVlNGRlNDJlMDQ2MmVlZGE2NzUzYmQwMjM,,,,,https://static.bihr.pro/eBihr/Pictures/NISSIN-pictures.zip,Spain Warehouse (Parts)
1036719,2P274GS,2P-274GS,NISSIN,NISSI BRAKE PADS 2P-274GS SINTER METAL,Juego pastillas de freno NISSIN 2P274GS Del. SX125 93-15,37.51,31.00,18.60,2P-274GS,103,8714101000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....</p><p> </p><ul> <li>Semi-metallic pad</li><li>Hard durability pad material for hard-braking</li><li>Off-road pad designed for heavy braking application with good braking performance</li><li>For steel or inox brake discs</li></ul> </body> </html>","       NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....  Semi-metallic padHard durability pad material for hard-brakingOff-road pad designed for heavy braking application with good braking performanceFor steel or inox brake discs  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,561,190,170,132,25,,,,,,,Semimetálico,,,,,,,,,,ECE R90,,,,,Recambio,Enduro,https://api.mybihr.com/medias/1036719-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTk5NTF8aW1hZ2UvanBlZ3xhR1F4TDJnMVlTODRPVFExT1RJNU9URXlNelV3THpFd016WTNNVGt0TVY4NE1EQlhlRGd3TUVnfDViZmFjMzhiYmZjODdhNDJhYzYyZTU5OGQ5Y2JiZDNhZGJiNDM4YTFkZmRiMGJiOWU4MWU3ZGU5OTI0YjkwOWI,,,,,https://static.bihr.pro/eBihr/Pictures/NISSIN-pictures.zip,Spain Warehouse (Parts)
1036720,2P274ST,2P-274ST-MX,NISSIN,NISSI BRAKE PADS 2P-274STMX SINTER METAL,Juego pastillas de freno NISSIN 2P274ST Del. SX125 93-15,53.24,44.00,26.40,2P-274ST-MX,35,8714101000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs8C7BE0DE{text-align:left;margin:0pt 0pt 0pt 36pt;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC583D0C8{text-align:left;margin:12pt 0pt 12pt 0pt;}</style> </head> <body> <p>NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....</p><p> </p><ul> <li>New sintered pad material with the best fading resistance and high friction coefficient at low and high temperatures</li><li>Excellent performance, is recommended for faster riding conditions for GT and sports bikes. </li><li>For inox brake discs only</li></ul> <p><br>Never use sintered brake-pads in calipers orginally equipped with non-sintered brake-pads !!</p></body> </html>","       NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....  New sintered pad material with the best fading resistance and high friction coefficient at low and high temperaturesExcellent performance, is recommended for faster riding conditions for GT and sports bikes. For inox brake discs only Never use sintered brake-pads in calipers orginally equipped with non-sintered brake-pads !! ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,561,225,170,132,25,,,,,,,Sinterizado,,,,,,,,,,,,,,,Recambio,MX,https://api.mybihr.com/medias/1036720-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTk5NTF8aW1hZ2UvanBlZ3xhRE00TDJneU15ODRPVFV6TlRZNE5qVTNORE00THpFd016WTNNakF0TVY4NE1EQlhlRGd3TUVnfDFmN2EzOGU4ZDZjMzcwMWQ0NDNjMjAxYjExYjU2OGFjZmViZDBhMDhhMDNiYzA4OTJmOWJiOTNmZjA2ODRjNTU,,,,,https://static.bihr.pro/eBihr/Pictures/NISSIN-pictures.zip,Spain Warehouse (Parts)
1036746,2P304NS,2P-304NS,NISSIN,NISSI BRAKE PADS 2P-304NS SINTER METAL,Juego pastillas de freno NISSIN 2P304NS Tra. XL125V Varadero 01-04,43.56,36.00,21.60,2P-304NS,0,8714101000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs6FE56D2{text-align:left;margin:0pt 0pt 0pt 36pt;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....</p><p> </p><ul> <li>Semi-metallic pad</li><li>Recommended for GT, sport and street bikes on street use</li><li>Best balance performance provides high-mileage and stable friction coefficiency providing ultimate control in dry and wet conditions</li><li>For steel, inox or cast-iron brade-disc.</li></ul> </body> </html>","       NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....  Semi-metallic padRecommended for GT, sport and street bikes on street useBest balance performance provides high-mileage and stable friction coefficiency providing ultimate control in dry and wet conditionsFor steel, inox or cast-iron brade-disc.  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,561,218,170,132,25,,,,,,,Semimetálico,,,,,,,,,,,,,,,Recambio,Estándar,https://api.mybihr.com/medias/1036746-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTQyODZ8aW1hZ2UvanBlZ3xhRFF3TDJoa01TODRPVEF4T1RJMk9EYzVNall5THpFd016WTNORFl0TVY4NE1EQlhlRGd3TUVnfGVhNDgwZTBiNDY2OGVjMzdhNjhjZjJmM2Q5MDI4NGI2YWJkMWIzMzE1ZjlkZGQ3YzA1ZGM0NDI4YTM2Y2VmNzY,,,,,https://static.bihr.pro/eBihr/Pictures/NISSIN-pictures.zip,Spain Warehouse (Parts)
1036748,2P307ST,2P-307ST,NISSIN,NISSI BRAKE PADS 2P-307ST SINTER METAL,"Juego pastillas de freno NISSIN 2P307ST Del. NC700S, X ABS",62.92,52.00,31.20,2P-307ST,1,8714101000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs8C7BE0DE{text-align:left;margin:0pt 0pt 0pt 36pt;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC583D0C8{text-align:left;margin:12pt 0pt 12pt 0pt;}</style> </head> <body> <p>NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....</p><p> </p><ul> <li>New sintered pad material with the best fading resistance and high friction coefficient at low and high temperatures</li><li>Excellent performance, is recommended for faster riding conditions for GT and sports bikes. </li><li>For inox brake discs only</li></ul> <p><br>Never use sintered brake-pads in calipers orginally equipped with non-sintered brake-pads !!</p></body> </html>","       NISSIN, manufacturer of complete brake systems, has unparalleled experience not only in the field of brake pads but also calipers, brake discs, master cylinders, etc....  New sintered pad material with the best fading resistance and high friction coefficient at low and high temperaturesExcellent performance, is recommended for faster riding conditions for GT and sports bikes. For inox brake discs only Never use sintered brake-pads in calipers orginally equipped with non-sintered brake-pads !! ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,561,324,170,132,25,,,,,,,Sinterizado,,,,,,,,,,ECE R90,,,,,Recambio,Sport,https://api.mybihr.com/medias/1036748-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzU3NTR8aW1hZ2UvanBlZ3xhRFl5TDJobU1TODRPVE01TWpBNU5qZzNNRGN3THpFd016WTNORGd0TVY4NE1EQlhlRGd3TUVnfGE4ZDk5M2YyOGRiN2U5ZDg1OWJlZjdhZmZlZjU0M2Y2M2M0YzYxMzVlZjcwZjY0YWRmNDRiMzI2ZDk4NjlhMDE,,,,,https://static.bihr.pro/eBihr/Pictures/NISSIN-pictures.zip,Spain Warehouse (Parts)
