PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,V-Talla,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (mm),Anchura (mm),Anchura de la zona de sujeción (mm),Apertura (mm),Barra transversal,Bloqueo,Color,Color del protector del manillar,Composición,Compuesto del puño,Diámetro interior del manillar (mm),Diámetro Ø (mm),Elevación de manillar (mm),Embalaje,Gama,Género,Longitud (mm),Longitud de control (mm),Montaje de espejo retrovisor,Talla,Tipo,Tipo de puño,Uso,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,Document1,DeliveryPlant
1128194002,,G01CTB-M,ODI,"0DI T-SHIRT CALIFORNIA, M",Camiseta ODI California,30.63,25.31,16.45,1128194002,0,8714109090,0,1,"<p>Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. &iexcl;Su nueva l&iacute;nea de camisetas ultrasuaves est&aacute; dise&ntilde;ada espec&iacute;ficamente para motoristas! Camisetas de algod&oacute;n suave y de primera calidad, con tinta flexible a base de agua y gr&aacute;ficos que te permiten pilotar con estilo.</p>
<p><strong>CARACTER&Iacute;STICAS DEL PRODUCTO:</strong></p>
<ul>
<li>60/40% Algod&oacute;n/Poli&eacute;ster</li>
<li>Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensaci&oacute;n de ligereza</li>
<li>Tallas disponibles para ADULTOS: De la&nbsp;S a la 2XL.</li>
</ul>","
Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. ¡Su nueva línea de camisetas ultrasuaves está diseñada específicamente para motoristas! Camisetas de algodón suave y de primera calidad, con tinta flexible a base de agua y gráficos que te permiten pilotar con estilo.

CARACTERÍSTICAS DEL PRODUCTO:

60/40% Algodón/Poliéster
Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensación de ligereza
Tallas disponibles para ADULTOS: De la S a la 2XL.
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,M,2402,135,301,266,30,,,,,,,Negro,,,,,,,,,Mixto,,,,M,,,,https://api.mybihr.com/medias/800Wx800H-1128194002-1.jpg?context=bWFzdGVyfHJvb3R8NTI2NTN8aW1hZ2UvanBlZ3xhREpsTDJobE55ODJOek00TWpneU9USTROVFF3Tmk4NE1EQlhlRGd3TUVoZk1URXlPREU1TkRBd01pMHhMbXB3Wnd8OWI1NWJlOWY5Mjc3Yjk0ZWQ3OWQ2MTViNGU5OTUzNzkyMGZkYmZmODUxNDA2NzgxZmNmMmQ5YmIzNjg0NjA2MA,https://api.mybihr.com/medias/800Wx800H-1128194002-2.jpg?context=bWFzdGVyfHJvb3R8Njc5ODZ8aW1hZ2UvanBlZ3xhR0V4TDJoa09TODJOek00TWpneU9UWTNPRFl5TWk4NE1EQlhlRGd3TUVoZk1URXlPREU1TkRBd01pMHlMbXB3Wnd8MzhjMTBjYzBhMDk1MzM5YjI4ZjVkNDg4NjNmYmQ3YzBmMDE1OTE4YjRlZmRjNGY2YWRmODZlZjc2ODEzY2UxZQ,,,,,https://static.bihr.pro/eBihr/Pictures/ODI-pictures.zip,,Spain Warehouse (Parts)
1128194003,,G01CTB-L,ODI,"0DI T-SHIRT CALIFORNIA, L",Camiseta ODI California,30.63,25.31,16.45,1128194003,0,8714109090,0,1,"<p>Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. &iexcl;Su nueva l&iacute;nea de camisetas ultrasuaves est&aacute; dise&ntilde;ada espec&iacute;ficamente para motoristas! Camisetas de algod&oacute;n suave y de primera calidad, con tinta flexible a base de agua y gr&aacute;ficos que te permiten pilotar con estilo.</p>
<p><strong>CARACTER&Iacute;STICAS DEL PRODUCTO:</strong></p>
<ul>
<li>60/40% Algod&oacute;n/Poli&eacute;ster</li>
<li>Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensaci&oacute;n de ligereza</li>
<li>Tallas disponibles para ADULTOS: De la&nbsp;S a la 2XL.</li>
</ul>","
Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. ¡Su nueva línea de camisetas ultrasuaves está diseñada específicamente para motoristas! Camisetas de algodón suave y de primera calidad, con tinta flexible a base de agua y gráficos que te permiten pilotar con estilo.

CARACTERÍSTICAS DEL PRODUCTO:

60/40% Algodón/Poliéster
Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensación de ligereza
Tallas disponibles para ADULTOS: De la S a la 2XL.
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,L,2669,153,293,276,33,,,,,,,Negro,,,,,,,,,Mixto,,,,L,,,,https://api.mybihr.com/medias/800Wx800H-1128194003-1.jpg?context=bWFzdGVyfHJvb3R8NTI2NTN8aW1hZ2UvanBlZ3xhRGN3TDJneU9TODJOek00TWpnek1EQTNNVGd6T0M4NE1EQlhlRGd3TUVoZk1URXlPREU1TkRBd015MHhMbXB3Wnd8NjkwYjAwZmVlODEwN2ZkOTJkNmNiZjdmZGI5ZTE5NWU4MDZmOWIxYzA2NmYwNDQxYjYxNzczNDI1ZTgwNDk0Zg,https://api.mybihr.com/medias/800Wx800H-1128194003-2.jpg?context=bWFzdGVyfHJvb3R8Njc5ODZ8aW1hZ2UvanBlZ3xhR1psTDJnek5pODJOek00TWpnek1EUTJOVEExTkM4NE1EQlhlRGd3TUVoZk1URXlPREU1TkRBd015MHlMbXB3Wnd8ZjFiOGU0ZmUyOTFhYTdlMjU1MzJjMDhmM2QxMTMxZjFlZmExOTQ4MDNhZGJmOWQ4NGE5ODM0ZTNmMWRhYjJkYQ,,,,,https://static.bihr.pro/eBihr/Pictures/ODI-pictures.zip,,Spain Warehouse (Parts)
1128194004,,G01CTB-XL,ODI,"0DI T-SHIRT CALIFORNIA, XL",Camiseta ODI California,30.63,25.31,16.45,1128194004,0,8714109090,0,1,"<p>Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. &iexcl;Su nueva l&iacute;nea de camisetas ultrasuaves est&aacute; dise&ntilde;ada espec&iacute;ficamente para motoristas! Camisetas de algod&oacute;n suave y de primera calidad, con tinta flexible a base de agua y gr&aacute;ficos que te permiten pilotar con estilo.</p>
<p><strong>CARACTER&Iacute;STICAS DEL PRODUCTO:</strong></p>
<ul>
<li>60/40% Algod&oacute;n/Poli&eacute;ster</li>
<li>Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensaci&oacute;n de ligereza</li>
<li>Tallas disponibles para ADULTOS: De la&nbsp;S a la 2XL.</li>
</ul>","
Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. ¡Su nueva línea de camisetas ultrasuaves está diseñada específicamente para motoristas! Camisetas de algodón suave y de primera calidad, con tinta flexible a base de agua y gráficos que te permiten pilotar con estilo.

CARACTERÍSTICAS DEL PRODUCTO:

60/40% Algodón/Poliéster
Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensación de ligereza
Tallas disponibles para ADULTOS: De la S a la 2XL.
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,XL,2306,167,290,284,28,,,,,,,Negro,,,,,,,,,Mixto,,,,XL,,,,https://api.mybihr.com/medias/800Wx800H-1128194004-1.jpg?context=bWFzdGVyfHJvb3R8NTI2NTN8aW1hZ2UvanBlZ3xhRGhpTDJnME5DODJOek00TWpnek1EZzFPREkzTUM4NE1EQlhlRGd3TUVoZk1URXlPREU1TkRBd05DMHhMbXB3Wnd8OGNkNDJhZmQ1YWQxYTY5NTYyN2I0MTQ2OTRlOGZmYjI2MjQzOTA3ZDFkZjkzMTY2YzkzYzhmMDY0Nzk4YzQzMQ,https://api.mybihr.com/medias/800Wx800H-1128194004-2.jpg?context=bWFzdGVyfHJvb3R8Njc5ODZ8aW1hZ2UvanBlZ3xhR1EzTDJnNU9TODJOek00TWpnek1USTFNVFE0Tmk4NE1EQlhlRGd3TUVoZk1URXlPREU1TkRBd05DMHlMbXB3Wnd8MjAzMTBhYmJjYjUzYmIxNWY1ZjYyOTU2NDliYTdjOWQzODhkZDZlMWIzZjlmMjcyYmYxYmZlN2RmNzIyZjIzMg,,,,,https://static.bihr.pro/eBihr/Pictures/ODI-pictures.zip,,Spain Warehouse (Parts)
1128194001,,G01CTB-S,ODI,"0DI T-SHIRT CALIFORNIA, S",Camiseta ODI California,30.63,25.31,16.45,NL-6210,0,8714109090,0,1,"<p>Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. &iexcl;Su nueva l&iacute;nea de camisetas ultrasuaves est&aacute; dise&ntilde;ada espec&iacute;ficamente para motoristas! Camisetas de algod&oacute;n suave y de primera calidad, con tinta flexible a base de agua y gr&aacute;ficos que te permiten pilotar con estilo.</p>
<p><strong>CARACTER&Iacute;STICAS DEL PRODUCTO:</strong></p>
<ul>
<li>60/40% Algod&oacute;n/Poli&eacute;ster</li>
<li>Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensaci&oacute;n de ligereza</li>
<li>Tallas disponibles para ADULTOS: De la&nbsp;S a la 2XL.</li>
</ul>","
Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. ¡Su nueva línea de camisetas ultrasuaves está diseñada específicamente para motoristas! Camisetas de algodón suave y de primera calidad, con tinta flexible a base de agua y gráficos que te permiten pilotar con estilo.

CARACTERÍSTICAS DEL PRODUCTO:

60/40% Algodón/Poliéster
Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensación de ligereza
Tallas disponibles para ADULTOS: De la S a la 2XL.
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,S,2792,123,289,276,35,,,,,,,Negro,,,,,,,,,Mixto,,,,S,,,,https://api.mybihr.com/medias/800Wx800H-1128194001-1.jpg?context=bWFzdGVyfHJvb3R8NTI2NTN8aW1hZ2UvanBlZ3xhR1kzTDJoaU5TODJOek00TWpneU9EUTVPRGszTkM4NE1EQlhlRGd3TUVoZk1URXlPREU1TkRBd01TMHhMbXB3Wnd8ZTI3YThmY2UxYzg2YmYwNjRiOTVkOGU4NzYzOTU5YWVjYzBkMmQ4ZGZkNmZhZmMyMTQ2Y2NlYmMxOThlN2QxOQ,https://api.mybihr.com/medias/800Wx800H-1128194001-2.jpg?context=bWFzdGVyfHJvb3R8Njc5ODZ8aW1hZ2UvanBlZ3xhRGs0TDJoak15ODJOek00TWpneU9EZzVNakU1TUM4NE1EQlhlRGd3TUVoZk1URXlPREU1TkRBd01TMHlMbXB3Wnd8NTkxZDU3NDU4ZDIwOGUzMzc2NTJjMGRhNTlmZTgyOGE2MzU0YmU2ZTIxN2E2NzRkOTRmM2Q3YzNkNTliYzI0ZA,,,,,https://static.bihr.pro/eBihr/Pictures/ODI-pictures.zip,,Spain Warehouse (Parts)
1128194005,,G01CTB-XXL,ODI,"0DI T-SHIRT CALIFORNIA, 2XL",Camiseta ODI California,33.08,27.34,17.77,1128194005,0,8714109090,0,1,"<p>Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. &iexcl;Su nueva l&iacute;nea de camisetas ultrasuaves est&aacute; dise&ntilde;ada espec&iacute;ficamente para motoristas! Camisetas de algod&oacute;n suave y de primera calidad, con tinta flexible a base de agua y gr&aacute;ficos que te permiten pilotar con estilo.</p>
<p><strong>CARACTER&Iacute;STICAS DEL PRODUCTO:</strong></p>
<ul>
<li>60/40% Algod&oacute;n/Poli&eacute;ster</li>
<li>Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensaci&oacute;n de ligereza</li>
<li>Tallas disponibles para ADULTOS: De la&nbsp;S a la 2XL.</li>
</ul>","
Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. ¡Su nueva línea de camisetas ultrasuaves está diseñada específicamente para motoristas! Camisetas de algodón suave y de primera calidad, con tinta flexible a base de agua y gráficos que te permiten pilotar con estilo.

CARACTERÍSTICAS DEL PRODUCTO:

60/40% Algodón/Poliéster
Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensación de ligereza
Tallas disponibles para ADULTOS: De la S a la 2XL.
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,2XL,2430,187,300,270,30,,,,,,,Negro,,,,,,,,,Mixto,,,,XXL,,,,https://api.mybihr.com/medias/800Wx800H-1128194005-1.jpg?context=bWFzdGVyfHJvb3R8NTI2NTN8aW1hZ2UvanBlZ3xhR1prTDJnNE1TODJOelF3TkRnNE5EVXdPRGN3TWk4NE1EQlhlRGd3TUVoZk1URXlPREU1TkRBd05TMHhMbXB3Wnd8NGU2YWY4YWMxMWJlNjU5OTJkOTNmZWNkZTM1NWI1NGI5YTdhYWI4MThhMDQwMGY0Mjk4ZGU2ZjFiMGQ5NDlmNQ,https://api.mybihr.com/medias/800Wx800H-1128194005-2.jpg?context=bWFzdGVyfHJvb3R8Njc5ODZ8aW1hZ2UvanBlZ3xhRGxrTDJnNFppODJOelF3TkRnNE5Ea3dNVGt4T0M4NE1EQlhlRGd3TUVoZk1URXlPREU1TkRBd05TMHlMbXB3Wnd8NDFhNzRmMmZlNDM2YWUxNDU0MWM5MGI5NDFhYTA2YmYzOTY1MDQ3M2FkY2Y0NDJiZjQ0YmY2MmEyYjE3ODVjZg,,,,,https://static.bihr.pro/eBihr/Pictures/ODI-pictures.zip,,Spain Warehouse (Parts)
1128195005,,G01ETU-XXL,ODI,"0DI T-SHIRT , 2XL",Camiseta ODI Established Tee,33.08,27.34,17.77,1128195005,0,8714109090,0,1,"<p>Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. &iexcl;Su nueva l&iacute;nea de camisetas ultrasuaves est&aacute; dise&ntilde;ada espec&iacute;ficamente para motoristas! Camisetas de algod&oacute;n suave y de primera calidad, con tinta flexible a base de agua y gr&aacute;ficos que te permiten pilotar con estilo.</p>
<p><strong>CARACTER&Iacute;STICAS DEL PRODUCTO:</strong></p>
<ul>
<li>100% Algod&oacute;n</li>
<li>Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensaci&oacute;n de ligereza</li>
<li>Tallas disponibles para ADULTOS: De la&nbsp;S a la 2XL.</li>
</ul>","
Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. ¡Su nueva línea de camisetas ultrasuaves está diseñada específicamente para motoristas! Camisetas de algodón suave y de primera calidad, con tinta flexible a base de agua y gráficos que te permiten pilotar con estilo.

CARACTERÍSTICAS DEL PRODUCTO:

100% Algodón
Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensación de ligereza
Tallas disponibles para ADULTOS: De la S a la 2XL.
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,2XL,837,190,310,270,10,,,,,,,Azul,,,,,,,,,Mixto,,,,XXL,,,,https://api.mybihr.com/medias/800Wx800H-1128195005-1.jpg?context=bWFzdGVyfHJvb3R8NjIzNDR8aW1hZ2UvanBlZ3xhR0l4TDJnMU1DODJOelF3TkRnNE56QTVOek0zTkM4NE1EQlhlRGd3TUVoZk1URXlPREU1TlRBd05TMHhMbXB3Wnd8NjI1ZjZhM2I3YzRhNjliZTNkMDE3NTViNWIwNmM5YWZiNDMxYWVkNzhmN2ExMWQ5YWE0MzBkZjI2MmEyMDYwZA,https://api.mybihr.com/medias/800Wx800H-1128195005-2.jpg?context=bWFzdGVyfHJvb3R8NzU4OTd8aW1hZ2UvanBlZ3xhR1V4TDJnME9TODJOelF3TkRnNE56STVNems0TWk4NE1EQlhlRGd3TUVoZk1URXlPREU1TlRBd05TMHlMbXB3Wnd8YWE0YmUxYWRlN2FhNTFmNDMzYzhlMDM2NTAxZDhhYzNhZjkyMTRjYTc4NGI5YzgxNTNmYzE0NjRiMjg3NWNhNw,,,,,https://static.bihr.pro/eBihr/Pictures/ODI-pictures.zip,,Spain Warehouse (Parts)
1128195003,,G01ETU-L,ODI,"0DI T-SHIRT , L",Camiseta ODI Established Tee,33.08,27.34,17.77,1128195003,0,8714109090,0,1,"<p>Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. &iexcl;Su nueva l&iacute;nea de camisetas ultrasuaves est&aacute; dise&ntilde;ada espec&iacute;ficamente para motoristas! Camisetas de algod&oacute;n suave y de primera calidad, con tinta flexible a base de agua y gr&aacute;ficos que te permiten pilotar con estilo.</p>
<p><strong>CARACTER&Iacute;STICAS DEL PRODUCTO:</strong></p>
<ul>
<li>100% Algod&oacute;n</li>
<li>Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensaci&oacute;n de ligereza</li>
<li>Tallas disponibles para ADULTOS: De la&nbsp;S a la 2XL.</li>
</ul>","
Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. ¡Su nueva línea de camisetas ultrasuaves está diseñada específicamente para motoristas! Camisetas de algodón suave y de primera calidad, con tinta flexible a base de agua y gráficos que te permiten pilotar con estilo.

CARACTERÍSTICAS DEL PRODUCTO:

100% Algodón
Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensación de ligereza
Tallas disponibles para ADULTOS: De la S a la 2XL.
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,L,824,160,305,270,10,,,,,,,Azul,,,,,,,,,Mixto,,,,L,,,,https://api.mybihr.com/medias/800Wx800H-1128195003-1.jpg?context=bWFzdGVyfHJvb3R8NjIzNDR8aW1hZ2UvanBlZ3xhREk0TDJoaU1TODJOelF3TkRnNE5qTXhNRGswTWk4NE1EQlhlRGd3TUVoZk1URXlPREU1TlRBd015MHhMbXB3Wnd8YjAxYTRiMjM4NTI3YWIzYzViYTBjZDYxODAwZGNlM2FlODQ3MWUyOGY1MDQ3MjVlOTk1ZWY1N2Q3OGFkNWQwOA,https://api.mybihr.com/medias/800Wx800H-1128195003-2.jpg?context=bWFzdGVyfHJvb3R8NzU4OTd8aW1hZ2UvanBlZ3xhRFpoTDJoaFlTODJOelF3TkRnNE5qVXdOelUxTUM4NE1EQlhlRGd3TUVoZk1URXlPREU1TlRBd015MHlMbXB3Wnd8YjYxYzFkOTVmNGU0Y2NiYTQ1M2FhZTVhZGZmZTc3YWY3YWY5OGIzZjE4NTY4NjhiYmZmYWVhMGIyM2QwNjVkZg,,,,,https://static.bihr.pro/eBihr/Pictures/ODI-pictures.zip,,Spain Warehouse (Parts)
1128195004,,G01ETU-XL,ODI,"0DI T-SHIRT , XL",Camiseta ODI Established Tee,33.08,27.34,17.77,1128195004,0,8714109090,0,1,"<p>Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. &iexcl;Su nueva l&iacute;nea de camisetas ultrasuaves est&aacute; dise&ntilde;ada espec&iacute;ficamente para motoristas! Camisetas de algod&oacute;n suave y de primera calidad, con tinta flexible a base de agua y gr&aacute;ficos que te permiten pilotar con estilo.</p>
<p><strong>CARACTER&Iacute;STICAS DEL PRODUCTO:</strong></p>
<ul>
<li>100% Algod&oacute;n</li>
<li>Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensaci&oacute;n de ligereza</li>
<li>Tallas disponibles para ADULTOS: De la&nbsp;S a la 2XL.</li>
</ul>","
Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. ¡Su nueva línea de camisetas ultrasuaves está diseñada específicamente para motoristas! Camisetas de algodón suave y de primera calidad, con tinta flexible a base de agua y gráficos que te permiten pilotar con estilo.

CARACTERÍSTICAS DEL PRODUCTO:

100% Algodón
Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensación de ligereza
Tallas disponibles para ADULTOS: De la S a la 2XL.
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,XL,837,170,310,270,10,,,,,,,Azul,,,,,,,,,Mixto,,,,XL,,,,https://api.mybihr.com/medias/800Wx800H-1128195004-1.jpg?context=bWFzdGVyfHJvb3R8NjIzNDR8aW1hZ2UvanBlZ3xhRGxoTDJoaE15ODJOelF3TkRnNE5qY3dOREUxT0M4NE1EQlhlRGd3TUVoZk1URXlPREU1TlRBd05DMHhMbXB3Wnd8ZTJmMTQwY2M0NWI1ODY4ZDk2MTBkOTNlY2YzM2IwNWUyYTExMDljMzM4N2E5MmRkNjE2YzE0YTkzNmNmZjMzZA,https://api.mybihr.com/medias/800Wx800H-1128195004-2.jpg?context=bWFzdGVyfHJvb3R8NzU4OTd8aW1hZ2UvanBlZ3xhR05oTDJnNVl5ODJOelF3TkRnNE5qa3dNRGMyTmk4NE1EQlhlRGd3TUVoZk1URXlPREU1TlRBd05DMHlMbXB3Wnd8MGY4MTI5NGRhMTNhNWM2ZDkwODQwYmE2ZmQ0ZjJlYmJhMTliODc0YmYwODljNTVmZjE0ODQxMzg0OGQ5MjZiZA,,,,,https://static.bihr.pro/eBihr/Pictures/ODI-pictures.zip,,Spain Warehouse (Parts)
1128195002,,G01ETU-M,ODI,"0DI T-SHIRT , M",Camiseta ODI Established Tee,33.08,27.34,17.77,1128195002,0,8714109090,0,1,"<p>Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. &iexcl;Su nueva l&iacute;nea de camisetas ultrasuaves est&aacute; dise&ntilde;ada espec&iacute;ficamente para motoristas! Camisetas de algod&oacute;n suave y de primera calidad, con tinta flexible a base de agua y gr&aacute;ficos que te permiten pilotar con estilo.</p>
<p><strong>CARACTER&Iacute;STICAS DEL PRODUCTO:</strong></p>
<ul>
<li>100% Algod&oacute;n</li>
<li>Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensaci&oacute;n de ligereza</li>
<li>Tallas disponibles para ADULTOS: De la&nbsp;S a la 2XL.</li>
</ul>","
Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. ¡Su nueva línea de camisetas ultrasuaves está diseñada específicamente para motoristas! Camisetas de algodón suave y de primera calidad, con tinta flexible a base de agua y gráficos que te permiten pilotar con estilo.

CARACTERÍSTICAS DEL PRODUCTO:

100% Algodón
Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensación de ligereza
Tallas disponibles para ADULTOS: De la S a la 2XL.
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,M,810,140,300,270,10,,,,,,,Azul,,,,,,,,,Mixto,,,,M,,,,https://api.mybihr.com/medias/800Wx800H-1128195002-1.jpg?context=bWFzdGVyfHJvb3R8NjIzNDR8aW1hZ2UvanBlZ3xhRGhpTDJobU9TODJOelF3TkRnNE5Ua3hOemN5Tmk4NE1EQlhlRGd3TUVoZk1URXlPREU1TlRBd01pMHhMbXB3Wnd8MzMwZDAxZDc0MTlmYjAxYmYwY2E1ZDY5NTk4MWY5ZTY3NDkwMDNiZDVkMWJhNjNiZGJhNzUyNDVmNTMzYjI4MA,https://api.mybihr.com/medias/800Wx800H-1128195002-2.jpg?context=bWFzdGVyfHJvb3R8NzU4OTd8aW1hZ2UvanBlZ3xhR1k0TDJoaU55ODJOelF3TkRnNE5qRXhORE16TkM4NE1EQlhlRGd3TUVoZk1URXlPREU1TlRBd01pMHlMbXB3Wnd8MDE3NjljNWY2NTM3Yjk3YTg4NDBhOWJhMDVkNTQwY2QzOTFjOGRhMTIwYzc0MmEyZjE3NGE2Mzk3OTkzMmFhNA,,,,,https://static.bihr.pro/eBihr/Pictures/ODI-pictures.zip,,Spain Warehouse (Parts)
1128195001,,G01ETU-S,ODI,"0DI T-SHIRT , S",Camiseta ODI Established Tee,33.08,27.34,17.77,1128195001,0,8714109090,0,1,"<p>Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. &iexcl;Su nueva l&iacute;nea de camisetas ultrasuaves est&aacute; dise&ntilde;ada espec&iacute;ficamente para motoristas! Camisetas de algod&oacute;n suave y de primera calidad, con tinta flexible a base de agua y gr&aacute;ficos que te permiten pilotar con estilo.</p>
<p><strong>CARACTER&Iacute;STICAS DEL PRODUCTO:</strong></p>
<ul>
<li>100% Algod&oacute;n</li>
<li>Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensaci&oacute;n de ligereza</li>
<li>Tallas disponibles para ADULTOS: De la&nbsp;S a la 2XL.</li>
</ul>","
Fundada en 1980, ODI ha estado desarrollando, construyendo y creando un agarre en las escenas de la bicicleta y la motocicleta desde 1980. ¡Su nueva línea de camisetas ultrasuaves está diseñada específicamente para motoristas! Camisetas de algodón suave y de primera calidad, con tinta flexible a base de agua y gráficos que te permiten pilotar con estilo.

CARACTERÍSTICAS DEL PRODUCTO:

100% Algodón
Etiquetas impresas con tinta a base de agua en el pecho y en el interior del cuello para una sensación de ligereza
Tallas disponibles para ADULTOS: De la S a la 2XL.
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,S,810,130,300,270,10,,,,,,,Azul,,,,,,,,,Mixto,,,,S,,,,https://api.mybihr.com/medias/800Wx800H-1128195001-1.jpg?context=bWFzdGVyfHJvb3R8NjIzNDR8aW1hZ2UvanBlZ3xhR1psTDJobFlpODJOelF3TkRnNE5UVXlORFV4TUM4NE1EQlhlRGd3TUVoZk1URXlPREU1TlRBd01TMHhMbXB3Wnd8ZGNhMzU3NjllYWFmODkwNzAzNTJjOTExZDY3OTkwOWYzNjBhNTQzMWIxMmI5NzgyNDQzNjhhNTk1YjUzNDZhYQ,https://api.mybihr.com/medias/800Wx800H-1128195001-2.jpg?context=bWFzdGVyfHJvb3R8NzU4OTd8aW1hZ2UvanBlZ3xhR05tTDJobU1pODJOelF3TkRnNE5UY3lNVEV4T0M4NE1EQlhlRGd3TUVoZk1URXlPREU1TlRBd01TMHlMbXB3Wnd8ODU1OGY4MzJlZWJjNDI5Mjk5OThhYzk3Mzc3OTJiOTU2MjQzNjUwYTNkZTJhMjA3NTZmNDZkZWMwZmE1N2I0Yw,,,,,https://static.bihr.pro/eBihr/Pictures/ODI-pictures.zip,,Spain Warehouse (Parts)
