PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,AllPicturesZIP,Document1,DeliveryPlant
1062154,14414,ZWWN19900-1,PATROLLINE,PATRO WIRING ALARM,CABLEADO ALARMA,26.86,22.20,7.88,8430525144149,4,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,796,108,70,175,65,https://api.mybihr.com/medias/1062154-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTk5MTR8aW1hZ2UvanBlZ3xhREJsTDJobFlpOHhOVFF4TmpVM05UWTRPRGN6TkM4eE1EWXlNVFUwTFRGZk9EQXdWM2c0TURCSXxiMzg5MTYwMDNjMDc1NmM3NDFiMDFlOWExN2M1MjY1NDkzMDFkMzk4NTgyZTAyNjJiMTQ1NDU4MjRjY2NkYzE5,,https://static.bihr.pro/eBihr/Pictures/PATROLLINE-pictures.zip,,Spain Warehouse (Parts)
1062160,14421,ZWW-N20470-0,PATROLLINE,PATRO WIRING ALARM,CABLEADO ALARMA SYM/KYMCO,26.86,22.20,7.88,8430525144217,1,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,917,100,91,180,56,https://api.mybihr.com/medias/1062160-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjMxMTh8aW1hZ2UvanBlZ3xhRGRqTDJnME1DOHhOVFF4TmpVM09ERXhNelUyTmk4eE1EWXlNVFl3TFRGZk9EQXdWM2c0TURCSXwzNTliYjg5MzcxYzkzZDkyYjFlODU2NmRlZWM2YzBmNTg2OWIyYzZmMjIwNzVlMDM2Yjc3MDliYmNkOTQ3MGI1,,https://static.bihr.pro/eBihr/Pictures/PATROLLINE-pictures.zip,,Spain Warehouse (Parts)
1062133,14391,ZWW-018230-2,PATROLLINE,PATRO WIRING ALARM,CABLEADO ALARMA SCARABEO 500,26.86,22.20,7.88,8430525143913,12,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,962,110,137,135,52,https://api.mybihr.com/medias/1062133-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTk5MTR8aW1hZ2UvanBlZ3xhRFkxTDJobU15OHhOVFF4TmpRek5qTTFPVEU1T0M4eE1EWXlNVE16TFRGZk9EQXdWM2c0TURCSXxjMGUzMjM0MjAxNGY0MDZkOTM3YzYyZjcwMGFiY2Y4YTc5ZmU0Nzk1MGI3MTNjNmI5Y2I5NTdlMGI0MjJkYzEz,,https://static.bihr.pro/eBihr/Pictures/PATROLLINE-pictures.zip,,Spain Warehouse (Parts)
1062149,14401,ZWW-N1944A-0,PATROLLINE,PATRO WIRING ALARM,CABLEADO ALARMA KTM/BENELLI,26.86,22.20,7.88,8430525144019,2,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,779,96,88,158,56,https://api.mybihr.com/medias/1062149-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjMxMTh8aW1hZ2UvanBlZ3xhREV6TDJnME5DOHhOVFF4TmpVM016Y3lNalkxTkM4eE1EWXlNVFE1TFRGZk9EQXdWM2c0TURCSXxlNTE2NjRmNzUyOTNkMjEyMTJhNWUzMGUyZWJmOTFlMTgzYzk5OGU4NjJhNzQyMzQzNGQ5YzA1OTE5MWFkMGNk,,https://static.bihr.pro/eBihr/Pictures/PATROLLINE-pictures.zip,,Spain Warehouse (Parts)
1062158,14394,ZWW-N20330-0,PATROLLINE,PATRO WIRING ALARM,CABLEADO ALARMA VESPA GTS SUPER (CBL),26.86,22.20,7.88,8430525143944,29,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,611,114,69,177,50,https://api.mybihr.com/medias/1062158-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTkyMDd8aW1hZ2UvanBlZ3xhRFZpTDJneU5TOHhOVFF4TmpVM056STJNVFU1T0M4eE1EWXlNVFU0TFRGZk9EQXdWM2c0TURCSXwwMDY4NTg3NWNhMDM1N2YyMTRjZWZjOGQxODgwOWFiNjZlYTAwODc0NmQ1Nzc1ZDdiMGE1NDkwYTE0YWIzNTFl,,https://static.bihr.pro/eBihr/Pictures/PATROLLINE-pictures.zip,,Spain Warehouse (Parts)
1062147,14399,ZWW-N1896A-1,PATROLLINE,PATRO WIRING ALARM,CABLEADO ALARMA MALAGUTI,26.86,22.20,7.88,8430525143999,4,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,835,92,84,184,54,https://api.mybihr.com/medias/1062147-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTk5MTR8aW1hZ2UvanBlZ3xhR00xTDJneFpTOHhOVFF4TmpVM01qa3pOakl5TWk4eE1EWXlNVFEzTFRGZk9EQXdWM2c0TURCSXwwNzkyMTIwZmY3YmRiZWZlZjg0NjlhMzU4OTAwMjM1ZTA0ZmU1YjRjOGJmMTg4ZDY1NjQ5YTRhNDljODQ5N2I3,,https://static.bihr.pro/eBihr/Pictures/PATROLLINE-pictures.zip,,Spain Warehouse (Parts)
1062153,14984,ZWW-N19780-1,PATROLLINE,PATRO WIRING ALARM,CABLEADO ALARMA YAMAHA R1 (08-),28.05,23.18,7.88,8430525149847,2,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,11903,128,139,384,223,https://api.mybihr.com/medias/1062153-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTQzMDB8aW1hZ2UvanBlZ3xhRGxqTDJobU9DOHhOVFF4TmpVM05USTVOVFV4T0M4eE1EWXlNVFV6TFRGZk9EQXdWM2c0TURCSXwwYjc3MTllMGYyNTg0OWZiYjY4YWVmNGEyZDUyODJmZTk3ZWFiY2NkZGQ5YWI3MDFlOTlkNmY1MDE1M2E1OTE3,,https://static.bihr.pro/eBihr/Pictures/PATROLLINE-pictures.zip,,Spain Warehouse (Parts)
1062131,13763,ZW1529,PATROLLINE,PATRO WIRING ALARM,CABLEADO ALARMA APRILIA/DERBI,26.86,22.20,7.88,8430525137639,5,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,993,108,113,144,61,https://api.mybihr.com/medias/1062131-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTM3MzR8aW1hZ2UvanBlZ3xhR1F6TDJoaE9TOHhOVFF4TmpRek5UVTNNamMyTmk4eE1EWXlNVE14TFRGZk9EQXdWM2c0TURCSXxiNjVlYzhjNWNkMTAzYWE2NDAxMzU0ZDBmMGZiMGVjMzM2MmQ4NGFjYmFkOGZmNzQyMzEzYjVjOGE2YzlmODEw,,https://static.bihr.pro/eBihr/Pictures/PATROLLINE-pictures.zip,,Spain Warehouse (Parts)
1062143,14214,ZWW-N1766A-2,PATROLLINE,PATRO WIRING ALARM,CABLEADO ALARMA APRILIA,26.86,22.20,7.88,8430525142145,3,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,592,84,77,167,46,https://api.mybihr.com/medias/1062143-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTM5MzZ8aW1hZ2UvanBlZ3xhRFpsTDJoaE1TOHhOVFF4TmpRME1ESTVNVE0xT0M4eE1EWXlNVFF6TFRGZk9EQXdWM2c0TURCSXwwYjQyYjcyODJmNTdmN2ZlYWYwMmJmZjcwZmYwMzFhMjZjMmM5MDBhZDM4MjY5ZDc4YjdmYTNmODEwN2I4YzVl,,https://static.bihr.pro/eBihr/Pictures/PATROLLINE-pictures.zip,,Spain Warehouse (Parts)
1062136,14407,ZWW-019730-0,PATROLLINE,PATRO WIRING ALARM,Cableado alarma Aprilia 750,26.86,22.20,7.88,8430525144071,5,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,776,118,81,143,67,https://api.mybihr.com/medias/1062136-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjMxMTh8aW1hZ2UvanBlZ3xhR1psTDJnNE1pOHhOVFF4TmpRek56VXpPRGcwTmk4eE1EWXlNVE0yTFRGZk9EQXdWM2c0TURCSXw4MGYzOWEzYTFiNjNkMzc4ZGM1NmQ1MzVlYzc2MWUxNGNkZDEzOThmNGJlMDE4ODI5MzE4YTg5NmM4ZTIzZTZk,,https://static.bihr.pro/eBihr/Pictures/PATROLLINE-pictures.zip,,Spain Warehouse (Parts)
