PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad de dientes,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Número de dientes de la corona,Número de dientes del piñón,Paso de cadena,Tipo,Tipo de corona,Tipo de piñón,Versión de corona,Versión de piñón,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
1108814001,,4462 35 F,PBR,"PBR RR SPROC 420 STEEL ST 4462, 35",Corona PBR acero C45 estándar 4462 - 420,17.68,14.61,8.77,4462.35.F,0,8714109090,0,1,"<h4>PBR, the experience from the competition</h4>
<p>Thanks to its long experience acquired in competition in collaboration with great teams, PBR offers a range of high quality sprockets and crowns.</p>
<ul>
<li>Very high quality 18NCD5 steel alloy</li>
<li>Very resistant to corrosion and abrasion</li>
<li>Reduced friction</li>
<li>Very strict manufacturing process</li>
</ul>","PBR, the experience from the competition

Thanks to its long experience acquired in competition in collaboration with great teams, PBR offers a range of high quality sprockets and crowns.

Very high quality 18NCD5 steel alloy
Very resistant to corrosion and abrasion
Reduced friction
Very strict manufacturing process
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,35 dientes,,533,564,148,144,25,Negro,Acero,35,,420,,,,Estándar,,https://api.mybihr.com/medias/800Wx800H-1108814001-1.jpg?context=bWFzdGVyfHJvb3R8MzQ4MDB8aW1hZ2UvanBlZ3xhRFUxTDJnNE5pODROakF5TVRBM09UVTJORE14T0M4NE1EQlhlRGd3TUVoZk1URXdPRGd4TkRBd01TMHhMbXB3Wnd8ODgxMTJjMDQ2YWQzZmI4NTY0NmI1MjdmZTA2ZjY1ZjI0MDJlM2I4MjI0OTUyNjczZTczMmE2MDFkN2M0MDIzMA,,,,https://static.bihr.pro/eBihr/Pictures/PBR-pictures.zip,Spain Warehouse (Parts)
1108814002,,4462 34 F,PBR,"PBR RR SPROC 420 STEEL ST 4462, 34",Corona PBR acero C45 estándar 4462 - 420,17.68,14.61,8.77,,4,8714109090,0,1,"<h4>PBR, the experience from the competition</h4>
<p>Thanks to its long experience acquired in competition in collaboration with great teams, PBR offers a range of high quality sprockets and crowns.</p>
<ul>
<li>Very high quality 18NCD5 steel alloy</li>
<li>Very resistant to corrosion and abrasion</li>
<li>Reduced friction</li>
<li>Very strict manufacturing process</li>
</ul>","PBR, the experience from the competition

Thanks to its long experience acquired in competition in collaboration with great teams, PBR offers a range of high quality sprockets and crowns.

Very high quality 18NCD5 steel alloy
Very resistant to corrosion and abrasion
Reduced friction
Very strict manufacturing process
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,34 dientes,,1591,525,194,164,50,Negro,Acero,34,,420,,,,Estándar,,https://api.mybihr.com/medias/800Wx800H-1108814002-1.jpg?context=bWFzdGVyfHJvb3R8MzQ4MDB8aW1hZ2UvanBlZ3xhR1V6TDJnNU15ODROakF5TVRBM09UazFOelV6TkM4NE1EQlhlRGd3TUVoZk1URXdPRGd4TkRBd01pMHhMbXB3Wnd8NTEzYzA3ZjM1MDQyMDFjMWM5M2M3NTA3ZjllYmIwOTY5NjA4N2QzYmZiNDQ2ZjIwNDZiOGIyOTA3YzY5ZmVkNQ,,,,https://static.bihr.pro/eBihr/Pictures/PBR-pictures.zip,Spain Warehouse (Parts)
1108814003,,4462 37 F,PBR,"PBR RR SPROC 420 STEEL ST 4462, 37",Corona PBR acero C45 estándar 4462 - 420,17.68,14.61,8.77,,3,8714109090,0,1,"<h4>PBR, the experience from the competition</h4>
<p>Thanks to its long experience acquired in competition in collaboration with great teams, PBR offers a range of high quality sprockets and crowns.</p>
<ul>
<li>Very high quality 18NCD5 steel alloy</li>
<li>Very resistant to corrosion and abrasion</li>
<li>Reduced friction</li>
<li>Very strict manufacturing process</li>
</ul>","PBR, the experience from the competition

Thanks to its long experience acquired in competition in collaboration with great teams, PBR offers a range of high quality sprockets and crowns.

Very high quality 18NCD5 steel alloy
Very resistant to corrosion and abrasion
Reduced friction
Very strict manufacturing process
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,37 dientes,,803,660,160,152,33,Negro,Acero,37,,420,,,,Estándar,,https://api.mybihr.com/medias/800Wx800H-1108814003-1.jpg?context=bWFzdGVyfHJvb3R8MzQ4MDB8aW1hZ2UvanBlZ3xhREJpTDJnMk9TODROakF5TVRBNE1ETTFNRGMxTUM4NE1EQlhlRGd3TUVoZk1URXdPRGd4TkRBd015MHhMbXB3Wnd8NDYyMWNiNDFiZjNiM2M3YWU3ZGE4MThiMjQ5N2RiNzk5NWM1M2RjYjllOTc3ZDEyZjEyMWYxNGEyZWE1NzMyNQ,,,,https://static.bihr.pro/eBihr/Pictures/PBR-pictures.zip,Spain Warehouse (Parts)
1108814004,,4462 38 F,PBR,"PBR RR SPROC 420 STEEL ST 4462, 38",Corona PBR acero C45 estándar 4462 - 420,16.96,14.02,8.41,,7,8714109090,0,1,"<h4>PBR, the experience from the competition</h4>
<p>Thanks to its long experience acquired in competition in collaboration with great teams, PBR offers a range of high quality sprockets and crowns.</p>
<ul>
<li>Very high quality 18NCD5 steel alloy</li>
<li>Very resistant to corrosion and abrasion</li>
<li>Reduced friction</li>
<li>Very strict manufacturing process</li>
</ul>","PBR, the experience from the competition

Thanks to its long experience acquired in competition in collaboration with great teams, PBR offers a range of high quality sprockets and crowns.

Very high quality 18NCD5 steel alloy
Very resistant to corrosion and abrasion
Reduced friction
Very strict manufacturing process
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,38 dientes,,594,705,180,132,25,Negro,Acero,38,,420,,,,Estándar,,https://api.mybihr.com/medias/800Wx800H-1108814004-1.jpg?context=bWFzdGVyfHJvb3R8MzQ4MDB8aW1hZ2UvanBlZ3xhRGRrTDJnMVlpODROakF5TVRBNE1EYzBNemsyTmk4NE1EQlhlRGd3TUVoZk1URXdPRGd4TkRBd05DMHhMbXB3Wnd8N2M0Zjc5NTFhODVlZTdlNWJjY2U3MjdlZTkwNzFiZDE5OWQ1MDRjMGU2YzZjMDQ0Y2Y3MTA2YmYwMjM3NjNmOQ,,,,https://static.bihr.pro/eBihr/Pictures/PBR-pictures.zip,Spain Warehouse (Parts)
1075247002,47000031,247 36 C45,PBR,"PBR RR SPROC 520 STEEL ST 247, 36",Corona PBR acero C45 estándar 247 - 520,35.71,29.51,17.71,247.36.C45,2,8714109090,0,1,"<ul>
 <li>
  Race experience
 </li>
 <li>
  Thanks to many years of competition experience, PBR developped a wide range of high quality sprockets in collaboration with top teams.
 </li>
 <li>
  High quality steel alloy 18NCD5
 </li>
 <li>
  High wear resistance
 </li>
 <li>
  Reduces frictions
 </li>
 <li>
  High precision manufacturing
 </li>
</ul>","
 
  Race experience
 
 
  Thanks to many years of competition experience, PBR developped a wide range of high quality sprockets in collaboration with top teams.
 
 
  High quality steel alloy 18NCD5
 
 
  High wear resistance
 
 
  Reduces frictions
 
 
  High precision manufacturing
 
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,36 dientes,,431,1254,192,187,12,Negro,Acero,36,,520,,,,Estándar,,https://api.mybihr.com/medias/1075247002-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTcxNjd8aW1hZ2UvanBlZ3xhR1ptTDJnM1pTODRPVEkxTmpVNE16UTVOVGs0THpFd056VXlORGN3TURJdE1WODRNREJYZURnd01FZ3xkODQ0NjM4ODBlYzFlYWZmMzJiMzkyZDE5MjZkZmI1ZDk3N2QyMGIzOTRjMDQ5MjYwMzRkMGU5YzcyNzI3MzQz,,,,https://static.bihr.pro/eBihr/Pictures/PBR-pictures.zip,Spain Warehouse (Parts)
1075247001,47000376,247 35 C45,PBR,"PBR RR SPROC 520 STEEL ST 247, 35",Corona PBR acero C45 estándar 247 - 520,35.71,29.51,17.71,247.35.C45,0,8714109090,0,1,"<ul>
 <li>
  Race experience
 </li>
 <li>
  Thanks to many years of competition experience, PBR developped a wide range of high quality sprockets in collaboration with top teams.
 </li>
 <li>
  High quality steel alloy 18NCD5
 </li>
 <li>
  High wear resistance
 </li>
 <li>
  Reduces frictions
 </li>
 <li>
  High precision manufacturing
 </li>
</ul>","
 
  Race experience
 
 
  Thanks to many years of competition experience, PBR developped a wide range of high quality sprockets in collaboration with top teams.
 
 
  High quality steel alloy 18NCD5
 
 
  High wear resistance
 
 
  Reduces frictions
 
 
  High precision manufacturing
 
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,35 dientes,,395,1100,181,182,12,Negro,Acero,35,,520,,,,Estándar,,https://api.mybihr.com/medias/1075247001-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTcxNjd8aW1hZ2UvanBlZ3xhRFl5TDJnM01pODRPVFkzT1RFMk9URXlOamN3THpFd056VXlORGN3TURFdE1WODRNREJYZURnd01FZ3w5Y2Y2OGY2NjA1NGM5ZGMwMjVlMTEyY2Y4ZjFmZmViNTk5Y2ZkZTI3ZWNkZGZkNzZhMTI2MDllZDE3ZjhjN2Yy,,,,https://static.bihr.pro/eBihr/Pictures/PBR-pictures.zip,Spain Warehouse (Parts)
1075422001,47000127,711 46 C45,PBR,"PBR RR SPROC 530 STEEL ST 711, 46",Corona PBR acero C45 estándar 711 - 530,42.96,35.50,21.30,711.46.C45,1,8714109090,0,1,"<ul>
 <li>
  Race experience
 </li>
 <li>
  Thanks to many years of competition experience, PBR developped a wide range of high quality sprockets in collaboration with top teams.
 </li>
 <li>
  High quality steel alloy 18NCD5
 </li>
 <li>
  High wear resistance
 </li>
 <li>
  Reduces frictions
 </li>
 <li>
  High precision manufacturing
 </li>
</ul>","
 
  Race experience
 
 
  Thanks to many years of competition experience, PBR developped a wide range of high quality sprockets in collaboration with top teams.
 
 
  High quality steel alloy 18NCD5
 
 
  High wear resistance
 
 
  Reduces frictions
 
 
  High precision manufacturing
 
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,46 dientes,,495,1697,236,233,9,Negro,Acero,46,,530,,,,Estándar,,https://api.mybihr.com/medias/1075422001-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODU2MDF8aW1hZ2UvanBlZ3xhR05sTDJoak5TODRPVEF6TXpReE56WTROek0wTHpFd056VTBNakl3TURFdE1WODRNREJYZURnd01FZ3w3MTk0YjU2NjEwMWRiZTVkY2ZmY2U5YjRiYjk0MDdiY2VmNWY0MDI4Y2Y3YmI2NDY4MmZiYjUzN2Q1M2YyMGQy,,,,https://static.bihr.pro/eBihr/Pictures/PBR-pictures.zip,Spain Warehouse (Parts)
1077598002,4080000816,2178G 16 18NC,PBR,"PBR FR SPROC 525 STEEL NFR 2178, 16",Piñón PBR acero con goma anti-ruido 2178 - 525,44.07,36.42,21.85,2178G.16.18.NC,2,8714109090,0,1,"<p>PBR ha puesto a punto una l&iacute;nea completamente nueva de pi&ntilde;ones de acero RSS (Rubber Sprocket System):</p><p>&nbsp;</p><ul><li>Niveles sumamente altos de solidez</li><li>Suavidad</li><li>Un silencio absoluto gracias a la inyecci&oacute;n de goma en los orificios del pi&ntilde;&oacute;n. Gracias a esta soluci&oacute;n, la goma resiste durante mucho tiempo y evita as&iacute; problemas de despegado.</li><li>Fiabilidad en uso intensivo, incluso despu&eacute;s de muchos kil&oacute;metros</li><li>Disponible para cualquier veh&iacute;culo deportivo de carretera y off-road de cilindrada grande.</li></ul>","
PBR ha puesto a punto una línea completamente nueva de piñones de acero RSS (Rubber Sprocket System):
 Niveles sumamente altos de solidezSuavidadUn silencio absoluto gracias a la inyección de goma en los orificios del piñón. Gracias a esta solución, la goma resiste durante mucho tiempo y evita así problemas de despegado.Fiabilidad en uso intensivo, incluso después de muchos kilómetrosDisponible para cualquier vehículo deportivo de carretera y off-road de cilindrada grande.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,16 dientes,,195,308,103,86,22,,Acero,,16,525,,,,,Con goma,https://api.mybihr.com/medias/800Wx800H-1077598002-1.jpg?context=bWFzdGVyfHJvb3R8ODE2MjJ8aW1hZ2UvanBlZ3xhRE5qTDJnNE9TOHhNREExTmpVeE5EZzJNekV3TnpBdk9EQXdWM2c0TURCSVh6RXdOemMxT1Rnd01ESXRNUzVxY0djfGNjNTlhOWEzMmZmYmQzY2Y2ODY2Y2Y3ZTgwYzBkZTE0ZTRhYTA1MjEzMmE1MjIzMWVjMGY3MjEyZDM0OTY4MWM,https://api.mybihr.com/medias/800Wx800H-1077598002-2.jpg?context=bWFzdGVyfHJvb3R8MjEyNTk5fGltYWdlL2pwZWd8YUdVNEwyaGtNQzh4TURBMU5qVXhOVEl5Tmpnek1UZ3ZPREF3VjNnNE1EQklYekV3TnpjMU9UZ3dNREl0TWk1cWNHY3xmM2NkNWRiYTIwNDRiZmI0YWQ3MmY5NTIyNzdiYWJhNGQ3ZWI4MWUzMmU0NDBhNGYwNmYxYmI2YzNjOTYxMTcz,https://api.mybihr.com/medias/1077598002-3-800Wx800H?context=bWFzdGVyfHJvb3R8ODUwNTd8aW1hZ2UvanBlZ3xhR05rTDJoaE9TODVNREV6TkRVMU56Z3hPVEU0THpFd056YzFPVGd3TURJdE0xODRNREJYZURnd01FZ3xlZTRlMDBkMjhhNDhjZTU3NGM2YTYwMDc4YmVjZGQ2NzRkN2I2MDRhNTY1NmE1NWY5ZTQzZDdkM2IzOGMxZDc2,https://api.mybihr.com/medias/800Wx800H-1077598002-4.jpg?context=bWFzdGVyfHJvb3R8MzQxMjI2fGltYWdlL2pwZWd8YUdFNEwyZzVOeTgyTkRFM05qY3hNVE16TlRrMk5pODRNREJYZURnd01FaGZNVEEzTnpVNU9EQXdNaTAwTG1wd1p3fDMxMTYwNjRkMjAwMDAyN2FkZmU3YWRmNmNkYTAxNGJhZGI2OTk1OTExNGY4MDA0ZGQ0NTY5MTRjOWYyZTA2OTY,https://static.bihr.pro/eBihr/Pictures/PBR-pictures.zip,Spain Warehouse (Parts)
1077598001,4080000915,2178G 15 18NC,PBR,"PBR FR SPROC 525 STEEL NFR 2178, 15",Piñón PBR acero con goma anti-ruido 2178 - 525,44.07,36.42,21.85,2178G.15.18.NC,1,8714109090,0,1,"<p>PBR ha puesto a punto una l&iacute;nea completamente nueva de pi&ntilde;ones de acero RSS (Rubber Sprocket System):</p><p>&nbsp;</p><ul><li>Niveles sumamente altos de solidez</li><li>Suavidad</li><li>Un silencio absoluto gracias a la inyecci&oacute;n de goma en los orificios del pi&ntilde;&oacute;n. Gracias a esta soluci&oacute;n, la goma resiste durante mucho tiempo y evita as&iacute; problemas de despegado.</li><li>Fiabilidad en uso intensivo, incluso despu&eacute;s de muchos kil&oacute;metros</li><li>Disponible para cualquier veh&iacute;culo deportivo de carretera y off-road de cilindrada grande.</li></ul>","
PBR ha puesto a punto una línea completamente nueva de piñones de acero RSS (Rubber Sprocket System):
 Niveles sumamente altos de solidezSuavidadUn silencio absoluto gracias a la inyección de goma en los orificios del piñón. Gracias a esta solución, la goma resiste durante mucho tiempo y evita así problemas de despegado.Fiabilidad en uso intensivo, incluso después de muchos kilómetrosDisponible para cualquier vehículo deportivo de carretera y off-road de cilindrada grande.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,15 dientes,,211,272,102,86,24,,Acero,,15,525,,,,,Con goma,https://api.mybihr.com/medias/800Wx800H-1077598001-1.jpg?context=bWFzdGVyfHJvb3R8ODE2MjJ8aW1hZ2UvanBlZ3xhRFpqTDJnNE1pOHhNREExTmpVeE5EZzBNelEwTmpJdk9EQXdWM2c0TURCSVh6RXdOemMxT1Rnd01ERXRNUzVxY0djfGQ2MTY4OTYxYWVmN2Y0YWE4OGM1ZTViYjIxOTVhZmFkODZlNmNiY2FiZmFiODMyOTMzOTA1NjY5ZDVlZjBiNjg,https://api.mybihr.com/medias/800Wx800H-1077598001-2.jpg?context=bWFzdGVyfHJvb3R8MjEyNTk5fGltYWdlL2pwZWd8YURKaUwyaGpZUzh4TURBMU5qVXhOVEl3TnpFM01UQXZPREF3VjNnNE1EQklYekV3TnpjMU9UZ3dNREV0TWk1cWNHY3wzN2RjNGExODI4NzY0YWI4NzdiNWYzZDZkYmEwMDU5YzhmMzVlNTAwZjYwNjNjNGNjZTIzNGQwNzI4MDM5NDA0,https://api.mybihr.com/medias/1077598001-3-800Wx800H?context=bWFzdGVyfHJvb3R8ODUwNTd8aW1hZ2UvanBlZ3xhREppTDJoaVpTODVNREV6TkRVMU1Ua3lNRGswTHpFd056YzFPVGd3TURFdE0xODRNREJYZURnd01FZ3xhZmQ5ZjYyZmVhYzMzNTgxNmVlZjg0MmUyMDdkNWI1NDIwMjczMjk2MDVmNTg3ZDVlZjU4MTNmZWU0YjI0MmMy,https://api.mybihr.com/medias/800Wx800H-1077598001-4.jpg?context=bWFzdGVyfHJvb3R8MzQxMjI2fGltYWdlL2pwZWd8YURabUwyZzBNaTgyTkRFM05qY3hNRGswTWpjMU1DODRNREJYZURnd01FaGZNVEEzTnpVNU9EQXdNUzAwTG1wd1p3fDkxMTVlZjI5OGEzYzE3ZWMyY2Q4MTExNTI2NTcwNzJiZWY5ZmMwMWE4NDQ3Mzk1M2U0MDc3MmE5ZjgxZjdjNjQ,https://static.bihr.pro/eBihr/Pictures/PBR-pictures.zip,Spain Warehouse (Parts)
1077646001,46426613,266 13 18NC,PBR,"PBR FR SPROC 520 STEEL ST 266, 13",Piñón PBR acero estándar 266 - 520,13.13,10.85,6.51,266.13.18NC,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Race experience</p><p> </p><p>Thanks to many years of competition experience, PBR developped a wide range of high quality sprockets in collaboration with top teams.</p><p> </p><ul> <li>High quality steel alloy 18NCD5</li><li>High wear resistance </li><li>Reduces frictions </li><li>High precision manufacturing </li></ul> </body> </html>","       Race experience Thanks to many years of competition experience, PBR developped a wide range of high quality sprockets in collaboration with top teams.  High quality steel alloy 18NCD5High wear resistance Reduces frictions High precision manufacturing   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,13 dientes,,74,136,78,68,14,,Acero,,13,520,,,,,Estándar,https://api.mybihr.com/medias/1077646001-1-800Wx800H?context=bWFzdGVyfHJvb3R8Nzg0ODJ8aW1hZ2UvanBlZ3xhRFpqTDJnNU9TODRPVGMyT0RnME9UZzVPVGd5THpFd056YzJORFl3TURFdE1WODRNREJYZURnd01FZ3w1MzFlNGFjNDMyYjA3N2E4NTNkMzUxNTQ2ZDExYjYyMWNmMWZkYmJkZDBlZmIxY2Q4MTgzZWM4NmU1OWIwZWU2,https://api.mybihr.com/medias/800Wx800H-1077646001-2.jpg?context=bWFzdGVyfHJvb3R8MzIyODg3fGltYWdlL2pwZWd8YURGaUwyaGhZeTgyTkRFM05qZzRORE0xTVRBd05pODRNREJYZURnd01FaGZNVEEzTnpZME5qQXdNUzB5TG1wd1p3fDA4ODQ0ZjgxMTcxNzRhMzUwMjhkYzgwZTFiMWEyOWM4Y2RjMjljMTQ2M2RkYTA0ZGI1OWI0NzEwZmM5ZjcwODA,,,https://static.bihr.pro/eBihr/Pictures/PBR-pictures.zip,Spain Warehouse (Parts)
