PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura del neumático (perfil),Anchura del neumático,Categoría de neumático,Compuesto de neumático,Diámetro de la llanta,Estructura de neumático,Familia de neumáticos,Homologación,Índice de carga del neumático (IC),Índice de velocidad (CV),Marcajes,Modelo,Posición,Sin cámara o tipo de cámara,Tierra,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,DeliveryPlant
9000473,5762291900,2291900,PIRELLI,PIREL TIRE DIABLO ROSSO II K 120/70ZR17,Neumático PIRELLI DIABLO ROSSO II (F) (K) Standard 120/70 ZR 17 M/C (58W) TL,162.14,134.00,89.78,8019227229196,13,4011400000,0,1,<p>EL NEUMÁTICO DE COMPETICIÓN DEFINITIVO PARA EL USO INTENSIVO EN CARRETERA</p><p>• Neumático trasero de doble compuesto que combina un alto kilometraje y un agarre excelente.<br>• La tecnología ETP (Enhanced Patch Technology) de Pirelli optimiza la superficie de contacto para mejorar el agarre.<br>• Diseño funcional de los canales (FGD) para optimizar el comportamiento en mojado.<br></p>,"
EL NEUMÁTICO DE COMPETICIÓN DEFINITIVO PARA EL USO INTENSIVO EN CARRETERA
• Neumático trasero de doble compuesto que combina un alto kilometraje y un agarre excelente.• La tecnología ETP (Enhanced Patch Technology) de Pirelli optimiza la superficie de contacto para mejorar el agarre.• Diseño funcional de los canales (FGD) para optimizar el comportamiento en mojado.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,40647,4381,582,582,120,70,120,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,58,(W) > 270 km/h,,DIABLO ROSSO II,Delantero,TL - Tubeless,,https://api.mybihr.com/medias/9000473-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY0NzU5fGltYWdlL3BuZ3xhREZtTDJnek1pOHhOalV6TXpnMU1UWTJPRFV4TUM4NU1EQXdORGN6TFRGZk9EQXdWM2c0TURCSXw2NGI1Y2QwMDUwMDUyMWQyODVmMTdjOGMwYjY3MDUwZTBiM2ZmNzgwYmMxMGNkM2Y4NTNkYzA1MzVhMzY4OWU4,,,,https://static.bihr.pro/eBihr/Pictures/PIRELLI-pictures.zip,,Spain Warehouse (Tires)
9000487,5762409200,2409200,PIRELLI,PIREL TIRE DIABLO ROSSO II R 100/80R17,Neumático PIRELLI DIABLO ROSSO II (F)(R) Standard 100/80 R 17 M/C 52H TL,132.50,109.50,73.37,8019227240924,2,4011400000,0,1,<p>EL NEUMÁTICO DE COMPETICIÓN DEFINITIVO PARA EL USO INTENSIVO EN CARRETERA</p><p>• Neumático trasero de doble compuesto que combina un alto kilometraje y un agarre excelente.<br>• La tecnología ETP (Enhanced Patch Technology) de Pirelli optimiza la superficie de contacto para mejorar el agarre.<br>• Diseño funcional de los canales (FGD) para optimizar el comportamiento en mojado.<br></p>,"
EL NEUMÁTICO DE COMPETICIÓN DEFINITIVO PARA EL USO INTENSIVO EN CARRETERA
• Neumático trasero de doble compuesto que combina un alto kilometraje y un agarre excelente.• La tecnología ETP (Enhanced Patch Technology) de Pirelli optimiza la superficie de contacto para mejorar el agarre.• Diseño funcional de los canales (FGD) para optimizar el comportamiento en mojado.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,31584,3736,562,562,100,80,100,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,52,H < 210 km/h,,DIABLO ROSSO II R,Delantero,TL - Tubeless,,https://api.mybihr.com/medias/9000487-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY0NzU5fGltYWdlL3BuZ3xhR0k1TDJnNVpDOHhOalV6TXpnMU16VXpOakk0Tmk4NU1EQXdORGczTFRGZk9EQXdWM2c0TURCSXwyNzRhNWRhZjM3NzlmYTFiMGMzZjFhMGM4OThmN2FhMmJkODBjZTRiNjk4MjcwZDU1MzQ5MDMxNzY5MDNjZjc2,,,,https://static.bihr.pro/eBihr/Pictures/PIRELLI-pictures.zip,,Spain Warehouse (Tires)
9000488,,2409300,PIRELLI,PIREL TIRE DIABLO ROSSO II R 130/70R17,Neumático PIRELLI DIABLO ROSSO II (R) Standard  130/70 R 17 M/C 62H TL,137.34,113.50,76.05,8019227240931,0,4011400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC9A1DC62{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:decimal;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>THE ULTIMATE SPORT TYRE FOR ABSOLUTE ROAD USE <br><br></p><ol start=""1""> <li>A Bi-Compound rear tyre combining long lasting mileage with excellent grip.</li><li>Pirelli Enhanced Patch Technology (EPT) optimising the contact patch for improved grip.</li><li>Functional Groove Design (FGD) to optimise wet behaviour.<a id=""_dx_frag_EndFragment""></a></li></ol> <p> </p></body> </html>","       THE ULTIMATE SPORT TYRE FOR ABSOLUTE ROAD USE  A Bi-Compound rear tyre combining long lasting mileage with excellent grip.Pirelli Enhanced Patch Technology (EPT) optimising the contact patch for improved grip.Functional Groove Design (FGD) to optimise wet behaviour.   ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,45253,5840,590,590,130,70,130,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,62,H < 210 km/h,,DIABLO ROSSO II R,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000488-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY0NzU5fGltYWdlL3BuZ3xhR0l3TDJoaFlpOHhOalV6TXpnMU16azJNakkzTUM4NU1EQXdORGc0TFRGZk9EQXdWM2c0TURCSXxhMThlMTJiNzVjMTE3MjY2NGNjNDdmNmYxYTNkOTU3OGM5MWMxN2M4ZDQzNGE5NDgzZWQzNjY1OGY3MjZkZWE1,,,,https://static.bihr.pro/eBihr/Pictures/PIRELLI-pictures.zip,,Spain Warehouse (Tires)
9000514,5762635100,2635100,PIRELLI,PIREL TIRE DIABLO ROSSO III 120/60ZR17,Neumático PIRELLI DIABLO ROSSO III (F) 120/60 ZR 17 M/C (55W) TL,185.74,153.50,102.85,8019227263510,2,4011400000,0,1,<p>¿LISTO PARA EL SIGUIENTE NIVEL?<br> <br>- Tecnología Pirelli del Campeonato del Mundo de Superbikes<br>- Manejabilidad nunca vista para una nueva generación de comportamiento deportivo<br>- Bicompuesto con flanco lateral blando ofreciendo un total agarre en cualquier inclinación<br>- Mayor área de contacto para una adherencia mejorada<br></p>,"
¿LISTO PARA EL SIGUIENTE NIVEL? - Tecnología Pirelli del Campeonato del Mundo de Superbikes- Manejabilidad nunca vista para una nueva generación de comportamiento deportivo- Bicompuesto con flanco lateral blando ofreciendo un total agarre en cualquier inclinación- Mayor área de contacto para una adherencia mejorada",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,40368,4120,580,580,120,60,120,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,55,(W) > 270 km/h,,DIABLO ROSSO III,Delantero,TL - Tubeless,,https://api.mybihr.com/medias/9000514-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDUwNzR8aW1hZ2UvanBlZ3xhRE0xTDJoaU1DODRPVE0wTkRRNE9ESTBNelV3THprd01EQTFNVFF0TVY4NE1EQlhlRGd3TUVnfGQ1NWVkYTYzMWFjOGY1YTNlM2ZhNjY3Y2M2NjVmMTYzMWE3MjBmZmExMzNmNjBhMGI3Mjc0OTM3OGY3MmEzNjM,,,,https://static.bihr.pro/eBihr/Pictures/PIRELLI-pictures.zip,,Spain Warehouse (Tires)
9000517,5762635400,2635400,PIRELLI,PIREL TIRE DIABLO ROSSO III 160/60ZR17,Neumático PIRELLI DIABLO ROSSO III 160/60 ZR 17 M/C (69W) TL,251.68,208.00,139.36,8019227263541,3,4011400000,0,1,<p>¿LISTO PARA EL SIGUIENTE NIVEL?<br> <br>- Tecnología Pirelli del Campeonato del Mundo de Superbikes<br>- Manejabilidad nunca vista para una nueva generación de comportamiento deportivo<br>- Bicompuesto con flanco lateral blando ofreciendo un total agarre en cualquier inclinación<br>- Mayor área de contacto para una adherencia mejorada<br></p>,"
¿LISTO PARA EL SIGUIENTE NIVEL? - Tecnología Pirelli del Campeonato del Mundo de Superbikes- Manejabilidad nunca vista para una nueva generación de comportamiento deportivo- Bicompuesto con flanco lateral blando ofreciendo un total agarre en cualquier inclinación- Mayor área de contacto para una adherencia mejorada",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,61504,6060,620,620,160,60,160,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,69,(W) > 270 km/h,,DIABLO ROSSO III,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000517-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjYzOTZ8aW1hZ2UvanBlZ3xhRGcxTDJnd01pODRPVEUyTmpVd056ZzJPRFEyTHprd01EQTFNVGN0TVY4NE1EQlhlRGd3TUVnfGI2MDI4NDk0Yjk0Mzg3YjA2M2YyODc4YmEyODI2ODk2OWNkNTBmZTE2MjI2ZjBkYzZiN2VhMWYyYzJhYzZiMDE,,,,https://static.bihr.pro/eBihr/Pictures/PIRELLI-pictures.zip,,Spain Warehouse (Tires)
9000518,5762635500,2635500,PIRELLI,PIREL TIRE DIABLO ROSSO III 180/55ZR17,Neumático PIRELLI DIABLO ROSSO III 180/55 ZR 17 M/C (73W) TL,266.20,220.00,147.40,8019227263558,20,4011400000,0,1,<p>¿LISTO PARA EL SIGUIENTE NIVEL?<br> <br>- Tecnología Pirelli del Campeonato del Mundo de Superbikes<br>- Manejabilidad nunca vista para una nueva generación de comportamiento deportivo<br>- Bicompuesto con flanco lateral blando ofreciendo un total agarre en cualquier inclinación<br>- Mayor área de contacto para una adherencia mejorada<br></p>,"
¿LISTO PARA EL SIGUIENTE NIVEL? - Tecnología Pirelli del Campeonato del Mundo de Superbikes- Manejabilidad nunca vista para una nueva generación de comportamiento deportivo- Bicompuesto con flanco lateral blando ofreciendo un total agarre en cualquier inclinación- Mayor área de contacto para una adherencia mejorada",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,73728,6580,640,640,180,55,180,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,73,(W) > 270 km/h,,DIABLO ROSSO III,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000518-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjYzOTZ8aW1hZ2UvanBlZ3xhREJsTDJnMlpTODRPVFExTlRFNE5ERXhPREEyTHprd01EQTFNVGd0TVY4NE1EQlhlRGd3TUVnfGRmZDlhY2UzNWJmNTgxZDQxY2JjMzIzMzhkZjViYjE4NzYwNzBhN2U0YmZhM2IzZWY0ZjJhMTIwMDAxOWNlYmI,,,,https://static.bihr.pro/eBihr/Pictures/PIRELLI-pictures.zip,,Spain Warehouse (Tires)
9000545,,3042900,PIRELLI,PIREL TIRE DIABLO ROSSO III D 190/55ZR17,Neumático PIRELLI DIABLO ROSSO III (D) Standard 190/55 ZR 17 M/C (75W) TL,289.19,239.00,160.13,8019227304299,0,4011400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC9A1DC62{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:decimal;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>ARE YOU READY FOR THE NEXT LEVEL? <br> </p><ol start=""1""> <li>Pirelli technology developed within the World Superbike Championship</li><li>Unprecedented handling for a new generation of sporty behavior</li><li>Bi-compound with wide side soft stripe offering full grip starting from mid lean angle</li><li>Large footprint area for improved adherence<a id=""_dx_frag_EndFragment""></a></li></ol> <p> </p></body> </html>","       ARE YOU READY FOR THE NEXT LEVEL?   Pirelli technology developed within the World Superbike ChampionshipUnprecedented handling for a new generation of sporty behaviorBi-compound with wide side soft stripe offering full grip starting from mid lean angleLarge footprint area for improved adherence   ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,77824,6820,640,640,190,55,190,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,75,(W) > 270 km/h,,DIABLO ROSSO III D,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000545-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTUzMzI2fGltYWdlL2pwZWd8YURnMUwyaGpaUzg0T1RRMU5URTVNVGs0TWpNNEx6a3dNREExTkRVdE1WODRNREJYZURnd01FZ3w3ZDljOTEwNjc5OTZlNWY1YTQ3Nzc3M2M5Y2U1YzQ1ZTAyYTU1MmFkMTVkZDYxZGIxNDgwYzdkYWJiMjVjMDJh,,,,https://static.bihr.pro/eBihr/Pictures/PIRELLI-pictures.zip,,Spain Warehouse (Tires)
9000550,90000192,3141700,PIRELLI,PIREL TIRE SUPERCORSA V3 SC1 110/70ZR17,Neumático PIRELLI DIABLO SUPERCORSA V3 SC1 SSP 300 110/70 ZR 17 M/C 54W TL,252.29,208.50,139.70,8019227314175,1,4011400000,0,1,"<p>LA NUEVA GENERACIÓN INNOVADORA DE NEUMÁTICOS DEPORTIVOS HOMOLOGADOS PARA LA CALLE<br>DIABLO SUPERCORSA SC</p><p>- Alma deportivas aprobada para un uso de calle (DOT).<br>- Nuevos perfiles deportivos actualizados, los mismos que usa Pirelli en el campeonato WSBK.<br>- Nueva geometría en la banda de rodadura.<br>- Nueva fórmula de los compuestos.</p>","
LA NUEVA GENERACIÓN INNOVADORA DE NEUMÁTICOS DEPORTIVOS HOMOLOGADOS PARA LA CALLEDIABLO SUPERCORSA SC
- Alma deportivas aprobada para un uso de calle (DOT).- Nuevos perfiles deportivos actualizados, los mismos que usa Pirelli en el campeonato WSBK.- Nueva geometría en la banda de rodadura.- Nueva fórmula de los compuestos.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,37004,3980,580,580,110,70,110,Dibujo de carreras (homologado carretera),SC1 Pirelli,17,Radial,Neumáticos de motocicleta y scooter,,54,W < 270 km/h,,DIABLO SUPERCORSA SC V3,Delantero,TL - Tubeless,,https://api.mybihr.com/medias/9000550-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg3NzB8aW1hZ2UvanBlZ3xhRFExTDJnMU9TODRPRFk0TkRJeU9EYzNNakUwTHprd01EQTFOVEF0TVY4NE1EQlhlRGd3TUVnfGMzMWI1MDNlYjA0YzU1ZGRkNDEyZDJhNjQzOGJiODcxZTc3ZGNhNWM1MDY1YjgwYjMwMzM5Mzc4MjUwZGQzMDE,https://api.mybihr.com/medias/9000550-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTgxMjB8aW1hZ2UvanBlZ3xhR1k1TDJnd015ODRPRFk0TkRJek1qY3dORE13THprd01EQTFOVEF0TWw4NE1EQlhlRGd3TUVnfGVjZTQ5OGIwYjBjOWEzOWExODMxNjhiN2E0YTMxZjJkYjFlOTNmZTRkOWRiZmViOTgzMmI5OTljMmUzNzQwZWU,https://api.mybihr.com/medias/9000550-3-800Wx800H?context=bWFzdGVyfHJvb3R8NTkxODN8aW1hZ2UvanBlZ3xhRGt6TDJnd09TODRPRFk0TkRJek5qWXpOalEyTHprd01EQTFOVEF0TTE4NE1EQlhlRGd3TUVnfDRlYjFmODFiNDc4NTEzMDI3NzJiNjgxMDE0MWYzMTFhZjU3ZWU0OTM5NmY5ZDU4ZTg1ZGNlODA1ZDhlZTVhZWU,,https://static.bihr.pro/eBihr/Pictures/PIRELLI-pictures.zip,,Spain Warehouse (Tires)
9000455,5762068600,2068600,PIRELLI,PIREL TIRE DIABLO ROSSO II 190/50ZR17,Neumático PIRELLI DIABLO ROSSO II 190/50 ZR 17 M/C (73W) TL,223.85,185.00,123.95,8019227206869,0,4011400000,0,1,<p>EL NEUMÁTICO DE COMPETICIÓN DEFINITIVO PARA EL USO INTENSIVO EN CARRETERA</p><p>• Neumático trasero de doble compuesto que combina un alto kilometraje y un agarre excelente.<br>• La tecnología ETP (Enhanced Patch Technology) de Pirelli optimiza la superficie de contacto para mejorar el agarre.<br>• Diseño funcional de los canales (FGD) para optimizar el comportamiento en mojado.</p>,"
EL NEUMÁTICO DE COMPETICIÓN DEFINITIVO PARA EL USO INTENSIVO EN CARRETERA
• Neumático trasero de doble compuesto que combina un alto kilometraje y un agarre excelente.• La tecnología ETP (Enhanced Patch Technology) de Pirelli optimiza la superficie de contacto para mejorar el agarre.• Diseño funcional de los canales (FGD) para optimizar el comportamiento en mojado.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,74456,6173,626,626,190,50,190,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,73,(W) > 270 km/h,,DIABLO ROSSO II,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000455-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY0NzU5fGltYWdlL3BuZ3xhR0V4TDJnNFlpOHhOalEwT1RJd05qa3hNVEF3Tmk4NU1EQXdORFUxTFRGZk9EQXdWM2c0TURCSXw2OGZiNTY3ZDllOTEyZDNhZTAxMjVlZjY0YzM4ZmFjMTgxODA1NTQ5MTM2NzFkNTI3ZDEzMzExNmJhODk2Y2Mw,,,,https://static.bihr.pro/eBihr/Pictures/PIRELLI-pictures.zip,,Spain Warehouse (Tires)
9000563,90000196,3309700,PIRELLI,PIREL TIRE SUPERCORSA V3 SC2 180/55ZR17,Neumático PIRELLI DIABLO SUPERCORSA V3 SC2 180/55 ZR 17 M/C 73W TL,356.95,295.00,197.65,8019227330977,3,4011400000,0,1,"<p>LA NUEVA GENERACIóN INNOVADORA DE NEUMáTICOS DEPORTIVOS HOMOLOGADOS PARA LA CALLE<br> DIABLO SUPERCORSA SC</p><p>- Alma deportivas aprobada para un uso de calle (DOT).<br>- Nuevos perfiles deportivos actualizados, los mismos que usa Pirelli en el campeonato WSBK.<br>- Nueva geometría en la banda de rodadura.<br>- Nueva fórmula de los compuestos.<br></p>","
LA NUEVA GENERACIóN INNOVADORA DE NEUMáTICOS DEPORTIVOS HOMOLOGADOS PARA LA CALLE DIABLO SUPERCORSA SC
- Alma deportivas aprobada para un uso de calle (DOT).- Nuevos perfiles deportivos actualizados, los mismos que usa Pirelli en el campeonato WSBK.- Nueva geometría en la banda de rodadura.- Nueva fórmula de los compuestos.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,73728,602,640,640,180,55,180,Dibujo de carreras (homologado carretera),SC2 Pirelli,17,Radial,Neumáticos de motocicleta y scooter,,73,W < 270 km/h,,DIABLO SUPERCORSA SC V3,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000563-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDMyNzF8aW1hZ2UvanBlZ3xhR0ZrTDJnd05TODRPVFExTlRJd056Y3hNVEF5THprd01EQTFOak10TVY4NE1EQlhlRGd3TUVnfGE0YjdiODkxYTEyZDIwYjQ1YTU3ZjQ4ZDE0NzFmYWFiZGI4ODVmOWViMGRhMDUzNDBjMzQzOTkyNWIzNDE5ZDY,https://api.mybihr.com/medias/9000563-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjI3NTZ8aW1hZ2UvanBlZ3xhREJtTDJnd01TODRPVFExTlRJd09UWTNOekV3THprd01EQTFOak10TWw4NE1EQlhlRGd3TUVnfDRkNWJmYTE5MTI4NDFmZjFlMzRkNGRiYzRmNzVmNjEwY2E5MTE3Y2VlZDg3ZjI2MmIwNDg2NWQyZmY4NGQ5ZGU,https://api.mybihr.com/medias/9000563-3-800Wx800H?context=bWFzdGVyfHJvb3R8Njk3ODN8aW1hZ2UvanBlZ3xhRGhpTDJnMFppODRPVFExTlRJeE1UWTBNekU0THprd01EQTFOak10TTE4NE1EQlhlRGd3TUVnfDVlMTVmNTNmMjY4NDg4MjA0NjJjOTJlNWFkZWMxYWMyNzJmNDY3YmQ4ZTc4MWNlYTFiYWQ5YzUxY2Q1MTMwNTQ,,https://static.bihr.pro/eBihr/Pictures/PIRELLI-pictures.zip,,Spain Warehouse (Tires)
