PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Capacidad (ml/l),Diámetro Ø (mm),Homologación,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,Document2,Document3,Document4,DeliveryPlant
1050375,893498,13 090,PRESSOL,PRESS TAP BARREL TAP,Grifo latón para bidones BIHR,34.06,28.15,22.52,13090,0,8481801990,0,1,Grifo de latón para bidones de 60 y 200 litros.,Grifo de latón para bidones de 60 y 200 litros.,TOOLING & WS,WS,WS. FLUID DISTRIB.,250,198,85,70,42,,,,https://api.mybihr.com/medias/1050375-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTUzNDE3fGltYWdlL2pwZWd8YURjMEwyZzBNQzg0T1RJM05qRTJOREF4TkRNNEx6RXdOVEF6TnpVdE1WODRNREJYZURnd01FZ3w0MzI1Mjc1MDljYzVkM2YwNDQwZDBlYmZmNTQ2ZThjMzVjOWQ3YThkZDJhYmM3NTFmZGIwNDAzODk4N2RlZWJi,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1050377,89050001,19 698,PRESSOL,PRESS DIGIT METER FOR OIL DISTRIBUTION,Pistola medidora digital para distribución de aceite PRESSOL,330.41,273.07,218.46,4048358196989,3,9028200000,0,1,"Empuñadura con contador digital para el kit de distribución de aceite 890506. 			Contenido: pistola, tubo flexible con boquilla de codo rígido de 90° y antigoteo manual, racor giratorio Su estructura, incluyendo la parte que ocupa el d""""""""","Empuñadura con contador digital para el kit de distribución de aceite 890506. 			Contenido: pistola, tubo flexible con boquilla de codo rígido de 90° y antigoteo manual, racor giratorio Su estructura, incluyendo la parte que ocupa el d""""""""",TOOLING & WS,WS,WS. FLUID DISTRIB.,13617,1957,594,175,131,,,,https://api.mybihr.com/medias/1050377-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ4NTN8aW1hZ2UvanBlZ3xhR1UwTDJobU1TODRPVEF5TWpRek5ERTRNVFF5THpFd05UQXpOemN0TVY4NE1EQlhlRGd3TUVnfGE3N2NhZjQxODEwM2UxMDYyODlkODYzNDNjZjVkYTc2ZWE3OGI3OTg0MDgxNTcyNWJlMjFlOTgzMmUxNTA3Njk,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,https://api.mybihr.com/medias/2965120-19698-F.pdf?context=bWFzdGVyfGRvY3VtZW50c3w0OTY2MjJ8YXBwbGljYXRpb24vcGRmfGFHTXpMMmhoWVM4NU5qTTBOVGt4TmpBME56WTJMekk1TmpVeE1qQmZNVGsyT1RoZlJnfGNkYzdkNTgwNTg2ZTZkMGQzMDJkNTdlZWJkYmY2YWZiOTVlMTFiNDYxZjcxODYyNzhmOWViNGU2ZjZkODdlMjk,,,,France Warehouse (Parts)
1050378,890506,19 242 397,PRESSOL,"PRESS OIL SUPPLY PNEUMATIC, 4M HOSE",Kit de distribución de aceite PRESSOL,1058.47,874.77,699.82,4103810705915,1,9026102190,0,0,"Kit de distribución neumática de aceite para bidones de 200 / 220 L.  Contiene: 			Bomba de aceite neumática 3:1, con caudal de 20 l/minEmpuñadura con contador digital (totalizador parcial y total), con protección de esfera de goma, ac""""""""","Kit de distribución neumática de aceite para bidones de 200 / 220 L.  Contiene: 			Bomba de aceite neumática 3:1, con caudal de 20 l/minEmpuñadura con contador digital (totalizador parcial y total), con protección de esfera de goma, ac""""""""",TOOLING & WS,WS,WS. FLUID DISTRIB.,48536,9680,1310,190,195,,,,https://api.mybihr.com/medias/1050378-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjcyNjl8aW1hZ2UvanBlZ3xhR013TDJoallTODRPVFV6T0RVd05Ua3pNekV3THpFd05UQXpOemd0TVY4NE1EQlhlRGd3TUVnfGFhMzlkMWU4MjVmNzY0YWU1NDkxNGEzMGU3Mjc4OGVmM2JiMzkzMDA1NDM3MmRjZTc5MmVhZjcyNDNhNzg2YzQ,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,France Warehouse (Parts)
1127293,,13015,PRESSOL,PRESS CANE DRUM PUMP STEEL,Bomba para bidón PRESSOL - Tubo de acero,71.39,59.00,38.35,4103810130151,0,8413200090,0,1,"<ul>
	<li>Caudal (l/carrera): 0,1</li>
	<li>Caudal a 60 carreras/min (l/min): 6</li>
	<li>Fluidos: Aceites hasta SAE 140</li>
	<li>Utilización: Bidones de 60 / 200 / 220 l</li>
	<li>Salida: Pitorro, fijado por tuerca</li>
	<li>
	<p>Pitorro de plástico PE</p></li>
	<li>Longitud del tubo de aspiración (mm): 840</li>
	<li>Tratamiento superficial: Todas las piezas de acero galvanizadas</li>
	<li>Tapón del bidón: 2'' G M y M 64x4 M</li>
	<li>Cabeza de la bomba: Fundición inyectada de zinc - resistente a los golpes</li>
	<li>Cuerpo de la bomba: Acero</li>
	<li>Juntas: NBR</li>
	<li>Peso (kg): 1,63</li>
</ul>
","
	Caudal (l/carrera): 0,1
	Caudal a 60 carreras/min (l/min): 6
	Fluidos: Aceites hasta SAE 140
	Utilización: Bidones de 60 / 200 / 220 l
	Salida: Pitorro, fijado por tuerca
	
	Pitorro de plástico PE
	Longitud del tubo de aspiración (mm): 840
	Tratamiento superficial: Todas las piezas de acero galvanizadas
	Tapón del bidón: 2'' G M y M 64x4 M
	Cabeza de la bomba: Fundición inyectada de zinc - resistente a los golpes
	Cuerpo de la bomba: Acero
	Juntas: NBR
	Peso (kg): 1,63

",TOOLING & WS,WS,WS. FLUID DISTRIB.,6976,1920,1090,80,80,,,,https://api.mybihr.com/medias/800Wx800H-1127293-1.jpeg?context=bWFzdGVyfHJvb3R8MTUyMTR8aW1hZ2UvanBlZ3xhRE14TDJobFpDODJOVFk0TlRjek5EY3hPVFV4T0M4NE1EQlhlRGd3TUVoZk1URXlOekk1TXkweExtcHdaV2N8NDEyM2YwZDI3OTRhZGU1OTBmYzc4MmZjNDk3NWJmMTg0NjQyZGQ5YzU4YWM5OWM1ODAyYzI2NWU5ODIzMDRkNw,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052878,890502,6267820,PRESSOL,PRESS SPRAYER 750ML,Pulverizador PRESSOL 750ml,17.12,14.15,9.20,4103810428074,1,8424894000,0,1,"Pulverizador industrial de polietileno blanco transparente, con boquilla de plástico regulable y con cierre. 			Se puede emplear para diversos productos químicos (por ejemplo, productos de lavado, desengrasado y limpieza)No apto para s""""""""","Pulverizador industrial de polietileno blanco transparente, con boquilla de plástico regulable y con cierre. 			Se puede emplear para diversos productos químicos (por ejemplo, productos de lavado, desengrasado y limpieza)No apto para s""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,2795,126,270,115,90,,,,https://api.mybihr.com/medias/1052878-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTczOTd8aW1hZ2UvanBlZ3xhR1JrTDJobU1pODRPVFEyTURnMU1UTTBNelkyTHpFd05USTROemd0TVY4NE1EQlhlRGd3TUVnfDZiNDhlZTNkNmEwODcyZmNiOTU2YzhjNWU0OGZjMGM5YWI5ZWU0ODVjYmIzZDViY2MyM2JjOGIzYTk0N2ZiYTk,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052882,893015,99 826 010,PRESSOL,PRESS RUBBER GASK FOR JERRYCAN FUEL,Junta hermética de plástico para garrafa de gasolina metálica PRESSOL,6.00,4.96,3.22,99826010,1,8484100090,0,1,Junta para manguera de bidones 893010 (10 l) y 893013 (20 l),Junta para manguera de bidones 893010 (10 l) y 893013 (20 l),TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,16,4,60,65,4,,,,https://api.mybihr.com/medias/1052882-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTQ1OTh8aW1hZ2UvanBlZ3xhREk0TDJobE5DODRPVEF5TXpRd05qUXdOems0THpFd05USTRPREl0TVY4NE1EQlhlRGd3TUVnfDAxNTUyYTdjZThkZDdiNTdhNTJjOTQ1NTBiYzljMGI5NmUyN2IwZGM1NDg3OTUzYmU3YWZlOGVmMDE2ZTYwMjU,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052863,893005,07 643,PRESSOL,PRESS MEASUR JUGS 2L,Jarra dosificadora PRESSOL hierro blanco 2L,32.16,26.58,21.26,4103810076435,1,7326909890,0,1,"Jarra dosificadora de hojalata, muy resistente y provista de boquilla flexible de metal (longitud 230 mm).  Capacidad: 2 L","Jarra dosificadora de hojalata, muy resistente y provista de boquilla flexible de metal (longitud 230 mm).  Capacidad: 2 L",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,5695,429,294,116,167,,,,https://api.mybihr.com/medias/1052863-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA4MjF8aW1hZ2UvanBlZ3xhR00zTDJnd01pODRPVEV3TkRnNE9UWXhNRFUwTHpFd05USTROak10TVY4NE1EQlhlRGd3TUVnfDNjMWQxYzhkZmY2ZDUyNjQ3YzM0Zjc3YmQ5ODU0OTdiZmMzNzYzZTU5ZDI4N2JlZTBjMjlmNzMwYmYzYjVjZTE,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052869,89602003,21 088,PRESSOL,PRESS WATER CAN FOR 893358 & 89602001,Grifo para bidón Jerrycan de plástico PRESSOL,6.73,5.56,3.61,4103810210884,0,3926909790,0,1,<p>Grifo para bidón de plástico ref. 1124539 y 1052874.</p>,"
Grifo para bidón de plástico ref. 1124539 y 1052874.",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,247,25,93,70,38,,,,https://api.mybihr.com/medias/1052869-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDU2NTh8aW1hZ2UvanBlZ3xhR1ptTDJnMlppODRPVEkwT1RVNU1EZ3dORGM0THpFd05USTROamt0TVY4NE1EQlhlRGd3TUVnfDM3ODIwODg2ZmRhMDFkYWIxNjhhOTBiMjk1MWVhODk1OTMwOGMwYTNkNDU5ZTA2NWU1NzZhY2MxMTA0ZGYyYjk,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052871,893358,21 127,PRESSOL,PRESS JERRICAN FOR PETROL 20L,Garrafa de gasolina PRESSOL - 20L,31.84,26.31,17.10,1052871,1,3923309000,0,1,"Bidón para hidrocarburos, con tubo de descarga flexible de 245 mm de longitud. 			Homologación UN7BAM		 Recambios: Manguera de salida (ref. 89602004)Junta de estanqueidad (ref. 89602005)""""""""","Bidón para hidrocarburos, con tubo de descarga flexible de 245 mm de longitud. 			Homologación UN7BAM		 Recambios: Manguera de salida (ref. 89602004)Junta de estanqueidad (ref. 89602005)""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,31788,1528,492,355,182,,,Homologación TüV,https://api.mybihr.com/medias/1052871-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjczNTd8aW1hZ2UvanBlZ3xhRFU0TDJnNU1TODRPVE0xTWpBM05ETTJNekU0THpFd05USTROekV0TVY4NE1EQlhlRGd3TUVnfDdkY2MxODRiZTE3YTgwYWM0N2QxYTU1YWZlN2E5NjY1ODYxODQyZWZhZTk4ZmNiZjFkMmYxYTZkYzM5ODJhNWU,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052850,890505,02 342,PRESSOL,"PRESS TIN PLATE 1,3L WITH FILTER",Embudo hierro blanco PRESSOL,20.41,16.87,10.97,4103810023422,1,7326909890,0,1,"Embudo de hierro blanco y polietileno (Ø160 mm), provisto de un filtro de latón intercambiable y de grandes bordes antisalpicaduras. 			Capacidad: 1,3 L""""""""","Embudo de hierro blanco y polietileno (Ø160 mm), provisto de un filtro de latón intercambiable y de grandes bordes antisalpicaduras. 			Capacidad: 1,3 L""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,8951,255,224,180,222,,,,https://api.mybihr.com/medias/1052850-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQyMzQ3fGltYWdlL2pwZWd8YURFeEwyZ3pZaTg0T0RZNE1qVXlPRGMyT0RNd0x6RXdOVEk0TlRBdE1WODRNREJYZURnd01FZ3w3YmYyMGU3ODEyZDkzYjY2NGE3MDVkMWI1NTliNmI4MDU5ZGMwZTZkNDY5YWEzZTg5NDU5MzFkMzhiYjA3MDQ2,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
