PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1085720003,51466,LFB525O,PRO BOLT,"PROBO BOLT M5X0,8X25MM, ORG",Tornillo Aluminio Pro-Bolt cabeza alomada M5 x (0.8mm) x 25mm LFB525O Naranja,1.50,1.24,0.52,8430525514669,20,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Naranja,3,6,28,8,12,,https://api.mybihr.com/medias/800Wx800H-1085720003-1.jpg?context=bWFzdGVyfHJvb3R8Mzk3NjR8aW1hZ2UvanBlZ3xhR0psTDJnNU5pOHpNekV6TXpNNE9UTTBPRGc1TkM4NE1EQlhlRGd3TUVoZk1UQTROVGN5TURBd015MHhMbXB3Wnd8YWQ5NDgwYzNlZWI2NTdjMGNiMmZlNGEzMmY0NzRlOThmOTZjNTE5YTk0ZTNkZWNhYTg2YjcwMDFjNzU4YzU5OQ,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085722001,49828,LFB620B,PRO BOLT,"PROBO BOLT M6X1,00X20MM, BLU",Tornillo de Aluminio Pro-bolt cabeza redondeada M6 x (1.00mm) x 20mm azul LFB620B,1.60,1.32,0.55,8430525498280,57,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Azul,4,4,23,11,15,,https://api.mybihr.com/medias/800Wx800H-1085722001-1.jpg?context=bWFzdGVyfHJvb3R8NTU5ODF8aW1hZ2UvanBlZ3xhR1JsTDJoaU1pOHpNekV6TXpNNU1qRXdNVFF3Tmk4NE1EQlhlRGd3TUVoZk1UQTROVGN5TWpBd01TMHhMbXB3Wnd8OTEzZGE2ZDNmNzczM2FmZjlkMmYzYmNhZTBkYjBkZTQ3MDJkOWE3MDY3NDUzMzk0NDQ5M2RiM2ZjY2Q3NTQ3YQ,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085722007,49834,LFB620S,PRO BOLT,"PROBO BOLT M6X1,00X20MM, SIL",Tornillo de Aluminio Pro-bolt cabeza redondeada M6 x (1.00mm) x 20mm plata LFB620S,2.00,1.65,0.55,8430525498341,267,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Plata,4,2,22,11,16,,https://api.mybihr.com/medias/800Wx800H-1085722007-1.jpg?context=bWFzdGVyfHJvb3R8NTcwNjB8aW1hZ2UvanBlZ3xhR00zTDJobE1DOHpNekV6TXpVMU9ETXdNRGN3TWk4NE1EQlhlRGd3TUVoZk1UQTROVGN5TWpBd055MHhMbXB3Wnd8NTg2YTc5Zjk3NDA2YTQ5MmNkNzg5ZmVjZGJjYThjNzMzZTMzMjY1ZDk5ZDFmYTFmNTdlMDgyYmY1NTNlMzRhMg,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085722003,49830,LFB620G,PRO BOLT,"PROBO BOLT M6X1,00X20MM, GLD",Tornillo de Aluminio Pro-bolt cabeza redondeada M6 x (1.00mm) x 20mm oro LFB620G,2.00,1.65,0.54,8430525498303,70,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Dorado,4,4,23,12,16,,https://api.mybihr.com/medias/800Wx800H-1085722003-1.jpg?context=bWFzdGVyfHJvb3R8ODM5Mjh8aW1hZ2UvanBlZ3xhREV6TDJnNVlTOHpNekV6TXpNNU1qZzROemd6T0M4NE1EQlhlRGd3TUVoZk1UQTROVGN5TWpBd015MHhMbXB3Wnd8ZjcyN2MyZWI4NDcwMWM1OGI5MjhlNjFkYzc3OGQ0ZDY4MWMxZjhhYWVhNDhlNTdkMTMxNTAwZjViNjFjZWJkNQ,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085722005,49832,LFB620P,PRO BOLT,"PROBO BOLT M6X1,00X20MM, PPL",Tornillo de Aluminio Pro-bolt cabeza redondeada M6 x (1.00mm) x 20mm violeta LFB620P,2.00,1.65,0.55,8430525498327,107,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Púrpura,4,2,22,13,15,,https://api.mybihr.com/medias/800Wx800H-1085722005-1.jpg?context=bWFzdGVyfHJvb3R8NTA4NTJ8aW1hZ2UvanBlZ3xhR1ZsTDJnM1pDOHpNekV6TXpVMU56VXhOREkzTUM4NE1EQlhlRGd3TUVoZk1UQTROVGN5TWpBd05TMHhMbXB3Wnd8NmYyMTc5OTY5NDFhYWYwNzJhMzY2OWMwZmRmZjQ5ZWMxNzVhNzBiZmJlNjY4NmIzMjA2NDk3ZGYwOTg5Mzk4Ng,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085722004,49831,LFB620O,PRO BOLT,"PROBO BOLT M6X1,00X20MM, ORG",Tornillo de Aluminio Pro-bolt cabeza redondeada M6 x (1.00mm) x 20mm naranja LFB620O,2.00,1.65,0.52,8430525498310,83,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Naranja,4,2,12,22,15,,https://api.mybihr.com/medias/800Wx800H-1085722004-1.jpg?context=bWFzdGVyfHJvb3R8NTYwODN8aW1hZ2UvanBlZ3xhRFl3TDJnM01DOHpNekV6TXpVMU56RXlNVEExTkM4NE1EQlhlRGd3TUVoZk1UQTROVGN5TWpBd05DMHhMbXB3Wnd8NmMxNDI4Yzg2MGY2NjE1NjdjMTJhNzUxOTMzYzk5MDI3ZTA2OTk4YmM2YjRkY2Q4MmUwOGFjMmZjMWE3OWMyZA,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085722006,49833,LFB620R,PRO BOLT,"PROBO BOLT M6X1,00X20MM, RED",Tornillo de Aluminio Pro-bolt cabeza redondeada M6 x (1.00mm) x 20mm rojo LFB620R,1.60,1.32,0.55,8430525498334,99,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Rojo,4,3,23,11,16,,https://api.mybihr.com/medias/800Wx800H-1085722006-1.jpg?context=bWFzdGVyfHJvb3R8NTA3Mzh8aW1hZ2UvanBlZ3xhRGRpTDJnNFlpOHpNekV6TXpVMU56a3dOelE0Tmk4NE1EQlhlRGd3TUVoZk1UQTROVGN5TWpBd05pMHhMbXB3Wnd8OGZlOWNkMjk3NmFiMTNkZGRjZDY3ODg4NGM3YWZmM2JlZTFmYTViMTVjYjNmNTNmZmZhMjdmMjgzYjE2OWZkZA,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085706006,53937,LBUT6R,PRO BOLT,"PROBO INSERT BUTTON, RED",Tapón tornillo de aluminio M6 Pro-Bolt LBUT6R Rojo,1.20,0.99,0.41,8430525539372,57,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Rojo,48,10,80,60,10,,https://api.mybihr.com/medias/800Wx800H-1085706006-1.jpg?context=bWFzdGVyfHJvb3R8NTMwNTJ8aW1hZ2UvanBlZ3xhRGhpTDJneVl5OHpNekV6TXpNMk5UWXlORGcyTWk4NE1EQlhlRGd3TUVoZk1UQTROVGN3TmpBd05pMHhMbXB3Wnd8Zjg4ZjE2MDQyODcxZGNiOTZjZGZjYTAzMzlkMWQyYmM4NzE5MDkxZjIwMWZhODBjNWQxZDAyODM0NjMyMTM5Mg,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085706004,51465,LBUT6O,PRO BOLT,"PROBO INSERT BUTTON, ORG",Tapón tornillo de aluminio M6 Pro-Bolt LBUT6O Naranja,1.20,0.99,0.41,8430525514652,57,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Naranja,48,10,80,60,10,,https://api.mybihr.com/medias/800Wx800H-1085706004-1.jpg?context=bWFzdGVyfHJvb3R8NDY3MDV8aW1hZ2UvanBlZ3xhRFJpTDJnek9TOHpNekV6TXpNMk5EYzNNamc1TkM4NE1EQlhlRGd3TUVoZk1UQTROVGN3TmpBd05DMHhMbXB3Wnd8YjYwYjMzMDViMzA1MjRjMjY0YTc4OTMyODkyZWM5ZDM3OTc2NGRiYmJiNmYyYmE5NDkwMTgxMzc3NWQ5N2EwYg,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085706005,54576,LBUT6P,PRO BOLT,"PROBO INSERT BUTTON, PPL",Tapón tornillo de aluminio M6 Pro-Bolt LBUT6P Violeta,1.20,0.99,0.41,8430525545762,44,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Púrpura,48,10,60,80,10,,https://api.mybihr.com/medias/800Wx800H-1085706005-1.jpg?context=bWFzdGVyfHJvb3R8NjAxNjl8aW1hZ2UvanBlZ3xhR1ZrTDJneFlpOHpNekV6TXpNMk5URTJOakV4TUM4NE1EQlhlRGd3TUVoZk1UQTROVGN3TmpBd05TMHhMbXB3Wnd8NGVmZmIyN2VlYWY0MGNlZWM3MmNmYzFlZGU5ZDhmOWI5NjZmYWU4MmZhOTE3OWE3YzFmNDkzN2RhM2U2MTA0Mw,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
