PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura pedalier (Mm),BCD (Mm),Color,Dientes,Factor I (Mm),Factor Q (Mm),Linea de cadena (Mm),Longitud de biela (Mm),Material de biela,Material de plato,Pedalier (BB),Peso (g),Transmisión,Uso recomendado,Velocidades,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
1101598,6020,MA-A630,PROWHEEL,PROWH MTB CHAIN RING & CRANK.ALU.24/34/4,PROWHEEL Set platos y bielas de bicicleta 3X7 / 3X8 Bielas 170mm,16.50,13.64,5.99,8430525060203,3094,8714963010,0,1,"Set platos y bielas de bicicleta 26-29''.
Transmisión de triple plato. Apto para sistemas de 3X7 y 3X8.
Platos: Acero. Dentado 42T/34T/24T.
Bielas: Aluminio forjado color negro. Largo: 170 mm.","Set platos y bielas de bicicleta 26-29''.
Transmisión de triple plato. Apto para sistemas de 3X7 y 3X8.
Platos: Acero. Dentado 42T/34T/24T.
Bielas: Aluminio forjado color negro. Largo: 170 mm.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,3710,1103,283,230,57,,,,,,,,,Aluminio 6061-T6 Forjado,,,,,Ciudad & MTB & Trekking/Touring,7 & 8,https://api.mybihr.com/medias/1101598-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc1MzA3fGltYWdlL2pwZWd8YUdWaEwyaGlOUzg1TmpNeU1UQXlNemd6TmpRMkx6RXhNREUxT1RndE1WODRNREJYZURnd01FZ3w4MzQ2ZTA0M2Y2ZDU0OGQ1OWNjNjdlZTRhYTJiNzBkZjkyMTEzYjZmNDQ5Y2E5ODYzMmU4NjdiYmRhYjFjODA2,,,,https://static.bihr.pro/eBihr/Pictures/PROWHEEL-pictures.zip,Spain Warehouse (Parts)
1101295,341,MA-A530,PROWHEEL,PROWH MTB CHAIN-WHEEL SETS. TYPE SHIMANO,PROWHEEL Set platos y bielas de bicicleta 3X7 / 3X8 Bielas 170mm,18.98,15.69,5.99,8430525005839,613,8714963010,0,1,"Set platos y bielas de bicicleta 26-29''.
Transmisión de triple plato. Apto para sistemas de 3X7 y 3X8.
Platos: Acero. Dentado 42T/34T/24T.
Bielas: Aluminio forjado color plata. Largo: 170 mm.","Set platos y bielas de bicicleta 26-29''.
Transmisión de triple plato. Apto para sistemas de 3X7 y 3X8.
Platos: Acero. Dentado 42T/34T/24T.
Bielas: Aluminio forjado color plata. Largo: 170 mm.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,3629,1079,283,225,57,,,,,,,,,,,,,,Ciudad & MTB & Trekking/Touring,,https://api.mybihr.com/medias/1101295-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjEzMDMyfGltYWdlL2pwZWd8YURSakwyaGtNQzg1TmpNeE9ETTBPREF3TVRVNEx6RXhNREV5T1RVdE1WODRNREJYZURnd01FZ3xlOWViZWNiOGEzZjUwYTU0ZTNlYmU1MDIxOGMwMWE2YzU4Y2UxMWVmMGQ4MTZkZGEzZmU1ZTdlNTIyYjQzZmJj,,,,https://static.bihr.pro/eBihr/Pictures/PROWHEEL-pictures.zip,Spain Warehouse (Parts)
1101259,129,AL-7-170,PROWHEEL,PROWH CRANK 170MM. LEFT / ALUMINUM. BLAC,PROWHEEL Biela izquierda de bicicleta Aluminio negro 170mm Eje cuadrado,13.00,10.74,6.98,8430525116603,435,8714109090,0,1,"Biela izquierda de bicicleta. 26-29''.
Aluminio forjado. Color negro.
Largo biela: 170 mm.
EJE CUADRADO","Biela izquierda de bicicleta. 26-29''.
Aluminio forjado. Color negro.
Largo biela: 170 mm.
EJE CUADRADO",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,351,239,215,48,34,,,,,,,,,Aluminio 6061-T6 Forjado,,,,,Carretera & Ciclocross & Ciudad & MTB & Trekking/Touring,,https://api.mybihr.com/medias/1101259-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODUyNjl8aW1hZ2UvanBlZ3xhRFF4TDJnNU55ODVOak14TlRVNE5qWTBNakl5THpFeE1ERXlOVGt0TVY4NE1EQlhlRGd3TUVnfGIxZGYxZmIzMjcxMmQwM2M0MTcwN2ZkNmEyZjFiZTNhOGE2MDM3NWMyYWMyYjIzYmZhZDViNzc0NTMyNjliOWQ,,,,https://static.bihr.pro/eBihr/Pictures/PROWHEEL-pictures.zip,Spain Warehouse (Parts)
1101273,130,AL-7-175,PROWHEEL,PROWH BIELA SHIMANO 175MM,PROWHEEL Biela izquierda de bicicleta Aluminio negro 175mm Eje cuadrado,13.99,11.56,7.51,8430525128354,322,8714109090,0,1,"Biela izquierda de bicicleta. 26-29''.
Aluminio forjado. Color negro.
Largo biela: 175 mm.
EJE CUADRADO","Biela izquierda de bicicleta. 26-29''.
Aluminio forjado. Color negro.
Largo biela: 175 mm.
EJE CUADRADO",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,432,237,219,58,34,,,,,,,,,Aluminio 6061-T6 Forjado,,,,,Carretera & Ciclocross & Ciudad & MTB & Trekking/Touring,,https://api.mybihr.com/medias/1101273-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTIzODJ8aW1hZ2UvanBlZ3xhR1UyTDJoa09TODVOak14TmpFME5qazNOVEF5THpFeE1ERXlOek10TVY4NE1EQlhlRGd3TUVnfGE5ZjUzNmRhOWVmY2FmYjEyZWMwMTc3NzI3ZDU3MmRkMThiYmMzMzUxMDAyZTIwOTFiZTg1Yzg4MDNmNGI1OGQ,,,,https://static.bihr.pro/eBihr/Pictures/PROWHEEL-pictures.zip,Spain Warehouse (Parts)
1121583,,BFG BOLTS,PROWHEEL,PROWH EBIKE BFG BOLTS BAFANG M8/6/5,Juego de tornillos para biela BFG (Bafang) PROWHEEL - M15x1.0x14.5L,2.00,1.65,0.70,BFGBOLTS,2,8714109090,0,1,<p>Juego de tornillos de fijación para biela BFG.</p>,"
Juego de tornillos de fijación para biela BFG.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,37,14,46,35,23,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1121583-1.jpg?context=bWFzdGVyfHJvb3R8NjA3NTh8aW1hZ2UvanBlZ3xhRFUwTDJnNFlTOHpNakUwTnpZNU5qZzNOelU1T0M4NE1EQlhlRGd3TUVoZk1URXlNVFU0TXkweExtcHdad3wyMTZiNjVhOWNjNzhhMDlkMWQyMDE2NDllNTY2MGRiYjA4ZmMxMWM1MDgwZWE0ZjE5Zjc0MWY1ZDlkZTc0NmE5,,,,https://static.bihr.pro/eBihr/Pictures/PROWHEEL-pictures.zip,Spain Warehouse (Parts)
1121640,,S7-1-49,PROWHEEL,PROWH EBIKE SPIDER BOSCH GEN3 CL49,Araña PROWHEEL S7-1 para Bosch Gen3 - sin protector de plato,33.00,27.27,6.00,S7-1-49,43,8714109090,0,1,"<p>Araña PROWHEEL S7-1-49 (sin protector de plato)</p>
<p>BCD 104mm</p>
<p>Línea de cadena 49mm</p>","
Araña PROWHEEL S7-1-49 (sin protector de plato)

BCD 104mm

Línea de cadena 49mm",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,188,89,99,95,20,,,,,,,,,,,,,,E-Bike,,https://api.mybihr.com/medias/800Wx800H-1121640-1.jpg?context=bWFzdGVyfHJvb3R8NjM1NTd8aW1hZ2UvanBlZ3xhRFV3TDJoaE9DOHpNakkwTmpBd05qYzBNekEzTUM4NE1EQlhlRGd3TUVoZk1URXlNVFkwTUMweExtcHdad3w5MjM5MGYzMjhiM2IwOGVjZDIwMzZmZDhiYzg1ZTUwNTkzNGQ4MzNhMGM5ZDMzOWNmOWRhZGIyNmRlNGY4NzQ2,,,,https://static.bihr.pro/eBihr/Pictures/PROWHEEL-pictures.zip,Spain Warehouse (Parts)
1121593,,EB03-L-175,PROWHEEL,PROWH EBIKE LH CRANKARM 175 BOSCH/BAF/YA,Biela izquierda PROWHEEL E-Bike aluminio 175mm ISIS - Bosch / Bafang / Yamaha,17.00,14.05,1.50,1121593,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,458,274,241,50,38,,,Negro,,,,,,,,,,,E-Bike,,https://api.mybihr.com/medias/800Wx800H-1121593-1.jpg?context=bWFzdGVyfHJvb3R8MzczOTB8aW1hZ2UvanBlZ3xhRGhpTDJoak15OHpNakV5TWpRNE9EUTROemsyTmk4NE1EQlhlRGd3TUVoZk1URXlNVFU1TXkweExtcHdad3xhMGZjN2Q2MTM2ZmY5YzdlNmM2ZjFkNjYxOWI3MzA0ODg4ZmI3N2MwZWZjZjU4MjdkNjA1N2VkYzlmYzAxYmRj,,,,https://static.bihr.pro/eBihr/Pictures/PROWHEEL-pictures.zip,Spain Warehouse (Parts)
1116498,1116498,BURNER-232A-N-152-32,PROWHEEL,PROWH CRANKSET JUNIOR 152MM 32T,Bielas Prowheel JUNIOR 152mm 32T,56.49,46.69,30.35,1116498,7,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,3471,847,278,227,55,,,,,,,,,Aluminio 6061-T6 Forjado,Acero,,,,Infantil,,https://api.mybihr.com/medias/1116498-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE1NzQ5fGltYWdlL2pwZWd8YURNekwyaGxNeTh4TmpNMk16a3dPREl6TlRJNU5DOHhNVEUyTkRrNExURmZPREF3VjNnNE1EQkl8ZTQwZTU5MzJkYjRmYzE0M2Q5ZmU5M2VkZDMzMmYwMWYxNmU2ZjJkMzYwYjVkNjI3ODY2MjY5NTIxYjk1NGJkYQ,,,,https://static.bihr.pro/eBihr/Pictures/PROWHEEL-pictures.zip,Spain Warehouse (Parts)
1116499,1116499,RPL-242AA-F-170-42T,PROWHEEL,PROWH CRANKSET CITY 170MM 42T,Bielas Prowheel CITY 170mm 42T,68.99,57.02,16.77,1116499,26,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,3596,1013,283,231,55,,,,,,,,,Aluminio 6061-T6 Forjado,Acero,,,,Ciudad,8 & 9,https://api.mybihr.com/medias/1116499-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM2NjU3fGltYWdlL2pwZWd8YUdRNEwyaGlZaTh4TlRZeU9EQTROREkwT0RZd05pOHhNVEUyTkRrNUxURmZPREF3VjNnNE1EQkl8OThlZjc1NDA0NjhkNjAyYWQ3YjI5ZTUzMDJlMTgzNTliNzBmNjM3YzZmYjZkMzJhMWNhMTgxZjkxNGFhNTU3OA,,,,https://static.bihr.pro/eBihr/Pictures/PROWHEEL-pictures.zip,Spain Warehouse (Parts)
1101343,339,MY-A540,PROWHEEL,PROWH MTB CHAIN-WHEEL SETS. ALU.BICOLOR,PROWHEEL Set platos y bielas de bicicleta 3X7 / 3X8 Bielas 170mm,17.50,14.46,5.29,8430525005815,847,8714963010,0,1,"Set platos y bielas de bicicleta 26-29''.
Transmisión de triple plato. Apto para sistemas de 3X7 y 3X8.
Platos: Acero. Dentado 48T/38T/28T.
Bielas: Aluminio forjado color plata. Largo: 170 mm.","Set platos y bielas de bicicleta 26-29''.
Transmisión de triple plato. Apto para sistemas de 3X7 y 3X8.
Platos: Acero. Dentado 48T/38T/28T.
Bielas: Aluminio forjado color plata. Largo: 170 mm.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,3772,1188,284,233,57,,,,,,,,,Aluminio 6061-T6 Forjado,,,,,Ciudad & MTB & Trekking/Touring,7 & 8,https://api.mybihr.com/medias/1101343-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI1MDU5fGltYWdlL2pwZWd8YURJMkwyaGxPUzg1TmpNeE5UWXlOVGsyTXpneUx6RXhNREV6TkRNdE1WODRNREJYZURnd01FZ3wwODkyYTNlMGJkOTA0NGU4YmMyNDQ0MGM4NjU4NzA0YzBmZDBkNjhlNTZiNTEyY2RlZjRmYTVkNjY3ZGJmNmU1,,,,https://static.bihr.pro/eBihr/Pictures/PROWHEEL-pictures.zip,Spain Warehouse (Parts)
