PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Embalaje,Especificaciones,Homologación,Montaje de espejo retrovisor,Posición,Tipo,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,Picture9,Picture10,Picture11,Picture12,Picture13,Picture14,AllPicturesZIP,Document1,DeliveryPlant
1082824001,,LP0049BK,R&G RACING,"R&G TAIL TIDY LP0049, BLK",Portamatrículas R&G RACING,105.26,86.99,52.19,5055780325824,0,8714109090,0,0,"<p>Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.</p>
<ul>
<li>Hechos de acero inoxidable para una resistencia superior</li>
<li>Recubrimiento en polvo negro para una excelente apariencia y durabilidad</li>
<li>Permite conservar los indicadores originales</li>
<li>Fácil de instalar en los puntos de fijación originales</li>
<li>Cuenta con todos los orificios necesarios perforados</li>
<li>En caso de ser necesario, el portamatr&iacute;culas incorpora una peque&ntilde;a y elegante luz.</li>
</ul>","
Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.

Hechos de acero inoxidable para una resistencia superior
Recubrimiento en polvo negro para una excelente apariencia y durabilidad
Permite conservar los indicadores originales
Fácil de instalar en los puntos de fijación originales
Cuenta con todos los orificios necesarios perforados
En caso de ser necesario, el portamatrículas incorpora una pequeña y elegante luz.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,5937,635,307,233,83,,,,,,,,,https://api.mybihr.com/medias/1082824001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDQ3MDR8aW1hZ2UvanBlZ3xhR05qTDJneVlTODRPVFkzTWpFeE1UVTFORGcyTHpFd09ESTRNalF3TURFdE1WODRNREJYZURnd01FZ3w0ZDE0Nzk0NzYzNzQyNDk0OGUyZTk2NGQzMDM5Nzg1MTUxNmQ3ZTVkOGVhNzI5MzdjNjZjMzQ2MDFiYjQwMTNj,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/R&G_RACING-pictures.zip,,Spain Warehouse (Parts)
1082828001,,LP0052BK,R&G RACING,"R&G TAIL TIDY LP0052, BLK",Portamatrículas R&G RACING,133.09,109.99,65.99,5055780325855,0,8714109090,0,0,"<p>Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.</p>
<ul>
<li>Hechos de acero inoxidable para una resistencia superior</li>
<li>Recubrimiento en polvo negro para una excelente apariencia y durabilidad</li>
<li>Permite conservar los indicadores originales</li>
<li>Fácil de instalar en los puntos de fijación originales</li>
<li>Cuenta con todos los orificios necesarios perforados</li>
<li>En caso de ser necesario, el portamatr&iacute;culas incorpora una peque&ntilde;a y elegante luz.</li>
</ul>","
Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.

Hechos de acero inoxidable para una resistencia superior
Recubrimiento en polvo negro para una excelente apariencia y durabilidad
Permite conservar los indicadores originales
Fácil de instalar en los puntos de fijación originales
Cuenta con todos los orificios necesarios perforados
En caso de ser necesario, el portamatrículas incorpora una pequeña y elegante luz.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,6712,840,228,230,128,,,,,,,,,https://api.mybihr.com/medias/1082828001-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzk0OTR8aW1hZ2UvanBlZ3xhRGxoTDJnNE9DODRPVGM0TVRJMU1EazBPVFF5THpFd09ESTRNamd3TURFdE1WODRNREJYZURnd01FZ3xlZGYzYzAwODAzYWJkOTI5MTAzMDU1OWFlYzAzNzYxZTNkNjcxOThmMjk3YjM0Yzg2MDJkZmEzMGNhMjU3NTc3,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/R&G_RACING-pictures.zip,,Spain Warehouse (Parts)
1082832001,,LP0056BK,R&G RACING,"R&G TAIL TIDY LP0056, BLK",Portamatrículas R&G RACING,188.76,156.00,93.60,5055780325893,2,8714109090,0,0,"<p>Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.</p>
<ul>
<li>Hechos de acero inoxidable para una resistencia superior</li>
<li>Recubrimiento en polvo negro para una excelente apariencia y durabilidad</li>
<li>Permite conservar los indicadores originales</li>
<li>Fácil de instalar en los puntos de fijación originales</li>
<li>Cuenta con todos los orificios necesarios perforados</li>
<li>En caso de ser necesario, el portamatr&iacute;culas incorpora una peque&ntilde;a y elegante luz.</li>
</ul>","
Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.

Hechos de acero inoxidable para una resistencia superior
Recubrimiento en polvo negro para una excelente apariencia y durabilidad
Permite conservar los indicadores originales
Fácil de instalar en los puntos de fijación originales
Cuenta con todos los orificios necesarios perforados
En caso de ser necesario, el portamatrículas incorpora una pequeña y elegante luz.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,11070,844,410,300,90,,,,,,,,,https://api.mybihr.com/medias/1082832001-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODM5NTd8aW1hZ2UvanBlZ3xhRGxqTDJnek1TODRPVFkzTWpFeE16VXlNRGswTHpFd09ESTRNekl3TURFdE1WODRNREJYZURnd01FZ3wzNGZhYTVlMjYzNGZmMzQ4NDEyMTEwOGYzYjNiM2VhZmVlMjgwN2U5ZTlkMjlhNzQyZGE3YmQ0YmE1MDMxYjRh,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/R&G_RACING-pictures.zip,,Spain Warehouse (Parts)
1082834001,,LP0059BK,R&G RACING,"R&G TAIL TIDY LP0059, BLK",Portamatrículas R&G RACING,85.90,70.99,42.59,5055780325923,1,8714109090,0,0,"<p>Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.</p>
<ul>
<li>Hechos de acero inoxidable para una resistencia superior</li>
<li>Recubrimiento en polvo negro para una excelente apariencia y durabilidad</li>
<li>Permite conservar los indicadores originales</li>
<li>Fácil de instalar en los puntos de fijación originales</li>
<li>Cuenta con todos los orificios necesarios perforados</li>
<li>En caso de ser necesario, el portamatr&iacute;culas incorpora una peque&ntilde;a y elegante luz.</li>
</ul>","
Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.

Hechos de acero inoxidable para una resistencia superior
Recubrimiento en polvo negro para una excelente apariencia y durabilidad
Permite conservar los indicadores originales
Fácil de instalar en los puntos de fijación originales
Cuenta con todos los orificios necesarios perforados
En caso de ser necesario, el portamatrículas incorpora una pequeña y elegante luz.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,15808,529,307,221,233,,,,,,,,,https://api.mybihr.com/medias/1082834001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY4MzB8aW1hZ2UvanBlZ3xhR0ZqTDJobU1DODRPVFkzTXpFMU56Z3pOekV3THpFd09ESTRNelF3TURFdE1WODRNREJYZURnd01FZ3w2NDY2NmQ1YzQzMjRkMmRmNWQ3ZTUwOTRiZWE2YTdhNjI5ZjE2NzBlM2ZkNGNiNTBiMzczM2Q0MDE5YjEyZDFl,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/R&G_RACING-pictures.zip,,Spain Warehouse (Parts)
1082838001,,LP0061BK,R&G RACING,"R&G TAIL TIDY LP0061, BLK",Portamatrículas R&G RACING,59.28,48.99,29.39,5055780325947,0,8714109090,0,0,"<p>Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.</p>
<ul>
<li>Hechos de acero inoxidable para una resistencia superior</li>
<li>Recubrimiento en polvo negro para una excelente apariencia y durabilidad</li>
<li>Permite conservar los indicadores originales</li>
<li>Fácil de instalar en los puntos de fijación originales</li>
<li>Cuenta con todos los orificios necesarios perforados</li>
<li>En caso de ser necesario, el portamatr&iacute;culas incorpora una peque&ntilde;a y elegante luz.</li>
</ul>","
Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.

Hechos de acero inoxidable para una resistencia superior
Recubrimiento en polvo negro para una excelente apariencia y durabilidad
Permite conservar los indicadores originales
Fácil de instalar en los puntos de fijación originales
Cuenta con todos los orificios necesarios perforados
En caso de ser necesario, el portamatrículas incorpora una pequeña y elegante luz.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,5594,410,304,230,80,Negro,,,,,,,,https://api.mybihr.com/medias/1082838001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjM0MjZ8aW1hZ2UvanBlZ3xhRGRqTDJnMk9TODRPVFkzTnpBME16RXpPRGcyTHpFd09ESTRNemd3TURFdE1WODRNREJYZURnd01FZ3w0OWZlZjlhMzdkY2Y1NGM3NzFmZGJiMmNjMGFlYzdkN2Q5YTM4ZTkzZTA3YTNhMDNiODE1OTgyZjg3ZDQ5NGIy,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/R&G_RACING-pictures.zip,,Spain Warehouse (Parts)
1082844001,,LP0067BK,R&G RACING,"R&G TAIL TIDY LP0067, BLK",Portamatrículas R&G RACING,79.85,65.99,39.59,5055780326005,0,8714109090,0,0,"<p>Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.</p>
<ul>
<li>Hechos de acero inoxidable para una resistencia superior</li>
<li>Recubrimiento en polvo negro para una excelente apariencia y durabilidad</li>
<li>Permite conservar los indicadores originales</li>
<li>Fácil de instalar en los puntos de fijación originales</li>
<li>Cuenta con todos los orificios necesarios perforados</li>
<li>En caso de ser necesario, el portamatr&iacute;culas incorpora una peque&ntilde;a y elegante luz.</li>
</ul>","
Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.

Hechos de acero inoxidable para una resistencia superior
Recubrimiento en polvo negro para una excelente apariencia y durabilidad
Permite conservar los indicadores originales
Fácil de instalar en los puntos de fijación originales
Cuenta con todos los orificios necesarios perforados
En caso de ser necesario, el portamatrículas incorpora una pequeña y elegante luz.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,5616,310,309,233,78,,,,,,,,,https://api.mybihr.com/medias/1082844001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY4MTJ8aW1hZ2UvanBlZ3xhRFkzTDJnNVpDODRPVGM0TVRJM01qVTNOak13THpFd09ESTRORFF3TURFdE1WODRNREJYZURnd01FZ3xjYzMyYzI4NjJhMDE0ZTUxY2I0NTVkOGYyZmM0NWI4YzYyNzlhNjE1ZDU1NGFmZGJjNDA1OThjN2IyMjBlMGE4,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/R&G_RACING-pictures.zip,,Spain Warehouse (Parts)
1082846001,,LP0069BK,R&G RACING,"R&G TAIL TIDY LP0069, BLK",Portamatrículas R&G RACING,85.90,70.99,42.59,5055780326029,0,8714109090,0,0,"<p>Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.</p>
<ul>
<li>Hechos de acero inoxidable para una resistencia superior</li>
<li>Recubrimiento en polvo negro para una excelente apariencia y durabilidad</li>
<li>Permite conservar los indicadores originales</li>
<li>Fácil de instalar en los puntos de fijación originales</li>
<li>Cuenta con todos los orificios necesarios perforados</li>
<li>En caso de ser necesario, el portamatr&iacute;culas incorpora una peque&ntilde;a y elegante luz.</li>
</ul>","
Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.

Hechos de acero inoxidable para una resistencia superior
Recubrimiento en polvo negro para una excelente apariencia y durabilidad
Permite conservar los indicadores originales
Fácil de instalar en los puntos de fijación originales
Cuenta con todos los orificios necesarios perforados
En caso de ser necesario, el portamatrículas incorpora una pequeña y elegante luz.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,9442,506,307,233,132,,,,,,,,,https://api.mybihr.com/medias/1082846001-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzc3NzR8aW1hZ2UvanBlZ3xhRGszTDJnNU5pODRPVGM0TVRJM05EVTBNak00THpFd09ESTRORFl3TURFdE1WODRNREJYZURnd01FZ3w2OWE0YmMwOTEzZWFjNjFmM2RkMTcyNjUyYTc4OTBkZTAyYjgyMjcwM2I5NGU3YzBjYTJhZTU1YjE1NDM4ODQx,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/R&G_RACING-pictures.zip,,Spain Warehouse (Parts)
1082854001,,LP0079BK,R&G RACING,"R&G TAIL TIDY LP0079, BLK",Portamatrículas R&G RACING,119.78,98.99,59.39,5055780326111,1,8714109090,0,0,"<p>Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.</p>
<ul>
<li>Hechos de acero inoxidable para una resistencia superior</li>
<li>Recubrimiento en polvo negro para una excelente apariencia y durabilidad</li>
<li>Permite conservar los indicadores originales</li>
<li>Fácil de instalar en los puntos de fijación originales</li>
<li>Cuenta con todos los orificios necesarios perforados</li>
<li>En caso de ser necesario, el portamatr&iacute;culas incorpora una peque&ntilde;a y elegante luz.</li>
</ul>","
Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.

Hechos de acero inoxidable para una resistencia superior
Recubrimiento en polvo negro para una excelente apariencia y durabilidad
Permite conservar los indicadores originales
Fácil de instalar en los puntos de fijación originales
Cuenta con todos los orificios necesarios perforados
En caso de ser necesario, el portamatrículas incorpora una pequeña y elegante luz.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,5434,863,315,230,75,,,,,,,,,https://api.mybihr.com/medias/1082854001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjU5NzN8aW1hZ2UvanBlZ3xhR1kyTDJnNU15ODVNREV6TkRnNU56STVOVFkyTHpFd09ESTROVFF3TURFdE1WODRNREJYZURnd01FZ3xhMjc3ZjYxY2JkMzE1ZjdiYmUzYjgyMTdmYWJmYjMxMmJmMDkyZTFkZjc2ODFmOWZhNWI1MGVlNDRjM2I4ODEx,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/R&G_RACING-pictures.zip,,Spain Warehouse (Parts)
1082855001,,LP0080BK,R&G RACING,"R&G TAIL TIDY LP0080, BLK",Portamatrículas R&G RACING,119.78,98.99,59.39,5055780326128,1,8714109090,0,0,"<p>Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.</p>
<ul>
<li>Hechos de acero inoxidable para una resistencia superior</li>
<li>Recubrimiento en polvo negro para una excelente apariencia y durabilidad</li>
<li>Permite conservar los indicadores originales</li>
<li>Fácil de instalar en los puntos de fijación originales</li>
<li>Cuenta con todos los orificios necesarios perforados</li>
<li>En caso de ser necesario, el portamatr&iacute;culas incorpora una peque&ntilde;a y elegante luz.</li>
</ul>","
Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.

Hechos de acero inoxidable para una resistencia superior
Recubrimiento en polvo negro para una excelente apariencia y durabilidad
Permite conservar los indicadores originales
Fácil de instalar en los puntos de fijación originales
Cuenta con todos los orificios necesarios perforados
En caso de ser necesario, el portamatrículas incorpora una pequeña y elegante luz.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,6092,876,304,233,86,,,,,,,,,https://api.mybihr.com/medias/1082855001-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc4NzR8aW1hZ2UvanBlZ3xhR1kyTDJnMlpDODVNREV5TURRME56a3hPRE00THpFd09ESTROVFV3TURFdE1WODRNREJYZURnd01FZ3wzOTRhYzFmYTljMTFkYmQ2YmM2ZjkzZDYwZTkzMTdkMjBkMDUwYmUyMjk2Yzc4NzYxNTNiNWUwMzBiMTZiOWEw,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/R&G_RACING-pictures.zip,,Spain Warehouse (Parts)
1082857001,,LP0082BK,R&G RACING,"R&G TAIL TIDY LP0082, BLK",Portamatrículas R&G RACING,95.58,78.99,47.39,5055780326142,1,8714109090,0,0,"<p>Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.</p>
<ul>
<li>Hechos de acero inoxidable para una resistencia superior</li>
<li>Recubrimiento en polvo negro para una excelente apariencia y durabilidad</li>
<li>Permite conservar los indicadores originales</li>
<li>Fácil de instalar en los puntos de fijación originales</li>
<li>Cuenta con todos los orificios necesarios perforados</li>
<li>En caso de ser necesario, el portamatr&iacute;culas incorpora una peque&ntilde;a y elegante luz.</li>
</ul>","
Los portamatrículas R&G RACING han sido diseñados como una excelente opción de recambio para su portamatrículas original.

Hechos de acero inoxidable para una resistencia superior
Recubrimiento en polvo negro para una excelente apariencia y durabilidad
Permite conservar los indicadores originales
Fácil de instalar en los puntos de fijación originales
Cuenta con todos los orificios necesarios perforados
En caso de ser necesario, el portamatrículas incorpora una pequeña y elegante luz.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,5842,397,306,230,83,,,,,,,,,https://api.mybihr.com/medias/1082857001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ0ODB8aW1hZ2UvanBlZ3xhRGM1TDJnNFpTODVNREV4TmpNMk1qQTNOalEyTHpFd09ESTROVGN3TURFdE1WODRNREJYZURnd01FZ3wxMGQwZTZkMDkyMTI5MDkxN2ZhYjhhNmM5NWJiNjU3NDIwMDhlZDBkYTFhODg0OGQyM2Y2MDJmNDUwOWRmZjc2,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/R&G_RACING-pictures.zip,,Spain Warehouse (Parts)
