PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (cm),Anchura (mm),Bloqueo,Capacidad (ml/l),Carga máxima (kg),Color,Composición,Compuesto del puño,Diámetro Ø (mm),Embalaje,Especificaciones,Homologación,Longitud (mm),Posición,Resistencia,Tipo de luz,Tipo de puño,Uso,Uso recomendado,Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,Document1,Document2,DeliveryPlant
1123808,,R-BLOCKSGR021,RACETECH,RTECH START BLOCKS PAIR,Bloques elevadores de salida RACETECH,41.61,34.39,22.35,8059037085810,9,8714109090,0,1,"<p>Bloques de salida elevadores desarrollados para ayudar a pilotos de motocross j&oacute;venes y de baja estatura en la salida.</p>
<p>Configurable en dos versiones diferentes Tacos de 10 cm (4 pulgadas) de altura, o de 15 cm (6 pulgadas), proporcionan m&aacute;s estabilidad para conseguir mejores salidas.</p>
<ul>
<li>Fabricados en pl&aacute;stico resistente a prueba de golpes, dise&ntilde;o duradero y ligero</li>
<li>Superficie superior antideslizante para un mejor agarre</li>
<li>Superficie inferior antideslizante para un mayor agarre al suelo</li>
<li>Dise&ntilde;o apilable, ahorra espacio en tu veh&iacute;culo/garaje</li>
<li>Superficies laterales personalizables con el nombre del piloto/equipo</li>
<li>Plantilla gr&aacute;fica disponible en&nbsp;la web del fabricante (enlace de descarga/instrucciones) o mediante c&oacute;digo QR directamente en el paquete</li>
<li>Asa ergon&oacute;mica para facilitar el transporte</li>
<li>Dimensiones de la superficie superior: Versi&oacute;n H=100 mm 200 x 130 mm</li>
<li>Dimensiones de la superficie superior: Versi&oacute;n H=150 mm 175 x 120 mm</li>
<li>Dimensiones de la base 275 x 175mm</li>
<li>Peso total del conjunto H=10cm: 590g</li>
<li>Peso total del conjunto H=15cm: 892g</li>
<li>Capacidad m&aacute;xima permitida 250kg</li>
<li>Se venden por pares</li>
</ul>","
Bloques de salida elevadores desarrollados para ayudar a pilotos de motocross jóvenes y de baja estatura en la salida.

Configurable en dos versiones diferentes Tacos de 10 cm (4 pulgadas) de altura, o de 15 cm (6 pulgadas), proporcionan más estabilidad para conseguir mejores salidas.

Fabricados en plástico resistente a prueba de golpes, diseño duradero y ligero
Superficie superior antideslizante para un mejor agarre
Superficie inferior antideslizante para un mayor agarre al suelo
Diseño apilable, ahorra espacio en tu vehículo/garaje
Superficies laterales personalizables con el nombre del piloto/equipo
Plantilla gráfica disponible en la web del fabricante (enlace de descarga/instrucciones) o mediante código QR directamente en el paquete
Asa ergonómica para facilitar el transporte
Dimensiones de la superficie superior: Versión H=100 mm 200 x 130 mm
Dimensiones de la superficie superior: Versión H=150 mm 175 x 120 mm
Dimensiones de la base 275 x 175mm
Peso total del conjunto H=10cm: 590g
Peso total del conjunto H=15cm: 892g
Capacidad máxima permitida 250kg
Se venden por pares
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,13714,1110,317,223,194,,,,,,Gris & Rojo,PVC,,,por pareja,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1123808-1.jpg?context=bWFzdGVyfHJvb3R8MjgwODR8aW1hZ2UvanBlZ3xhR1UzTDJoaVpTODBPREF6TnpNeE5UUTBORGMyTmk4NE1EQlhlRGd3TUVoZk1URXlNemd3T0MweExtcHdad3wzNzhjNTIzODJlNDg0YzgwMTRlNzgwN2JmZmRmOWNiZGRmOGVjMDYwMmMyNWZiM2U4NmM0MTBlNzk3MTZlYzFi,https://api.mybihr.com/medias/800Wx800H-1123808-2.jpg?context=bWFzdGVyfHJvb3R8MjM1NjV8aW1hZ2UvanBlZ3xhRGMwTDJoall5ODBPREF6TnpNeE5UZ3pOems0TWk4NE1EQlhlRGd3TUVoZk1URXlNemd3T0MweUxtcHdad3xlZGQzMTc3ZTU1YzdhZWU1ODQzZWE2MjFmZWYwZGJiYTZiMDZiZGJhYjdhYTZhZWRjYWYzM2Q1MGQxNzU3MmQ3,https://api.mybihr.com/medias/800Wx800H-1123808-3.jpg?context=bWFzdGVyfHJvb3R8MTAxOTQyfGltYWdlL2pwZWd8YURObEwyaGtaUzgwT0RBek56TXhOakl6TVRFNU9DODRNREJYZURnd01FaGZNVEV5TXpnd09DMHpMbXB3Wnd8ZjI5ZWFjZjU0YzI1YzExNDk5MDdiYjliZmExMzNlNDA4Y2FhYzU3NzcxN2YwOTk3OGQxNjMwYTYxOGUzOThmZQ,,,,https://static.bihr.pro/eBihr/Pictures/RACETECH-pictures.zip,,,Spain Warehouse (Parts)
1064758,,R-SPUYZ000085,RACETECH,RTECH SEAT FOAMS AND STEP FOAM,Espuma de asiento RACETECH Yamaha YZ85,54.50,45.04,29.28,8057635518976,0,8714999089,0,1,<p>Racetech seat foams are a good way to renew your MX bike seat. These MXGP developed products are very resistant and easy to fit.</p> <ul> <li>Seat foam</li> <li>Height : standard</li> <li>Shape near to OEM</li> <li>High resistance to traction and impacts<br></li></ul>,"
Racetech seat foams are a good way to renew your MX bike seat. These MXGP developed products are very resistant and easy to fit.  Seat foam Height : standard Shape near to OEM High resistance to traction and impacts",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,19530,3640,700,180,155,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1064758-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc1OTF8aW1hZ2UvanBlZ3xhRFUyTDJnMlpTODRPVGN6T0RrNU1ETTROelV3THpFd05qUTNOVGd0TVY4NE1EQlhlRGd3TUVnfDgyN2RiYWUwOTM0ZWUwNmEzNTZhOWU2ZjQ2YzVlOTljMTM2Yjc4MTJlZTQxYTQ1OWE0OTU1NTExOGIxNjJiODY,,,,,,https://static.bihr.pro/eBihr/Pictures/RACETECH-pictures.zip,,,Spain Warehouse (Parts)
1064763,,R-PCMNBNR0125,RACETECH,RTECH BAR PAD OVALE,Morcilla RACETECH,22.76,18.81,12.23,8057271875952,1,8714109090,0,1,"For large diameter handlebar ∅28.6mmØ28,6mm","For large diameter handlebar ∅28.6mmØ28,6mm",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,1082,114,171,111,57,,,,,,Negro,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1064763-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYyNDJ8aW1hZ2UvanBlZ3xhR0kzTDJnNU1DODRPVGN6T1RBd01ESXhOemt3THpFd05qUTNOak10TVY4NE1EQlhlRGd3TUVnfGU0MzVjYWZlZWNlNTE1ZGZjNzIxM2Y2YjMxNzBjNzkyMGFmNTdkNmY4NzA5NjU5MmQ1YTc1N2FhNjdiMDFmNzA,,,,,,https://static.bihr.pro/eBihr/Pictures/RACETECH-pictures.zip,,,Spain Warehouse (Parts)
1064759,,R-SPUYZ0H0203,RACETECH,RTECH SEAT FOAMS AND STEP FOAM,Espuma de asiento RACETECH +15mm Yamaha YZ125 / 250,54.50,45.04,29.28,8057635518990,1,8714999089,0,1,<p>Racetech seat foams are a good way to renew your MX bike seat. These MXGP developed products are very resistant and easy to fit.</p> <ul> <li>Seat foam</li> <li>Height : +15mm</li> <li>Shape near to OEM</li> <li>High resistance to traction and impacts<br></li></ul>,"
Racetech seat foams are a good way to renew your MX bike seat. These MXGP developed products are very resistant and easy to fit.  Seat foam Height : +15mm Shape near to OEM High resistance to traction and impacts",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,22704,696,758,192,156,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1064759-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc1OTF8aW1hZ2UvanBlZ3xhREkzTDJnM05TODRPVGN6T0RrNU1qTTFNelU0THpFd05qUTNOVGt0TVY4NE1EQlhlRGd3TUVnfDRkOTRmNjIwNDY4MGU3OTViOTY4YTg0MTQ1MGZmNjQyYTFmNWIxOGIyYTk2YjMyMjIyYzc1OGEwYTllNTE5YTY,,,,,,https://static.bihr.pro/eBihr/Pictures/RACETECH-pictures.zip,,,Spain Warehouse (Parts)
1064760,,R-SPUYZF10014,RACETECH,RTECH SEAT FOAMS AND STEP FOAM,Espuma de asiento RACETECH Yamaha YZ250 / 450F,54.50,45.04,29.28,8057635519034,0,8714999089,0,1,<p>Racetech seat foams are a good way to renew your MX bike seat. These MXGP developed products are very resistant and easy to fit.</p> <ul> <li>Seat foam</li> <li>Height : standard</li> <li>Shape near to OEM</li> <li>High resistance to traction and impacts<br></li></ul>,"
Racetech seat foams are a good way to renew your MX bike seat. These MXGP developed products are very resistant and easy to fit.  Seat foam Height : standard Shape near to OEM High resistance to traction and impacts",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,14880,700,620,200,120,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1064760-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc1OTF8aW1hZ2UvanBlZ3xhR1kyTDJnM1lpODRPVGN6T0RrNU5ETXhPVFkyTHpFd05qUTNOakF0TVY4NE1EQlhlRGd3TUVnfDY5ZmI2YjIxYmRlMzdhODdhNmIwMDZjMjQzOTRlNWVhMzk1ZTlhNWVlZDZlM2E0YzYxYTQ2MDAyNzJmMTkyMmM,,,,,,https://static.bihr.pro/eBihr/Pictures/RACETECH-pictures.zip,,,Spain Warehouse (Parts)
1095965002,,B-MPRBIKECL20,RACETECH,"RTECH GRIPS R20 LOCK ON, LBU",Puños lock-on RACETECH E-BIKE,24.74,20.45,11.00,8052464648108,3,8714109090,0,1,"<p>RACETECH es un especialista mundialmente conocido en kits de pl&aacute;stico para motos de MX y Enduro. Sus productos est&aacute;n hechos de pl&aacute;stico inyectado y son la opci&oacute;n favorita de muchos equipos en MXGP.</p>
<ul>
<li>Tipo OEM</li>
<li>Igual que el utilizado en MXGP</li>
<li>Alta resistencia a los rayos UV</li>
</ul>","
RACETECH es un especialista mundialmente conocido en kits de plástico para motos de MX y Enduro. Sus productos están hechos de plástico inyectado y son la opción favorita de muchos equipos en MXGP.

Tipo OEM
Igual que el utilizado en MXGP
Alta resistencia a los rayos UV
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Azul claro,,657,106,111,174,34,,,,,,Azul,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1095965002-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ5NTMzfGltYWdlL2pwZWd8YURrMUwyaGhZUzg0T1RBMU9EZzBPREkzTmpjNEx6RXdPVFU1TmpVd01ESXRNVjg0TURCWGVEZ3dNRWd8OWY3NmY5ZjAxNWY5YjhkYmNkZmE5NDBlMjVhODE1MjA0YjUxMzVmOGVlYTczNWIzNTlmMGUwYjI0ZmYzNTc3ZQ,,,,,,https://static.bihr.pro/eBihr/Pictures/RACETECH-pictures.zip,,,Spain Warehouse (Parts)
1095965005,,B-MPRBIKENR20,RACETECH,"RTECH GRIPS R20 LOCK ON, BLK",Puños lock-on RACETECH E-BIKE,24.74,20.45,13.29,8052464648160,0,8714109090,0,1,"<p>RACETECH es un especialista mundialmente conocido en kits de pl&aacute;stico para motos de MX y Enduro. Sus productos est&aacute;n hechos de pl&aacute;stico inyectado y son la opci&oacute;n favorita de muchos equipos en MXGP.</p>
<ul>
<li>Tipo OEM</li>
<li>Igual que el utilizado en MXGP</li>
<li>Alta resistencia a los rayos UV</li>
</ul>","
RACETECH es un especialista mundialmente conocido en kits de plástico para motos de MX y Enduro. Sus productos están hechos de plástico inyectado y son la opción favorita de muchos equipos en MXGP.

Tipo OEM
Igual que el utilizado en MXGP
Alta resistencia a los rayos UV
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,,1155,107,83,174,80,,,,,,Negro,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1095965005-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc4MDg3fGltYWdlL2pwZWd8YURGakwyZzFZeTg0T0RjM056VTVNek15TXpneUx6RXdPVFU1TmpVd01EVXRNVjg0TURCWGVEZ3dNRWd8MGVjZjNkNDdkOTkxN2JlNmZjYTQ5NDRlNjJkMjQ3OGZjMzQzMjNhODUwNzAxYjk2NDQ3MGUyN2E4YjE3NDJkYg,,,,,,https://static.bihr.pro/eBihr/Pictures/RACETECH-pictures.zip,,,Spain Warehouse (Parts)
1123799001,,R-MPRNR000020,RACETECH,"RTECH R20 LOCK ON GRIP WAVE, BLK",Puños RACETECH R20 Lock-On - Wave,29.71,24.55,15.96,8057271870391,5,8714109090,0,1,"<ul>
<li>F&aacute;cil de instalar gracias al sistema Lock-On</li>
<li>100% antideslizante en todas las condiciones</li>
<li>Grosor m&iacute;nimo de 28,5 mm, &iexcl;m&aacute;xima sensibilidad!</li>
<li>Ajustable en varias posiciones</li>
<li>Tornillos de acero inoxidable</li>
<li>8 levas diferentes para adaptarse a la mayor&iacute;a de las motos</li>
</ul>","
Fácil de instalar gracias al sistema Lock-On
100% antideslizante en todas las condiciones
Grosor mínimo de 28,5 mm, ¡máxima sensibilidad!
Ajustable en varias posiciones
Tornillos de acero inoxidable
8 levas diferentes para adaptarse a la mayoría de las motos
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,,2047,198,208,123,80,,,,,,Negro,,Doble compuesto,,,,,,,,,Gofrado a la mitad,MX,,,https://api.mybihr.com/medias/800Wx800H-1123799001-1.jpg?context=bWFzdGVyfHJvb3R8MjMwNjZ8aW1hZ2UvanBlZ3xhR016TDJnMU55ODBOemd5TmpjeU1ETTFPRFF6TUM4NE1EQlhlRGd3TUVoZk1URXlNemM1T1RBd01TMHhMbXB3Wnd8YWJlOGNjNjFmNTJmMGE0ZDA0OWRlZTY1NDMzZTg1NDNhMDBiYmVkZjE4ZDZlMmUwYjQ0YjE1MjRhYTc4MGQ2Mg,https://api.mybihr.com/medias/800Wx800H-1123799001-2.jpg?context=bWFzdGVyfHJvb3R8MjgxNDV8aW1hZ2UvanBlZ3xhREl5TDJnMFlTODBOemd5TmpjeU1EYzFNVFkwTmk4NE1EQlhlRGd3TUVoZk1URXlNemM1T1RBd01TMHlMbXB3Wnd8MTkxYTZiZDk4YWRiZDE0NGRiOTBjNzdiYmJjMzA4NjUwNWYyODhkNzQzZjZjYzczYjQzMGJiZGMxZjc0ZTFiMQ,https://api.mybihr.com/medias/800Wx800H-1123799001-3.jpg?context=bWFzdGVyfHJvb3R8NDQzMDR8aW1hZ2UvanBlZ3xhREUxTDJnd1lpODBOemd5TmpjeU1URTBORGcyTWk4NE1EQlhlRGd3TUVoZk1URXlNemM1T1RBd01TMHpMbXB3Wnd8MDcwMGRhOGZjMzk0OThiNGEyMmQzMTEzZjk4ZjIwOGU1MDIxOGU5NTM0YTU4N2QyMWQwMjA5ODM0MGVkYmRhZg,https://api.mybihr.com/medias/800Wx800H-1123799001-4.jpg?context=bWFzdGVyfHJvb3R8NDYxNjd8aW1hZ2UvanBlZ3xhRGM0TDJoa1lTODBOemcxT0RJeE1UazBOalV5Tmk4NE1EQlhlRGd3TUVoZk1URXlNemM1T1RBd01TMDBMbXB3Wnd8ZTVlMTQxYzM5NjllNzVmMWI3NDRhNzhlNzlmNzczOTJhYWIzMjUwNzM1OTFlNDM5ZTBhZmJkMzJmYmU2NThmNA,,,https://static.bihr.pro/eBihr/Pictures/RACETECH-pictures.zip,,,Spain Warehouse (Parts)
1123799003,,R-MPRBL000020,RACETECH,"RTECH R20 LOCK ON GRIP WAVE, BLU",Puños RACETECH R20 Lock-On - Wave,29.71,24.55,15.96,8057271870117,0,8714109090,0,1,"<ul>
<li>F&aacute;cil de instalar gracias al sistema Lock-On</li>
<li>100% antideslizante en todas las condiciones</li>
<li>Grosor m&iacute;nimo de 28,5 mm, &iexcl;m&aacute;xima sensibilidad!</li>
<li>Ajustable en varias posiciones</li>
<li>Tornillos de acero inoxidable</li>
<li>8 levas diferentes para adaptarse a la mayor&iacute;a de las motos</li>
</ul>","
Fácil de instalar gracias al sistema Lock-On
100% antideslizante en todas las condiciones
Grosor mínimo de 28,5 mm, ¡máxima sensibilidad!
Ajustable en varias posiciones
Tornillos de acero inoxidable
8 levas diferentes para adaptarse a la mayoría de las motos
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Azul,,284,135,75,63,60,,,,,,Azul,,Doble compuesto,,,,,,,,,Gofrado a la mitad,MX,,,https://api.mybihr.com/medias/800Wx800H-1123799003-1.jpg?context=bWFzdGVyfHJvb3R8NzM4ODZ8aW1hZ2UvanBlZ3xhR0ppTDJobE15ODRNREl6TmpneE1EZzVOVE01TUM4NE1EQlhlRGd3TUVoZk1URXlNemM1T1RBd015MHhMbXB3Wnd8ZmJjOTY5Y2E2MDllYmZmMjU5NWYxMTliNGJiZTA2OWRiZTAxYTM4ODA1OGYzYWFkZDYxY2NkNDI2NWEyMmU5OA,,,,,,https://static.bihr.pro/eBihr/Pictures/RACETECH-pictures.zip,,,Spain Warehouse (Parts)
1123799004,,R-MPRRF000020,RACETECH,"RTECH R20 LOCK ON GRIP WAVE, NRE",Puños RACETECH R20 Lock-On - Wave,29.71,24.55,15.96,8057271870575,0,8714109090,0,1,"<ul>
<li>F&aacute;cil de instalar gracias al sistema Lock-On</li>
<li>100% antideslizante en todas las condiciones</li>
<li>Grosor m&iacute;nimo de 28,5 mm, &iexcl;m&aacute;xima sensibilidad!</li>
<li>Ajustable en varias posiciones</li>
<li>Tornillos de acero inoxidable</li>
<li>8 levas diferentes para adaptarse a la mayor&iacute;a de las motos</li>
</ul>","
Fácil de instalar gracias al sistema Lock-On
100% antideslizante en todas las condiciones
Grosor mínimo de 28,5 mm, ¡máxima sensibilidad!
Ajustable en varias posiciones
Tornillos de acero inoxidable
8 levas diferentes para adaptarse a la mayoría de las motos
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Rojo flúor,,2047,198,208,123,80,,,,,,Rojo neón,,Doble compuesto,,,,,,,,,Gofrado a la mitad,MX,,,https://api.mybihr.com/medias/800Wx800H-1123799004-1.jpg?context=bWFzdGVyfHJvb3R8NzA4NTF8aW1hZ2UvanBlZ3xhREJpTDJoak55ODRNREl6TmpneE1USTRPRFl3Tmk4NE1EQlhlRGd3TUVoZk1URXlNemM1T1RBd05DMHhMbXB3Wnd8MWViNzJkNjcwMWI5Mzc5NWU3ZDNlNDI5NDlhMmQ0NGEzMWFmZGZkYWIwNjNhYTI5YTg4MTEwYzE3YWFjMzg4Nw,,,,,,https://static.bihr.pro/eBihr/Pictures/RACETECH-pictures.zip,,,Spain Warehouse (Parts)
