PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Composición,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,AllPicturesZIP,Document1,DeliveryPlant
1067583,,2444.6878.1,RIVAL,RIVAL ROOF ALU,RIVAL Powersports Roof - Aluminium CF Moto ZForce 500/800/1000,493.80,408.10,134.06,3661738041504,20,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csAD9608CB{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>RIVAL Powersports roofs are engineered and manufactured from strong and lightweight aluminum for long-lasting, reliable protection.</p><p> </p><p>KEY FEATURES</p><p> </p><ul> <li>For the ultimate in strength and protection</li><li>Quick and easy to install</li><li>Seals to the vehicle frame for the best protection and fit</li><li>High-quality powder coated finish</li><li>Custom colors available</li></ul> <p> </p></body> </html>","       RIVAL Powersports roofs are engineered and manufactured from strong and lightweight aluminum for long-lasting, reliable protection. KEY FEATURES  For the ultimate in strength and protectionQuick and easy to installSeals to the vehicle frame for the best protection and fitHigh-quality powder coated finishCustom colors available   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,192760,11000,1220,1000,158,,https://api.mybihr.com/medias/1067583-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYyMjJ8aW1hZ2UvanBlZ3xhREJoTDJnM1lTODRPVGMwTlRBME1qazJORGM0THpFd05qYzFPRE10TVY4NE1EQlhlRGd3TUVnfDZjZmZkNGQwNWE4MzJjNWIyNWJiN2QxNmZkMGI0MDhhNDA2YTZlZTdlOWExZTNmYzFjNTFhODliMTA3ZDU2MzE,https://api.mybihr.com/medias/1067583-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTExOTU5fGltYWdlL2pwZWd8YURNNUwyZzNNeTg0T1RjME5UQTBORGt6TURnMkx6RXdOamMxT0RNdE1sODRNREJYZURnd01FZ3wzOWNhYWNiMGJhNDQ5NDY4MmZjMTY4MTdiZWIzOGE2Yjc1ZDY5Y2FiNTE5ZDgwZGE3MjQ3ZDdhYjJjMzZkOWFm,https://api.mybihr.com/medias/1067583-3-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1Nzc3fGltYWdlL2pwZWd8YURkakwyZzJZeTg0T1RjME5UQTBOamc1TmprMEx6RXdOamMxT0RNdE0xODRNREJYZURnd01FZ3wwMjFkOGI2MmIwNWUwZWRhZTE2ZmQ1Y2FiYzFmY2M1NDJlODYzZjE3YmVkNzY4ODM0NjZlM2M3M2NkY2RiYWE3,,,,,https://static.bihr.pro/eBihr/Pictures/RIVAL-pictures.zip,,France Warehouse (Parts)
1067516,,2444.7440.1,RIVAL,RIVAL CENTRAL SKID PLATE,RIVAL Skid Plate - Aluminium Polaris Ranger 500/570,609.07,503.36,185.62,3661738041337,2,8714109090,0,0,"<p>RIVAL Powersports offers vehicle specific skid plate sets to minimize the risk of damage to most vital components by giving your ATV, UTV or SSV the ultimate underbody protection. The skid plates are made from high strength 5052 H32 aluminum with powder coated finish for excellent durability and great looks.</p>
<p><strong>Arm Guards are NOT INCLUDED in this set.</strong></p>
<p>KEY FEATURES</p>
<ul>
<li>Constructed with high strength 4mm aluminum</li>
<li>Laser Cutting</li>
<li>Deep Stamped</li>
<li>Powder Coated</li>
<li>Utilizes Factory Mounting Points</li>
<li>Side chassis and footwell protection</li>
<li>Drain and maintenance holes</li>
<li>Hidden fastening and special plate washers</li>
</ul>","
RIVAL Powersports offers vehicle specific skid plate sets to minimize the risk of damage to most vital components by giving your ATV, UTV or SSV the ultimate underbody protection. The skid plates are made from high strength 5052 H32 aluminum with powder coated finish for excellent durability and great looks.

Arm Guards are NOT INCLUDED in this set.

KEY FEATURES

Constructed with high strength 4mm aluminum
Laser Cutting
Deep Stamped
Powder Coated
Utilizes Factory Mounting Points
Side chassis and footwell protection
Drain and maintenance holes
Hidden fastening and special plate washers
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,264966,35000,1118,790,300,,https://api.mybihr.com/medias/1067516-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ0ODh8aW1hZ2UvanBlZ3xhR1F4TDJoak5pOHhNams1TnpFMU5UZzRNRGs1TUM4eE1EWTNOVEUyTFRGZk9EQXdWM2c0TURCSXxlYWFmMGJmODg5OGU4MTI2ZWMzOTAxZTE0NDNiYWQ4YzBmZWQ5YWQ2NWIwMDU4MTQ2ZTM5NTdmOWNlNzMyNzI2,,,,,,,https://static.bihr.pro/eBihr/Pictures/RIVAL-pictures.zip,,France Warehouse (Parts)
1067579,,2K.7278.1,RIVAL,RIVAL PROTECTION COMPLETE KIT,RIVAL Complete skid plate kit - Aluminium Can-Am Outlander Max,758.63,626.97,470.23,1234567890128,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Constructed with high strength 10mm plastic</li><li>Lighter than aluminum</li><li>Excellent sliding</li><li>No corrosion, chemical resistance</li><li>Flexible and regains its shape after impact</li><li>Laser cut</li><li>Utilizes factory mounting points</li><li>Side chassis and footwell protection</li><li>Includes drain and maintenance holes</li><li>Hidden fastening and special plate washers</li></ul> </body> </html>","        Constructed with high strength 10mm plasticLighter than aluminumExcellent slidingNo corrosion, chemical resistanceFlexible and regains its shape after impactLaser cutUtilizes factory mounting pointsSide chassis and footwell protectionIncludes drain and maintenance holesHidden fastening and special plate washers  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,89317,14544,671,510,261,,https://api.mybihr.com/medias/1067579-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjcyNTd8aW1hZ2UvanBlZ3xhR1l3TDJoak5pOHhNamsxTXpJMk5qRXlOamczT0M4eE1EWTNOVGM1TFRGZk9EQXdWM2c0TURCSXw2YmRhZTNmZGIzZTE3YTFhMmMyZWFmZjg5NjQ5YzkzZGI3ZTZlNzYzOWEwZDA0ZGUxZjJmNjVlYWFjZWIxMzQ3,,,,,,,https://static.bihr.pro/eBihr/Pictures/RIVAL-pictures.zip,https://api.mybihr.com/medias/2K-7278-1.pdf?context=bWFzdGVyfGRvY3VtZW50c3w3NjkxMjU0fGFwcGxpY2F0aW9uL3BkZnxhRGcwTDJnMU1DODVNRFF6TlRnNE9UY3lOVGMwTHpKTFh6Y3lOemhmTVF8OWY5ZjViYWFkMTYxMGE3OTI3YTdkOGQ1OGZhNzlkMzNiZTMxNmVmNzZiMGVkN2EyN2I4MzIzZmQ1NzNkNGFkOA,France Warehouse (Parts)
1067584,,2444.7248.1,RIVAL,RIVAL ROOF ALU,RIVAL Powersports Roof - Aluminium Can-Am Maverick X3,703.88,581.72,221.13,3661738039846,2,8714109090,0,0,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csAD9608CB{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>RIVAL Powersports roofs are engineered and manufactured from strong and lightweight aluminum for long-lasting, reliable protection.</p><p> </p><p>KEY FEATURES</p><p> </p><ul> <li>For the ultimate in strength and protection</li><li>Quick and easy to install</li><li>Seals to the vehicle frame for the best protection and fit</li><li>High-quality powder coated finish</li><li>Custom colors available</li></ul> <p> </p></body> </html>","       RIVAL Powersports roofs are engineered and manufactured from strong and lightweight aluminum for long-lasting, reliable protection. KEY FEATURES  For the ultimate in strength and protectionQuick and easy to installSeals to the vehicle frame for the best protection and fitHigh-quality powder coated finishCustom colors available   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,265200,23000,1300,1020,200,,https://api.mybihr.com/medias/1067584-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTUyNjM4fGltYWdlL2pwZWd8YUdGakwyZzJOUzg0T1RjME5UQTBPRGcyTXpBeUx6RXdOamMxT0RRdE1WODRNREJYZURnd01FZ3xmMzY1NDNmOWQxOWU1OWI0MTUwZDA0Zjc2Mzg5NzQyNmI4YjY1NGRjZmY2YzQwNWY4OTZmNDE3ZTQ4NWY0MmNj,https://api.mybihr.com/medias/1067584-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTExNTU1fGltYWdlL2pwZWd8YURNd0wyZ3hOeTg0T1RjME5UQTFNRGd5T1RFd0x6RXdOamMxT0RRdE1sODRNREJYZURnd01FZ3xjMmZiYWM1MzM3ODhlZWJiZWMwMzBkOTI2YWI1NzgyNGQ3YWIyZjAzZDVjZmYxNmIxZWIzYzNkYmIyNjAyYTdm,https://api.mybihr.com/medias/1067584-3-800Wx800H?context=bWFzdGVyfHJvb3R8MTA2MDM2fGltYWdlL2pwZWd8YURjekwyZ3hNQzg0T1RjME5UQTFNamM1TlRFNEx6RXdOamMxT0RRdE0xODRNREJYZURnd01FZ3w4ZjBhZGE4ZGRmYWRlNzAxYzk4NTRhZTE4NmNlNTUwMWZhODQ1MDM5OWIyZWM2NGE2NzIzY2QwMzc1NTRmMzZk,https://api.mybihr.com/medias/1067584-4-800Wx800H?context=bWFzdGVyfHJvb3R8ODQzNzl8aW1hZ2UvanBlZ3xhR0V5TDJnd09TODRPVGMwTlRBMU5EYzJNVEkyTHpFd05qYzFPRFF0TkY4NE1EQlhlRGd3TUVnfGRmYjQ5ZDliZDVhMGI0Yzg4OTg3NDUzMzI0MmY0YjNiNTBmMjlkNDgwYjU0NTAxN2IyZjM2ZDM3YTk0MWQ4ZGY,,,,https://static.bihr.pro/eBihr/Pictures/RIVAL-pictures.zip,,France Warehouse (Parts)
1067586,,2444.7435.1,RIVAL,RIVAL ROOF ALU,RIVAL Powersports Roof - Aluminium Polaris RZR XP1000/Turbo,605.81,500.67,211.90,3661738040606,3,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csAD9608CB{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>RIVAL Powersports roofs are engineered and manufactured from strong and lightweight aluminum for long-lasting, reliable protection.</p><p> </p><p>KEY FEATURES</p><p> </p><ul> <li>For the ultimate in strength and protection</li><li>Quick and easy to install</li><li>Seals to the vehicle frame for the best protection and fit</li><li>High-quality powder coated finish</li><li>Custom colors available</li></ul> <p> </p></body> </html>","       RIVAL Powersports roofs are engineered and manufactured from strong and lightweight aluminum for long-lasting, reliable protection. KEY FEATURES  For the ultimate in strength and protectionQuick and easy to installSeals to the vehicle frame for the best protection and fitHigh-quality powder coated finishCustom colors available   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,100000,12000,1000,1000,100,,https://api.mybihr.com/medias/1067586-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTIxNzd8aW1hZ2UvanBlZ3xhRE0yTDJnMU9TODRPVGMwTlRBMk1qWXlOVFU0THpFd05qYzFPRFl0TVY4NE1EQlhlRGd3TUVnfDFkNGYxODA5MmNmZWI4ZjhmNDQ3ZmQzOWU0MmFmMjE4ZjdmOWQ3MDBkYzA0YzY3YjVkN2IzNWE1ZTQ5M2E0NDU,,,,,,,https://static.bihr.pro/eBihr/Pictures/RIVAL-pictures.zip,,France Warehouse (Parts)
1067480,,2444.6821.2,RIVAL,RIVAL PROTECTION COMPLETE KIT,RIVAL Complete skid plate - Aluminium 4mm CF Moto,597.35,493.68,185.63,61500135,2,8714109090,0,0,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>RIVAL Powersports offers vehicle specific skid plate sets to minimize the risk of damage to most vital components by giving your ATV, UTV or SSV the ultimate underbody protection. The skid plates and a-arm guards are made from high strength 5052 H32 aluminum with powder coated finish for excellent durability and great looks.</p><p> </p><p>KEY FEATURES</p><p> </p><ul> <li>Constructed with high strength 4mm aluminum</li><li>Laser Cutting</li><li>Deep Stamped</li><li>Powder Coated</li><li>Utilizes Factory Mounting Points</li><li>Side chassis and footwell protection</li><li>Drain and maintenance holes</li><li>Hidden fastening and special plate washers</li><li>A-arm guards incl. special plastic deflectors for additional cv joint protection</li></ul> </body> </html>","       RIVAL Powersports offers vehicle specific skid plate sets to minimize the risk of damage to most vital components by giving your ATV, UTV or SSV the ultimate underbody protection. The skid plates and a-arm guards are made from high strength 5052 H32 aluminum with powder coated finish for excellent durability and great looks. KEY FEATURES  Constructed with high strength 4mm aluminumLaser CuttingDeep StampedPowder CoatedUtilizes Factory Mounting PointsSide chassis and footwell protectionDrain and maintenance holesHidden fastening and special plate washersA-arm guards incl. special plastic deflectors for additional cv joint protection  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,139384,26500,1310,760,140,,https://api.mybihr.com/medias/1067480-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzIwNTA1fGltYWdlL2pwZWd8YURKaUwyaGlNeTg0T1RjME5EWTBOemM0TWpjd0x6RXdOamMwT0RBdE1WODRNREJYZURnd01FZ3xlMWNlMTQ4YTBmMzI1ODVlNzlkNGMxYmFjZDkyYWMxOWVhMzkxNmY5YzJmMTI3MDg0YzgxMWI0YzBkNjI0NzI3,https://api.mybihr.com/medias/1067480-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTU1Nzg4fGltYWdlL2pwZWd8YURWaUwyaGhZeTg0T1RjME5EWTBPVGMwT0RjNEx6RXdOamMwT0RBdE1sODRNREJYZURnd01FZ3xlMGQyOGU2OTg0ZTIwZWUwOTI0YTlkMDU1YTE5OTc1OTM0MDcxMzdlNTRkYjNhMWVkNDljZDVkYTgxOWFhY2Mx,,,,,,https://static.bihr.pro/eBihr/Pictures/RIVAL-pictures.zip,,France Warehouse (Parts)
1067522,,2K.6829.1,RIVAL,RIVAL PROTECTION COMPLETE KIT,RIVAL Complete skid plate kit - Aluminium CF Moto ZForce 800/1000,875.94,723.92,236.68,3661738040484,2,8714109090,0,0,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,144000,27300,1600,600,150,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/RIVAL-pictures.zip,,France Warehouse (Parts)
1067523,,2K.6846.1,RIVAL,RIVAL PROTECTION COMPLETE KIT,RIVAL Complete skid plate - Plastic 10mm CF Moto Cforce 550,638.24,527.47,248.63,61500137,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Constructed with high strength 10mm plastic</li><li>Lighter than aluminum</li><li>Excellent sliding</li><li>No corrosion, chemical resistance</li><li>Flexible and regains its shape after impact</li><li>Laser cut</li><li>Utilizes factory mounting points</li><li>Side chassis and footwell protection</li><li>Includes drain and maintenance holes</li><li>Hidden fastening and special plate washers</li></ul> </body> </html>","        Constructed with high strength 10mm plasticLighter than aluminumExcellent slidingNo corrosion, chemical resistanceFlexible and regains its shape after impactLaser cutUtilizes factory mounting pointsSide chassis and footwell protectionIncludes drain and maintenance holesHidden fastening and special plate washers  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,129710,15600,1090,700,170,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/RIVAL-pictures.zip,,France Warehouse (Parts)
1067492,,2444.7137.1,RIVAL,RIVAL PROTECTION COMPLETE KIT,RIVAL Complete skid plate kit - Aluminium Yamaha Wolverine 700,809.78,669.24,269.95,3661738040545,2,8714109090,0,0,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>RIVAL Powersports offers vehicle specific skid plate sets to minimize the risk of damage to most vital components by giving your ATV, UTV or SSV the ultimate underbody protection. The skid plates and a-arm guards are made from high strength 5052 H32 aluminum with powder coated finish for excellent durability and great looks.</p><p> </p><p>KEY FEATURES</p><p> </p><ul> <li>Constructed with high strength 4mm aluminum</li><li>Laser Cutting</li><li>Deep Stamped</li><li>Powder Coated</li><li>Utilizes Factory Mounting Points</li><li>Side chassis and footwell protection</li><li>Drain and maintenance holes</li><li>Hidden fastening and special plate washers</li><li>A-arm guards incl. special plastic deflectors for additional cv joint protection</li></ul> <p> </p></body> </html>","       RIVAL Powersports offers vehicle specific skid plate sets to minimize the risk of damage to most vital components by giving your ATV, UTV or SSV the ultimate underbody protection. The skid plates and a-arm guards are made from high strength 5052 H32 aluminum with powder coated finish for excellent durability and great looks. KEY FEATURES  Constructed with high strength 4mm aluminumLaser CuttingDeep StampedPowder CoatedUtilizes Factory Mounting PointsSide chassis and footwell protectionDrain and maintenance holesHidden fastening and special plate washersA-arm guards incl. special plastic deflectors for additional cv joint protection   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,264966,21400,1118,790,300,,https://api.mybihr.com/medias/1067492-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjcwMzM3fGltYWdlL2pwZWd8YURBM0wyaGlOQzg0T1RjME5EY3lPRE01TVRrNEx6RXdOamMwT1RJdE1WODRNREJYZURnd01FZ3xhNDJlNTUyZmU5MDVmZmRkYjhmNDNlOTQ0MzA4OWM1Y2VhMGNkMzNkZDA3ODViY2I1ZWMyY2ZlYzM5ODgwNmNm,https://api.mybihr.com/medias/1067492-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTYxNTg4fGltYWdlL2pwZWd8YURoakwyZzJOUzg0T1RjME5EY3pNRE0xT0RBMkx6RXdOamMwT1RJdE1sODRNREJYZURnd01FZ3wxZmU5NTgxMzBhMzIzYjk0NGMwYzI4ZWQ2MGU1ZjViMzIxMjU5YzY1YjgzMWU2ODlkNjAxYTIwNjJmMzRlYTIz,https://api.mybihr.com/medias/1067492-3-800Wx800H?context=bWFzdGVyfHJvb3R8MzA5MzcwfGltYWdlL2pwZWd8YUdKaUwyZzFaUzg0T1RjME5EY3pNak15TkRFMEx6RXdOamMwT1RJdE0xODRNREJYZURnd01FZ3xjOWE5ZDViYmM1NzZlYzk4YzljZWNiOTlkNjljODYyYjg1NGFlMzlhNDNlYjUwMDczMzcxNzk2ZWQ3OWNiZGQ2,https://api.mybihr.com/medias/1067492-4-800Wx800H?context=bWFzdGVyfHJvb3R8MjE0NjM0fGltYWdlL2pwZWd8YUdabEwyZzFOeTg0T1RjME5EY3pOREk1TURJeUx6RXdOamMwT1RJdE5GODRNREJYZURnd01FZ3w5NmYwYzhkMWNmZjEzYjZiM2Q5ODQ1MzZiYzE2YWQxOTVmMmRkNjA2MzVlN2QwNjY2YWU0YTUwYWMyNTlmNDJl,https://api.mybihr.com/medias/1067492-5-800Wx800H?context=bWFzdGVyfHJvb3R8MjgyMjYxfGltYWdlL2pwZWd8YURKbEwyZzFNUzg0T1RjME5EY3pOakkxTmpNd0x6RXdOamMwT1RJdE5WODRNREJYZURnd01FZ3wyYzY4MmRmNWMyMTEyMDU5Zjc3M2M5MTFhM2MzYjQ2M2QxNmU2ZDY0NzgyY2E0ZmZhNzBhMDlkMThkYTVmYjQ3,,,https://static.bihr.pro/eBihr/Pictures/RIVAL-pictures.zip,,France Warehouse (Parts)
1067501,,2444.7226.1,RIVAL,RIVAL PROTECTION COMPLETE KIT,RIVAL Complete skid plate - Aluminium 4mm Can-Am Maverick,942.88,779.24,294.01,61500136,2,8714109090,0,0,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>RIVAL Powersports offers vehicle specific skid plate sets to minimize the risk of damage to most vital components by giving your ATV, UTV or SSV the ultimate underbody protection. The skid plates and a-arm guards are made from high strength 5052 H32 aluminum with powder coated finish for excellent durability and great looks.</p><p> </p><p>KEY FEATURES</p><p> </p><ul> <li>Constructed with high strength 4mm aluminum</li><li>Laser Cutting</li><li>Deep Stamped</li><li>Powder Coated</li><li>Utilizes Factory Mounting Points</li><li>Side chassis and footwell protection</li><li>Drain and maintenance holes</li><li>Hidden fastening and special plate washers</li><li>A-arm guards incl. special plastic deflectors for additional cv joint protection</li></ul> </body> </html>","       RIVAL Powersports offers vehicle specific skid plate sets to minimize the risk of damage to most vital components by giving your ATV, UTV or SSV the ultimate underbody protection. The skid plates and a-arm guards are made from high strength 5052 H32 aluminum with powder coated finish for excellent durability and great looks. KEY FEATURES  Constructed with high strength 4mm aluminumLaser CuttingDeep StampedPowder CoatedUtilizes Factory Mounting PointsSide chassis and footwell protectionDrain and maintenance holesHidden fastening and special plate washersA-arm guards incl. special plastic deflectors for additional cv joint protection  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,409812,46000,1420,780,370,,https://api.mybihr.com/medias/1067501-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjEyNDgwfGltYWdlL2pwZWd8YUdOaUwyaGtZaTg0T1RjME5EYzJNVGd4TlRNMEx6RXdOamMxTURFdE1WODRNREJYZURnd01FZ3wxNGI3ZTJmNjc4MjA0Yjg2NGM3ODA0OTRlYTg4OGM5MjljNzAwOWQ0YWYxMDg0MzY3NjIxZDU4ZjM1NGE1Yzc1,,,,,,,https://static.bihr.pro/eBihr/Pictures/RIVAL-pictures.zip,,France Warehouse (Parts)
