PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad de eslabones,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Calidad,Color de la cadena,Eslabón de conexión,Eslabones de cadena,Paso de cadena,Retenes,Tipo de cadena RK,Uso,Picture1,AllPicturesZIP,Document1,DeliveryPlant
1042330,99423CL,GB420MXZ-CL,RK,RK CONNECT LINK MXZ 420 LOOSE FIT,Enganche de cadena RK cierre rápido GB420MXZ oro,1.78,1.47,0.51,4935531490074,21,7315111000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,125,16,86,66,22,,,,,,,,,https://api.mybihr.com/medias/1042330-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTU2MzR8aW1hZ2UvanBlZ3xhRGt4TDJnd01pOHhOVE14TnpnNE56STROek15Tmk4eE1EUXlNek13TFRGZk9EQXdWM2c0TURCSXxhODEwMDFmZmI4MmQ1MjVlOWFlN2E3YjFiOGFhZjZjNjMzMzJlZmY5YjQzOWVjZThhNjA2ZWZlYzQzMzMxNmY1,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,,Spain Warehouse (Parts)
1111471011,99400120,530DR-120,RK,"RK CHAIN DR 530, BLK/BLK, 120",Cadena RK 530DR con 120 eslabones negro,128.45,106.16,21.23,8430525251922,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,120 eslabones,Negro / Negro,792,2726,110,240,30,,,Clip a presión,,530,Sin retenes,DR,Competición,https://api.mybihr.com/medias/1111471011-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODIzNTR8aW1hZ2UvanBlZ3xhR0l5TDJoa1l5OHhOVE14T0RjNU5qSTNNVFkwTmk4eE1URXhORGN4TURFeExURmZPREF3VjNnNE1EQkl8NjNiMTQzYzA3OTdkZWViNjA0NDIxMTYzZGE1Njc3MGExMTk2YzIyNGJjMGNmZjM5Y2Q3ZGZjYzFhYTAwZThkZQ,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,https://api.mybihr.com/medias/RK-Chains-Specs-Rev1-1-2021.pdf?context=bWFzdGVyfGRvY3VtZW50c3w5Nzc0OTI0fGFwcGxpY2F0aW9uL3BkZnxhR015TDJneFppODJOVEkxT0RjNU5URXdOak16TkM5U1MxOURhR0ZwYm5OZlUzQmxZM05mVW1WMk1WOHhYekl3TWpFdWNHUm18NGY1MWY5ZDQ0NTU0YjUzYWNjOTYzMDJkM2YxMWM5NDRiNmRlMzQyNGRhMzkwNzg1ZjY2MmIyMTJiODkyNzJhZQ,Spain Warehouse (Parts)
1111471009,99400116,530DR-116,RK,"RK CHAIN DR 530, BLK/BLK, 116",Cadena RK 530DR con 116 eslabones negro,123.49,102.06,20.41,8430525251908,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,116 eslabones,Negro / Negro,792,2638,110,240,30,,,Clip a presión,,530,Sin retenes,DR,Competición,https://api.mybihr.com/medias/1111471009-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODIzNTR8aW1hZ2UvanBlZ3xhREF4TDJoalpTOHhOVE14T0RjNU5UZzNPRFF6TUM4eE1URXhORGN4TURBNUxURmZPREF3VjNnNE1EQkl8OTRhNDkxMGU2ZTEwZjI2MjQ3OGFlMDgzMzMzZjEzOTVkNjNhYWNhMGJmMTViZjIwNmJlNTMzZTY5ZWY2NDQzMQ,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,https://api.mybihr.com/medias/RK-Chains-Specs-Rev1-1-2021.pdf?context=bWFzdGVyfGRvY3VtZW50c3w5Nzc0OTI0fGFwcGxpY2F0aW9uL3BkZnxhR015TDJneFppODJOVEkxT0RjNU5URXdOak16TkM5U1MxOURhR0ZwYm5OZlUzQmxZM05mVW1WMk1WOHhYekl3TWpFdWNHUm18NGY1MWY5ZDQ0NTU0YjUzYWNjOTYzMDJkM2YxMWM5NDRiNmRlMzQyNGRhMzkwNzg1ZjY2MmIyMTJiODkyNzJhZQ,Spain Warehouse (Parts)
1111471010,99400118,530DR-118,RK,"RK CHAIN DR 530, BLK/BLK, 118",Cadena RK 530DR con 118 eslabones negro,125.99,104.12,20.82,8430525251915,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,118 eslabones,Negro / Negro,792,2682,110,240,30,,,Clip a presión,,530,Sin retenes,DR,Competición,https://api.mybihr.com/medias/1111471010-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODIzNTR8aW1hZ2UvanBlZ3xhRGd5TDJobE15OHhOVE14T0RjNU5qQTNOVEF6T0M4eE1URXhORGN4TURFd0xURmZPREF3VjNnNE1EQkl8NDhkYjY3ZGRkZGU0OTM3M2IzMjEyMzE0MDMxM2IyODcyZWNjNjI1YTQ5MmI2MDY2ZWRlNjdhODNkMjU1NGJkZA,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,https://api.mybihr.com/medias/RK-Chains-Specs-Rev1-1-2021.pdf?context=bWFzdGVyfGRvY3VtZW50c3w5Nzc0OTI0fGFwcGxpY2F0aW9uL3BkZnxhR015TDJneFppODJOVEkxT0RjNU5URXdOak16TkM5U1MxOURhR0ZwYm5OZlUzQmxZM05mVW1WMk1WOHhYekl3TWpFdWNHUm18NGY1MWY5ZDQ0NTU0YjUzYWNjOTYzMDJkM2YxMWM5NDRiNmRlMzQyNGRhMzkwNzg1ZjY2MmIyMTJiODkyNzJhZQ,Spain Warehouse (Parts)
1111466027,99404094,630GSV-94,RK,"RK CHAIN GSV 630, BLK/BLK, 94",Cadena RK 630GSV con 94 eslabones negro,174.23,143.99,28.80,4935531461043,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,94 eslabones,Negro / Negro,616,1840,280,110,20,,,Remache,,630,XW-Ring,GSV,Carretera,https://api.mybihr.com/medias/1111466027-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTEyMTEyfGltYWdlL2pwZWd8YURNNUwyZzVaQzh4TlRNeE9EY3pNakkwTWprM05DOHhNVEV4TkRZMk1ESTNMVEZmT0RBd1YzZzRNREJJfDk1YjMxMzE2MDI1NTgyMmRhNDM5NDU5ZDJlYjk3N2E5NjRiN2FmM2UxZjE2MmQyMjNjNmMwNGIwMThjYzU3NWI,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,https://api.mybihr.com/medias/RK-Chains-Specs-Rev1-1-2021.pdf?context=bWFzdGVyfGRvY3VtZW50c3w5Nzc0OTI0fGFwcGxpY2F0aW9uL3BkZnxhR015TDJneFppODJOVEkxT0RjNU5URXdOak16TkM5U1MxOURhR0ZwYm5OZlUzQmxZM05mVW1WMk1WOHhYekl3TWpFdWNHUm18NGY1MWY5ZDQ0NTU0YjUzYWNjOTYzMDJkM2YxMWM5NDRiNmRlMzQyNGRhMzkwNzg1ZjY2MmIyMTJiODkyNzJhZQ,Spain Warehouse (Parts)
1111466025,99404090,630GSV-90,RK,"RK CHAIN GSV 630, BLK/BLK, 90",Cadena RK 630GSV con 90 eslabones negro,166.81,137.86,55.14,4935531483113,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,90 eslabones,Negro / Negro,616,1840,280,110,20,,,Remache,,630,XW-Ring,GSV,Carretera,https://api.mybihr.com/medias/1111466025-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTEyMTEyfGltYWdlL2pwZWd8YUdWa0wyZzBOeTh4TlRNeE9EY3pNVGcwT1RjMU9DOHhNVEV4TkRZMk1ESTFMVEZmT0RBd1YzZzRNREJJfDljZGRmOWY4NDhjYjdhNzc1ZmVhMjFiZDU1ZmRjZmYzNDc3NDEzODY0N2M2YWZlNWU3Y2FmMDZmNTVjYzk0MDM,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,https://api.mybihr.com/medias/RK-Chains-Specs-Rev1-1-2021.pdf?context=bWFzdGVyfGRvY3VtZW50c3w5Nzc0OTI0fGFwcGxpY2F0aW9uL3BkZnxhR015TDJneFppODJOVEkxT0RjNU5URXdOak16TkM5U1MxOURhR0ZwYm5OZlUzQmxZM05mVW1WMk1WOHhYekl3TWpFdWNHUm18NGY1MWY5ZDQ0NTU0YjUzYWNjOTYzMDJkM2YxMWM5NDRiNmRlMzQyNGRhMzkwNzg1ZjY2MmIyMTJiODkyNzJhZQ,Spain Warehouse (Parts)
1111445019,99418136,420MXU-136,RK,"RK CHAIN MXU 420, BLK/BLK, 136",Cadena RK 420MXU con 136 eslabones negro,85.61,70.75,24.76,8430525259027,10,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,136 eslabones,Negro / Negro,792,1126,110,240,30,,,Clip a presión,,420,U-Ring,MXU,Off-Road,https://api.mybihr.com/medias/1111445019-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTAyOTI4fGltYWdlL2pwZWd8YURZekwyaGpPUzh4TlRNeE9ETXdNRGMxTXprMU1DOHhNVEV4TkRRMU1ERTVMVEZmT0RBd1YzZzRNREJJfGUwZThmNzNhYzc1MGM0ZGI5NTQ4NDY1ZmFiNDc2NjFhZjVmOTg4YWE3OTg5MjFmNDZkMjJjYzI1OWRiY2ZjNDE,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,https://api.mybihr.com/medias/RK-Chains-Specs-Rev1-1-2021.pdf?context=bWFzdGVyfGRvY3VtZW50c3w5Nzc0OTI0fGFwcGxpY2F0aW9uL3BkZnxhR015TDJneFppODJOVEkxT0RjNU5URXdOak16TkM5U1MxOURhR0ZwYm5OZlUzQmxZM05mVW1WMk1WOHhYekl3TWpFdWNHUm18NGY1MWY5ZDQ0NTU0YjUzYWNjOTYzMDJkM2YxMWM5NDRiNmRlMzQyNGRhMzkwNzg1ZjY2MmIyMTJiODkyNzJhZQ,Spain Warehouse (Parts)
1111445018,99418134,420MXU-134,RK,"RK CHAIN MXU 420, BLK/BLK, 134",Cadena RK 420MXU con 134 eslabones negro,84.35,69.71,24.40,8430525259010,9,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,134 eslabones,Negro / Negro,792,1110,110,240,30,,,Clip a presión,,420,U-Ring,MXU,Off-Road,https://api.mybihr.com/medias/1111445018-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTAyOTI4fGltYWdlL2pwZWd8YURrekwyaGpNaTh4TlRNeE9ETXdNRFUxTnpNME1pOHhNVEV4TkRRMU1ERTRMVEZmT0RBd1YzZzRNREJJfDA0ZjFhNmY4ZDA5NjcyNWQzMTkwOGNiZmJlMzI2Y2U5ZWM0MmYyMWY5ZjE4YjNlNTIxNmE0ODBkZTI3MWVmMzQ,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,https://api.mybihr.com/medias/RK-Chains-Specs-Rev1-1-2021.pdf?context=bWFzdGVyfGRvY3VtZW50c3w5Nzc0OTI0fGFwcGxpY2F0aW9uL3BkZnxhR015TDJneFppODJOVEkxT0RjNU5URXdOak16TkM5U1MxOURhR0ZwYm5OZlUzQmxZM05mVW1WMk1WOHhYekl3TWpFdWNHUm18NGY1MWY5ZDQ0NTU0YjUzYWNjOTYzMDJkM2YxMWM5NDRiNmRlMzQyNGRhMzkwNzg1ZjY2MmIyMTJiODkyNzJhZQ,Spain Warehouse (Parts)
1111445021,99418140,420MXU-140,RK,"RK CHAIN MXU 420, BLK/BLK, 140",Cadena RK 420MXU con 140 eslabones negro,88.09,72.80,25.48,8430525259041,6,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,140 eslabones,Negro / Negro,792,1158,110,240,30,,,Clip a presión,,420,U-Ring,MXU,Off-Road,https://api.mybihr.com/medias/1111445021-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTAyOTI4fGltYWdlL2pwZWd8YURZeUwyaGxNUzh4TlRNeE9ETXdNVEUwTnpFMk5pOHhNVEV4TkRRMU1ESXhMVEZmT0RBd1YzZzRNREJJfDE5ZGIzYzAxNTc4MTQzZDI3MmE0OTMwMWQ3NTBjNDViZjRlM2M0NzYxMWViYjEyMWRhNWRhODJjNTM5ZTgyZmU,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,https://api.mybihr.com/medias/RK-Chains-Specs-Rev1-1-2021.pdf?context=bWFzdGVyfGRvY3VtZW50c3w5Nzc0OTI0fGFwcGxpY2F0aW9uL3BkZnxhR015TDJneFppODJOVEkxT0RjNU5URXdOak16TkM5U1MxOURhR0ZwYm5OZlUzQmxZM05mVW1WMk1WOHhYekl3TWpFdWNHUm18NGY1MWY5ZDQ0NTU0YjUzYWNjOTYzMDJkM2YxMWM5NDRiNmRlMzQyNGRhMzkwNzg1ZjY2MmIyMTJiODkyNzJhZQ,Spain Warehouse (Parts)
1111445049,99417138,GB420MXU-138,RK,"RK CHAIN MXU 420, GLD/BLK, 138",Cadena RK GB420MXU con 138 eslabones oro,133.85,110.62,22.12,8430525258648,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,138 eslabones,Dorado / Negro,792,1144,110,240,30,,,Clip a presión,,420,U-Ring,MXU,Off-Road,https://api.mybihr.com/medias/1111445049-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA5Njg1fGltYWdlL2pwZWd8YUdRMEwyaGpPQzh4TlRNeE9ETTNNakU0T0RFNU1DOHhNVEV4TkRRMU1EUTVMVEZmT0RBd1YzZzRNREJJfDBhYzQ0MjZhMTZhYTJiOTAxMzZlOGM0OTg5ODZhMjljNmI4ZGQ1N2RjYzg2ZjZmZmQzNzJhNmJjN2UyNWFhNzY,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,https://api.mybihr.com/medias/RK-Chains-Specs-Rev1-1-2021.pdf?context=bWFzdGVyfGRvY3VtZW50c3w5Nzc0OTI0fGFwcGxpY2F0aW9uL3BkZnxhR015TDJneFppODJOVEkxT0RjNU5URXdOak16TkM5U1MxOURhR0ZwYm5OZlUzQmxZM05mVW1WMk1WOHhYekl3TWpFdWNHUm18NGY1MWY5ZDQ0NTU0YjUzYWNjOTYzMDJkM2YxMWM5NDRiNmRlMzQyNGRhMzkwNzg1ZjY2MmIyMTJiODkyNzJhZQ,Spain Warehouse (Parts)
