PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura,Anchura del neumático,Aro,Carcasa,Color,Diámetro de la llanta,Familia de neumáticos,Longitud de Válvula,Montaje,Peso (g),Tecnología,Tipo de válvula,Uso,Uso recomendado,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
9005045,99900030,7-001632,RUBENA,RUBNA TIUIBELESS SEALANT 150ML,Liquido Sellante Tubeless Mitas 150ml Eco Friendly,9.99,8.26,8.26,8593375441773,0,3506100000,0,1,"<p>Una mezcla anti-pinchazos fabricada a base de látex, esta solución altamente concentrada es estable a temperaturas extremas y cuenta con un aditivo de espuma para brindar características de sellado rápido. El sellador Mitas está diseñado para proporcionar una solución hermética a los sistemas de neumáticos sin cámara y para sellar los pinchazos de manera eficaz durante el uso diario y de alto rendimiento.</p><ul><li>Válido para 2 ruedas.</li><li>Sin amoniaco</li><li>Látex sintético no corrosivo</li><li>Protección contra pinchazos muy eficaz</li><li>Recomendado para uso recreativo y de competición.</li></ul>","
Una mezcla anti-pinchazos fabricada a base de látex, esta solución altamente concentrada es estable a temperaturas extremas y cuenta con un aditivo de espuma para brindar características de sellado rápido. El sellador Mitas está diseñado para proporcionar una solución hermética a los sistemas de neumáticos sin cámara y para sellar los pinchazos de manera eficaz durante el uso diario y de alto rendimiento.Válido para 2 ruedas.Sin amoniacoLátex sintético no corrosivoProtección contra pinchazos muy eficazRecomendado para uso recreativo y de competición.",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,275,184,55,32,156,,,,,,,,,,,,,,,https://api.mybihr.com/medias/9005045-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTYxMDd8aW1hZ2UvanBlZ3xhRE5sTDJnNVpTOHhNRGMzTVRJeU5ESTJORGN6TkM4NU1EQTFNRFExTFRGZk9EQXdWM2c0TURCSXxmNjM4ZmVhZjc4Yjg1MWYyMmVmYTliMzI0MzgxYzBmNTMzYzFiNmY0ODk4NWIzMTY2OTIxYmE3YWJkMDYxYTc4,,,https://static.bihr.pro/eBihr/Pictures/RUBENA-pictures.zip,Spain Warehouse (Parts)
9005033,90300148,5-10967325,RUBENA,RUBNA TIRE X-ROAD R17 700X38C,Neumático Mitas X-Road R17 700x38c Plegable Tubeless Supra Weltex,42.99,35.53,35.53,8593375532235,11,4011500000,0,1,"<p><strong>X-Road R17 - Cross / Gravel</strong></p><p> </p><ul><li>Ideal para conducir en terrenos compactos y carretera.</li><li>Dibujo de la banda de rodadura adecuado tanto para circular en terrenos compactos como en carretera. Los tacos, más finos y pequeños especialmente en la parte central del neumático, garantizan una baja resistencia a la rodadura y brindan alegría por una conducción rápida y cómoda.</li></ul>","
X-Road R17 - Cross / Gravel
 Ideal para conducir en terrenos compactos y carretera.Dibujo de la banda de rodadura adecuado tanto para circular en terrenos compactos como en carretera. Los tacos, más finos y pequeños especialmente en la parte central del neumático, garantizan una baja resistencia a la rodadura y brindan alegría por una conducción rápida y cómoda.",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,3520,474,251,114,123,,38,Plegable,Cubierta,Negro,700,Neumáticos de bicicleta,,Tubeless,,,,Gravel,,https://api.mybihr.com/medias/800Wx800H-9005033-1.jpg?context=bWFzdGVyfHJvb3R8MTYxODE3fGltYWdlL2pwZWd8YURRMUwyaGlNeTh5T1RZME9URXpORE15TVRZNU5DODRNREJYZURnd01FaGZPVEF3TlRBek15MHhMbXB3Wnd8NGE0NTdhZDUyNGEwZTg2MDYxODM4ZmQwODk1NjA0ZWVlNTZkYmQyN2JhY2MwNGQ5YzA3YWRkOWZkYzNkNjUxOQ,,,https://static.bihr.pro/eBihr/Pictures/RUBENA-pictures.zip,Spain Warehouse (Tires)
9004985,90800039,5-10340060,RUBENA,RUBNA TUBE 700X28/45C AV40 SCHR,Cámara de bici RUBENA 700x28/45c AV40 Válvula Gruesa Schrader,4.50,3.72,3.72,8593375448185,6,4013200000,0,1,"<p><strong>Cámara RUBENA clásica</strong></p><p> </p><ul><li>Cámara de butilo estándar<br></li><li>Espesor de 0,9 mm</li><li>Válvula: Gruesa (Schrader)</li></ul>","
Cámara RUBENA clásica
 Cámara de butilo estándarEspesor de 0,9 mmVálvula: Gruesa (Schrader)",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,555,164,137,81,50,28 - 45,,,,,700,,,,,,,,Ciudad & E-Bike & Trekking/Touring,https://api.mybihr.com/medias/800Wx800H-9004985-1.jpg?context=bWFzdGVyfHJvb3R8NTEwMTR8aW1hZ2UvanBlZ3xhR1E0TDJnM1lpODFNVE16TkRBeU9ETXlPRGs1TUM4NE1EQlhlRGd3TUVoZk9UQXdORGs0TlMweExtcHdad3xkMjA2NmViZTQ5MGU0MjJhZDA1OWZiODc2MjI3NmQyOTRhYTUyOWI0NDJkNTUyNTBjNWZiZDA0NzQzNzhkZTA2,,,https://static.bihr.pro/eBihr/Pictures/RUBENA-pictures.zip,Spain Warehouse (Tires)
9004979,90800041,5-10340010,RUBENA,RUBNA TUBE 700X23/28C FV47 PRESTA,Cámara de bici RUBENA 700x23/28c FV47 Válvula Fina 47mm Presta,4.99,4.12,4.12,8593375447904,63,4013200000,0,1,"<p><strong>Cámara RUBENA clásica</strong></p><ul><li>Cámara de butilo estándar<br></li><li>Espesor de 0,9 mm<br></li><li>Válvula: Fina (Presta)</li></ul>","
Cámara RUBENA clásicaCámara de butilo estándarEspesor de 0,9 mmVálvula: Fina (Presta)",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,312,121,138,78,29,23 - 28,,,,,700,,,,,,,,Carretera & Ciclocross & Ciudad & Gravel,https://api.mybihr.com/medias/800Wx800H-9004979-1.jpg?context=bWFzdGVyfHJvb3R8NTEwMTR8aW1hZ2UvanBlZ3xhRGxtTDJneU5pODFNVE16TkRBeU56a3pOVGMzTkM4NE1EQlhlRGd3TUVoZk9UQXdORGszT1MweExtcHdad3xmNjIxOWMxYmJmYzZjYTZmNWY2MDVlMjg3NDFjOWYxMzVmNzcwNTk3NmIzNDE4MWFlYWYyYTUxYTllMzFiZDIz,,,https://static.bihr.pro/eBihr/Pictures/RUBENA-pictures.zip,Spain Warehouse (Tires)
9004996,90800037,5-10340164,RUBENA,RUBNA INNER TUBE 26X175-250 FV47 PRESTA,"Cámara de bici RUBENA 26x1,75-2,50 FV47 Válvula Fina 47mm Presta",4.50,3.72,3.72,8593375448857,78,4013200000,0,1,"<p><strong>Cámara RUBENA clásica</strong></p><ul><li>Cámara de butilo estándar<br></li><li>Espesor de 0,9 mm<br></li><li>Válvula: Fina (Presta)</li></ul>","
Cámara RUBENA clásicaCámara de butilo estándarEspesor de 0,9 mmVálvula: Fina (Presta)",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,534,212,137,78,50,1.75 - 2.5,,,,,26,,,,,,,,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/9004996-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzUwMjF8aW1hZ2UvanBlZ3xhRGc0TDJneVppOHhNRGMzTVRJd01EZzJPRE00TWk4NU1EQTBPVGsyTFRGZk9EQXdWM2c0TURCSXxkNGUwYjgxNzE4NzNlZGU1ODU3YzkzYjg3ZTAzMWQ1YjVkNTMzNGFiOTMwOThhMGY1YjBiZjkyY2QxMzg5YjI0,,,https://static.bihr.pro/eBihr/Pictures/RUBENA-pictures.zip,Spain Warehouse (Tires)
9004974,90800028,5-10303020,RUBENA,RUBNA TUBE 29X2.10-3.00 FV47 PREST,"Cámara de bici MITAS Extreme Reforzada 29x2,10-3,00 Válvula Fina 47 Presta",6.99,5.78,5.78,8593375444545,45,4013200000,0,1,"<p><strong>Cámara Mitas Extreme. Enduro / Descenso / E-Bike- Diseñado para descenso / enduro / E-Bike /Espesor 1,2 mm</strong></p><p> </p><ul><li>Las cámaras Mitas EXTREME de butilo tienen una pared reforzada de 1,2 mm de grosor y están diseñadas para montar en condiciones de alta demanda de resistencia y/o peso, descenso/enduro, y para los requisitos especiales de las nuevas bicicletas eléctricas o bicicletas pesadas (Fat / Plus ...)</li></ul>","
Cámara Mitas Extreme. Enduro / Descenso / E-Bike- Diseñado para descenso / enduro / E-Bike /Espesor 1,2 mm
 Las cámaras Mitas EXTREME de butilo tienen una pared reforzada de 1,2 mm de grosor y están diseñadas para montar en condiciones de alta demanda de resistencia y/o peso, descenso/enduro, y para los requisitos especiales de las nuevas bicicletas eléctricas o bicicletas pesadas (Fat / Plus ...)",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,1140,407,137,114,73,2.1 - 3,,,,,29,,,,,Reforzada,,,E-Bike & MTB,https://api.mybihr.com/medias/800Wx800H-9004974-1.jpg?context=bWFzdGVyfHJvb3R8MTUxMzQxfGltYWdlL2pwZWd8YURKa0wyaGtPUzh5T1RZMU1qRTJNelV5TmpZNE5pODRNREJYZURnd01FaGZPVEF3TkRrM05DMHhMbXB3Wnd8MGE2MTJlY2Q1YjI2YTA0Nzg5NmNmOGUxMGEwYjQ1YzI5YTM1MWIzMjUzN2E4ZjU5MDFkODViMzg3MjNiZWJhNg,https://api.mybihr.com/medias/9004974-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzY0Njh8aW1hZ2UvanBlZ3xhR0l5TDJoa01pOHhNRGMzTVRFNU5qa3pOakl5TWk4NU1EQTBPVGMwTFRKZk9EQXdWM2c0TURCSXxjZTkzNTEzNDYwNjMzNmFkYjdmNzBhYmM1NDc5YzFjMzY5MGRlYmM3MjIzM2RhYTVhNjUzYTkzOThmZjI5ZGY4,,https://static.bihr.pro/eBihr/Pictures/RUBENA-pictures.zip,Spain Warehouse (Tires)
9004973,90800036,5-10303018,RUBENA,RUBNA TUBE 27.5X2.10-3.00 FV47 PRESTA,"Cámara de bici RUBENA Extreme Reforzada 27,5x2,10-3,00 Válvula Fina 47 Presta",7.50,6.20,6.20,8593375444521,76,4013200000,0,1,"<p><strong>Cámara RUBENA Extreme. Enduro / Descenso / E-Bike- Diseñado para descenso / enduro / E-Bike /Espesor 1,2 mm</strong></p><p> </p><ul><li>Las cámaras RUBENA EXTREME de butilo tienen una pared reforzada de 1,2 mm de grosor y están diseñadas para montar en condiciones de alta demanda de resistencia y/o peso, descenso/enduro, y para los requisitos especiales de las nuevas bicicletas eléctricas o bicicletas pesadas (Fat / Plus ...)</li></ul>","
Cámara RUBENA Extreme. Enduro / Descenso / E-Bike- Diseñado para descenso / enduro / E-Bike /Espesor 1,2 mm
 Las cámaras RUBENA EXTREME de butilo tienen una pared reforzada de 1,2 mm de grosor y están diseñadas para montar en condiciones de alta demanda de resistencia y/o peso, descenso/enduro, y para los requisitos especiales de las nuevas bicicletas eléctricas o bicicletas pesadas (Fat / Plus ...)",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,1140,388,137,114,73,2.1 - 3,,,,,27.5,,,,,Reforzada,,,E-Bike & MTB,https://api.mybihr.com/medias/800Wx800H-9004973-1.jpg?context=bWFzdGVyfHJvb3R8MTUxMzQxfGltYWdlL2pwZWd8YUdWaEwyaGtaaTh5T1RZMU1qRTJNek16TURBM09DODRNREJYZURnd01FaGZPVEF3TkRrM015MHhMbXB3Wnd8YjFkZjFjZDgxNzA0NzIzODBkZWE2ZDNlYzgxZDFhYWJiZjc4ZDdjNjAxNTdkNTM1ZGJlOGM4MmNhMTEwYjZhZg,https://api.mybihr.com/medias/9004973-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzY0NTR8aW1hZ2UvanBlZ3xhREkxTDJoak5TOHhNRGMzTVRFNU5qVTBNekF3Tmk4NU1EQTBPVGN6TFRKZk9EQXdWM2c0TURCSXxmNTAwZGRlYjQ5NGRiNDcwYWY3ZGEyM2NkNDk5NzNmZjMxODBkMjFmZWExMzVlOTg2ZDllZjE5ZGUwNDM0MzI3,,https://static.bihr.pro/eBihr/Pictures/RUBENA-pictures.zip,Spain Warehouse (Tires)
9004984,90800043,5-10340040,RUBENA,RUBNA TUBE 26X1-1/8-1.75 AV40 SCHR,"Cámara de bici RUBENA 26x1-1/8-1,75 AV40 Válvula Gruesa Schrader",4.50,3.72,3.72,8593375448062,114,4013200000,0,1,"<p><strong>Cámara RUBENA clásica</strong></p><p> </p><ul><li>Cámara de butilo estándar<br></li><li>Espesor de 0,9 mm</li><li>Válvula: Gruesa (Schrader)</li></ul>","
Cámara RUBENA clásica
 Cámara de butilo estándarEspesor de 0,9 mmVálvula: Gruesa (Schrader)",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,559,155,138,81,50,1.125 - 1.75,,,,,26,,,,,,,,Ciudad & Trekking/Touring,https://api.mybihr.com/medias/800Wx800H-9004984-1.jpg?context=bWFzdGVyfHJvb3R8NTEwMTR8aW1hZ2UvanBlZ3xhREZpTDJnM05TODFNVE16TkRBeU9ERXpNak00TWk4NE1EQlhlRGd3TUVoZk9UQXdORGs0TkMweExtcHdad3w2NzYwOTJhMzA5NmFmYzFiOWFkZmE1NmE3MGU3NGQ3NGY0YTM2ODEzNTExNDhlZTBkNjVmMDg3ZTNiZGM4NTgx,,,https://static.bihr.pro/eBihr/Pictures/RUBENA-pictures.zip,Spain Warehouse (Tires)
9004995,90800030,5-10340161,RUBENA,RUBNA INNER TUBE 26X175-250 SCHRADER SS,"Cámara de bici RUBENA Anti Pinchazos 26x1,75-2,50 Válvula Gruesa AV40 Schrader",8.49,7.02,7.02,8593375448796,116,4013200000,0,1,"<p><strong>Cámara RUBENA Auto-sellante antipinchazos</strong></p><p> </p><ul><li>Mayor resistencia a la rotura</li><li>Sella perforaciones de hasta 3mm de tamaño<br> Las cámaras RUBENA marcadas con SSS = Slug Self Sealant son más pesadas, pero también tienen una resistencia significativamente mayor a la rotura. En el interior de la cámara se encuentra una mezcla de gel preventivo de fibras ecológicas, aglutinantes, polímeros y componentes de reparación que unen y sellan perforaciones de hasta 3mm de diámetro.</li></ul>","
Cámara RUBENA Auto-sellante antipinchazos
 Mayor resistencia a la roturaSella perforaciones de hasta 3mm de tamaño Las cámaras RUBENA marcadas con SSS = Slug Self Sealant son más pesadas, pero también tienen una resistencia significativamente mayor a la rotura. En el interior de la cámara se encuentra una mezcla de gel preventivo de fibras ecológicas, aglutinantes, polímeros y componentes de reparación que unen y sellan perforaciones de hasta 3mm de diámetro.",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,827,313,139,119,50,1.75 - 2.5,,,,,26,,,,,Con Gel,,,Ciudad & E-Bike & MTB & Trekking/Touring,https://api.mybihr.com/medias/800Wx800H-9004995-1.jpg?context=bWFzdGVyfHJvb3R8MTQ0MjQyfGltYWdlL2pwZWd8YURjeUwyZzFaQzh5T1RZMU1qRTJNVGd5TWpjMU1DODRNREJYZURnd01FaGZPVEF3TkRrNU5TMHhMbXB3Wnd8NDYyY2FmNjVjMDRkMzkyOWMxNWZhMDA1YWJlYzA3ZDEzNjcwODEyZjIxYTAyZjcxZjM4NDIzZTVhMjY5ZTU2Mw,https://api.mybihr.com/medias/9004995-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzU0MTF8aW1hZ2UvanBlZ3xhR05oTDJneU9DOHhNRGMzTVRJd01EWTNNVGMzTkM4NU1EQTBPVGsxTFRKZk9EQXdWM2c0TURCSXxhMDJkYmM5NDlkN2M4Zjg5YWZkYjRmYzM3ZGY3MTc0ODg3NGQ5Y2RmYmNlMjJkOWQ1YTdlMzM1ODdiZjk3NWY1,,https://static.bihr.pro/eBihr/Pictures/RUBENA-pictures.zip,Spain Warehouse (Tires)
9004981,90800031,5-10340012,RUBENA,RUBNA TUBE 700X23/28C FV80 PRESTA,Cámara de bici MITAS 700x23/28c FV80 Válvula Fina 80mm Presta,6.99,5.78,5.78,8593375447942,188,4013200000,0,1,"<p><strong>Cámara Mitas clásica</strong></p><ul><li>Cámara de butilo estándar<br></li><li>Espesor de 0,9 mm<br></li><li>Válvula: Fina (Presta)</li></ul>","
Cámara Mitas clásicaCámara de butilo estándarEspesor de 0,9 mmVálvula: Fina (Presta)",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,361,124,136,78,34,23 - 28,,,,,700,,,,,,,,Carretera & Ciclocross & Gravel,https://api.mybihr.com/medias/9004981-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzUwMjF8aW1hZ2UvanBlZ3xhRE5pTDJnM05TOHhNRGMzTVRFNU9ERXhOVGczTUM4NU1EQTBPVGd4TFRGZk9EQXdWM2c0TURCSXwzYmI0OTcwYzY3NmUxNTI4OTdiNmVjNjhmNzNhN2JhMjgwNTBmNTcwMGQ0MjAyZDA3M2Q5NWJlNzNlNTg2YmJk,,,https://static.bihr.pro/eBihr/Pictures/RUBENA-pictures.zip,Spain Warehouse (Tires)
