PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (cm),Color,Longitud (cm),Número de latiguillos,Picture1,Picture2,Picture3,AllPicturesZIP,Document1,Document2,Document3,Document4,Document5,Document6,Document7,DeliveryPlant
1020567,,CK HON-57,SAMCO,SAMCO HOSE CLAMP,Kit de abrazaderas SAMCO para manguitos de radiador 44005643,37.80,31.24,20.31,44005647,1,8714109090,0,1,<p>The clip/Serflex kits are used to fit radiator hoses Samco.</p><ul><li>Hose clips kit 440056 43</li><li>Includes all the clips needed for fitting</li></ul>,"
The clip/Serflex kits are used to fit radiator hoses Samco.Hose clips kit 440056 43Includes all the clips needed for fitting",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,702,212,181,114,34,,,,,https://api.mybihr.com/medias/1020567-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzIwNDJ8aW1hZ2UvanBlZ3xhRFZtTDJneFlpODRPVFk1TVRFME5EZzBOelkyTHpFd01qQTFOamN0TVY4NE1EQlhlRGd3TUVnfGRhMGEwZTJkN2UxM2UwMmM2ZWI1MzU0N2I2ODU3YWM2OTc4YWRlMjU3MzExNzkyZTI1NTYwNTNmMGQyMzMzNmI,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007425,44005914,CK KTM-99,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco KTM/Husqvarna CK KTM-99,25.65,21.20,13.78,8430525778030,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li><a id=""_dx_frag_StartFragment""></a>Clamps kits are essential to mount Samco hoses</li><li>Includes all the clamps needed to mount the cooler hoses</li></ul> </body> </html>","        Clamps kits are essential to mount Samco hosesIncludes all the clamps needed to mount the cooler hoses  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,860,153,139,182,34,,,,,https://api.mybihr.com/medias/1007425-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY1NTR8aW1hZ2UvanBlZ3xhR0ZqTDJnME1TODRPRGN6TnpBd05UVTJPRE13THpFd01EYzBNalV0TVY4NE1EQlhlRGd3TUVnfDE5ZmQ3MGMxMDEzZWY2MWRjNTk5OTcxMWYyMDhhNDdlOWMxMGNkNWFjYWVlZTgxZDMxNGQ5MTc3Y2E4ODc0NTc,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1020556,,CK DUC-23,SAMCO,SAMCO HOSE CLAMP,Kit de abrazaderas SAMCO para manguitos de radiador 44051151 / 960113 / 960152,52.19,43.13,28.03,44051152,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>Clamps kits are essential to mount Samco hoses</p><p> </p><ul> <li>Includes all the serflex needed to mount the cooler hoses<a id=""_dx_frag_EndFragment""></a></li></ul> <p> </p></body> </html>","       Clamps kits are essential to mount Samco hoses  Includes all the serflex needed to mount the cooler hoses   ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,1008,304,178,103,55,,,,,https://api.mybihr.com/medias/1020556-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3ODJ8aW1hZ2UvanBlZ3xhREl6TDJoaU15ODRPVE0wT1RFMU1EUTNORFUwTHpFd01qQTFOVFl0TVY4NE1EQlhlRGd3TUVnfDhlZTMyMDJhMDI1OGZjYWIyMGNlNDQ2ZDBhY2MwZDRmZWIxMzg4MjIyMmQyN2IyN2JmMzg5M2Y5MTM4MGQ5MjE,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1020565,,CK HON-32,SAMCO,SAMCO HOSE CLAMP,Kit de abrazaderas SAMCO para manguitos de radiador 44070461 / 44070464,52.19,43.13,28.03,44070400,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,237,275,128,109,17,,,,,https://api.mybihr.com/medias/1020565-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3NzJ8aW1hZ2UvanBlZ3xhR1F4TDJnd1pDODRPVFk1TVRFME1Ea3hOVFV3THpFd01qQTFOalV0TVY4NE1EQlhlRGd3TUVnfGNlYTM2Y2Y2Yjc2MmUxNWE0MjhjMjNhYTNmMmEyMDQ5ZDI5NzBhNWI4ODQ1YjE5ZGQ4YjUyMDU2NmYzYjc1MzY,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007510,44005922,CKYAM-86,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Yamaha CK YAM-86,25.65,21.20,13.78,8430525778092,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li><a id=""_dx_frag_StartFragment""></a>Clamps kits are essential to mount Samco hoses</li><li>Includes all the clamps needed to mount the cooler hoses</li></ul> </body> </html>","        Clamps kits are essential to mount Samco hosesIncludes all the clamps needed to mount the cooler hoses  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,900,140,152,185,32,,,,,https://api.mybihr.com/medias/1007510-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY1NTR8aW1hZ2UvanBlZ3xhREkzTDJnMU5DODRPVFExT0RRek9EWXpOVGd5THpFd01EYzFNVEF0TVY4NE1EQlhlRGd3TUVnfDY2ZTk2NmEyNDZiODMzNWIyZDRhMGVkN2I3MjY2NGQ3NDYzZDU0NjdhNzA0YzMzMmQ3OTc3NWVmZDJlMDc5YzM,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007505,87583,CK YAM-72,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Yamaha CK YAM-72,25.65,21.20,13.78,8430525875838,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csE68EB8F3{color:#000;background-color:transparent;font-weight:normal;font-style:normal;text-decoration:none;}.cs9BEB78E7{color:#00F;background-color:transparent;font-weight:normal;font-style:normal;text-decoration:underline;}</style> </head> <body> <ul> <li>For SAMCO Cooler Hoses Kit <a href=""https://bihr.pro/Product/Search?CurrentSearchString=44067235"">44067236</a></li><li>Includes all the serflex needed to mount the cooler hoses </li></ul> </body> </html>","        For SAMCO Cooler Hoses Kit 44067236Includes all the serflex needed to mount the cooler hoses   ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,815,157,271,177,17,,,,,https://api.mybihr.com/medias/1007505-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3ODJ8aW1hZ2UvanBlZ3xhRFprTDJoaE9DODRPVFV5TlRFMU5qa3dOVEkyTHpFd01EYzFNRFV0TVY4NE1EQlhlRGd3TUVnfGNhMDA1OTEzZmU5NjcwMWRjZDhiYzBkZTVhY2M5NWU0ZTYyYzAxMDZmZTk0YWI3MTc0OTQyMmYyNTM4MjBiMWM,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007241,39257,CK APR-2,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Aprilia CK APR-2,37.80,31.24,20.31,8430525392571,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,355,220,147,142,17,,,,,https://api.mybihr.com/medias/1007241-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3NzJ8aW1hZ2UvanBlZ3xhR1l6TDJneU1TODRPVEE0TmpZeE56VXhPRE00THpFd01EY3lOREV0TVY4NE1EQlhlRGd3TUVnfGI5YzRkN2VkNDNlY2VlYmJiMzA2N2M5ZjRkN2RmZTliYTBiYTRjMmRjM2ZkNjdhZjIzYjRmODkyMDIzOTczYTM,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007236,93545,CK YAM-79,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Yamaha CK YAM-79,18.90,15.62,10.15,8430525935457,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Includes all the serflex needed to mount the cooler hoses.</p></body> </html>","       Includes all the serflex needed to mount the cooler hoses. ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,655,103,181,134,27,,,,,https://api.mybihr.com/medias/1007236-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3ODJ8aW1hZ2UvanBlZ3xhRFZrTDJnMVpDODRPVE00TXpVNU5qZzFNVFV3THpFd01EY3lNell0TVY4NE1EQlhlRGd3TUVnfDliMGM4NzYwZjM0MzE4NTM3MzUzMDIzMTE5NzhmNDBhZjljNGUwODgwNTI1ZTQ5ZDAzMzQyNDk2Yzg1MjBjMDc,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007207,87566,CK DUC-28,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Ducati CK DUC-28,52.19,43.13,28.03,8430525875661,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>The clip/Serflex kits are used to fit radiator hoses Samco.</p><p> </p><ul> <li>Hose clips kit 960216</li><li>Includes all the clips needed for fitting</li></ul> </body> </html>","       The clip/Serflex kits are used to fit radiator hoses Samco.  Hose clips kit 960216Includes all the clips needed for fitting  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,917,243,182,126,40,,,,,https://api.mybihr.com/medias/1007207-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3ODJ8aW1hZ2UvanBlZ3xhRGhtTDJnek1DODRPVEkyTnpBME1EQTVNalEyTHpFd01EY3lNRGN0TVY4NE1EQlhlRGd3TUVnfDQzYjI5YmRkYjNkOTJhNmQyNTg3YTc4ZmNmOGQzNDRhYWQ1OWUzMTExOWYyOWUxZGEwMzAxMjk1MmZlYjFiNjk,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007332,66277,CK KAW-27,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Kawasaki CK KAW-27,52.19,43.13,28.03,8430525662773,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,264,272,116,134,17,,,,,https://api.mybihr.com/medias/1007332-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3NzJ8aW1hZ2UvanBlZ3xhREJpTDJnMU9TODRPVEkzTURFeU5EZzNNVGs0THpFd01EY3pNekl0TVY4NE1EQlhlRGd3TUVnfGNjNTljNjYwNzNiZDY3YzA0YTdiZmExZTY4ZDAxMjI4MDgyMmFhZmQ5Y2JjYzkwYjAyYWZlN2UxNTM2NGUzZWM,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
