PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad de dientes,V-Color,V-Colores,V-Talla,V-Tamaño,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (cm),Altura (mm),Anchura (mm),Anchura de la zona de sujeción (mm),Apertura (mm),Barra transversal,Bloqueo,Cantidad,Color,Color del protector del manillar,Composición,Compuesto del puño,Desplazamiento (mm),Diámetro Ø (mm),Elevación de manillar (mm),Embalaje,Gama,Longitud (mm),Longitud de control (mm),Número de dientes de la corona,Número de dientes del piñón,Paso de cadena,Posición,Talla,Tipo,Tipo de corona,Tipo de piñón,Tipo de puño,Versión de corona,Versión de piñón,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,AllPicturesZIP,Document1,Document2,DeliveryPlant
1125319004,,STEEFXL,SCAR,"SCAR T-SHIRT FACTORY, GRY, XL",Camiseta SCAR Factory - Gris,26.11,21.58,14.03,3701691100112,0,8714109090,0,1,"<p><strong>Camiseta SCAR Factory</strong></p>
<ul>
	<li>Alta calidad</li>
	<li>Varias tallas disponibles&nbsp;</li>
</ul>
","
Camiseta SCAR Factory

	Alta calidad
	Varias tallas disponibles 

",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,Gris,,,XL,2655,221,281,210,45,,,,,,,,,Gris,,,,,,,,,,,,,,,XL,,,,,,,https://api.mybihr.com/medias/800Wx800H-1125319004-1.jpg?context=bWFzdGVyfHJvb3R8MTE3ODA1fGltYWdlL2pwZWd8YUdVeUwyZ3hNaTh4TURJNE5UZzFNREkzTXpNNE5UUXZPREF3VjNnNE1EQklYekV4TWpVek1Ua3dNRFF0TVM1cWNHY3xjY2QzMzExZTA4YzFhMmY5NTAxNDhmYjUwYmNkZTg2MGM2NmNhNjhjZjc2ZDFlZGI0ZWRhMWM5MDA5N2EwZWMx,https://api.mybihr.com/medias/800Wx800H-1125319004-2.jpg?context=bWFzdGVyfHJvb3R8MjIxNTc5fGltYWdlL2pwZWd8YURZMEwyZ3dZaTh4TURJNE5UZzFNREk1T1RVNU9UZ3ZPREF3VjNnNE1EQklYekV4TWpVek1Ua3dNRFF0TWk1cWNHY3w0NjVhNjQyMjg1OTlmZGY1NzVlMjJkNzBkNmY1NTg0MTQ3Mzg3NjdhZmY1MDk2ZTg2ZDBkZDM5ZDhkNTU0ZTU1,,,,,,https://static.bihr.pro/eBihr/Pictures/SCAR-pictures.zip,,,Spain Warehouse (Parts)
1125319002,,STEEFM,SCAR,"SCAR T-SHIRT FACTORY, GRY, M",Camiseta SCAR Factory - Gris,26.11,21.58,14.03,3701691100136,0,8714109090,0,1,"<p><strong>Camiseta SCAR Factory</strong></p>
<ul>
	<li>Alta calidad</li>
	<li>Varias tallas disponibles&nbsp;</li>
</ul>
","
Camiseta SCAR Factory

	Alta calidad
	Varias tallas disponibles 

",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,Gris,,,M,2808,205,261,203,53,,,,,,,,,Gris,,,,,,,,,,,,,,,M,,,,,,,https://api.mybihr.com/medias/800Wx800H-1125319002-1.jpg?context=bWFzdGVyfHJvb3R8MTE3ODA1fGltYWdlL2pwZWd8YURRNUwyZzRNeTh4TURJNE5UZzFNREUxTlRReU1EWXZPREF3VjNnNE1EQklYekV4TWpVek1Ua3dNREl0TVM1cWNHY3w4Yzk2OGI0NDFiMDA5NzQ0YjdiMWM0ZWY3ZTQ2ZmY0ZThlNjNkMzRkZDRlN2M0ZWZhYWY0MmUyZjI0YjY0MTA5,https://api.mybihr.com/medias/800Wx800H-1125319002-2.jpg?context=bWFzdGVyfHJvb3R8MjIxNTc5fGltYWdlL2pwZWd8YURkaUwyZzNPUzh4TURJNE5UZzFNREU0TVRZek5UQXZPREF3VjNnNE1EQklYekV4TWpVek1Ua3dNREl0TWk1cWNHY3w0MjIzMjg0Njk2OWM5MWZhMDkyYmJhMjA1YzE5ZTJkMjVkNTRhNGExNDY2ZjIzNWYyZDljMDZiMmE5ZDYyM2Ew,,,,,,https://static.bihr.pro/eBihr/Pictures/SCAR-pictures.zip,,,Spain Warehouse (Parts)
1125319003,,STEEFL,SCAR,"SCAR T-SHIRT FACTORY, GRY, L",Camiseta SCAR Factory - Gris,26.11,21.58,14.03,3701691100129,1,8714109090,0,1,"<p><strong>Camiseta SCAR Factory</strong></p>
<ul>
	<li>Alta calidad</li>
	<li>Varias tallas disponibles&nbsp;</li>
</ul>
","
Camiseta SCAR Factory

	Alta calidad
	Varias tallas disponibles 

",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,Gris,,,L,2098,194,286,193,38,,,,,,,,,Gris,,,,,,,,,,,,,,,L,,,,,,,https://api.mybihr.com/medias/800Wx800H-1125319003-1.jpg?context=bWFzdGVyfHJvb3R8MTE3ODA1fGltYWdlL2pwZWd8YURRd0wyZ3lOeTh4TURJNE5UZzFNREl4TkRRd016QXZPREF3VjNnNE1EQklYekV4TWpVek1Ua3dNRE10TVM1cWNHY3xiYTQ3OTQzOTA2ZWQwMTQwMjM3NWQ4MmRhYWJkZDVkYzRlMTRjMzNlOTI1ZDVjOTA0NGQ3NjIyZmQyYTU3MWRi,https://api.mybihr.com/medias/800Wx800H-1125319003-2.jpg?context=bWFzdGVyfHJvb3R8MjIxNTc5fGltYWdlL2pwZWd8YURjeEwyZ3haQzh4TURJNE5UZzFNREkwTURZeE56UXZPREF3VjNnNE1EQklYekV4TWpVek1Ua3dNRE10TWk1cWNHY3w0ZDA2Mjg3ZTEwYzA2M2E0ODcxMWQ0ZjRhZWE5NmMzZjU3NmJjNDQyYjliYjViYzVhOWYyNTBjODVkNzMyMmQ4,,,,,,https://static.bihr.pro/eBihr/Pictures/SCAR-pictures.zip,,,Spain Warehouse (Parts)
1125319005,,STEEFXXL,SCAR,"SCAR T-SHIRT FACTORY, GRY, 2XL",Camiseta SCAR Factory - Gris,26.11,21.58,14.03,3701691100105,0,8714109090,0,1,"<p><strong>Camiseta SCAR Factory</strong></p>
<ul>
	<li>Alta calidad</li>
	<li>Varias tallas disponibles&nbsp;</li>
</ul>
","
Camiseta SCAR Factory

	Alta calidad
	Varias tallas disponibles 

",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,Gris,,,2XL,2884,244,324,207,43,,,,,,,,,Gris,,,,,,,,,,,,,,,XXL,,,,,,,https://api.mybihr.com/medias/800Wx800H-1125319005-1.jpg?context=bWFzdGVyfHJvb3R8MTE3ODA1fGltYWdlL2pwZWd8YURJMkwyZzBPUzh4TURJNE5UZzFNRE16TWpNMk56Z3ZPREF3VjNnNE1EQklYekV4TWpVek1Ua3dNRFV0TVM1cWNHY3wyZmFmMGZiMTI4N2U1MTQ1ZDY1MThmN2NjNzM4Y2ZkYTI2MWY1ODBjYjA4NDI3OGJiM2Y2YTQwYmY0Zjg0OGQ0,https://api.mybihr.com/medias/800Wx800H-1125319005-2.jpg?context=bWFzdGVyfHJvb3R8MjIxNTc5fGltYWdlL2pwZWd8YUdFMEwyZzFNQzh4TURJNE5UZzFNRE0xT0RVNE1qSXZPREF3VjNnNE1EQklYekV4TWpVek1Ua3dNRFV0TWk1cWNHY3w3ZjBhZjk1MDJjMTRlMmNkOWUwMmQ5NDMyOGVmMzhiNjQ0OWYxZDgzNjBmMGI0M2VjMTNiMzJlYzM1Y2U4ZTQ1,,,,,,https://static.bihr.pro/eBihr/Pictures/SCAR-pictures.zip,,,Spain Warehouse (Parts)
1125319001,,STEEFS,SCAR,"SCAR T-SHIRT FACTORY, GRY, S",Camiseta SCAR Factory - Gris,26.11,21.58,14.03,3701691100143,0,8714109090,0,1,"<p><strong>Camiseta SCAR Factory</strong></p>
<ul>
	<li>Alta calidad</li>
	<li>Varias tallas disponibles&nbsp;</li>
</ul>
","
Camiseta SCAR Factory

	Alta calidad
	Varias tallas disponibles 

",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,Gris,,,S,1618,187,289,200,28,,,,,,,,,Gris,,,,,,,,,,,,,,,S,,,,,,,https://api.mybihr.com/medias/800Wx800H-1125319001-1.jpg?context=bWFzdGVyfHJvb3R8MTE3ODA1fGltYWdlL2pwZWd8YURVekwyaGtaaTh4TURJNE5UZzFNREE1TmpRek9ESXZPREF3VjNnNE1EQklYekV4TWpVek1Ua3dNREV0TVM1cWNHY3w2ZTY1NDZkOGJlYTM0MjJmOWQ3YzRiODExYTE3MjY2Y2NjYTM0MmM5YzgyZjFlY2MxZDM3NWRhOGIyNDU3ODIx,https://api.mybihr.com/medias/800Wx800H-1125319001-2.jpg?context=bWFzdGVyfHJvb3R8MjIxNTc5fGltYWdlL2pwZWd8YUdRNUwyZzRaQzh4TURJNE5UZzFNREV5TWpZMU1qWXZPREF3VjNnNE1EQklYekV4TWpVek1Ua3dNREV0TWk1cWNHY3w2Mjk5ZTdlNWZlNmFjZmYyOTEwMTJkY2QxMDRjYTViZTcyNTFlM2U3Yzc5MWE5MGY4MmVlOTRmOTBlYzZlOWU4,,,,,,https://static.bihr.pro/eBihr/Pictures/SCAR-pictures.zip,,,Spain Warehouse (Parts)
1124361,,SCAP101,SCAR,SCAR TRUCKER CAP OS,Gorra SCAR Trucker,25.20,20.83,13.54,3701691100198,0,8714109090,0,1,"<ul>
	<li>Detalles bordados</li>
	<li>Talla única / Ajustable con sistema Snapback</li>
	<li>Colores : azul marino/blanco</li>
</ul>","
	Detalles bordados
	Talla única / Ajustable con sistema Snapback
	Colores : azul marino/blanco
",RIDER GEAR,SPORTSWEAR,SPORTSWEAR HEAD,,,,,,4576,123,214,198,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1124361-1.jpg?context=bWFzdGVyfHJvb3R8NTE0MDF8aW1hZ2UvanBlZ3xhRE0yTDJnM01DODFNVEU0T0RVMk1EUTVORFl5TWk4NE1EQlhlRGd3TUVoZk1URXlORE0yTVMweExtcHdad3xkZDVjZjc2OGNiZjQ0NTM5NWQwMTAyYjZkMGZhNjg2MmY5Y2M3NWRiMzc3OTc2YzFlMWEwMzk3N2QwN2Y0ZjZl,https://api.mybihr.com/medias/800Wx800H-1124361-2.jpg?context=bWFzdGVyfHJvb3R8NTg2OTJ8aW1hZ2UvanBlZ3xhR0U1TDJnMk1pODFNVEU0T0RVMk1EZzROemd6T0M4NE1EQlhlRGd3TUVoZk1URXlORE0yTVMweUxtcHdad3w1ZDQ2M2E5OTUzYWQ0NjQ1Y2JhYzYzMjEzODU0NGY0NWE3MjhjNGMxOGQ1ODk0M2UwNWY5YTRjYjFiYzEzZDkx,https://api.mybihr.com/medias/800Wx800H-1124361-3.jpg?context=bWFzdGVyfHJvb3R8NDU0Njh8aW1hZ2UvanBlZ3xhRFZqTDJnd1pDODFNVEU0T0RVMk1USTRNVEExTkM4NE1EQlhlRGd3TUVoZk1URXlORE0yTVMwekxtcHdad3xmNzM3ODA3OTJmNzkxMTE4ZDVhNWM3N2FhODUyNTlmZDZmYTIyNzI0YTA0YjQ1MWJjNzgwMjkzNzNjODRiODQx,,,,,https://static.bihr.pro/eBihr/Pictures/SCAR-pictures.zip,,,Spain Warehouse (Parts)
8009239,,STHAT102,SCAR,"SCAR STRAW HAT OS, OSA",Sombrero de paja SCAR,28.13,23.25,15.11,3701691100181,0,8714109090,0,1,,,RIDER GEAR,SPORTSWEAR,SPORTSWEAR HEAD,,,,,,28409,136,420,380,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-8009239-1.jpg?context=bWFzdGVyfHJvb3R8ODcwMDR8aW1hZ2UvanBlZ3xhREEzTDJneU5pOHhNREk0TlRnM01qSTJNRGN4TXpRdk9EQXdWM2c0TURCSVh6Z3dNRGt5TXprdE1TNXFjR2N8Zjk1MGM0YTA2NTgyZWIxMjEwMjBiZDIwMzJlZGY3NWUzNTQ5MzdjZTM5MWQ5ZjdkOWI5MWNmYjkyNDMyYzM0ZQ,https://api.mybihr.com/medias/800Wx800H-8009239-2.jpg?context=bWFzdGVyfHJvb3R8MjYwNTE3fGltYWdlL2pwZWd8YURNM0wyZ3haaTh4TURJNE5UZzNNakk0TURNM05ESXZPREF3VjNnNE1EQklYemd3TURreU16a3RNaTVxY0djfDAzNWQ2OWRkZDk4OGJiNzIxZjU1NGI5YzQ1ZWQyYTdiMDZjMTIyYjJkMDZjNzkxODQwZTM4ZDQ2OWI0NTUzYzg,https://api.mybihr.com/medias/800Wx800H-8009239-3.jpg?context=bWFzdGVyfHJvb3R8MTY4NTA2fGltYWdlL2pwZWd8YURRMEwyZ3laaTh4TURJNE5UZzNNak13TURBek5UQXZPREF3VjNnNE1EQklYemd3TURreU16a3RNeTVxY0djfDhjODYzMjI2YmJiZWFhNjM0ZjVjYzk2NzQ0MDRlNDliMjMwZmUyYjg4OTE5YWQ4OGE2NTRmYzUxZjMxZmJiNGY,https://api.mybihr.com/medias/800Wx800H-8009239-4.jpg?context=bWFzdGVyfHJvb3R8MTAxMTcxfGltYWdlL2pwZWd8YUdJeEwyZ3pNeTh4TURJNE5UZzNNak14T1RZNU5UZ3ZPREF3VjNnNE1EQklYemd3TURreU16a3ROQzVxY0djfDQ5NDRmZTc4ZDQ1NzQwYjFlZGE4OWZmODVhZjI4ZDYyNjhiYmI5NDZiNWI1MzQxMWYyMTBiZDVhYzNmNjMyYjY,,,,https://static.bihr.pro/eBihr/Pictures/SCAR-pictures.zip,,,Spain Warehouse (Parts)
1007203,19300041,FMS102,SCAR,SCAR CARBURETOR RED ADJUSTER SCREWS,Tornillo regulación aire Scar Rojo,20.06,16.58,10.78,3701691103045,2,8714109090,0,1,"<p data-isautotranslation=""1""></p><p>Tornillo de mezcla de combustible para adaptarse a Keihin FCR</p>
<p>Aluminio mecanizado CNC con acabado anodizado de alta calidad</p>","

Tornillo de mezcla de combustible para adaptarse a Keihin FCR

Aluminio mecanizado CNC con acabado anodizado de alta calidad",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,,,,,,185,14,121,73,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1007203-1.jpg?context=bWFzdGVyfHJvb3R8ODkzNjF8aW1hZ2UvanBlZ3xhR016TDJneE5TOHhNREk0TlRZNU1UTXpOVFEzT0RJdk9EQXdWM2c0TURCSVh6RXdNRGN5TURNdE1TNXFjR2N8NzRlZTY3MTRlZmU2OGNmZTliZjY4MGI0ZTA0ZDUxNDE4ZWRjNTY2NDRhZTE2NmU0NDRjNjA1N2E0NDhhZjVlMg,https://api.mybihr.com/medias/800Wx800H-1007203-2.jpg?context=bWFzdGVyfHJvb3R8ODM5MTF8aW1hZ2UvanBlZ3xhR1kxTDJnd1lpOHhNREk0TlRZNU1UTTJNVFk1TWpZdk9EQXdWM2c0TURCSVh6RXdNRGN5TURNdE1pNXFjR2N8YTYzMDk5NTA1YjdmMzNkODBjMGMwYjlmY2Y0NWRjZGRlOWMxYTBjNDIzNmYzNzkwNGIxOGRhZDA3ODc4ZTY2Mg,,,,,,https://static.bihr.pro/eBihr/Pictures/SCAR-pictures.zip,,,Spain Warehouse (Parts)
1007202,19300039,FMS101,SCAR,SCAR CARBURETOR BLACK ADJUSTER SCREWS,Tornillo regulación aire Scar Negro,20.06,16.58,10.78,3701691103052,2,8714109090,0,1,"<p data-isautotranslation=""1""></p><p>Tornillo de mezcla de combustible para ajustar Keihin FCR</p>
<p>Aluminio mecanizado CNC con acabado anodizado de alta calidad</p>","

Tornillo de mezcla de combustible para ajustar Keihin FCR

Aluminio mecanizado CNC con acabado anodizado de alta calidad",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,,,,,,200,15,119,73,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1007202-1.jpg?context=bWFzdGVyfHJvb3R8NzY1NDR8aW1hZ2UvanBlZ3xhR05rTDJnM01TOHhNREk0TlRZNU1USTNOalE1TlRndk9EQXdWM2c0TURCSVh6RXdNRGN5TURJdE1TNXFjR2N8MjVmMjNkMTBiODMyMjM2NzhiODNkZTFjZWQzODlmYTQzODQ2MjRkNmZhNWRjMzVlY2QxMGY0MWNlNTIzOGU1Mg,https://api.mybihr.com/medias/800Wx800H-1007202-2.jpg?context=bWFzdGVyfHJvb3R8ODM5MTF8aW1hZ2UvanBlZ3xhRFV5TDJneU1DOHhNREk0TlRZNU1UTXdNamN4TURJdk9EQXdWM2c0TURCSVh6RXdNRGN5TURJdE1pNXFjR2N8MmZlMzBiZDJlMDQ5NDBlYmM3Yjk4NTkzMDAxMmYzOTlmM2M5ZWE3ZWM0NTkxNzFjNzk0YWUxMThkYmI1YjhiZg,,,,,,https://static.bihr.pro/eBihr/Pictures/SCAR-pictures.zip,,,Spain Warehouse (Parts)
1007204,19300040,FMS103,SCAR,SCAR CARBURETOR BLUE ADJUSTER SCREWS,Tornillo regulación aire Scar Azul,20.06,16.58,10.78,3701691103038,1,8714109090,0,1,"<p data-isautotranslation=""1""></p><p>Tornillo de mezcla de combustible para adaptarse a Keihin FCR</p>
<p>Aluminio mecanizado CNC con acabado anodizado de alta calidad</p>","

Tornillo de mezcla de combustible para adaptarse a Keihin FCR

Aluminio mecanizado CNC con acabado anodizado de alta calidad",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,,,,,,181,15,120,72,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1007204-1.jpg?context=bWFzdGVyfHJvb3R8ODgxMzh8aW1hZ2UvanBlZ3xhRFkxTDJnd01TOHhNREk0TlRZNU1UTTVORFEyTURZdk9EQXdWM2c0TURCSVh6RXdNRGN5TURRdE1TNXFjR2N8Mjc1ZjUzMDNmNTE2NzFmMGRmZTQ4ZWE3MjZlZWJhZWZjZDg5NjBmZjQ5M2NiMGI5YmE2ZTc3MmVmNGIwYWYxOA,https://api.mybihr.com/medias/800Wx800H-1007204-2.jpg?context=bWFzdGVyfHJvb3R8ODM5MTF8aW1hZ2UvanBlZ3xhREV6TDJnMU1DOHhNREk0TlRZNU1UUXlNRFkzTlRBdk9EQXdWM2c0TURCSVh6RXdNRGN5TURRdE1pNXFjR2N8NzZhNTlhMzIzNzEzODc3OThjZjkyM2ZkNWMwYzg5N2EzNmVmNTZhZmJjMmRlYTg3ZWQ2OGQ1NGY3Y2M5NTg0Ng,,,,,,https://static.bihr.pro/eBihr/Pictures/SCAR-pictures.zip,,,Spain Warehouse (Parts)
