PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Guardapolvo] Diámetro exterior (Ømm),[Guardapolvo] Diámetro interior (Ømm),[Retén] Diámetro exterior (Ømm),[Retén] Diámetro interior (Ømm),Altura (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Embalaje,Tipo de producto,Picture1,Picture2,AllPicturesZIP,Document1,DeliveryPlant
1026034,49900224,R35205001,SHOWA,SHOWA RING BACK UP SHOCK ABSORBER,Piezas de recambio amortiguador anillo de respaldo SHOWA,11.00,9.09,6.36,R35205001,12,8714109090,0,1,"<ul>  <li>Asiento para muelle de amortiguador Showa, para un reacondicionamiento fiable y de calidad.</li></ul>","  Asiento para muelle de amortiguador Showa, para un reacondicionamiento fiable y de calidad.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,30,1,75,58,7,,,,,,,,,,,,https://api.mybihr.com/medias/1026034-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI4NTd8aW1hZ2UvanBlZ3xhR1prTDJoa1l5ODRPVFk1TlRFMU16QXlPVFF5THpFd01qWXdNelF0TVY4NE1EQlhlRGd3TUVnfDBlOWI5ZDhjMTE5NjQ4YzIyMmQ3ODMxOGJiYzMwN2RlYmFmZTlmYzQwNTYxZWQ2MjU5ZWEyYmY2YjVjYmQyMjg,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1048071,,F27603701,SHOWA,SHOWA RING FORK INNNER 37MM,Casquillo de fricción interior para horquilla SHOWA Ø37mm,7.26,6.00,4.20,F27603701,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li><a id=""_dx_frag_StartFragment""></a>Showa spare part for a quality reconditioning </li><li>Sold by unit<a id=""_dx_frag_EndFragment""></a></li></ul> </body> </html>","        Showa spare part for a quality reconditioning Sold by unit  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,45,26,45,45,22,,,,,,,,,,por unidad,,https://api.mybihr.com/medias/1048071-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDQ3MjB8aW1hZ2UvanBlZ3xhRFl4TDJobE5pODRPVGN4TURZME5EUXlPVEV3THpFd05EZ3dOekV0TVY4NE1EQlhlRGd3TUVnfGM5ZDAxOGNkZmRjMGUwYzJhNDJlOGIxOWFmOWI1ZTRkMTU0N2I5ODgxYmMwYjRlNTU4Y2ZiNDVkMDczN2U3MDc,https://api.mybihr.com/medias/1048071-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDU2NDN8aW1hZ2UvanBlZ3xhREZtTDJobFpDODRPVGN4TURZME5qTTVOVEU0THpFd05EZ3dOekV0TWw4NE1EQlhlRGd3TUVnfGVkMWEwMzVmZmI4ZTY5YTg2NmM3MzFjMzM0NTBmZTZhODQ5MWRjNTMxZTU5MzRiMzJkNWM2NzA1NWU1MDI3MTU,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1048072,R27501401,R27501401,SHOWA,SHOWA RING SHOCK ABSORBER 16X14X10,Repuesto amortiguador trasero Showa 14x16x10mm,5.00,4.13,2.89,R27501401,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li><a id=""_dx_frag_StartFragment""></a>Showa rear shock guide bush for reliable and quality reconditioning<a id=""_dx_frag_EndFragment""></a></li></ul> </body> </html>","        Showa rear shock guide bush for reliable and quality reconditioning  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4,13,20,15,12,,,,,,,,,,,,https://api.mybihr.com/medias/1048072-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDU2NDN8aW1hZ2UvanBlZ3xhRGswTDJoaVpDODRPVGN4TURZMU1ETXlOek0wTHpFd05EZ3dOekl0TWw4NE1EQlhlRGd3TUVnfDIyYTZhOGI5ZTQ3NTgxY2M0MmQxNDU1ZmIzMzczYmZkNjYzMTI0MTEzOGY3NmZmNTQ0MjBjMzk2MzIyOTY4OTc,https://api.mybihr.com/medias/800Wx800H-1048072-1.png?context=bWFzdGVyfHJvb3R8NTQ3Nzl8aW1hZ2UvcG5nfGFHRXpMMmc0TXk4eE1ESXdNamc0T0RFMU9USXpOVEF2T0RBd1YzZzRNREJJWHpFd05EZ3dOekl0TVM1d2JtY3w0MjYxZGQ3OTAyZTIzMDAyNjM0ODAzMWI4YmQyNTVhYmEyYWFmYmYzMGYwNGIyMWFmMGYzZWNiYWM5NDg4ZmVh,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1026021,44900669,RMAN01603,SHOWA,SHOWA REPAIR KIT SHOCK ABSORBER 16MM,Kit de reparación amortiguador SHOWA,110.11,91.00,63.70,RMAN01603,7,8714109090,0,1,"<ul>  <li>Este kit Showa contiene todo lo que necesitas para reparar tu horquilla delantera.  Dependiendo del modelo de moto, el kit se adapta para ofrecerle todas las piezas necesarias.</li></ul>","  Este kit Showa contiene todo lo que necesitas para reparar tu horquilla delantera.  Dependiendo del modelo de moto, el kit se adapta para ofrecerle todas las piezas necesarias.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,862,93,120,126,57,,,,,,,,,,,,https://api.mybihr.com/medias/1026021-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDEzNDZ8aW1hZ2UvanBlZ3xhRFEzTDJnd1l5ODRPVFk1TlRFeU56UTNNRE00THpFd01qWXdNakV0TVY4NE1EQlhlRGd3TUVnfDQwYTU5NGIxNzYwNWRlZDdjNzg0MDlhOWNkZmZlODFmNmUzMGI3ODdmMTc5NTIxMThhMzJmNmFjZjQ1NjcxNDk,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1026022,44900672,RMAN01606,SHOWA,SHOWA REPAIR KIT SHOCK ABSORBER 16MM,Kit de reparación amortiguador SHOWA,110.11,91.00,63.70,RMAN01606,6,8714109090,0,1,"<ul>  <li>Este kit Showa contiene todo lo que necesitas para reparar tu horquilla delantera.  Dependiendo del modelo de moto, el kit se adapta para ofrecerle todas las piezas necesarias.</li></ul>","  Este kit Showa contiene todo lo que necesitas para reparar tu horquilla delantera.  Dependiendo del modelo de moto, el kit se adapta para ofrecerle todas las piezas necesarias.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,797,105,126,111,57,,,,,,,,,,,,https://api.mybihr.com/medias/1026022-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDEzNDZ8aW1hZ2UvanBlZ3xhRGMzTDJnd05TODRPVFk1TlRFeU9UUXpOalEyTHpFd01qWXdNakl0TVY4NE1EQlhlRGd3TUVnfGJkYmEzMDdjZDQyMWQ5MzJmN2RiZTM0MzMxNGVkZDI2MTk4NmU1MzFiMDM0OTJmYTEyNmRlMjVjYjg2NzNmNWY,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1026023,44900670,RMAN01604,SHOWA,SHOWA REPAIR KIT SHOCK ABSORBER 16MM,Kit de reparación amortiguador SHOWA,112.53,93.00,65.10,RMAN01604,7,8714109090,0,1,"<ul>  <li>Este kit Showa contiene todo lo que necesitas para reparar tu horquilla delantera.  Dependiendo del modelo de moto, el kit se adapta para ofrecerle todas las piezas necesarias.</li></ul>","  Este kit Showa contiene todo lo que necesitas para reparar tu horquilla delantera.  Dependiendo del modelo de moto, el kit se adapta para ofrecerle todas las piezas necesarias.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,867,110,137,111,57,,,,,,,,,,,,https://api.mybihr.com/medias/1026023-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDEzNDZ8aW1hZ2UvanBlZ3xhREEwTDJnME9TODRPVFk1TlRFek1UUXdNalUwTHpFd01qWXdNak10TVY4NE1EQlhlRGd3TUVnfDZiZWI2YTY3OWI4NzlhMTU0OGVhMzgxYTI5YWZkMmQwNjczNzQxM2E3MDk0NjhmMGYwMWMyMTkxOTMxODZlNzI,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1026025,44900675,RMAN01802,SHOWA,SHOWA REPAIR KIT SHOCK ABSORBER 16MM,Kit de reparación amortiguador SHOWA,133.10,110.00,77.00,RMAN01802,3,8714109090,0,1,"<ul>  <li>Este kit Showa contiene todo lo que necesitas para reparar tu horquilla delantera.  Dependiendo del modelo de moto, el kit se adapta para ofrecerle todas las piezas necesarias.</li></ul>","  Este kit Showa contiene todo lo que necesitas para reparar tu horquilla delantera.  Dependiendo del modelo de moto, el kit se adapta para ofrecerle todas las piezas necesarias.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,789,91,127,109,57,,,,,,,,,,,,https://api.mybihr.com/medias/1026025-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDEzNDZ8aW1hZ2UvanBlZ3xhRGt5TDJnMU5pODRPVFk1TlRFek5UTXpORGN3THpFd01qWXdNalV0TVY4NE1EQlhlRGd3TUVnfDFiMDdhZTJlMmUyNTdhMzI5ZDUyN2YyMjJkMGE1YjJjOTg3ODkwMzQ1MWJiYzY0YmYzZWI5MGI5ZGM1MzQzZmU,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1026000,49900213,R29600003,SHOWA,SHOWA BLADDER SHOCK ABSORBER,Diafragma para amortiguador Showa,21.50,17.77,12.44,R29600003,22,8714109090,0,1,<ul>  <li>Membrana de amortiguador Showa para un reacondicionamiento fiable y de calidad.</li></ul>,"  Membrana de amortiguador Showa para un reacondicionamiento fiable y de calidad.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,456,47,127,63,57,,,,,,,,,,,,https://api.mybihr.com/medias/1026000-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1MzB8aW1hZ2UvanBlZ3xhR1pqTDJnMk5DODRPVFk1TlRBNE5qRTRNamN3THpFd01qWXdNREF0TVY4NE1EQlhlRGd3TUVnfDViOWZmMjdmNWU3NzkzZTQ0OTc3YzM4OTBkNzdhMzVjNjFkMzNiZTEyNTg2MzVlOTIwYTZiNTZhNGQxMjliYTI,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1026009,44900633,F33004902,SHOWA,SHOWA DUST SEAL FORK 49MM,"Guardapolvos de horquilla SHOWA - 49x60,6x10,5 mm",42.35,35.00,24.50,F33004902,19,8714109090,0,1,"<p>Guardapolvos de horquilla Showa, para un reacondicionamiento fiable y de calidad.</p>","
Guardapolvos de horquilla Showa, para un reacondicionamiento fiable y de calidad.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,118,13,102,68,17,,,,,,,,,,por unidad,,https://api.mybihr.com/medias/1026009-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQwNDZ8aW1hZ2UvanBlZ3xhREUyTDJobFpDODRPVFk1TlRFd016ZzNOelF5THpFd01qWXdNRGt0TVY4NE1EQlhlRGd3TUVnfDRmOTExOWZmYzQxZGUyNmJlOTk3ZTY5ZDI2YTFmZjExODUyNzY1OTg3NGIwZDUxZTNkMDQzMWIyZWIxZDdlYzU,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1026010,44900636,F33003902,SHOWA,"SHOWA DUST SEAL 39X52,3X14,7","Guardapolvos de horquilla SHOWA - 39x52,3x14,7 mm",11.00,9.09,6.36,8435622702841,2,8714109090,0,1,"<p>Guardapolvos de horquilla Showa, para un reacondicionamiento fiable y de calidad.</p>","
Guardapolvos de horquilla Showa, para un reacondicionamiento fiable y de calidad.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,209,13,102,76,27,,,,,,,,,,por unidad,,https://api.mybihr.com/medias/1026010-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQwNDZ8aW1hZ2UvanBlZ3xhRFExTDJobE5pODRPVFk1TlRFd05UZzBNelV3THpFd01qWXdNVEF0TVY4NE1EQlhlRGd3TUVnfDI0MzliYzAwYjUwYThkZTk0MDAyZGE4MTY0YjY5OGVmZWU1MGM3NGMyNGJjNzhkZjhiNzJmMjkzZDMzNTIzYmQ,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
