PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Retén] Diámetro exterior (Ømm),[Retén] Diámetro interior (Ømm),Altura (mm),Cantidad,Diámetro exterior (mm),Diámetro interior (mm),Diámetro Ø (mm),Embalaje,Tipo de producto,Uso recomendado,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,DeliveryPlant
1042114,770878,KITG-48W,SKF,SKF FORK SEAL & DUST KIT 48MM,"Kit de retén y guardapolvo de horquilla SKF - WP 48x57,9x9 mm",37.38,30.89,21.62,8050040140763,57,8482109090,0,1,"<p justify>SKF es el más reconocido fabricante de retenes y rodamientos a nivel mundial.<br>La fortaleza de esta marca japonesa es la altísima calidad y rendimiento que ofrecen sus productos, sobre todo por la reducida fricción característica de SKF.<br>Testados al máximo nivel y utilizados tanto en primer equipo como aftermarket, transmiten toda la confianza al usuario.</p><h3 justify>Características técnicas</h3><ul justify><li>20% menos fricción</li><li>Tacto y suavidad mejorados</li><li>Vida y rendimiento incrementados</li><li>Mejor protección ante el agua y la suciedad</li><li>Bajo deterioro y succión de aire</li></ul><h3 justify>Este kit contiene todo lo necesario para 1 brazo de horquilla:</h3><ul><li justify>1 retén de aceite de horquilla</li><li justify>1 guardapolvos de horquilla</li></ul>","
SKF es el más reconocido fabricante de retenes y rodamientos a nivel mundial.La fortaleza de esta marca japonesa es la altísima calidad y rendimiento que ofrecen sus productos, sobre todo por la reducida fricción característica de SKF.Testados al máximo nivel y utilizados tanto en primer equipo como aftermarket, transmiten toda la confianza al usuario.Características técnicas20% menos fricciónTacto y suavidad mejoradosVida y rendimiento incrementadosMejor protección ante el agua y la suciedadBajo deterioro y succión de aireEste kit contiene todo lo necesario para 1 brazo de horquilla:1 retén de aceite de horquilla1 guardapolvos de horquilla",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,312,47,119,119,22,,,,,,ø 48 mm,,,,,https://api.mybihr.com/medias/1042114-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzczNjZ8aW1hZ2UvanBlZ3xhRGxtTDJoaU5TODRPVGN3TWpFNU1qVTNPRGcyTHpFd05ESXhNVFF0TVY4NE1EQlhlRGd3TUVnfGMyNTk2ODU2ZjdhYjI4OWVkMGYwMmFiYmMyNzg0OWMyOWRkMDVlMmNkOWVjZjYzNDEyNWViZjE3MGU4MjNmMDQ,,,,https://static.bihr.pro/eBihr/Pictures/SKF-pictures.zip,,Spain Warehouse (Parts)
1042115,770872,KITG-48W-HD,SKF,SKF FORK SEAL & DUST KIT 48MM,"Kit de retén y guardapolvo de horquilla SKF - WP 48x57,9x9 mm",37.38,30.89,21.62,8050040140787,114,8482109090,0,1,"<p justify>SKF es el más reconocido fabricante de retenes y rodamientos a nivel mundial.<br>La fortaleza de esta marca japonesa es la altísima calidad y rendimiento que ofrecen sus productos, sobre todo por la reducida fricción característica de SKF.<br>Testados al máximo nivel y utilizados tanto en primer equipo como aftermarket, transmiten toda la confianza al usuario.</p><h3 justify>Características técnicas</h3><ul justify><li>20% menos fricción</li><li>Tacto y suavidad mejorados</li><li>Vida y rendimiento incrementados</li><li>Mejor protección ante el agua y la suciedad</li><li>Bajo deterioro y succión de aire</li></ul><h3 justify>Este kit contiene todo lo necesario para 1 brazo de horquilla:</h3><ul><li justify>1 retén de aceite de horquilla</li><li justify>1 guardapolvos de horquilla</li></ul>","
SKF es el más reconocido fabricante de retenes y rodamientos a nivel mundial.La fortaleza de esta marca japonesa es la altísima calidad y rendimiento que ofrecen sus productos, sobre todo por la reducida fricción característica de SKF.Testados al máximo nivel y utilizados tanto en primer equipo como aftermarket, transmiten toda la confianza al usuario.Características técnicas20% menos fricciónTacto y suavidad mejoradosVida y rendimiento incrementadosMejor protección ante el agua y la suciedadBajo deterioro y succión de aireEste kit contiene todo lo necesario para 1 brazo de horquilla:1 retén de aceite de horquilla1 guardapolvos de horquilla",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,269,50,119,119,19,,,,,,ø 48 mm,,,,,https://api.mybihr.com/medias/1042115-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzczNjZ8aW1hZ2UvanBlZ3xhR05sTDJoaFpTODRPVGN3TWpFNU5EVTBORGswTHpFd05ESXhNVFV0TVY4NE1EQlhlRGd3TUVnfDRkOTQ2MDVjNGJjMGVmMTAzNzczMjY4NWM0NWEyNWUzYzViNmI0MmQ0OTE5MjZkOTZjYjE0OWU2MTViYWUxMzk,,,,https://static.bihr.pro/eBihr/Pictures/SKF-pictures.zip,,Spain Warehouse (Parts)
1042121,770864,KITG-48Z,SKF,SKF FORK SEAL & DUST KIT 48MM,"Kit de retén y guardapolvo de horquilla SKF - ZF Sachs 48x57,9x9 mm",37.38,30.89,21.62,8050040140800,3,8482109090,0,1,<p>SKF es una compañía mundialmente reconocida como fabricante de rodamientos y retenes. Su punto fuerte es la gran calidad y prestaciones de su gama de productos para motocicletas.</p><p> </p><ul><li>Retén de horquilla</li><li>Con guardapolvos</li><li>Testada y fiable</li><li>Para horquillas monobrazo</li></ul>,"
SKF es una compañía mundialmente reconocida como fabricante de rodamientos y retenes. Su punto fuerte es la gran calidad y prestaciones de su gama de productos para motocicletas.
 Retén de horquillaCon guardapolvosTestada y fiablePara horquillas monobrazo",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,267,48,118,119,19,,,,,,ø 48 mm,,,,,https://api.mybihr.com/medias/1042121-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzczNjZ8aW1hZ2UvanBlZ3xhRFZsTDJnMlppODRPVGN3TWpJd05qTTBNVFF5THpFd05ESXhNakV0TVY4NE1EQlhlRGd3TUVnfGQwY2RhNTNjNjBkMmI4YTFiNzc2ZTUxZWQ0MjA5ZTBjNGMxMmI3MTg5ODJjNTZiNjMxYWEwN2JlMjBjM2ZkNGY,,,,https://static.bihr.pro/eBihr/Pictures/SKF-pictures.zip,,Spain Warehouse (Parts)
1042122,777911,SH2-WP1846P,SKF,SKF SEAL SHOCK HEAD,Cabezal amortiguador SKF KTM/Sherco,70.41,58.19,40.73,8050040147878,2,8714109090,0,1,"<p>El cabezal de amortiguador SKF viene equipado con un retén tipo «monobloque» para facilitar el mantenimiento y mejorar el rendimiento.</p><p>Recomendado para un reacondicionamiento estándar y/o para mejorar el rendimiento del amortiguador.</p><p>Los cabezales de fábrica suelen venir acompañados de otros componentes como retenes, topes, arandelas... Cuando se realiza el reacondicionamiento y se vuelven a colocar estos componentes se producen pequeñas cavidades de aire, que provocan una emulsión durante el funcionamiento. El cabezal SKF, al ser monobloque, minimiza esta emulsión para que el montaje sea más estable y tenga un mejor rendimiento. Ventajas: Fácil de instalar. Reducción de la fricción. Mayor rendimiento y fiabilidad. Amplio rango de temperatura (-40 a +150 ° C). Reduce la altura del cabezal, aumentando así su recorrido.</p><p> </p><p><strong>El kit incluye</strong>: Cabezal monobloque.</p>","
El cabezal de amortiguador SKF viene equipado con un retén tipo «monobloque» para facilitar el mantenimiento y mejorar el rendimiento.
Recomendado para un reacondicionamiento estándar y/o para mejorar el rendimiento del amortiguador.
Los cabezales de fábrica suelen venir acompañados de otros componentes como retenes, topes, arandelas... Cuando se realiza el reacondicionamiento y se vuelven a colocar estos componentes se producen pequeñas cavidades de aire, que provocan una emulsión durante el funcionamiento. El cabezal SKF, al ser monobloque, minimiza esta emulsión para que el montaje sea más estable y tenga un mejor rendimiento. Ventajas: Fácil de instalar. Reducción de la fricción. Mayor rendimiento y fiabilidad. Amplio rango de temperatura (-40 a +150 ° C). Reduce la altura del cabezal, aumentando así su recorrido.
 
El kit incluye: Cabezal monobloque.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,777,128,148,101,52,,,,,,,,,,,https://api.mybihr.com/medias/1042122-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgzMjR8aW1hZ2UvanBlZ3xhREl6TDJnd01pODVNREV5TnpRMU1UQTVOVE0wTHpFd05ESXhNakl0TVY4NE1EQlhlRGd3TUVnfDFhY2Q0NTU3ZWY4NzI4MmQwMzUzOWRlMWEyMzM0ZTI3NWE1MDgwODZkNzBjN2JkOTdlYmY5MDc3OTU2MWFjNmM,,,,https://static.bihr.pro/eBihr/Pictures/SKF-pictures.zip,,Spain Warehouse (Parts)
1042130,776933,SHS2-WP1850P,SKF,SKF REPAIR KIT SHOCK ABSORBER UNIT,Kit de reparación SKF para cabezal amortiguador 776909,45.24,37.39,26.17,8050040148073,3,8714109090,0,1,<p>Este kit SKF de reparación del cabezal del amortiguador incluye:</p><p><br></p><ul>    <li>1 x retén </li>    <li>1 x guardapolvos</li></ul><p><br></p>,"
Este kit SKF de reparación del cabezal del amortiguador incluye:
    1 x retén     1 x guardapolvos
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,197,40,99,83,24,,,,,,,,,,,https://api.mybihr.com/medias/1042130-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU2ODN8aW1hZ2UvanBlZ3xhRE14TDJoak5DODRPVGN3TWpJeU5EQXpOakUwTHpFd05ESXhNekF0TVY4NE1EQlhlRGd3TUVnfDE1YWFlODUxZTlmNWU2MmI5YmZkYTZiM2Q2NGIwNDUwZWE2N2JjM2JmOTM5MGM4MjJhMWUxZGNjNTM5YjU4YmY,,,,https://static.bihr.pro/eBihr/Pictures/SKF-pictures.zip,,Spain Warehouse (Parts)
1042151,774799,SH2-SHO1650,SKF,SKF UNIT SHOCK ABSORBER,Cabezal amortiguador SKF,70.41,58.19,40.73,8050040147854,6,8714109090,0,1,"<p>El cabezal de amortiguador SKF viene equipado con un retén tipo «monobloque» para facilitar el mantenimiento y mejorar el rendimiento.</p><p>Recomendado para un reacondicionamiento estándar y/o para mejorar el rendimiento del amortiguador.</p><p>Los cabezales de fábrica suelen venir acompañados de otros componentes como retenes, topes, arandelas... Cuando se realiza el reacondicionamiento y se vuelven a colocar estos componentes se producen pequeñas cavidades de aire, que provocan una emulsión durante el funcionamiento. El cabezal SKF, al ser monobloque, minimiza esta emulsión para que el montaje sea más estable y tenga un mejor rendimiento. Ventajas: Fácil de instalar. Reducción de la fricción. Mayor rendimiento y fiabilidad. Amplio rango de temperatura (-40 a +150 ° C). Reduce la altura del cabezal, aumentando así su recorrido.</p><p> </p><p><strong>El kit incluye</strong>: Cabezal monobloque.</p>","
El cabezal de amortiguador SKF viene equipado con un retén tipo «monobloque» para facilitar el mantenimiento y mejorar el rendimiento.
Recomendado para un reacondicionamiento estándar y/o para mejorar el rendimiento del amortiguador.
Los cabezales de fábrica suelen venir acompañados de otros componentes como retenes, topes, arandelas... Cuando se realiza el reacondicionamiento y se vuelven a colocar estos componentes se producen pequeñas cavidades de aire, que provocan una emulsión durante el funcionamiento. El cabezal SKF, al ser monobloque, minimiza esta emulsión para que el montaje sea más estable y tenga un mejor rendimiento. Ventajas: Fácil de instalar. Reducción de la fricción. Mayor rendimiento y fiabilidad. Amplio rango de temperatura (-40 a +150 ° C). Reduce la altura del cabezal, aumentando así su recorrido.
 
El kit incluye: Cabezal monobloque.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,788,216,150,101,52,,,,,,,,,,,https://api.mybihr.com/medias/1042151-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgzMjR8aW1hZ2UvanBlZ3xhREZrTDJoa09TODRPVGN3TWpJMk1UTTVNVFkyTHpFd05ESXhOVEV0TVY4NE1EQlhlRGd3TUVnfDcxOWQ4MzkwMzAzZGEwMTM3OTg3YThjMWFmOTQyM2FhNmFjYTkwZmFhMTg2NjE2YTVkZTMzYTY2MjI5YTUwODI,,,,https://static.bihr.pro/eBihr/Pictures/SKF-pictures.zip,,Spain Warehouse (Parts)
1042152,774797,SH2-KYB1646,SKF,SKF UNIT SHOCK ABSORBER,Cabezal amortiguador SKF,70.99,58.67,41.07,8050040147793,1,8714109090,0,1,"<p>El cabezal de amortiguador SKF viene equipado con un retén tipo «monobloque» para facilitar el mantenimiento y mejorar el rendimiento.</p><p>Recomendado para un reacondicionamiento estándar y/o para mejorar el rendimiento del amortiguador.</p><p>Los cabezales de fábrica suelen venir acompañados de otros componentes como retenes, topes, arandelas... Cuando se realiza el reacondicionamiento y se vuelven a colocar estos componentes se producen pequeñas cavidades de aire, que provocan una emulsión durante el funcionamiento. El cabezal SKF, al ser monobloque, minimiza esta emulsión para que el montaje sea más estable y tenga un mejor rendimiento. Ventajas: Fácil de instalar. Reducción de la fricción. Mayor rendimiento y fiabilidad. Amplio rango de temperatura (-40 a +150 ° C). Reduce la altura del cabezal, aumentando así su recorrido.</p><p> </p><p><strong>El kit incluye</strong>: Cabezal monobloque.</p>","
El cabezal de amortiguador SKF viene equipado con un retén tipo «monobloque» para facilitar el mantenimiento y mejorar el rendimiento.
Recomendado para un reacondicionamiento estándar y/o para mejorar el rendimiento del amortiguador.
Los cabezales de fábrica suelen venir acompañados de otros componentes como retenes, topes, arandelas... Cuando se realiza el reacondicionamiento y se vuelven a colocar estos componentes se producen pequeñas cavidades de aire, que provocan una emulsión durante el funcionamiento. El cabezal SKF, al ser monobloque, minimiza esta emulsión para que el montaje sea más estable y tenga un mejor rendimiento. Ventajas: Fácil de instalar. Reducción de la fricción. Mayor rendimiento y fiabilidad. Amplio rango de temperatura (-40 a +150 ° C). Reduce la altura del cabezal, aumentando así su recorrido.
 
El kit incluye: Cabezal monobloque.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,468,126,130,60,60,,,,,,,,,,,https://api.mybihr.com/medias/1042152-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgzMjR8aW1hZ2UvanBlZ3xhR1ZrTDJoa1ppODRPVGN3TWpJMk16TTFOemMwTHpFd05ESXhOVEl0TVY4NE1EQlhlRGd3TUVnfDE4NzViOTNhNjQ2NzkyZjlkOWVjMjU4NTZhYmQ0MTlkMDA5MzNhOGRkZGZjNjZhZDgzYmJhMmI1ZDI3YWZlYWQ,,,,https://static.bihr.pro/eBihr/Pictures/SKF-pictures.zip,,Spain Warehouse (Parts)
1042154,774800,SH2-WP1850L,SKF,SKF UNIT SHOCK ABSORBER,Cabezal amortiguador SKF KTM/Husqvarna,70.41,58.19,40.73,8050040147915,7,8714109090,0,1,"<p>El cabezal de amortiguador SKF viene equipado con un retén tipo «monobloque» para facilitar el mantenimiento y mejorar el rendimiento.</p><p>Recomendado para un reacondicionamiento estándar y/o para mejorar el rendimiento del amortiguador.</p><p>Los cabezales de fábrica suelen venir acompañados de otros componentes como retenes, topes, arandelas... Cuando se realiza el reacondicionamiento y se vuelven a colocar estos componentes se producen pequeñas cavidades de aire, que provocan una emulsión durante el funcionamiento. El cabezal SKF, al ser monobloque, minimiza esta emulsión para que el montaje sea más estable y tenga un mejor rendimiento. Ventajas: Fácil de instalar. Reducción de la fricción. Mayor rendimiento y fiabilidad. Amplio rango de temperatura (-40 a +150 ° C). Reduce la altura del cabezal, aumentando así su recorrido.</p><p> </p><p><strong>El kit incluye</strong>: Cabezal monobloque.</p>","
El cabezal de amortiguador SKF viene equipado con un retén tipo «monobloque» para facilitar el mantenimiento y mejorar el rendimiento.
Recomendado para un reacondicionamiento estándar y/o para mejorar el rendimiento del amortiguador.
Los cabezales de fábrica suelen venir acompañados de otros componentes como retenes, topes, arandelas... Cuando se realiza el reacondicionamiento y se vuelven a colocar estos componentes se producen pequeñas cavidades de aire, que provocan una emulsión durante el funcionamiento. El cabezal SKF, al ser monobloque, minimiza esta emulsión para que el montaje sea más estable y tenga un mejor rendimiento. Ventajas: Fácil de instalar. Reducción de la fricción. Mayor rendimiento y fiabilidad. Amplio rango de temperatura (-40 a +150 ° C). Reduce la altura del cabezal, aumentando así su recorrido.
 
El kit incluye: Cabezal monobloque.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,788,134,150,101,52,,,,,,,,,,,https://api.mybihr.com/medias/1042154-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgzMjR8aW1hZ2UvanBlZ3xhRGRoTDJobFpDODRPVGN3TWpJMk56STRPVGt3THpFd05ESXhOVFF0TVY4NE1EQlhlRGd3TUVnfDU4MzQzM2M5NzFjYjJmNTNhODdhZjVkY2ZkZjM0MWMwNmRjYTgxMDY2OWNmOGMzNzI5MjUzZDY4ZDY2NTE3M2M,,,,https://static.bihr.pro/eBihr/Pictures/SKF-pictures.zip,,Spain Warehouse (Parts)
1042086,770871,KITB-43K,SKF,SKF FORK SEAL & DUST KIT 43MM,"Kit de retén y guardapolvo de horquilla SKF - KAYABA 43x55,1x9 mm",37.38,30.89,21.62,8050040140282,33,8482109090,0,1,"<p justify>SKF es el más reconocido fabricante de retenes y rodamientos a nivel mundial.<br>La fortaleza de esta marca japonesa es la altísima calidad y rendimiento que ofrecen sus productos, sobre todo por la reducida fricción característica de SKF.<br>Testados al máximo nivel y utilizados tanto en primer equipo como aftermarket, transmiten toda la confianza al usuario.</p><h3 justify>Características técnicas</h3><ul justify><li>20% menos fricción</li><li>Tacto y suavidad mejorados</li><li>Vida y rendimiento incrementados</li><li>Mejor protección ante el agua y la suciedad</li><li>Bajo deterioro y succión de aire</li></ul><h3 justify>Este kit contiene todo lo necesario para 1 brazo de horquilla:</h3><ul><li justify>1 retén de aceite de horquilla</li><li justify>1 guardapolvos de horquilla</li></ul>","
SKF es el más reconocido fabricante de retenes y rodamientos a nivel mundial.La fortaleza de esta marca japonesa es la altísima calidad y rendimiento que ofrecen sus productos, sobre todo por la reducida fricción característica de SKF.Testados al máximo nivel y utilizados tanto en primer equipo como aftermarket, transmiten toda la confianza al usuario.Características técnicas20% menos fricciónTacto y suavidad mejoradosVida y rendimiento incrementadosMejor protección ante el agua y la suciedadBajo deterioro y succión de aireEste kit contiene todo lo necesario para 1 brazo de horquilla:1 retén de aceite de horquilla1 guardapolvos de horquilla",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,279,56,135,115,18,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1042086-1.jpg?context=bWFzdGVyfHJvb3R8MTAxOTY2fGltYWdlL2pwZWd8YURVM0wyZ3hNUzh6TXpZNE9EZzFPRGMxTlRFd01pODRNREJYZURnd01FaGZNVEEwTWpBNE5pMHhMbXB3Wnd8NGNiYjFkMThiNmViZWI1OWRmNGVlOTRhNmMzMWI2NGRlNjRhZDkyYTdjNWIwZmI2NWYwYzdiZGM4MTMyZjRkOA,,,,https://static.bihr.pro/eBihr/Pictures/SKF-pictures.zip,,Spain Warehouse (Parts)
1042089,770868,KITG-45M,SKF,SKF FORK SEAL & DUST KIT 45MM,Kit de retén y guardapolvo de horquilla SKF - Marzocchi 45x58x11 mm,37.38,30.89,21.62,8050040140466,14,8482109090,0,1,"<p justify>SKF es el más reconocido fabricante de retenes y rodamientos a nivel mundial.<br>La fortaleza de esta marca japonesa es la altísima calidad y rendimiento que ofrecen sus productos, sobre todo por la reducida fricción característica de SKF.<br>Testados al máximo nivel y utilizados tanto en primer equipo como aftermarket, transmiten toda la confianza al usuario.</p><h3 justify>Características técnicas</h3><ul justify><li>20% menos fricción</li><li>Tacto y suavidad mejorados</li><li>Vida y rendimiento incrementados</li><li>Mejor protección ante el agua y la suciedad</li><li>Bajo deterioro y succión de aire</li></ul><h3 justify>Este kit contiene todo lo necesario para 1 brazo de horquilla:</h3><ul><li justify>1 retén de aceite de horquilla</li><li justify>1 guardapolvos de horquilla</li></ul>","
SKF es el más reconocido fabricante de retenes y rodamientos a nivel mundial.La fortaleza de esta marca japonesa es la altísima calidad y rendimiento que ofrecen sus productos, sobre todo por la reducida fricción característica de SKF.Testados al máximo nivel y utilizados tanto en primer equipo como aftermarket, transmiten toda la confianza al usuario.Características técnicas20% menos fricciónTacto y suavidad mejoradosVida y rendimiento incrementadosMejor protección ante el agua y la suciedadBajo deterioro y succión de aireEste kit contiene todo lo necesario para 1 brazo de horquilla:1 retén de aceite de horquilla1 guardapolvos de horquilla",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,269,55,119,119,19,,,,,,,,,,,https://api.mybihr.com/medias/1042089-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzczNjZ8aW1hZ2UvanBlZ3xhRFUwTDJoak15ODRPVGN3TWpFME16UXlOamcyTHpFd05ESXdPRGt0TVY4NE1EQlhlRGd3TUVnfDYyYjFmYzlhMmQ1ODI4MzhkYmY3NmRkY2MzMWNiNGEwODBhOWNiNTkyODcxZGE5ODQ1MjQ0ZjQ4NDE4ZTIwNGE,,,,https://static.bihr.pro/eBihr/Pictures/SKF-pictures.zip,,Spain Warehouse (Parts)
