PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Embalaje,Posición,Picture1,AllPicturesZIP,Document1,DeliveryPlant
1006015,126811,003MGP07,STM,STM SPAREPARTS BEARINGS,Rodamiento centrañl de embrague STM,40.90,33.80,22.84,003MGP07,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,39,15,114,68,5,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006021,126781,0F3CR230D070009,STM,STM SPAREPARTS WASHER,Arandela tope de buje para embrague STM CRF250,58.32,48.20,27.95,0F3CR230D070009,3,8714109090,0,1,"STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.","STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,30,29,53,63,9,,,,,https://api.mybihr.com/medias/1006021-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1MjE2fGltYWdlL2pwZWd8YUdGbEwyZ3lOeTg0T1RBeE1USXlORGt3TXprNEx6RXdNRFl3TWpFdE1WODRNREJYZURnd01FZ3wxM2Q5ZWNlOWU1ODk3NGE2OGQ3ZGIzMTFhZTc3ZmNjNjljMGYwMTdhNjRlY2VlZWNlZTE5NWZmOWU5NGY2NGM3,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006055,126774,0F3SR140J240007,STM,STM SPAREPARTS WASHER,Arandela tope de muelle para embrague STM DUCATI,40.90,33.80,22.36,0F3SR140J240007,3,8714109090,0,1,"STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.","STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,57,56,60,68,14,,,,,https://api.mybihr.com/medias/1006055-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1MjE2fGltYWdlL2pwZWd8YUdGbUwyaGhPUzg0T1RJME5Ea3hOakV5TVRrd0x6RXdNRFl3TlRVdE1WODRNREJYZURnd01FZ3w3Yzg1MmM0MWRlMThlZmNiYWQ5NDExN2ViM2NlNzQyYmY0YmJiYTdkODc1ZGEwMWMxM2Q1ODYyMThjOTAxN2M4,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006102,110613,OS1125/160,STM,STM SPRINGS PRIMARY 125MM 160KG,Muelle primario embrague STM Ø125MM 160KG,87.22,72.08,51.89,OS1125/160,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,341,134,160,142,15,,,,,https://api.mybihr.com/medias/1006102-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg3Nzl8aW1hZ2UvanBlZ3xhREprTDJnd1l5ODRPRGN6TlRjMk1UWTVOVEF5THpFd01EWXhNREl0TVY4NE1EQlhlRGd3TUVnfDJmMzdlYjc5ZDc1NGYzNWZmNWE5NDUwMTRlODVkNGM3MWI0ZmE5MzM0Y2I0ZGQ2Mjk5Y2I3YWE2NjYyNTRiOTg,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005939,126773,FMV-S040,STM,STM CLUTCH SLIPPER,Embrague anti-rebote STM MV AGUSTA 675 F3/BRUTALE 12-,1237.60,1022.81,552.50,FMV-S040,2,8714109090,0,1,"STM slipper clutches can overcome the detrimental effects of engine braking, by means of a system of ball bearings located on inclined ramps between the clutch inner hub and pressure plate. Amongst other things, it permits block downshifting and prevents rear wheel hopping or lock-up.","STM slipper clutches can overcome the detrimental effects of engine braking, by means of a system of ball bearings located on inclined ramps between the clutch inner hub and pressure plate. Amongst other things, it permits block downshifting and prevents rear wheel hopping or lock-up.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2808,1545,167,177,95,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006026,123800,0F3CR540E110013,STM,STM SPAREPARTS NUT,Tuerca central STM para embrague RM-Z450,40.90,33.80,21.45,0F3CR540E110013,3,8714109090,0,1,FOR RM-Z450 CLUTCH,FOR RM-Z450 CLUTCH,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,23,49,51,38,12,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006009,126775,003MG007,STM,STM SPAREPARTS BALL BEARING,Rodamiento a bolas para embrague STM DUCATI,40.90,33.80,24.05,003MG007,4,8714109090,0,1,"STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.","STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,79,23,61,68,19,,,,,https://api.mybihr.com/medias/1006009-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1MjE2fGltYWdlL2pwZWd8YURKaEwyaGpOUzg0T1RRNE9UVTFNalV3TnpFNEx6RXdNRFl3TURrdE1WODRNREJYZURnd01FZ3wwMjhiNzBiYmQ4NzEzYzZiMWFkMGUwNTAzYThlYWQ4NGMwZjMyN2ZkNWYyNzQ3ZTliMWMyNTY0YWE1OWJmYjIw,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006010,126810,003MG008,STM,STM SPAREPARTS WASHER,Arandela tope de muelle para embrague STM 126706,14.69,12.14,8.74,003MG008,3,8714109090,0,1,FOR STM 126706,FOR STM 126706,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,60,48,82,73,10,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006040,126808,0F3MR260H140013,STM,STM SPAREPARTS NUT,Tuerca central STM para embrague Husqvarna 450-510 '08,40.90,33.80,21.45,0F3MR260H140013,3,8714109090,0,1,FOR HVA450-510 '08 CLUTCH,FOR HVA450-510 '08 CLUTCH,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,23,49,51,38,12,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006100,110611,OS1125/140,STM,STM SPRINGS PRIMARY 125MM 140KG,Muelle primario embrague STM Ø125MM 140KG,173.03,143.00,87.75,OS1125/140,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,1793,449,136,128,103,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
