PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Alarma,Altura (mm),Anchura (mm),Color,Diámetro de arco Ø (mm),Diámetro de cable Ø (mm),Diámetro de la cadena Ø (mm),Diámetro de pasador  Ø (mm),Diámetro Ø (mm),Longitud (cm),Longitud (mm),Longitud de cable (mm),Longitud de la cadena (mm),Peso (g),Profundidad (mm),Talla,Tipo,Tipo de antirrobo,Picture1,AllPicturesZIP,DeliveryPlant
1067291,,501JCHROME,SXP LOCK,SXPLO DISC LOCK CHROME LARGE 10MM SHAFT,Candado disco SXP LOCK Cromo - 10mm,23.57,19.48,11.69,6932514402282,1,8301200090,0,1,Beware of theft and secure your motorbike with antitheft devices.,Beware of theft and secure your motorbike with antitheft devices.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,1519,615,238,152,42,,,,"Cromo & ",,,,,,,,,,,,M,,,https://api.mybihr.com/medias/1067291-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzI2OTh8aW1hZ2UvanBlZ3xhR0ZsTDJnMk5pODRPVGMwTkRFeU5qUTBNemd5THpFd05qY3lPVEV0TVY4NE1EQlhlRGd3TUVnfDIwMDU4NTExOGMwMTEwYTUwMmI3MTU1MGI3NDE5YjAxYjNlYjYyYzIxNDczZGE4MzgxMmEwNmEzYjgxYzY3NTY,https://static.bihr.pro/eBihr/Pictures/SXP_LOCK-pictures.zip,Spain Warehouse (Parts)
1067287,,20MA-J-1.5,SXP LOCK,SXPLO CABLE LOCK 1M 50 INTER STEEL 25MM,Candado SXP LOCK - 1m50 Ø 25mm,21.60,17.85,10.71,6932514402275,1,8301200090,0,1,Beware of theft and secure your motorbike with antitheft devices.,Beware of theft and secure your motorbike with antitheft devices.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,6801,1243,352,276,70,,,,"Ahumado & ",,,,,,,,,,,,L,,,https://api.mybihr.com/medias/1067287-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjcxNzJ8aW1hZ2UvanBlZ3xhR1EwTDJnd015ODRPVGMwTkRFeE9EVTNPVFV3THpFd05qY3lPRGN0TVY4NE1EQlhlRGd3TUVnfDUxZDlmNGNlNDE4OWE4Yzc5MmNlYmE5NjE5NTBmMzI3ZjVkNjNiZjczMDQ5OTJjYWVlYTQ3ZTQxOGNmN2Q2Mzg,https://static.bihr.pro/eBihr/Pictures/SXP_LOCK-pictures.zip,Spain Warehouse (Parts)
1067290,,20L-2C-1.5,SXP LOCK,"SXPLO CHAIN LOCK 1M 50 IN STEEL 9,5MM",Candado SXP LOCK - 1m50 Ø9.5mm,39.00,32.23,19.34,6932514402244,0,8301200090,0,1,"<p>Beware of theft and secure your motorbike with antitheft devices.</p>
<p>20L-2C-1.5</p>","
Beware of theft and secure your motorbike with antitheft devices.

20L-2C-1.5",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,6218,3184,329,210,90,,,,"Negro & ",,,,,,,,,,,,L,,,https://api.mybihr.com/medias/1067290-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzAxOTJ8aW1hZ2UvanBlZ3xhR1JrTDJnMVppODRPVGMwTkRFeU5EUTNOemMwTHpFd05qY3lPVEF0TVY4NE1EQlhlRGd3TUVnfDE2YTMzY2M0ZDQzOWZiMzcwMjA1Y2FkYTk5YWU4MjBhYTFkZmI5MzBiOWJlMGNhMGZlY2MwN2RhZDRmZjJkNDg,https://static.bihr.pro/eBihr/Pictures/SXP_LOCK-pictures.zip,Spain Warehouse (Parts)
1067294,,505JCHROME,SXP LOCK,"SXPLO DISC LOCK CHROME SMALL 5,5MM SHAFT",Candado disco SXP LOCK Cromo - 5.5mm,17.40,14.38,8.63,6932514402312,0,8301200090,0,1,Beware of theft and secure your motorbike with antitheft devices.,Beware of theft and secure your motorbike with antitheft devices.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,1552,407,240,154,42,,,,"Cromo & ",,,,,,,,,,,,,,,https://api.mybihr.com/medias/1067294-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzI2OTh8aW1hZ2UvanBlZ3xhR0kzTDJoak1pODRPVGMwTkRFek1qTTBNakEyTHpFd05qY3lPVFF0TVY4NE1EQlhlRGd3TUVnfDVkOTM4MjIyMzE2MWU5Yjk1ZDQ2N2Y3YjE2YmMyZjVkYjhjMmZiMzU3NDM4Zjk3OTNlMmZhOWU2NjE0NzE4YzQ,https://static.bihr.pro/eBihr/Pictures/SXP_LOCK-pictures.zip,Spain Warehouse (Parts)
1067295,,505JRED,SXP LOCK,"SXPLO DISC LOCK RED SMALL 5,5MM SHAFT",Candado disco SXP LOCK Rojo - 5.5mm,17.40,14.38,8.63,6932514402336,0,8301200090,0,1,Beware of theft and secure your motorbike with antitheft devices.,Beware of theft and secure your motorbike with antitheft devices.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,1642,404,240,152,45,,,,"Rojo & ",,,,,,,,,,,,,,,https://api.mybihr.com/medias/1067295-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzI2OTh8aW1hZ2UvanBlZ3xhRGczTDJoak9TODRPVGMwTkRFek5ETXdPREUwTHpFd05qY3lPVFV0TVY4NE1EQlhlRGd3TUVnfDM2OTE4MDMyNGU5MGNiYTZjNTA1NjE3YjExYjRkODNhZWI2OWNhMmIzNmU1ZGM0YWZkNTdjY2FlMTE5ZmY3MzI,https://static.bihr.pro/eBihr/Pictures/SXP_LOCK-pictures.zip,Spain Warehouse (Parts)
1067296,,505JYELLOW,SXP LOCK,"SXPLO DISC LOCK YELLOW SMALL 5,5MM SHAFT",Candado disco SXP LOCK Amarillo - 5.5mm,17.40,14.38,8.63,6932514402329,0,8301200090,0,1,Beware of theft and secure your motorbike with antitheft devices.,Beware of theft and secure your motorbike with antitheft devices.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,1656,411,239,154,45,,,,"Amarillo & ",,,,,,,,,,,,,,,https://api.mybihr.com/medias/1067296-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzI2OTh8aW1hZ2UvanBlZ3xhRFExTDJoa01DODRPVGMwTkRFek5qSTNOREl5THpFd05qY3lPVFl0TVY4NE1EQlhlRGd3TUVnfDk3MDRjZTkyYjI0NDU3ZTE3Yjc4NWE5NzE3Y2JkMTZhMDliYWRiNTQ4NTM2MTg5ODFjMWI5ZjJjMTRjYWRhZjQ,https://static.bihr.pro/eBihr/Pictures/SXP_LOCK-pictures.zip,Spain Warehouse (Parts)
1067298,,20MA-J-1,SXP LOCK,SXPLO CABLE LOCK 1M INTER STEEL 25MM,Candado SXP LOCK - 1m Ø 25mm,18.39,15.20,9.12,6932514402251,2,8301200090,0,1,Beware of theft and secure your motorbike with antitheft devices.,Beware of theft and secure your motorbike with antitheft devices.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,6692,888,433,281,55,,,,"Ahumado & ",,,,,,,,,,,,M,,,https://api.mybihr.com/medias/1067298-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjcxNzJ8aW1hZ2UvanBlZ3xhRFpsTDJoa1lTODRPVGMwTkRFME1ESXdOak00THpFd05qY3lPVGd0TVY4NE1EQlhlRGd3TUVnfGM5ZDk1ODE0OWMzMmJlNGM3YWM0NWYwNDAwNGVjNGM3MzY4ZDhkYWMyMTI0NzFmMTE2Yzg5Y2M4YTQzOWRkODU,https://static.bihr.pro/eBihr/Pictures/SXP_LOCK-pictures.zip,Spain Warehouse (Parts)
1067288,,20L-2C-1,SXP LOCK,"SXPLO CHAIN LOCK 1M IN STEEL 9,5MM",Candado SXP LOCK - 1m Ø 9.5mm,32.83,27.13,16.28,6932514402220,0,8301200090,0,1,"<p>Beware of theft and secure your motorbike with antitheft devices.</p>
<p>20L-2C-1</p>","
Beware of theft and secure your motorbike with antitheft devices.

20L-2C-1",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,5469,2234,259,205,103,,,,"Negro & ",,,,,,,,,,,,M,,,https://api.mybihr.com/medias/1067288-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzAxOTJ8aW1hZ2UvanBlZ3xhREJrTDJneFpTODVNREV6TVRjMk5qTXhNekkyTHpFd05qY3lPRGd0TVY4NE1EQlhlRGd3TUVnfDU5OWZiOTI2ZGE3MTcxMDY5MzkxNDRiMjc0YmZmODcwODkzZmI4MjU4YWU5ZTFiMDA0MzQ0YTNiYzlmNDQ0M2I,https://static.bihr.pro/eBihr/Pictures/SXP_LOCK-pictures.zip,Spain Warehouse (Parts)
1067289,,20L-2C-1.2,SXP LOCK,"SXPLO CHAIN LOCK 1M 20 IN STEEL 9,5MM",Candado SXP LOCK - 1m20 Ø9.5mm,35.91,29.68,17.81,6932514402237,1,8301200090,0,1,Beware of theft and secure your motorbike with antitheft devices.,Beware of theft and secure your motorbike with antitheft devices.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,5141,2645,282,177,103,,,,"Negro & ",,,,,,,,,,,,M,,,https://api.mybihr.com/medias/1067289-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzAxOTJ8aW1hZ2UvanBlZ3xhRFV4TDJneE55ODVNREV6TVRjMk9ESTNPVE0wTHpFd05qY3lPRGt0TVY4NE1EQlhlRGd3TUVnfDEyMTQ3NmYyMDg1NTllYTQxNDEyNDJlYjE1OGM4N2ExNTA1ODQwYTY0OTNkNDk2NzlhNTc1NTZiMmJkN2VjNzE,https://static.bihr.pro/eBihr/Pictures/SXP_LOCK-pictures.zip,Spain Warehouse (Parts)
1067292,,501JRED,SXP LOCK,SXPLO DISC LOCK RED LARGE 10MM SHAFT,Candado disco SXP LOCK Rojo - 10mm,23.57,19.48,11.69,6932514402305,5,8301200090,0,1,Beware of theft and secure your motorbike with antitheft devices.,Beware of theft and secure your motorbike with antitheft devices.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,1648,570,241,152,45,,,,"Rojo & ",,,,,,,,,,,,M,,,https://api.mybihr.com/medias/1067292-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzI2OTh8aW1hZ2UvanBlZ3xhREpoTDJnek55ODVNREV6TVRjM01ESTBOVFF5THpFd05qY3lPVEl0TVY4NE1EQlhlRGd3TUVnfDM0MmE1NDA4MWY0ODMwY2E1ODE0MDlmOTUzOTMzNDI0ZTIzM2RjOTA1MzlmYjg5MmRlNzFmNzU1YTFhNjBmOWQ,https://static.bihr.pro/eBihr/Pictures/SXP_LOCK-pictures.zip,Spain Warehouse (Parts)
