PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (mm),Anchura (mm),Anchura de la zona de sujeción (mm),Apertura (mm),Barra transversal,Color,Composición,Diámetro Ø (mm),Elevación de manillar (mm),Gama,Longitud de control (mm),Picture1,Picture2,Picture3,AllPicturesZIP,Document1,DeliveryPlant
1025681,83472,3218.96.04-00,TOMMASELLI,TOMMA SPAREPARTS THROTTLE CABLE,Cable de gas para acelerador Domino KRE03 Honda 3218.96,66.55,55.00,33.00,8430525834729,1,8714109090,0,1,<p>Domino and Tommaselli cables can be used to recondition throttle and lever kits to the same standard of reliability as new parts.</p><ul><li>Set of throttle/return cables</li><li>Specific to 872285 and 872286</li></ul>,"
Domino and Tommaselli cables can be used to recondition throttle and lever kits to the same standard of reliability as new parts.Set of throttle/return cablesSpecific to 872285 and 872286",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,3516,317,322,210,52,,,,,,,,,,,,https://api.mybihr.com/medias/1025681-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTIyMDB8aW1hZ2UvanBlZ3xhR1F3TDJoaU1TODRPVFE1TVRNM09ETTBNREUwTHpFd01qVTJPREV0TVY4NE1EQlhlRGd3TUVnfDZlNjY1NjE5ZjczNDgwYWU5MDM1ZTk1ZjdhNTU5NDA3MWU0NjA5NzQ3M2RkYjdjM2Q5NDc2YWViZWFkODM5NmY,,,https://static.bihr.pro/eBihr/Pictures/TOMMASELLI-pictures.zip,,Spain Warehouse (Parts)
1106537,,97.4081.13-00,TOMMASELLI,TOMMA KIT COMPLETE DQS 97.4081.13-00,Kit de cambio rápido TOMMASELLI Racing - Ducati Panigale V4,572.49,473.13,331.19,8033900012721,0,8714109090,0,1,"<p>Complete Sensor Kit with Rod</p>
<p><strong>Racing Use</strong></p>
<ul>
	<li>Sensor Body Material:&nbsp;Anticorodal</li>
	<li>Threaded Pin Material:&nbsp;Stainless Steel</li>
	<li>Strut Material:&nbsp;Aluminium</li>
	<li>Finish:&nbsp;Anodized with lasered Domino logo</li>
	<li>Colour:&nbsp;Black</li>
	<li>UP/DOWN Stroke:&nbsp;1.8 mm</li>
	<li>Lever Side Fixing:&nbsp;Uniball 6 mm hole</li>
	<li>Electrical Connector:&nbsp;Plug &amp; Play for Panigale V4</li>
	<li>Axial Length:&nbsp;83 mm (pin not included)</li>
	<li>Gear Lever Side Fixing:&nbsp;Uniball male head M6 hole motorsport quality</li>
</ul>
","
Complete Sensor Kit with Rod

Racing Use

	Sensor Body Material: Anticorodal
	Threaded Pin Material: Stainless Steel
	Strut Material: Aluminium
	Finish: Anodized with lasered Domino logo
	Colour: Black
	UP/DOWN Stroke: 1.8 mm
	Lever Side Fixing: Uniball 6 mm hole
	Electrical Connector: Plug & Play for Panigale V4
	Axial Length: 83 mm (pin not included)
	Gear Lever Side Fixing: Uniball male head M6 hole motorsport quality

",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,5218,415,260,173,116,,,,,,,,,,,,https://api.mybihr.com/medias/1106537-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODU1NjN8aW1hZ2UvanBlZ3xhRGRqTDJobVlpOHhNakUwTVRreU9ESXhPRFkxTkM4eE1UQTJOVE0zTFRGZk9EQXdWM2c0TURCSXw4NjVlZjgzNjQ5OTY0YzFiZDdjNGQyZjY2YTExMDM3ODBkOTgyNzcyN2UzNDc3ZmNiY2U2ZGZlMjczMTMxMjcy,,,https://static.bihr.pro/eBihr/Pictures/TOMMASELLI-pictures.zip,,Spain Warehouse (Parts)
1106538,,97.4087.13-00,TOMMASELLI,TOMMA KIT COMPLETE DQS 97.4087.13-00,Kit de cambio rápido TOMMASELLI Racing - Ducati Panigale V2,572.49,473.13,331.19,8033900000940,0,8714109090,0,1,"<p>Complete Sensor Kit with Rod</p>
<p>Racing Use</p>
<ul>
	<li>Sensor Body Material:&nbsp;AnticGoldendal Aluminium</li>
	<li>Threaded Pin Material:&nbsp;Stainless Steel</li>
	<li>Strut Material:&nbsp;Aluminium</li>
	<li>Finish:&nbsp;Anodized with lasered Domino logo</li>
	<li>Colour:&nbsp;Black</li>
	<li>UP/DOWN Stroke:&nbsp;1,8 mm</li>
	<li>Lever Side Fixing:&nbsp;Uniball 6 mm hole</li>
	<li>Electrical Connector:&nbsp;Plug &amp; Play for Panigale V2</li>
	<li>Axial Length:&nbsp;83 mm (pin not included)</li>
	<li>Gear Lever Side Fixing:&nbsp;Uniball male head M6 hole motorsport quality</li>
</ul>
","
Complete Sensor Kit with Rod

Racing Use

	Sensor Body Material: AnticGoldendal Aluminium
	Threaded Pin Material: Stainless Steel
	Strut Material: Aluminium
	Finish: Anodized with lasered Domino logo
	Colour: Black
	UP/DOWN Stroke: 1,8 mm
	Lever Side Fixing: Uniball 6 mm hole
	Electrical Connector: Plug & Play for Panigale V2
	Axial Length: 83 mm (pin not included)
	Gear Lever Side Fixing: Uniball male head M6 hole motorsport quality

",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,5296,477,261,178,114,,,,,,,,,,,,https://api.mybihr.com/medias/1106538-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODU1NjN8aW1hZ2UvanBlZ3xhRFUyTDJoaFpDOHhNakUwTVRrek1qQXhPVGMwTWk4eE1UQTJOVE00TFRGZk9EQXdWM2c0TURCSXw2ZmJlOTc2NTE0NmZlMTMzZmFlNzFmOTEzZDA5NDAzZDdjYmQxNmFlMDNmMzllMGY1Nzc5YTE0YmZhMDA3ZDg0,,,https://static.bihr.pro/eBihr/Pictures/TOMMASELLI-pictures.zip,,Spain Warehouse (Parts)
1091536,,0139.32.14.04-1,TOMMASELLI,TOMMA HANDLEBAR VINTAGE ALU 22,Manillar TOMMASELLI Enduro Vintage,72.60,60.00,36.00,8033900000070,0,8714991090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Self-hardening aluminium handlebar</li><li>Vintage series with orange cross bar</li><li>Used for motorcycles from the 70s and 80s</li></ul> </body> </html>","        Self-hardening aluminium handlebarVintage series with orange cross barUsed for motorcycles from the 70s and 80s  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,22810,905,200,792,144,,,,,,"Naranja & Plata & ","Aluminio & ",,,,,https://api.mybihr.com/medias/1091536-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzk1MjB8aW1hZ2UvanBlZ3xhR1ZpTDJnNFppODRPVFF4T1RRM016SXlNems0THpFd09URTFNell0TVY4NE1EQlhlRGd3TUVnfDI3NTZjYTgzMTc5MTMzMjg3M2ZiY2IzYmRlYTgyYWNhYzNkMDI1Yjk1ZmMzYzcwYjhkY2FkODA1ZWU1Y2NkNWQ,https://api.mybihr.com/medias/1091536-2-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg1MTR8aW1hZ2UvanBlZ3xhREpsTDJnNE9TODRPVFF4T1RRM05URTVNREEyTHpFd09URTFNell0TWw4NE1EQlhlRGd3TUVnfGQ1NWQxNDM0NjYwYmVhYjZmNDgwZTQ4MGJlOTIyNmJjYjYzMzQxMTZlODQ3NTBhZjlhZDQxMWNkNDYyOTBkNzU,,https://static.bihr.pro/eBihr/Pictures/TOMMASELLI-pictures.zip,https://api.mybihr.com/medias/0014-69-0.pdf?context=bWFzdGVyfGRvY3VtZW50c3wxNDk5MTR8YXBwbGljYXRpb24vcGRmfGFHTTJMMmd3Tnk4NU1EUXpOVGc1TkRNeE16STJMekF3TVRRdE5qa3RNQXxmOWZjNWQ4NGE5OWYwZDIzZGY1M2UxNjY4ZDExNTRiNjJlYjBlYzUyNGE2YjMzNzk5NjlhZmE0ODdiMGMzZGJj,Spain Warehouse (Parts)
1055649,83518,2843.07,TOMMASELLI,TOMMA STARTER COMMAND FOR HANDLEBAR,Mando de aire para manilllar 2843.07,14.82,12.25,7.35,8430525835184,6,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,482,40,112,86,50,,,,,,,,,,,,https://api.mybihr.com/medias/1055649-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ2NzJ8aW1hZ2UvanBlZ3xhR0ZoTDJnM1l5ODRPVGN5TURZNE5qRTRNamN3THpFd05UVTJORGt0TVY4NE1EQlhlRGd3TUVnfDhkNzA2N2ZlMDBjNmZiNTM2YmYyM2Y0Y2NkNDc5M2E4YjU2ZTY0NTk3MjgzNDk1OTAzOWQ2OTdhMmM0MjEyOTE,,,https://static.bihr.pro/eBihr/Pictures/TOMMASELLI-pictures.zip,,Spain Warehouse (Parts)
1081553001,873403,0290.31.60.04,TOMMASELLI,"TOMMA HANDLEBAR TOURISM, CHR",Manillar Tommaselli Turismo Cromado Acero,67.76,56.00,33.60,8033900010321,10,8714991090,0,1,"In steel, medium waist.","In steel, medium waist.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Cromo,11560,987,850,170,80,,,,,,"Cromo & ","Acero & ",,,,,https://api.mybihr.com/medias/800Wx800H-1081553001-1.jpeg?context=bWFzdGVyfHJvb3R8MTgzMzJ8aW1hZ2UvanBlZ3xhREEyTDJnd05pODJOalUxTWpVNU5EQTNNVFU0TWk4NE1EQlhlRGd3TUVoZk1UQTRNVFUxTXpBd01TMHhMbXB3WldjfGRjMWE5MTRlM2JlZTViOWMyZTQ4MjdiZWYyNGNkZjE3ODllNDg0MTVmMWQxNjFhZTFjN2NhODMyZGMwNTJkNTE,https://api.mybihr.com/medias/800Wx800H-1081553001-2.jpeg?context=bWFzdGVyfHJvb3R8MTcwNjV8aW1hZ2UvanBlZ3xhR000TDJnd015ODJOalUxTWpVNU5ETXpNemN5Tmk4NE1EQlhlRGd3TUVoZk1UQTRNVFUxTXpBd01TMHlMbXB3WldjfDM4OTVjNGYwNjhkNDE0NDA2OWI5NDA5MDEwZWRjMTkyMWVkYTc5OWIxNjEzNzI3MWM5MzQxMGQyOWExNWNjYTY,,https://static.bihr.pro/eBihr/Pictures/TOMMASELLI-pictures.zip,,Spain Warehouse (Parts)
1081546001,873405,0226.31.60.04,TOMMASELLI,"TOMMA HANDLEBAR TOURISM, CHR",Manillar Tommaselli Turismo Cromado Acero,64.13,53.00,31.80,8033900009301,1,8714991090,0,1,"In steel, flat.","In steel, flat.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Cromo,1314,744,695,90,21,,,,,,"Cromo & ","Acero & ",,,,,https://api.mybihr.com/medias/1081546001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjMzOTU3fGltYWdlL2pwZWd8YURsbUwyZzRZaTg0T1RjM05UUTVNVE14T0RBMkx6RXdPREUxTkRZd01ERXRNVjg0TURCWGVEZ3dNRWd8MGQ3NGI4MDRjMjQ0NDc4NDdhN2Y2NmYzOTI1ODI4MDVjZDg3MjMyYzQxNmExZjE4NzA5NzMzM2ZmNzQ1Yjg3YQ,,,https://static.bihr.pro/eBihr/Pictures/TOMMASELLI-pictures.zip,,Spain Warehouse (Parts)
1081528001,873357,0144.41.32.06,TOMMASELLI,"TOMMA HANDLEBAR 32MM, SIL",Semimanillares TOMMASELLI Ø32 mm - Regulables,272.25,225.00,135.00,8033900007581,1,8714991090,0,1,"In moulded aluminium, sold in pairs.","In moulded aluminium, sold in pairs.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Plata,3561,1114,317,144,78,,,,,,"Plata & ","Aluminio & ",,,,,https://api.mybihr.com/medias/1081528001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTYyOTB8aW1hZ2UvanBlZ3xhR1kzTDJoaU5DODRPVGMzTlRRMk1EVXhOakUwTHpFd09ERTFNamd3TURFdE1WODRNREJYZURnd01FZ3wwNWE0YTEwZGJhNGQyZThkYmJlNGQyNzg2Zjg4MWM1ZjUxNjhhODlhYThlZWU3MjUyZWQ1ODBjZjJhZDYxNzQw,,,https://static.bihr.pro/eBihr/Pictures/TOMMASELLI-pictures.zip,,Spain Warehouse (Parts)
1081549001,873401,0247.31.60.04,TOMMASELLI,"TOMMA HANDLEBAR CONDOR, CHR",Manillar Tommaselli CONDOR Acero,118.58,98.00,58.80,8033900009912,2,8714991090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Cromo,12967,998,633,241,85,,,,,,"Cromo & ","Acero & ",,,,,https://api.mybihr.com/medias/1081549001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc2Nzh8aW1hZ2UvanBlZ3xhRE16TDJnMU5pODRPVGMzTlRVd016RXhORFUwTHpFd09ERTFORGt3TURFdE1WODRNREJYZURnd01FZ3xmODFhNTViNmI2MzI3Y2RmM2M1Mjg3ZTY1MDNhZDY2YTQyZGEwNzA4NTYzYmY0Y2RiMzIyNTE2ODY4NTAyNTdi,,,https://static.bihr.pro/eBihr/Pictures/TOMMASELLI-pictures.zip,,Spain Warehouse (Parts)
1081557001,873489,0460.94.10.04-0,TOMMASELLI,"TOMMA HANDLEBAR HRN Ø28,6, BLK",Manillar TOMASELLI HRN diámetro variable alumino - Alto,121.00,100.00,60.00,8033900032118,3,8714991090,0,1,"<p>MANILLAR DI&Aacute;METRO VARIABLE HRN DE ERGAL PLIEGUE ALTO NEGRO</p>
<p>Manillar Domino HRN (Handlebar Racing Naked)</p>
<ul>
<li><strong>Embalaje</strong>:&nbsp;Bolsa</li>
<li><strong>Material</strong>:&nbsp;Aluminio ergal 7075</li>
<li><strong>Acabado</strong>:&nbsp;Anodizado</li>
<li><strong>Color</strong>:&nbsp;Negro</li>
<li><strong>Longitud</strong>:&nbsp;A - 800 mm</li>
<li><strong>Altura</strong>:&nbsp;C - 118 mm</li>
<li><strong>Longitud central</strong>:&nbsp;B - 133 mm</li>
<li><strong>Di&aacute;metro</strong>:&nbsp;F - 28,5 mm</li>
<li><strong>Prominencia</strong>:&nbsp;D - 90 mm</li>
<li><strong>Di&aacute;metro del mango</strong>:&nbsp;G - 22 mm</li>
<li><strong>Longitud de la manija</strong>:&nbsp;E - 190 mm</li>
</ul>","
MANILLAR DIÁMETRO VARIABLE HRN DE ERGAL PLIEGUE ALTO NEGRO

Manillar Domino HRN (Handlebar Racing Naked)

Embalaje: Bolsa
Material: Aluminio ergal 7075
Acabado: Anodizado
Color: Negro
Longitud: A - 800 mm
Altura: C - 118 mm
Longitud central: B - 133 mm
Diámetro: F - 28,5 mm
Prominencia: D - 90 mm
Diámetro del mango: G - 22 mm
Longitud de la manija: E - 190 mm
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,8376,663,808,142,73,,,,,,"Negro & ","Aluminio & ",,,,,https://api.mybihr.com/medias/800Wx800H-1081557001-1.jpg?context=bWFzdGVyfHJvb3R8MjU0OTZ8aW1hZ2UvanBlZ3xhR0kxTDJobVpTODJOekEyTlRBME1EWTJOalkxTkM4NE1EQlhlRGd3TUVoZk1UQTRNVFUxTnpBd01TMHhMbXB3Wnd8NjRkYjJjNzJjNmM1YTYwZjM2OTY0NGRhN2EzY2M5OTBlMGE3ZGFiYmJiNDdjOTk3NTg1YmY1YjBiMWQ5YWE0NA,,,https://static.bihr.pro/eBihr/Pictures/TOMMASELLI-pictures.zip,,Spain Warehouse (Parts)
