PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Diámetro de pistón,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (mm),Color,Composición,Compresión de pistón,Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Embalaje,Especificaciones,Espesor (mm),Nº de segmentos,Sobremedida,Tipo de motor,Tipo de pistón,Tolerancia,Voltaje,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,Document2,DeliveryPlant
1018462,TP9914270,9914270,TOP PERFORMANCES,TOPPE GASKET TOP ENGINE,Kit de juntas parte alta TOP PERFORMANCES PIAGGIO (agua),8.49,7.02,4.21,9914270,7,8484900090,0,1,<p>Juego de junta para cilindros 9916580 y 9931270.</p>,"
Juego de junta para cilindros 9916580 y 9931270.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,206,17,127,108,15,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1018462-1.jpg?context=bWFzdGVyfHJvb3R8NTc4NTN8aW1hZ2UvanBlZ3xhREEyTDJoa01DODROVEEwTkRVMU1EY3lPVGMxT0M4NE1EQlhlRGd3TUVoZk1UQXhPRFEyTWkweExtcHdad3w5OWE1MjA1ODk0N2Y1OGZkYmQzNDNlMzc2NTM5ODdjZmVmMDU2YjVlZDExNzBmMzgyMDA5MWQyYmY3NDg2YTI3,,,,https://static.bihr.pro/eBihr/Pictures/TOP_PERFORMANCES-pictures.zip,,,Spain Warehouse (Parts)
1018464,TP9915900,9915900,TOP PERFORMANCES,TOPPE GASKET TOP ENGINE,Kit de juntas parte alta TOP PERFORMANCES cilindro con culata TOP PERFORMANCES MINARELLI HORIZONTAL (aire),3.94,3.26,1.96,9915900,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,164,10,129,106,12,,,,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/TOP_PERFORMANCES-pictures.zip,,,Spain Warehouse (Parts)
1018484,TPKK01002,KK01002,TOP PERFORMANCES,TOPPE SEALING CRANKSHAFT SET,Kit rodamientos y retenes de cigüeñal TOP PERFORMANCES motor Minarelli,32.50,26.86,16.12,KK01002,5,8482109090,0,1,"<p>Composición del kit:</p>
<p>&nbsp;</p>
<ul>
	<li>Rodamientos de cigüeñal (X2) con medidas 20x47x14</li>
	<li>Un reten con medidas 20x30x7</li>
	<li>Un reten con medidas 20x42x7</li>
</ul>
","
Composición del kit:

 

	Rodamientos de cigüeñal (X2) con medidas 20x47x14
	Un reten con medidas 20x30x7
	Un reten con medidas 20x42x7

",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,507,245,207,144,17,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1018484-1.jpg?context=bWFzdGVyfHJvb3R8MjU2MjN8aW1hZ2UvanBlZ3xhR0UzTDJobE5TODBPRFl5TnpZM056TTVOekF5TWk4NE1EQlhlRGd3TUVoZk1UQXhPRFE0TkMweExtcHdad3w5NmVhNWZlNWYzZTJmYmZkZWI3OWU1OTc4MjcxYzE1YzMzNTExZDU2ZTA3ZmM2NDI1YmU4MWNlZmFiN2UzOTc3,,,,https://static.bihr.pro/eBihr/Pictures/TOP_PERFORMANCES-pictures.zip,,,Spain Warehouse (Parts)
1018485,TPKK01003,KK01003,TOP PERFORMANCES,TOPPE SEALING CRANKSHAFT SET,Kit rodamientos y retenes de cigüeñal TOP PERFORMANCES motor Piaggio,34.50,28.51,17.11,KK01003,16,8482109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,449,307,208,144,15,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1018485-1.JPG?context=bWFzdGVyfHJvb3R8MTk2OTEyfGltYWdlL2pwZWd8YUdWaEwyaGlOUzgwT1RNek56QXdOekUwTkRrNU1DODRNREJYZURnd01FaGZNVEF4T0RRNE5TMHhMa3BRUnd8ODJhNjc0NDM4ZjRjMzlmNzNlN2U2MWQ0ZmU1ZTBjZTIzYTNhZjcxYTJhMjEwMmNlMzUyMjU0NzBkMzg4YzczYg,,,,https://static.bihr.pro/eBihr/Pictures/TOP_PERFORMANCES-pictures.zip,,,Spain Warehouse (Parts)
1018486,TPKK01005,KK01005,TOP PERFORMANCES,TOPPE SEALING CRANKSHAFT SET,Kit rodamientos y retenes de cigüeñal TOP PERFORMANCES,39.99,33.05,19.83,KK01005,0,8482109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,445,305,206,144,15,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1018486-1.jpg?context=bWFzdGVyfHJvb3R8ODE5Nzd8aW1hZ2UvanBlZ3xhR0ZoTDJnME5DODVPRGt3Tmpjd09ERXhOVFE0Tmk4NE1EQlhlRGd3TUVoZk1UQXhPRFE0TmkweExtcHdad3w4MTRjNjNkMzgyZGIyMTgwMDhjM2NkNDVmYTEzY2E0ZjQ2MGNiZTY2ODBjODFmODkyYWE1Zjk1MjgzNWQwNDk5,https://api.mybihr.com/medias/800Wx800H-1018486-2.jpg?context=bWFzdGVyfHJvb3R8MTUxODExfGltYWdlL2pwZWd8YURKakwyZ3paQzg1T0Rrd05qY3dPRE0zTnpZek1DODRNREJYZURnd01FaGZNVEF4T0RRNE5pMHlMbXB3Wnd8NTViOGZlZGUwZjk4ZjNiODkyMTMwMjA4NmQwNDVhOGZiNWUwOGMxMDNlOTNkZTgxYTZkYWU2ZmQxMTkxZjM2Yw,,,https://static.bihr.pro/eBihr/Pictures/TOP_PERFORMANCES-pictures.zip,,,Spain Warehouse (Parts)
1018483,TPKK01001,KK01001,TOP PERFORMANCES,TOPPE SEALING CRANKSHAFT SET,Kit rodamientos y retenes de cigüeñal TOP PERFORMANCES motor Minarelli AM6,34.00,28.10,16.86,KK01001,32,8482109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,520,255,208,147,17,,,,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/TOP_PERFORMANCES-pictures.zip,,,Spain Warehouse (Parts)
1018489,TPKK01008,KK01008,TOP PERFORMANCES,TOPPE SEALING CRANKSHAFT SET,Kit rodamientos y retenes de cigüeñal TOP PERFORMANCES,32.00,26.45,15.87,KK01008,10,8482109090,0,1,"<p><strong>Rodamientos y retenes de cigüeñal para motores Derbi (D50B) Euro 2, Euro 3 y Euro 4</strong></p>
<ul>
	<li>Se incluyen todos los rodamientos y retenes necesarios para ajustar el cigüeñal</li>
	<li>Calidad OEM</li>
	<li>Contiene: 2 Rodamientos SKF <strong>6204 TN9/C3</strong> y dos retenes azules <strong>20 X 35 X 7 mm</strong></li>
</ul>
","
Rodamientos y retenes de cigüeñal para motores Derbi (D50B) Euro 2, Euro 3 y Euro 4

	Se incluyen todos los rodamientos y retenes necesarios para ajustar el cigüeñal
	Calidad OEM
	Contiene: 2 Rodamientos SKF 6204 TN9/C3 y dos retenes azules 20 X 35 X 7 mm

",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,602,250,209,144,20,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1018489-1.jpg?context=bWFzdGVyfHJvb3R8NjIxMzd8aW1hZ2UvanBlZ3xhRGd3TDJoa1lTODRORFl6TURnd056TTNPVGs1T0M4NE1EQlhlRGd3TUVoZk1UQXhPRFE0T1MweExtcHdad3xmYzNlNTQ2NWE2YjU5ODQ5NjQxOTM1ZDAyYjVjYTc4YWRkM2EzMmRmODZlNDU3NWEwODA3ZGRmMTE0NzQzYTZk,,,,https://static.bihr.pro/eBihr/Pictures/TOP_PERFORMANCES-pictures.zip,,,Spain Warehouse (Parts)
1018463,TP9915630,9915630,TOP PERFORMANCES,TOPPE GASKET TOP ENGINE,Kit de juntas parte alta TOP PERFORMANCES Minarelli AM6 hierro,8.49,7.02,4.21,9915630,0,8484900090,0,1,"<p><em><strong>Replacement gaskets for TOP PERFORMANCE upper engine, for original MINARELLI AM6 upper engine, see reference 1002265</strong></em></p>","
Replacement gaskets for TOP PERFORMANCE upper engine, for original MINARELLI AM6 upper engine, see reference 1002265",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,117,17,120,108,9,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1018463-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgzOTh8aW1hZ2UvanBlZ3xhRGM1TDJnNE9TODRPRGN6T0RJMk1USXpPREEyTHpFd01UZzBOak10TVY4NE1EQlhlRGd3TUVnfDRlZWRlY2FmMWZkZjI0YTUzZGEzOGRkNzQ2ZDc4NTBiNTcxYzdkZmRiYzkzNDA4MTMyNTY0MDg4Zjg3YzNmNDI,,,,https://static.bihr.pro/eBihr/Pictures/TOP_PERFORMANCES-pictures.zip,,,Spain Warehouse (Parts)
1018466,TP9916530,9916530,TOP PERFORMANCES,TOPPE GASKET TOP ENGINE,Kit de juntas parte alta TOP PERFORMANCES cilindro con culata TOP PERFORMANCES MINARELLI VERTICAL (aire),3.94,3.26,1.96,9916530,6,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,97,10,127,109,7,,,,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/TOP_PERFORMANCES-pictures.zip,,,Spain Warehouse (Parts)
1018468,TP9922020,9922020,TOP PERFORMANCES,TOPPE GASKET TOP ENGINE,Kit de juntas parte alta TOP PERFORMANCES DERBI SENDA '96-05,12.50,10.33,6.20,9922020,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,93,20,129,103,7,,,,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/TOP_PERFORMANCES-pictures.zip,,,Spain Warehouse (Parts)
