PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Capacidad (ml/l),Color,Especificaciones,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,DeliveryPlant
1153455,,SPOUTADAP,TUFFJUG,TUFFJ CAP SPOUT ADAPTER,TUFF JUG Spout Adapter for Small Tank Openings,8.98,7.42,5.57,,0,3926909790,0,1,"<p>Adaptador roscado para la boquilla Auto-Stop de TUFF JUG, diseñado para bocas de llenado de pequeño diámetro: vehículos modernos (incluidos sistemas sin tapón), motosierras, cortacéspedes y equipos de jardín.</p>
<ul>
	<li><strong>Compatibilidad amplia</strong> — apto para cualquier orificio de llenado de al menos 20 mm (0,8"") y compatible con los tres tamaños de bidón TUFF JUG</li>
	<li><strong>Estanqueidad garantizada</strong> — juntas tóricas de Viton integradas, conexión sin fugas</li>
	<li><strong>Fijación roscada</strong> — se atornilla directamente sobre la boquilla Auto-Stop, sin herramientas</li>
	<li><strong>Construcción resistente</strong> — apta para combustibles y fluidos de uso común</li>
	<li><strong>Nota caudal</strong> — el caudal es inferior al de la boquilla estándar; la instalación de un respiradero externo mejora considerablemente la velocidad de llenado</li>
</ul>
","
Adaptador roscado para la boquilla Auto-Stop de TUFF JUG, diseñado para bocas de llenado de pequeño diámetro: vehículos modernos (incluidos sistemas sin tapón), motosierras, cortacéspedes y equipos de jardín.

	Compatibilidad amplia — apto para cualquier orificio de llenado de al menos 20 mm (0,8"") y compatible con los tres tamaños de bidón TUFF JUG
	Estanqueidad garantizada — juntas tóricas de Viton integradas, conexión sin fugas
	Fijación roscada — se atornilla directamente sobre la boquilla Auto-Stop, sin herramientas
	Construcción resistente — apta para combustibles y fluidos de uso común
	Nota caudal — el caudal es inferior al de la boquilla estándar; la instalación de un respiradero externo mejora considerablemente la velocidad de llenado

",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,1,1,10,10,10,,,,https://api.mybihr.com/medias/800Wx800H-1153455-2.jpg?context=bWFzdGVyfHJvb3R8MTMwNzI3fGltYWdlL2pwZWd8YUdSaEwyZ3hPUzh4TURNd01EYzBORGd6T1RrNU1ESXZPREF3VjNnNE1EQklYekV4TlRNME5UVXRNaTVxY0djfDU1YWU0NzRhNTY2MWZlMTYwODY1Mjk0ZGQ5YTRlNDdmOTE0MjRiNTJmNDA2MGJiODZjZmMxMzJkNDMzNTEyNzc,https://api.mybihr.com/medias/800Wx800H-1153455-3.jpg?context=bWFzdGVyfHJvb3R8MTI3OTI3fGltYWdlL2pwZWd8YURkaUwyZ3lOeTh4TURNd01EYzBORGczT1RNeE1UZ3ZPREF3VjNnNE1EQklYekV4TlRNME5UVXRNeTVxY0djfDA0MWQyMmJiYjhlYjNiODMwZTQ3MDg3YzhhMGZkMTlhZWMxNjhkOTRmNzZkOGZkNmU4ODhlZDMxN2MyOTIyZDA,https://api.mybihr.com/medias/800Wx800H-1153455-4.jpg?context=bWFzdGVyfHJvb3R8MTczNzUyfGltYWdlL2pwZWd8YUdJMEwyZzNZeTh4TURNd01EYzBORGt4T0RZek16UXZPREF3VjNnNE1EQklYekV4TlRNME5UVXROQzVxY0djfDdlZTkwMTA3YWIwYjljMjU1YjE2ODk5MGUzZjg0YTg2YzcwYTA1MjM1OTIyNzAyNTAyNjU5ODA0YzAyYTRjOWE,https://api.mybihr.com/medias/800Wx800H-1153455-5.jpg?context=bWFzdGVyfHJvb3R8MTIyODA5fGltYWdlL2pwZWd8YURReEwyZzRZUzh4TURNd01EYzBORGsxTnprMU5UQXZPREF3VjNnNE1EQklYekV4TlRNME5UVXROUzVxY0djfDZjOGFjYjU3OGNiYzU3YjUyODU5MjliMzU0OWI5NDE4ZGZjMGEwNDUxZGQ2MWJmZTQyYzgxNmYyYTRlZDUyM2Y,https://api.mybihr.com/medias/800Wx800H-1153455-1.png?context=bWFzdGVyfHJvb3R8OTU5NTF8aW1hZ2UvcG5nfGFHUmtMMmcwTWk4eE1ETXdNRGMwTkRjM05EUTFOREl2T0RBd1YzZzRNREJJWHpFeE5UTTBOVFV0TVM1d2JtY3w3MDZkMTQyN2Y4MDI2N2EwYTUwODQzMzNmMmQ3NTM0NDg1MzE5NjQxOGQzZDNlYTE2OWNiYmIyZTU2MDcyYmNm,https://static.bihr.pro/eBihr/Pictures/TUFFJUG-pictures.zip,Spain Warehouse (Parts)
1061566,61191,FFS003V,TUFFJUG,"TUFFJ SPARE PART FLOW CTRL 10L L:30,5CM",Tapón auto cerrado para garrafa de gasolina Tuff JUG - 10L,17.04,14.08,3.21,8430525611917,48,3917320090,0,1,<ul> <li>Prevent fuel tank overflow </li> <li>Screwing end cap</li> <li>Screw diameter : 19.05mm -3/4''</li> <li>For Tuff Jug cans</li></ul> <p></p>," Prevent fuel tank overflow  Screwing end cap Screw diameter : 19.05mm -3/4'' For Tuff Jug cans 
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,1948,106,438,139,32,,,,https://api.mybihr.com/medias/1061566-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQzOTF8aW1hZ2UvanBlZ3xhRE0xTDJobU1TODRPVGN6TXpVek1qZzNOekV3THpFd05qRTFOall0TVY4NE1EQlhlRGd3TUVnfGRjYjQ5NmY4YjM2OWMwYzFmY2U3YjM3ZTgyYzI1NmFkNmQ5YmVkYjczN2RlYzI4YWU5N2E5NjQxNDg0NGNiMWQ,,,,,https://static.bihr.pro/eBihr/Pictures/TUFFJUG-pictures.zip,Spain Warehouse (Parts)
1061550,61210,QCKTMO,TUFFJUG,TUFFJ ACCESSORY QUICK CAP BLCK/ORNGE,Tapón para garrafa de gasolina TUFF JUG - Negro / Naranja,49.61,41.00,3.25,8430525612105,41,3926909790,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,580,122,85,91,75,,,,https://api.mybihr.com/medias/1061550-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTEyODYxfGltYWdlL2pwZWd8YURneUwyZzVOUzg0T1Rjek16UTVNRGt6TkRBMkx6RXdOakUxTlRBdE1WODRNREJYZURnd01FZ3xkYjVlMmE3MzIxYzY5NjQwNWM1MzRkN2I1ZTY2MWJhNTQxOTUwN2RkYzIxNjE4MjVlZDY1MTEyMDYwZTRkNjIz,,,,,https://static.bihr.pro/eBihr/Pictures/TUFFJUG-pictures.zip,Spain Warehouse (Parts)
1061551,61211,QCYBB,TUFFJUG,TUFFJ ACCESSORY QUICK CAP BLACK/BLUE,Tapón para garrafa de gasolina TUFF JUG - Negro / Azul,49.61,41.00,3.15,8430525612112,42,3926909790,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,1107,97,124,119,75,,,,https://api.mybihr.com/medias/1061551-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTgyODl8aW1hZ2UvanBlZ3xhRFV6TDJnNVl5ODRPVGN6TXpRNU1qa3dNREUwTHpFd05qRTFOVEV0TVY4NE1EQlhlRGd3TUVnfDhmMDI2NTgyZWNiNWE4Y2UzNjcyZDI3YmY4OTU3MTEzMjg1NzNhZDE5YjUxOTQ3NGJhMmZhNDdjOTQzNTM1NDg,,,,,https://static.bihr.pro/eBihr/Pictures/TUFFJUG-pictures.zip,Spain Warehouse (Parts)
1061548,61208,QCHR,TUFFJUG,TUFFJ ACCESSORY QUICK CAP BLCK/RED,Tapón para garrafa de gasolina TUFF JUG - Negro / Rojo,49.61,41.00,2.80,8430525612082,26,3926909790,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,1548,90,171,124,73,,,,https://api.mybihr.com/medias/1061548-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTQ1ODd8aW1hZ2UvanBlZ3xhRGs1TDJnME1pODRPVGN6TXpRNE56QXdNVGt3THpFd05qRTFORGd0TVY4NE1EQlhlRGd3TUVnfDJiNmE0NjBiMTk2ZDZhYmYyYjAwNTFjNjJlZWE3MDkyMDljMzBiOTUxNWYyOTBkN2NkNzc1YmYyMDI2OGM4OTg,,,,,https://static.bihr.pro/eBihr/Pictures/TUFFJUG-pictures.zip,Spain Warehouse (Parts)
1061549,61209,QCKG,TUFFJUG,TUFFJ ACCESSORY QUICK CAP BLCK/GRN,Tapón para garrafa de gasolina TUFF JUG - Negro / Verde,49.61,41.00,2.80,8430525612099,45,3926909790,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,607,87,87,93,75,,,,https://api.mybihr.com/medias/1061549-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODg3MTl8aW1hZ2UvanBlZ3xhREEyTDJnME55ODRPVGN6TXpRNE9EazJOems0THpFd05qRTFORGt0TVY4NE1EQlhlRGd3TUVnfDBlMDQ0ZjRmMWU5Mzg2MDQ1NzFiMzY1ZDgxNjc4YjJjNDI2MzBhYmQ2ZDE5MzNlMDhmNjdhNGNkYjUwN2MzMTM,,,,,https://static.bihr.pro/eBihr/Pictures/TUFFJUG-pictures.zip,Spain Warehouse (Parts)
1061563,61203,ADAP,TUFFJUG,TUFFJ SPARE PART ADAPT UNIV MDL 10L 20L,Adaptador universal Tuff Jug,8.98,7.42,5.57,449514,0,3926909790,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Tuff Jug cans are designed for refuelling and are fitted with a quick-flow device (18 litres in 45 seconds). They are practical, are equipped with a slim handle and are available in several colours.</p><p></p><ul start=""1""> <li>For Watercraft/Car/etc.</li><li>For 10L and 20L fuel can</li></ul> </body> </html>","       Tuff Jug cans are designed for refuelling and are fitted with a quick-flow device (18 litres in 45 seconds). They are practical, are equipped with a slim handle and are available in several colours. For Watercraft/Car/etc.For 10L and 20L fuel can  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,2053,55,185,152,73,,,,https://api.mybihr.com/medias/1061563-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM4Mjl8aW1hZ2UvanBlZ3xhREppTDJnNU5TODRPVGN6TXpVeU5qazNPRGcyTHpFd05qRTFOak10TVY4NE1EQlhlRGd3TUVnfGEzNTc1ZjE0ZjZmNWYyMGZmNTMwY2I5ZDRiMWRhZTY0ZTQ5OTEwZDc1MDE0MzFjMzBlMjA0MmUwYmE1Y2U2OWE,,,,,https://static.bihr.pro/eBihr/Pictures/TUFFJUG-pictures.zip,Spain Warehouse (Parts)
1129479009,,FUBLKRVS10,TUFFJUG,"TUFFJ GAS CAN 10L RIPPER CAP G3, AMG/BLK","Garrafa de gasolina TUFF JUG verde bosque con tapón Ripper G3 - 2,5G/10L",52.03,43.00,27.95,736649486003,1,3926909790,0,1,"<p>Bid&oacute;n de gasolina con tap&oacute;n de llenado r&aacute;pido</p>
<p>Con Tuff Jug, &iexcl;no necesitas embudos ni mangueras voluminosas!</p>
<p><strong>&iexcl;Este art&iacute;culo s&oacute;lo se puede utilizar con productos de la 3&ordf; Generaci&oacute;n (GEN 3)!</strong></p>
<ul>
<li>Ergon&oacute;mico: f&aacute;cil manejo</li>
<li>Llenado r&aacute;pido: 20 L en 12 segundos</li>
<li>V&aacute;lvula de parada autom&aacute;tica: sin riesgo de desbordamiento</li>
<li>Transparente y graduado: f&aacute;cil de ver el nivel de combustible</li>
<li>Universal: moto, quad, moto acu&aacute;tica...</li>
</ul>
<p>*Los accesorios no son intercambiables con el modelo anterior.</p>","
Bidón de gasolina con tapón de llenado rápido

Con Tuff Jug, ¡no necesitas embudos ni mangueras voluminosas!

¡Este artículo sólo se puede utilizar con productos de la 3ª Generación (GEN 3)!

Ergonómico: fácil manejo
Llenado rápido: 20 L en 12 segundos
Válvula de parada automática: sin riesgo de desbordamiento
Transparente y graduado: fácil de ver el nivel de combustible
Universal: moto, quad, moto acuática...


*Los accesorios no son intercambiables con el modelo anterior.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,Army Green / Black,16380,1000,180,200,455,,Verde,N'est pas vendu ou destiné à être utilisé comme conteneur de transport de carburant,https://api.mybihr.com/medias/800Wx800H-1129479009-1.jpg?context=bWFzdGVyfHJvb3R8MTQ5MDc3fGltYWdlL2pwZWd8YUdKa0wyaGlNaTgyT0RJNU16VTJNelUwTnpZM09DODRNREJYZURnd01FaGZNVEV5T1RRM09UQXdPUzB4TG1wd1p3fGNmZWY2MTZmMDY2NDhmMTg3MGJiNDYyOGM3NmZlYWM4NjY5Njk5OGEyOTQ4OWU1ODgwMGM1NDllNTBmMTdiN2Q,https://api.mybihr.com/medias/800Wx800H-1129479009-2.jpg?context=bWFzdGVyfHJvb3R8MTQzNjA0fGltYWdlL2pwZWd8YURGakwyaGhOUzgyT0RJNU16VTJNemswTURnNU5DODRNREJYZURnd01FaGZNVEV5T1RRM09UQXdPUzB5TG1wd1p3fDU3NmIxNjNiZTQ2MWQ1NjU0ODcwNGRhMDg5YThhZGQzOGE5Y2ZiZTRlNDQ3OTUxNzkxMjgwNmNjNzUxZmM0MjM,https://api.mybihr.com/medias/800Wx800H-1129479009-3.jpg?context=bWFzdGVyfHJvb3R8NTM3OTd8aW1hZ2UvanBlZ3xhR1V6TDJnMFppODJPREk1TXpVMk5ETXpOREV4TUM4NE1EQlhlRGd3TUVoZk1URXlPVFEzT1RBd09TMHpMbXB3Wnd8NTdhMmE1YzMyMjU3ZWI5OWI2Mjg2YWRhNWYxYTkyNTIyM2Y5ZTQ1NGFmNjRlOGY1YTViYzZhNTEyNGMyNTY4MA,https://api.mybihr.com/medias/800Wx800H-1129479009-4.jpg?context=bWFzdGVyfHJvb3R8MjkzNzV8aW1hZ2UvanBlZ3xhR1ZpTDJnME9DODJPREk1TXpVMk9UQTFNamN3TWk4NE1EQlhlRGd3TUVoZk1URXlPVFEzT1RBd09TMDBMbXB3Wnd8MDlhYmNhZTRhYTNhN2Q0ZTFkMWQ1MWQwYjNkZjNkMjcwZWU0MGE1ZTJiMjI2ZGJkYTgyZmQ2MWEwMGUxZDZmMw,,https://static.bihr.pro/eBihr/Pictures/TUFFJUG-pictures.zip,Spain Warehouse (Parts)
1129479001,,WUBLKRVS10,TUFFJUG,"TUFFJ GAS CAN 10L RIPPER CAP G3, WHT/BLK","Garrafa de gasolina TUFF JUG blanco con tapón Ripper G3 - 2,5G/10L",48.40,40.00,26.00,716892880032,0,3926909790,0,1,"<p>Bid&oacute;n de gasolina con tap&oacute;n de llenado r&aacute;pido</p>
<p>Con Tuff Jug, &iexcl;no necesitas embudos ni mangueras voluminosas!</p>
<p><strong>&iexcl;Este art&iacute;culo s&oacute;lo se puede utilizar con productos de la 3&ordf; Generaci&oacute;n (GEN 3)!</strong></p>
<ul>
<li>Ergon&oacute;mico: f&aacute;cil manejo</li>
<li>Llenado r&aacute;pido: 20 L en 12 segundos</li>
<li>V&aacute;lvula de parada autom&aacute;tica: sin riesgo de desbordamiento</li>
<li>Transparente y graduado: f&aacute;cil de ver el nivel de combustible</li>
<li>Universal: moto, quad, moto acu&aacute;tica...</li>
</ul>
<p>*Los accesorios no son intercambiables con el modelo anterior.</p>","
Bidón de gasolina con tapón de llenado rápido

Con Tuff Jug, ¡no necesitas embudos ni mangueras voluminosas!

¡Este artículo sólo se puede utilizar con productos de la 3ª Generación (GEN 3)!

Ergonómico: fácil manejo
Llenado rápido: 20 L en 12 segundos
Válvula de parada automática: sin riesgo de desbordamiento
Transparente y graduado: fácil de ver el nivel de combustible
Universal: moto, quad, moto acuática...


*Los accesorios no son intercambiables con el modelo anterior.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,Blanco / Negro,16380,1480,180,200,455,,Blanco,N'est pas vendu ou destiné à être utilisé comme conteneur de transport de carburant,https://api.mybihr.com/medias/800Wx800H-1129479001-1.jpg?context=bWFzdGVyfHJvb3R8MTMwMzAzfGltYWdlL2pwZWd8YURrM0wyZ3hNeTgyT0RJNU16VTFNalV6TnpZek1DODRNREJYZURnd01FaGZNVEV5T1RRM09UQXdNUzB4TG1wd1p3fGYxMDRmY2U3M2MyMDYwOGI5NzgxMjRjMzkxYmIxNDg1Y2I3ZjRlNjNlOGJlMzNiMjg3ZTEyOTc3YTI3OWQ0ODE,https://api.mybihr.com/medias/800Wx800H-1129479001-2.jpg?context=bWFzdGVyfHJvb3R8MTMwNzg2fGltYWdlL2pwZWd8YURZeEwyaG1NUzgyT0RJNU16VTJOelEzT1Rnek9DODRNREJYZURnd01FaGZNVEV5T1RRM09UQXdNUzB5TG1wd1p3fDNhNmM5MGI5ZGQ2NjFiZDIzNmIxZDJjZDYxM2Q5YTYxYWM1Njc3NzdhOGJkYmY2ZDQ5MzhlMzg5N2VlZDY1MDc,https://api.mybihr.com/medias/800Wx800H-1129479001-3.jpg?context=bWFzdGVyfHJvb3R8NTM3OTd8aW1hZ2UvanBlZ3xhRE00TDJneU1TODJPREk1TXpVMU1qa3pNRGcwTmk4NE1EQlhlRGd3TUVoZk1URXlPVFEzT1RBd01TMHpMbXB3Wnd8YWViZTg4YWQxZjA4NTc2OTE0YjUzMjY3NjQxYThjYWIzNDAzNDdiYjBjYTM2MDU0OWRkMDcwMmNmZjQ3YmNiZg,https://api.mybihr.com/medias/800Wx800H-1129479001-4.jpg?context=bWFzdGVyfHJvb3R8MjkzNzV8aW1hZ2UvanBlZ3xhRGN4TDJnM05pODJPREk1TXpVMU16TXlOREEyTWk4NE1EQlhlRGd3TUVoZk1URXlPVFEzT1RBd01TMDBMbXB3Wnd8YTRlM2QyOWQwYjllZjI3ZjYyMGM1NTQxMzZmYzZjYjg4ZDllMTVkMzEzZDhkODgxYzRiYWM2YTEyOGNjNTI2NA,,https://static.bihr.pro/eBihr/Pictures/TUFFJUG-pictures.zip,Spain Warehouse (Parts)
1129479004,,RUBLKRVS10,TUFFJUG,"TUFFJ GAS CAN 10L RIPPER CAP G3, RED/BLK","Garrafa de gasolina TUFF JUG rojo con tapón Ripper G3 - 2,5G/10L",52.03,43.00,27.95,736649485822,0,3926909790,0,1,"<p>Bid&oacute;n de gasolina con tap&oacute;n de llenado r&aacute;pido</p>
<p>Con Tuff Jug, &iexcl;no necesitas embudos ni mangueras voluminosas!</p>
<p><strong>&iexcl;Este art&iacute;culo s&oacute;lo se puede utilizar con productos de la 3&ordf; Generaci&oacute;n (GEN 3)!</strong></p>
<ul>
<li>Ergon&oacute;mico: f&aacute;cil manejo</li>
<li>Llenado r&aacute;pido: 20 L en 12 segundos</li>
<li>V&aacute;lvula de parada autom&aacute;tica: sin riesgo de desbordamiento</li>
<li>Transparente y graduado: f&aacute;cil de ver el nivel de combustible</li>
<li>Universal: moto, quad, moto acu&aacute;tica...</li>
</ul>
<p>*Los accesorios no son intercambiables con el modelo anterior.</p>","
Bidón de gasolina con tapón de llenado rápido

Con Tuff Jug, ¡no necesitas embudos ni mangueras voluminosas!

¡Este artículo sólo se puede utilizar con productos de la 3ª Generación (GEN 3)!

Ergonómico: fácil manejo
Llenado rápido: 20 L en 12 segundos
Válvula de parada automática: sin riesgo de desbordamiento
Transparente y graduado: fácil de ver el nivel de combustible
Universal: moto, quad, moto acuática...


*Los accesorios no son intercambiables con el modelo anterior.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,Rojo / Negro,16380,1000,180,200,455,,Rojo,N'est pas vendu ou destiné à être utilisé comme conteneur de transport de carburant,https://api.mybihr.com/medias/800Wx800H-1129479004-1.jpg?context=bWFzdGVyfHJvb3R8OTE5Njd8aW1hZ2UvanBlZ3xhR1EzTDJnMU5TODJPREk1TXpVMU5qQTNOalUzTkM4NE1EQlhlRGd3TUVoZk1URXlPVFEzT1RBd05DMHhMbXB3Wnd8YjdhZDQ4NmVlMmM0Y2JmODdmYzhmM2QyOGUzNGFiZjdhN2FhYzRhZDgzYzU2NTBkOWQxM2NhMWRhNzg4YmFiNQ,https://api.mybihr.com/medias/800Wx800H-1129479004-2.jpg?context=bWFzdGVyfHJvb3R8MTc1NTN8aW1hZ2UvanBlZ3xhRFE1TDJnME9DODJPREk1TXpVMU5qUTJPVGM1TUM4NE1EQlhlRGd3TUVoZk1URXlPVFEzT1RBd05DMHlMbXB3Wnd8MjljZTBlMGQ0N2JmOTc3ZGZiZTBlNzEyNjI3MjMyYjhiYTNjMTIwNWIxYjJiYzlhZTEwYWE5ZWExNWY5ZTI3Ng,https://api.mybihr.com/medias/800Wx800H-1129479004-3.jpg?context=bWFzdGVyfHJvb3R8NTM3OTd8aW1hZ2UvanBlZ3xhR0U0TDJnellTODJPREk1TXpVMU5qZzJNekF3Tmk4NE1EQlhlRGd3TUVoZk1URXlPVFEzT1RBd05DMHpMbXB3Wnd8NzE1MWFmNjE1Nzc1NGU2OTA2M2NkODYyMzI2NWI0MzJmZWZiNDFkNjQzN2Y1ZjU2OWE0ZjkzNDQxZDgyZjEzOQ,https://api.mybihr.com/medias/800Wx800H-1129479004-4.jpg?context=bWFzdGVyfHJvb3R8MjkzNzV8aW1hZ2UvanBlZ3xhRGt3TDJneFlTODJPREk1TXpVMU56STFOakl5TWk4NE1EQlhlRGd3TUVoZk1URXlPVFEzT1RBd05DMDBMbXB3Wnd8ODdkNzIzMWYzMTA4OTgwMWJlMjA3YjY5MmNjMzM0Nzg0N2YzMTY2OTNiZDg2YmVkNDlkMTcyZmJhYTMyMzNmNQ,,https://static.bihr.pro/eBihr/Pictures/TUFFJUG-pictures.zip,Spain Warehouse (Parts)
