PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (cm),Anchura (cm),Bloqueo,Color,Composición,Embalaje,Especificaciones,Fijación,Forma,Homologación,Incluye intermitente,Longitud (cm),Montaje,Posición,Rosca (mm),Tipo de puño,Tipo de retrovisor,Uso,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,DeliveryPlant
1025767,46935,AC02107-K,UFO,UFO FORK TUBE 370MM,Protector de horquilla UFO negro 370mm AC02107-K,21.99,18.17,10.90,8053736500988,2,8714109090,0,1,"<p>Protector barras de horquilla</p><p>Funda externa para barras de horquilla, evita que se llenen de barro minimizando así el efecto abrasivo del barro sobre los tubos de horquilla.</p><p>Mantiene tu horquilla limpia y protegida</p>","
Protector barras de horquilla
Funda externa para barras de horquilla, evita que se llenen de barro minimizando así el efecto abrasivo del barro sobre los tubos de horquilla.
Mantiene tu horquilla limpia y protegida",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,,,945,42,151,447,14,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025767-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTAxNDMxfGltYWdlL2pwZWd8YURJekwyZzNaQzh4TlRReE1qZ3lPVFF5TVRVNU9DOHhNREkxTnpZM0xURmZPREF3VjNnNE1EQkl8MGQwMWJiOGVlMTU0Y2FjYzNiNWNjYTViODcxNmJiZjUzYWFlOTJhMjYxNzY1ZjM3ZDZiNDdhOWIxMjJhNzA2Yg,,,,,https://static.bihr.pro/eBihr/Pictures/UFO-pictures.zip,Spain Warehouse (Parts)
1081154005,95486,MA01827-D,UFO,"UFO GRIP TRAX, YEL",Puños UFO Trax 2018 amarillo MA01827-D,21.90,18.10,11.77,8052135043706,1,8714109090,0,1,<p>Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.</p><p>  <br></p><p>Recubrimientos tricolores</p><p>Fabricado en plástico inyectado</p><p>2 superficies: gofrado y espinillas</p><p>Agarre óptimo y aspecto único</p>,"
Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.
  
Recubrimientos tricolores
Fabricado en plástico inyectado
2 superficies: gofrado y espinillas
Agarre óptimo y aspecto único",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Amarillo,,2063,148,154,203,66,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1081154005-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA4NTYzfGltYWdlL2pwZWd8YUdRNUwyZzNNeTh4TlRReU56WXdOVEF3TkRNeE9DOHhNRGd4TVRVME1EQTFMVEZmT0RBd1YzZzRNREJJfDNlNjhjYzQ4YTRiNmY4MTdlYzk0OGZlYTBmYjE1ZThhOTQyYmNjNTE1ZTYyYzdhZTk0NDhjYzY3MTcxOTY4Y2E,,,,,https://static.bihr.pro/eBihr/Pictures/UFO-pictures.zip,Spain Warehouse (Parts)
1081154003,95482,MA01827-B,UFO,"UFO GRIP TRAX, RED",Puños UFO Trax 2018 rojo MA01827-B,21.90,18.10,11.77,8052135043683,1,8714109090,0,1,<p>Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.</p><p>  <br></p><p>Recubrimientos tricolores</p><p>Fabricado en plástico inyectado</p><p>2 superficies: gofrado y espinillas</p><p>Agarre óptimo y aspecto único</p>,"
Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.
  
Recubrimientos tricolores
Fabricado en plástico inyectado
2 superficies: gofrado y espinillas
Agarre óptimo y aspecto único",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Rojo,,2095,150,154,203,67,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1081154003-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA3ODEwfGltYWdlL2pwZWd8YUdJekwyaGtOaTh4TlRReU56WXdOREl4TnpnNE5pOHhNRGd4TVRVME1EQXpMVEZmT0RBd1YzZzRNREJJfGU5MmY3OTRmMWM5Nzk4ZWVkYWMxY2IxNDRiMmFhMjRlNjlhZjBlZDZkYTk4ZTUwNzg0M2YxZWQyNTA3ZjUzYmM,,,,,https://static.bihr.pro/eBihr/Pictures/UFO-pictures.zip,Spain Warehouse (Parts)
1081154001,95483,MA01827-E,UFO,"UFO GRIP TRAX, GRY",Puños UFO Trax 2018 gris MA01827-E,21.90,18.10,11.77,8052135043713,2,8714109090,0,1,<p>Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.</p><p>  <br></p><p>Recubrimientos tricolores</p><p>Fabricado en plástico inyectado</p><p>2 superficies: gofrado y espinillas</p><p>Agarre óptimo y aspecto único</p>,"
Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.
  
Recubrimientos tricolores
Fabricado en plástico inyectado
2 superficies: gofrado y espinillas
Agarre óptimo y aspecto único",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Gris,,2084,152,154,202,67,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1081154001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTAyNDA3fGltYWdlL2pwZWd8YURnMkwyaGpOaTh4TlRReU56WXdNelF6TVRRMU5DOHhNRGd4TVRVME1EQXhMVEZmT0RBd1YzZzRNREJJfGU4NmY1NjdmMzVjOTgyMTUwNThjMDBiMjFmNGI1MjA4ZDE4NzYzYzhiODA1ZTY1Y2JhNTQ1NGQyZmZkZDRhMDg,,,,,https://static.bihr.pro/eBihr/Pictures/UFO-pictures.zip,Spain Warehouse (Parts)
1081154004,95481,MA01827-C,UFO,"UFO GRIP TRAX, BLU",Puños UFO Trax 2018 azul MA01827-C,21.90,18.10,11.77,8052135043690,2,8714109090,0,1,<p>Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.</p><p>  <br></p><p>Recubrimientos tricolores</p><p>Fabricado en plástico inyectado</p><p>2 superficies: gofrado y espinillas</p><p>Agarre óptimo y aspecto único</p>,"
Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.
  
Recubrimientos tricolores
Fabricado en plástico inyectado
2 superficies: gofrado y espinillas
Agarre óptimo y aspecto único",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Azul,,2067,154,203,152,67,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1081154004-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA3NjQwfGltYWdlL2pwZWd8YURFeUwyaGpPUzh4TlRReU56WXdORFl4TVRFd01pOHhNRGd4TVRVME1EQTBMVEZmT0RBd1YzZzRNREJJfGNiYTE3NTQzNmNjMDE1NmZhOGM1MTk0OTJiNzdkNTQ1MTg5MmRhYjE4MTc4NWY1NzEwNjE4NmM3OWM0MGRhOTk,,,,,https://static.bihr.pro/eBihr/Pictures/UFO-pictures.zip,Spain Warehouse (Parts)
1081154006,95485,MA01827-F,UFO,"UFO GRIP TRAX, ORG",Puños UFO Trax 2018 naranja MA01827-F,21.90,18.10,11.77,8052135043720,2,8714109090,0,1,<p>Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.</p><p>  <br></p><p>Recubrimientos tricolores</p><p>Fabricado en plástico inyectado</p><p>2 superficies: gofrado y espinillas</p><p>Agarre óptimo y aspecto único</p>,"
Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.
  
Recubrimientos tricolores
Fabricado en plástico inyectado
2 superficies: gofrado y espinillas
Agarre óptimo y aspecto único",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Naranja,,2098,150,155,202,67,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1081154006-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA4MTUzfGltYWdlL2pwZWd8YURsaUwyZzJPQzh4TlRReU56WXdOVE01TnpVek5DOHhNRGd4TVRVME1EQTJMVEZmT0RBd1YzZzRNREJJfGRmNzM2ZGZmMTNjNDk0MTZkN2Y2ODYwMTkxYWY3YmNkNmNiZTRhMjVlNmRjZGE1OTc1ZjVlMDhmMjk3NjczYzY,,,,,https://static.bihr.pro/eBihr/Pictures/UFO-pictures.zip,Spain Warehouse (Parts)
1081154002,95484,MA01827-A,UFO,"UFO GRIP TRAX, GRN",Puños UFO Trax 2018 verde MA01827-A,21.90,18.10,11.77,8052135043676,0,8714109090,0,1,<p>Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.</p><p>  <br></p><p>Recubrimientos tricolores</p><p>Fabricado en plástico inyectado</p><p>2 superficies: gofrado y espinillas</p><p>Agarre óptimo y aspecto único</p>,"
Los puños UFO están diseñados para el motocross y el enduro. Aseguran un agarre óptimo del guante en el mango.
  
Recubrimientos tricolores
Fabricado en plástico inyectado
2 superficies: gofrado y espinillas
Agarre óptimo y aspecto único",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Verde,,2131,150,153,211,66,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1081154002-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA3OTk3fGltYWdlL2pwZWd8YURFekwyaGtOQzh4TlRReU56WXdNemd5TkRZM01DOHhNRGd4TVRVME1EQXlMVEZmT0RBd1YzZzRNREJJfDJkMTQ2NDFlMTVlZWI3MGI3MTE5ODdlZWE5NmJkYzFiNGM2ZmMxN2QwM2UxODhhYjBmOGIyODFmMWRmMzY5ZGQ,,,,,https://static.bihr.pro/eBihr/Pictures/UFO-pictures.zip,Spain Warehouse (Parts)
1055825,93332,AD01981,UFO,UFO STICKERS CARBON LOOK 50X40,Adhesivo UFO look carbono 50 x 40 cm  AD01981,43.80,36.20,23.53,8053736502753,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,16744,336,346,526,92,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1055825-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ2OTQ0fGltYWdlL2pwZWd8YURSaEwyZ3lNQzh4TlRReE1qZzBPVFUwTVRFMU1DOHhNRFUxT0RJMUxURmZPREF3VjNnNE1EQkl8YWI1ZWNjZTg5ODgyMzRmZDI5MWE5NzMxNmM4YmFjMWI5MDAzNjEwYjYwNGRhNDE1MDU3MmUyOTE3NzllMzRkMA,,,,,https://static.bihr.pro/eBihr/Pictures/UFO-pictures.zip,Spain Warehouse (Parts)
1081653001,41566,PR02510-K,UFO,"UFO BAR PAD BAR LESS, BLK",Protector de manillar UFO sin barra superior negro PR02510K,27.26,22.53,14.64,8052135067061,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,,4779,212,207,285,81,,,,Negro,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1081653001-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODE0MjF8aW1hZ2UvanBlZ3xhR1U0TDJnMU9DOHhOVFF5TnpZek5EWTVNakV5Tmk4eE1EZ3hOalV6TURBeExURmZPREF3VjNnNE1EQkl8ODZkYTkxM2VkZTVmODhmZWIyYzg5NTA2NmVkYzljNGIwNjA1NmRjZjlmZmQ5ODk2MWJmNWNhNTkzYjY5YWE0Ng,,,,,https://static.bihr.pro/eBihr/Pictures/UFO-pictures.zip,Spain Warehouse (Parts)
1081652001,41569,PR02509-C,UFO,"UFO BAR PAD WITH BAR, BLU",Protector de barra superior de manillar UFO azul PR02509C,20.21,16.70,10.86,8052135067030,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Azul,,2816,76,151,333,56,,,,Azul,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1081652001-1.jpg?context=bWFzdGVyfHJvb3R8OTE2NzB8aW1hZ2UvanBlZ3xhRFUyTDJneU1DODRNVFkzTXpRM01EWXdOek01TUM4NE1EQlhlRGd3TUVoZk1UQTRNVFkxTWpBd01TMHhMbXB3Wnd8OWQ1OTVlOTQ3MGUwMTFkYzAyNDliNDEzYTk4MjVlNmQyMzE1MjdkY2VkZTUyMzUxNDJhM2E1YTNiNjIxNWNjNw,,,,,https://static.bihr.pro/eBihr/Pictures/UFO-pictures.zip,Spain Warehouse (Parts)
