PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Bloqueo,Color,Diámetro Ø (mm),Longitud (mm),Tipo de puño,Uso recomendado,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
1101250,15422,VLG934A-RED,VELO,VELO GRIP SILICONE RED 135MM 44GR,Par puños bici VELO 135mm 100% silicona rojos,12.50,10.33,2.40,8430525154223,474,8714999089,0,1,"Puños de bicicleta Velo. Maratón/Ruta/Rally. 100% silicona. Color rojo.Excepcional absorción de las vibraciones y de la presión de la mano. Adherencia perfecta del guante incluso en mojado. Tacto muy directo sobre el manillar, desgaste mínimo.Sujeción standard. Extremos abiertos.Largo 135mm. 44gr/unidad","Puños de bicicleta Velo. Maratón/Ruta/Rally. 100% silicona. Color rojo.Excepcional absorción de las vibraciones y de la presión de la mano. Adherencia perfecta del guante incluso en mojado. Tacto muy directo sobre el manillar, desgaste mínimo.Sujeción standard. Extremos abiertos.Largo 135mm. 44gr/unidad",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,964,109,212,101,45,,,,,,,https://api.mybihr.com/medias/1101250-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTIwOTc0fGltYWdlL2pwZWd8YURnMkwyaGtNaTg1TmpNeE5qTXhNakV5TlRjMEx6RXhNREV5TlRBdE1WODRNREJYZURnd01FZ3wwNjVmZGY2ZmFiZDZmNTI0MzgwNjlmODQyMzIyNmEyMWVjNmIxOWJkOWFlOTJlYzEzODk4MTIyODNjOTIyMWMw,,,,https://static.bihr.pro/eBihr/Pictures/VELO-pictures.zip,Spain Warehouse (Parts)
1101251,15528,VLC033,VELO,VELO SADDLE COVER UNISEX 033,"Funda Sillín bicicleta VELO VLC033 240x260mm. Unisex, prostática. GEL Tech. Color negro",19.99,16.52,7.50,8430525155282,33,8714950000,0,1,Funda sillín bicicleta Unisex. Tecnología GEL. Anatómica.Velo VLC033 (Talla grande)Largo: 229-254mmAncho: 216-241 mm,Funda sillín bicicleta Unisex. Tecnología GEL. Anatómica.Velo VLC033 (Talla grande)Largo: 229-254mmAncho: 216-241 mm,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,3623,354,307,236,50,,,,,,,https://api.mybihr.com/medias/1101251-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQwNDI3fGltYWdlL2pwZWd8YUdJMEwyZzRPUzg1TmpNeE5UVTRNamN4TURBMkx6RXhNREV5TlRFdE1WODRNREJYZURnd01FZ3xlNjRlMGE4MTE1ODQwOTBiMDM4MzIzMWU3NzE4ZTIyNjkyZTNiZGM5YzViZDkwOWQ3Yzc4ZDcwZmE3NmM5YmQw,,,,https://static.bihr.pro/eBihr/Pictures/VELO-pictures.zip,Spain Warehouse (Parts)
1101596,562GR,VLG-709AD3-GRAY+BK,VELO,VELO CONFORT GRIP GREY/BLACK,Par puños bici VELO Confort Gris/Negro,8.49,7.02,3.17,8430525119789,28,8714999089,0,1,Puños de bicicleta Velo Ergonomic Comfort.Gel D3. Largo: 130 mm.Negro / Gris.,Puños de bicicleta Velo Ergonomic Comfort.Gel D3. Largo: 130 mm.Negro / Gris.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,1114,200,192,116,50,,,,,,,https://api.mybihr.com/medias/1101596-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ1MjU0fGltYWdlL2pwZWd8YUROaUwyaGxOeTg1TmpNeU1UQXhOVGszTWpFMEx6RXhNREUxT1RZdE1WODRNREJYZURnd01FZ3xhMTQxZDI3NzUyOGZjMzY3ZmEyYTVmNjg1ZjBiNTM5NTM3MjhkZWE2MzhmZjUyYjU2N2EwMTM2ZDhhODcwYTM2,,,,https://static.bihr.pro/eBihr/Pictures/VELO-pictures.zip,Spain Warehouse (Parts)
1101560,8532,VLG-311,VELO,VELO GRIPS KRATON BLACK 130MM,Par puños bici VELO 130mm kraton negro,4.99,4.12,2.68,8430525085329,0,8714999089,0,1,Puños de bicicleta Velo.130mm.Kraton negro,Puños de bicicleta Velo.130mm.Kraton negro,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,716,135,188,103,37,,,,,,,https://api.mybihr.com/medias/1101560-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ5MDEwfGltYWdlL2pwZWd8YUROa0wyZzNPUzg1TmpNeU1EZzVOREEzTlRFNEx6RXhNREUxTmpBdE1WODRNREJYZURnd01FZ3w2ZGVhYjA5YjMyZjBiNmYxNTgxOTNlMDg0NWEzMGE3N2MyYTFlMTQ1ODdmNzY2MzQ2OWNiY2UzYTY5ZWQ2OWUy,,,,https://static.bihr.pro/eBihr/Pictures/VELO-pictures.zip,Spain Warehouse (Parts)
1101685,8512,VLF-001,VELO,VELO REAR CHAIN STAY PROTECTOR,Protector para vaina trasera bicicleta VELO neopreno,3.99,3.30,0.99,8430525085121,1441,8714999089,0,1,"<p>Protector para vaina trasera bicicleta.</p>
<ul>
	<li>Largo: 260mm</li>
	<li>Neopreno</li>
</ul>
","
Protector para vaina trasera bicicleta.

	Largo: 260mm
	Neopreno

",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,476,12,328,121,12,,,,,,,https://api.mybihr.com/medias/1101685-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTU3Njg2fGltYWdlL2pwZWd8YURWbUwyaG1NUzg1TmpNeU1USTNPVFF5TmpnMkx6RXhNREUyT0RVdE1WODRNREJYZURnd01FZ3w4ZmI4MzA5NzZkMjRjYTAxYzVmNTA4YWIwOGFjYTE1ODAzYWU5MGZlMDYzOWQ1MDBlYjRjMzNhMzU1NjhlNTlj,https://api.mybihr.com/medias/1101685-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjM5Mzg0fGltYWdlL2pwZWd8YURJMkwyZzVZeTg1TmpNeU1USTRNek0xT1RBeUx6RXhNREUyT0RVdE1sODRNREJYZURnd01FZ3wyMTAwODY3NjI4YmMyNGQwYjExMTVmZWU5NjI2OTI1MWFhNjUwNjc0MGYwZGIxNDY3OTE3OThmYjk2NWYyZGM1,,,https://static.bihr.pro/eBihr/Pictures/VELO-pictures.zip,Spain Warehouse (Parts)
1101621,8533,VLG-385,VELO,VELO GRIPS KRATON BLACK/GREY 125MM,Par puños bici VELO 125mm tribal negro/gris,4.99,4.12,2.06,8430525085336,0,8714999089,0,1,Puños de bicicleta Velo.125 mm. Kraton Bicolor: Negro / Gris,Puños de bicicleta Velo.125 mm. Kraton Bicolor: Negro / Gris,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,856,104,188,99,46,,,,,,,https://api.mybihr.com/medias/1101621-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE2Njc3fGltYWdlL2pwZWd8YUdRM0wyZzVNeTg1TmpNeU1UQTNPRGc0Tmpjd0x6RXhNREUyTWpFdE1WODRNREJYZURnd01FZ3w3OWVhM2M3NTViOWQzZjM2NDdlNjE2N2Q0MjM3ZDE0YmJjYzQyODgzOTFkZTQzMmMwMzEzMTgzMGVhYjBiZWU1,,,,https://static.bihr.pro/eBihr/Pictures/VELO-pictures.zip,Spain Warehouse (Parts)
1101650,563NR,VLG-884AD2-1L-B,VELO,VELO GRIPS KRATON ALU BLACK 130MM 55GR,Par puños bici VELO Kraton Negro,14.50,11.98,7.79,8430525119796,184,8714999089,0,1,Puños de bicicleta Velo. Kraton color negro.Extremos aluminio negro.Largo: 130 mm. Sujeción tornillo.,Puños de bicicleta Velo. Kraton color negro.Extremos aluminio negro.Largo: 130 mm. Sujeción tornillo.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,1248,120,200,120,52,,,,,,,https://api.mybihr.com/medias/1101650-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODQwMTN8aW1hZ2UvanBlZ3xhRFV5TDJobU55ODVOak15TVRFNU5qZzFNVFV3THpFeE1ERTJOVEF0TVY4NE1EQlhlRGd3TUVnfGQxNGQ4MDZhMWEwZmFhMDg4MzMyMDI5MzBkNDA2Y2NmZGRmNjhhODg0NDE1ZWExZDBhZjY3Yzc5ZTMyNzI3MGE,,,,https://static.bihr.pro/eBihr/Pictures/VELO-pictures.zip,Spain Warehouse (Parts)
1101265,15527,VLC032,VELO,VELO SADDLE COVER UNISEX 032,"Funda Sillín bicicleta VELO VLC032 175x290mm. Unisex, prostática. GEL Tech. Color negro",13.00,10.74,3.99,8430525155275,564,8714950000,0,1,Funda sillín bicicleta Unisex. Tecnología GEL. Anatómica.Velo VLC032 (Talla pequeña)Largo: 249-264mmAncho: 140-165 mm,Funda sillín bicicleta Unisex. Tecnología GEL. Anatómica.Velo VLC032 (Talla pequeña)Largo: 249-264mmAncho: 140-165 mm,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,2989,218,359,185,45,,,,,,,https://api.mybihr.com/medias/1101265-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQwNDI3fGltYWdlL2pwZWd8YUdJMUwyaGhZaTg1TmpNeE9ERXpNREE1TkRNNEx6RXhNREV5TmpVdE1WODRNREJYZURnd01FZ3xlNTBmNTM4ODU2MDE3NGU1ZmUyMWIwYWY1YmUyZmE0ZmJjYjJjZWJmZTU2NjRmM2IyODRmZjNhYjBhMGY3MWQ5,,,,https://static.bihr.pro/eBihr/Pictures/VELO-pictures.zip,Spain Warehouse (Parts)
1101286,15425,VLG617A127-BROWN,VELO,VELO GRIPS VINTAGE BROWN 127MM,Par Puños bici VELO Comfort 127mm,13.50,11.16,7.25,8430525154254,155,8714999089,0,1,Puños de bicicleta Velo Vintage Comfort.Espuma alta densidad con cubierta de piel. Ergonómicos. Costuras de nylon.Largo: 127 mm.,Puños de bicicleta Velo Vintage Comfort.Espuma alta densidad con cubierta de piel. Ergonómicos. Costuras de nylon.Largo: 127 mm.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,668,112,189,101,35,,,,,,,https://api.mybihr.com/medias/1101286-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk2MzQ5fGltYWdlL2pwZWd8YURJMEwyZzVOUzg1TmpNeE5qZzVOVE01TmpFMEx6RXhNREV5T0RZdE1WODRNREJYZURnd01FZ3wyNjc2MzhmMTFjYmNjM2M2ODJmYTJiNzg4OGEzODgzNWUzMGM4YjBiMzM0OWVkNTU4YTZhZTViZGMxNjQwMDgy,,,,https://static.bihr.pro/eBihr/Pictures/VELO-pictures.zip,Spain Warehouse (Parts)
1101287,15427,VLT019D2H-BLACK,VELO,VELO HANDLEBAR TAPE MICROFIBER BLACK,Cinta para manillar de carretera VELO microfibra perforada Negra,20.50,16.94,11.01,8430525154278,5,8714999089,0,1,Cinta para manillar bicicleta de carretera Velo. Shockproof.Microfibra suave. Color negro.Perforada. Interior: Vex Gel.,Cinta para manillar bicicleta de carretera Velo. Shockproof.Microfibra suave. Color negro.Perforada. Interior: Vex Gel.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,786,114,216,91,40,,,,,,Triathlon,https://api.mybihr.com/medias/1101287-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUxNzA3fGltYWdlL2pwZWd8YURBd0wyaGpNeTg1TmpNeE56VTVNREEzTnpjMEx6RXhNREV5T0RjdE1WODRNREJYZURnd01FZ3w0ZjVmMTkyY2I5YmI1OGNlNmQ1YjU1ODdjNDZkZjU2ODFiMGNmY2U2YjVjMWVhN2I0ZjhjMDFiNGEzYmZhNzdk,https://api.mybihr.com/medias/1101287-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTM0MTM1fGltYWdlL2pwZWd8YURWbUwyaGlOUzg1TmpNeE56VTVOREF3T1Rrd0x6RXhNREV5T0RjdE1sODRNREJYZURnd01FZ3wwYmRmNGQ3NDU0M2U3M2QzZDNkYWFhNzQ3NjY3YTdkN2MwYWY5NGEzMWI4OTRiZWJjYmQ4YzRlNGZjZGU4MjYz,,,https://static.bihr.pro/eBihr/Pictures/VELO-pictures.zip,Spain Warehouse (Parts)
