PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Diámetro de pistón,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Composición,Compresión de pistón,Diámetro del cilindro (mm),Diámetro Ø (mm),Eslabones de cadena,Nº de segmentos,Referencias OEM,Relación de compresión,Sobremedida,Tipo de cadena de distribución,Tipo de motor,Tipo de pistón,Tolerancia,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,DeliveryPlant
1019339,,860VG810016,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,152.67,126.17,82.01,860VG810016,0,8409910090,0,1,VERTEX,VERTEX,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,319,108,150,177,12,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019339-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhREJqTDJobU5TODRPVFk1TURnMU5EZzFNRGcyTHpFd01Ua3pNemt0TVY4NE1EQlhlRGd3TUVnfDg1ZGMyNzQ4MzQ4MGM3OTg1YjY2ZjEyM2U2OTNkMWRjYmEyOWRkMjdhNjAxNDUxYzM2ZDFhMWMzMzQyYzJlYjM,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019329,,860VG10043,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,111.05,91.78,59.66,191070021184,0,8714109090,0,1,VERTEX Engine Gaskets Cylinder Works 052024,VERTEX Engine Gaskets Cylinder Works 052024,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,322,107,174,154,12,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019329-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDAzMTl8aW1hZ2UvanBlZ3xhREV3TDJnd055ODRPVFV6TWpZM05qRTNPREl5THpFd01Ua3pNamt0TVY4NE1EQlhlRGd3TUVnfDg2MTU5YjIzNzA2NjE1ZDk5ZGFjNWY5ZTYwZTM2MTJjNWJkNjcxOGNhYThmYzY4MWNhZmI3YWZiOGY5ZTIwMjQ,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019332,,860VG810006,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,132.80,109.75,71.34,860VG810006,0,8409910090,0,1,052013 REPLACEMENT GASKETS,052013 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,321,58,151,177,12,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019332-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhREU0TDJnMk5DODRPVFV6TWpRM09UVTNNREl5THpFd01Ua3pNekl0TVY4NE1EQlhlRGd3TUVnfGE4NDE2MGJjOGNiMzBhMmM0ODZjMGUwOTNkYzE5YWU2NmU5Yzg0OWY4ZTQxZjEwOGEyZjg2MmE3NWNjNWFiOTc,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019333,,860VG810008,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,126.48,104.53,67.94,860VG810008,0,8409910090,0,1,054046 REPLACEMENT GASKETS,054046 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,319,80,150,177,12,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019333-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhREEzTDJnMlpTODRPVEkyTlRBMk9EYzJPVFU0THpFd01Ua3pNek10TVY4NE1EQlhlRGd3TUVnfDUyYjY5OWI5NjYxYjdhZTQyYjFjZGM3MDllMmFmMWM5MDgyNmUzMmI1YTZmZmUyMzg1N2JjMjBmZGU3YmMzZGE,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019337,,860VG810013,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,140.95,116.49,75.72,860VG810013,0,8409910090,0,1,051030 REPLACEMENT GASKETS,051030 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,448,85,149,177,17,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019337-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhRFkyTDJobVpDODRPVFk1TURnMU1Ea3hPRGN3THpFd01Ua3pNemN0TVY4NE1EQlhlRGd3TUVnfDRkYjYzYTgyZjIyNDZmMjA0MzhlOTAyZDlmNGY4OGNmZWJlZTU2OGRlNzA3MzViNjEyODg2YzQwOWEzOWUyZTM,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019335,,860VG810011,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,130.61,107.94,70.16,860VG810011,0,8409910090,0,1,055002 REPLACEMENT GASKETS,055002 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,186,70,150,177,7,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019335-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhR1l3TDJoa01DODRPVFExTmpneU5qRXlNalUwTHpFd01Ua3pNelV0TVY4NE1EQlhlRGd3TUVnfGZiNmFiNzJmNzNhNDY4NGYzMGI3ZmMwYzI2MWJlNzkzMWQzNTUzNTNlYjMxNWM0MDQ0MDUxNjBhMGU5OWNlOGM,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019346,,860VG810262,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,81.49,67.35,43.78,860VG810262,0,8409910090,0,1,051028 REPLACEMENT GASKETS,051028 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,460,57,147,184,17,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019346-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhRGd5TDJobFpDODRPVEkyT0RReE56azROamcyTHpFd01Ua3pORFl0TVY4NE1EQlhlRGd3TUVnfDIxMjYzODc0OGVmYThmYWIxZmI2YzAzOTZjYjE0ZjdmYjVlNzMxMDBlZjNjZGNhMzdiNTY4OWU4NzRmNWZjMzk,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019347,,860VG810268,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,77.27,63.86,41.51,714205802689,0,8409910090,0,1,051028 REPLACEMENT GASKETS,051028 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,460,57,147,184,17,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019347-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhR1k1TDJnNU5DODRPVEF4TXpjMU1UWTBORFEyTHpFd01Ua3pORGN0TVY4NE1EQlhlRGd3TUVnfGE3ZDFlODM1ZmM5YWY5NmFiYjNlZmRhMDhjYWEzNDcyYTQ2YjZkYmY2ODg2NzhmN2I0MWU4NTZhNGU4YzRlMWE,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019358,,860VG810567,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,74.46,61.54,40.00,860VG810567,0,8409910090,0,1,053024 REPLACEMENT GASKETS,053024 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,430,64,147,195,15,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019358-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhRFJpTDJneVlpODRPVFE1TVRFNU16SXdNRGswTHpFd01Ua3pOVGd0TVY4NE1EQlhlRGd3TUVnfGVjYzU0NzY4NGE3MWYwNDkwMjY3ZDBkNDk4YmE5ZGY2ZTgxNDAxYzk5NTYwZWRhODRiMWE4MzJhMzMwYWE2YmY,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1089760,,860VG822155,VERTEX,VERTX GASKET CRANKCASE OIL SEAL,Juego de retenes de motor VERTEX- Yamaha YFM 350,31.42,25.97,16.88,860VG822155,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,505,75,114,164,27,,,,,,,,,,,,,,https://api.mybihr.com/medias/1089760-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ3NjE0fGltYWdlL2pwZWd8YURreEwyZzNZaTg0T1RJNU5EYzRPVFkzTXpJMkx6RXdPRGszTmpBdE1WODRNREJYZURnd01FZ3wyYTExZDkwMzMwMDAzMWU0Y2JhNTdjNmYwZjQ1MGQ4NmU0NDJlMTQ0OWY3NzVhY2NmOTlmYWMzNzhkYmQ2M2My,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
