PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Posición,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Alto espejo (mm),Ancho espejo (mm),Color,Composición,Distancia entre pernos,Embalaje,Fijación,Forma,Homologación,Incluye intermitente,Montaje,Posición,Rosca (mm),Rosca de espejo,Sentido de rosca,Picture1,AllPicturesZIP,Document1,Document2,DeliveryPlant
1083745001,E421I,PT10170,VICMA,"VICMA MIRROR OEM TYPE, L",Retrovisor izquierdo VICMA tipo OEM - MZ Quad VRS,14.96,12.36,7.42,8430525101708,14,7009100090,0,1,"<p><strong>MZ</strong></p>
<p>Quad VRS 50 M8/125 ↻ , Quad VRS 100 M8/125 ↻ , Quad VRS 125 M8/125 ↻ , Quad VRS 150 M8/125 ↻ , Quad VRS 175 M8/125 ↻ </p>","
MZ

Quad VRS 50 M8/125 ↻ , Quad VRS 100 M8/125 ↻ , Quad VRS 125 M8/125 ↻ , Quad VRS 150 M8/125 ↻ , Quad VRS 175 M8/125 ↻ ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Izquierda,3428,370,146,398,59,,,Negro,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/800Wx800H-1083745001-1.jpg?context=bWFzdGVyfHJvb3R8MjYwMDJ8aW1hZ2UvanBlZ3xhR1l4TDJobVppOHpNekV6TXpJM016WXhNak14T0M4NE1EQlhlRGd3TUVoZk1UQTRNemMwTlRBd01TMHhMbXB3Wnd8NDAwMmY3MmU3ZDg2Y2FhYzc0Zjk4ZTdkM2E1ZGNmNDgzODg3OTU1OTdmNmVhOWQ0OGYwYzRmNWViNzllYmNiYg,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083745002,E421D,PT10171,VICMA,"VICMA MIRROR OEM TYPE, R",Retrovisor derecho VICMA tipo OEM - MZ Quad VRS,14.96,12.36,2.78,8430525101715,68,7009100090,0,1,"<p><strong>MZ</strong></p>
<p>Quad VRS 50 M8/125 ↻ , Quad VRS 100 M8/125 ↻ , Quad VRS 125 M8/125 ↻ , Quad VRS 150 M8/125 ↻ , Quad VRS 175 M8/125 ↻ </p>","
MZ

Quad VRS 50 M8/125 ↻ , Quad VRS 100 M8/125 ↻ , Quad VRS 125 M8/125 ↻ , Quad VRS 150 M8/125 ↻ , Quad VRS 175 M8/125 ↻ ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Derecha,3181,368,148,398,54,,,Negro,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/800Wx800H-1083745002-1.jpg?context=bWFzdGVyfHJvb3R8MjU5MjZ8aW1hZ2UvanBlZ3xhR0k0TDJoaFlTOHpNekV6TXpJM05EQXdOVFV6TkM4NE1EQlhlRGd3TUVoZk1UQTRNemMwTlRBd01pMHhMbXB3Wnd8ZWY3MzhmOWM5YTg1ZTk4MzYwZGQ2MGU1MGIzODRjZTExMWEwZmM4NzYyMGFmYzAwZTk0MjY0ODBlNTYzMmYwOA,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083752001,E428,E428,VICMA,"VICMA MIRROR OEM TYPE, L/R",Retrovisor VICMA tipo OEM - Hyosung SF 50 R,14.96,12.36,7.42,8430525101173,125,8512100000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>OEM type mirror</li><li>Street legal</li></ul> </body> </html>","        OEM type mirrorStreet legal  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Izquierda / Derecha,1678,272,334,157,32,,,Negro,,,,,Redondo,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083752001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzAyMjJ8aW1hZ2UvanBlZ3xhRFZrTDJnd05DODRPVGM0TmpJNU16WXhOamswTHpFd09ETTNOVEl3TURFdE1WODRNREJYZURnd01FZ3xlMmMxMzE5ZDkwNDAwYTI0OWFhZDQ2NGY2ZGUwMGZmNWE1NTQ5ODFkNmU0MmI3ZGNmZTc3YjZlODUzYzI1NGQ1,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083789002,E492I,E492I,VICMA,"VICMA MIRROR OEM TYPE, L",Retrovisor izquierdo VICMA tipo OEM negro - Hyosung SB50M,15.95,13.18,5.58,8430525033375,156,8512100000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>OEM type mirror</li><li>Street legal</li></ul> </body> </html>","        OEM type mirrorStreet legal  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Izquierda,2556,272,332,154,50,,,Negro,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083789002-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg5MTl8aW1hZ2UvanBlZ3xhR0V5TDJoalpDODRPVGM0TmpNNU1Ua3lNRGswTHpFd09ETTNPRGt3TURJdE1WODRNREJYZURnd01FZ3xlZGQzMmM2OTk1OGNlMGNiMDcyZjkwMzg5Y2UwNGY3ODgzODczNjZkMjAyMDE5ZGMyYTI1NjdmMzBkZDA3NjE2,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083805002,E525I,KA-99L9,VICMA,"VICMA MIRROR OEM TYPE, L",Retrovisor izquierdo VICMA tipo OEM - Harley Davidson (08=>) 5/16'',40.95,33.84,20.30,8430525105218,23,8512100000,0,1,No homologado.,No homologado.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Izquierda,2390,388,309,119,65,,,Cromo,,,,,Otras formas,No homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083805002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU4NjV8aW1hZ2UvanBlZ3xhR0kwTDJnMVlpODRPVGM0TmpRME9Ea3pOekkyTHpFd09ETTRNRFV3TURJdE1WODRNREJYZURnd01FZ3xmNzE5NTViNTFkODEyYmIzNWMwNzViMGJjM2U4NGY4OWJkNTM3YmRkMDljYzNmNGE5ZDRlNzUxODhmYmNkY2Y0,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083805001,E525D,E525D,VICMA,"VICMA MIRROR OEM TYPE, R","Retrovisor derecho VICMA adaptable 5/16"" cromado - Harley Davidson",40.95,33.84,20.30,8430525105225,3,8512100000,0,1,No homologado.,No homologado.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Derecha,2243,376,304,119,62,,,Cromo,,,,,Otras formas,No homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083805001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ4MTAwfGltYWdlL2pwZWd8YURnMEwyZzJNaTg0T1RjNE5qUTBOamszTVRFNEx6RXdPRE00TURVd01ERXRNVjg0TURCWGVEZ3dNRWd8YzBmMjA0ODE4MWQyMzUzNTQ4YWQ5MjlhOGY0NWYxYmNiNWQyZmNjNmFkMzI5YzgzMTZhYTAyOWQ5NmVjMjhkOQ,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083817001,E567D,E567D,VICMA,"VICMA MIRROR OEM TYPE, R",Retrovisor derecho VICMA tipo OEM - Peugeot Satelis WhiteSat,33.95,28.06,8.42,8430525134997,8,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>OEM type mirror</li><li>Street legal</li></ul> </body> </html>","        OEM type mirrorStreet legal  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Derecha,4817,547,325,228,65,,,Blanco & Negro,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083817001-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODczNjV8aW1hZ2UvanBlZ3xhREV5TDJnM01TODRPVGM0TmpRMk5qazFPVFkyTHpFd09ETTRNVGN3TURFdE1WODRNREJYZURnd01FZ3wwNmJiNzc2N2IwMWMzZmIwYzFhODQ0YWI1YjU1YjU2ZDc5Y2U2NzZkZjQ1OWFmNGQxZTE1M2IxMDU2OTQyZmVi,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083786001,E488,E488,VICMA,"VICMA MIRROR OEM TYPE, L/R",Retrovisor VICMA tipo OEM - Aprilia AREA 51,17.94,14.83,8.90,8430525032798,613,8512100000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>OEM type mirror</li><li>Street legal</li></ul> </body> </html>","        OEM type mirrorStreet legal  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Izquierda / Derecha,3323,340,332,154,65,,,Negro,,,,,Redondo,Homologado,,Manillar,,,,,https://api.mybihr.com/medias/1083786001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1NTh8aW1hZ2UvanBlZ3xhR1U0TDJnM015ODRPVGM0TmpNNE5qQXlNamN3THpFd09ETTNPRFl3TURFdE1WODRNREJYZURnd01FZ3wyMDQzZDZkNGM4ZjNmYjllMzJlZjE0ZGQzMjNlMjU3NTM2NjQwNWNiZTE2ZWE4NTAyYjdiNGYxYmQzYmRlYjli,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083787001,E489I,KS-410310-LH,VICMA,"VICMA MIRROR OEM TYPE, L","Retrovisor izquierdo VICMA tipo OEM negro - Sym Super Duke, Attila LH",9.95,8.22,2.94,8430525032910,16,7009100090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Izquierda,2700,296,147,328,56,,,Negro,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083787001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDM1MTZ8aW1hZ2UvanBlZ3xhRFV4TDJnME1pOHhOalV6TXpnek5qY3lOak13TWk4eE1EZ3pOemczTURBeExURmZPREF3VjNnNE1EQkl8YjIzMTQ4MDFmNDY5NjU5NjM1NTNlNzk4ZjYwZWY5MWNkY2FjYjIwMzI3MGMyNTVlNzE5NTc2YWE1OWJhMzg3NQ,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083787002,E489D,KS-410310-RH,VICMA,"VICMA MIRROR OEM TYPE, R","Retrovisor derecho VICMA tipo OEM negro - Sym Super Duke, Attila RH",9.95,8.22,2.94,8430525032927,16,7009100090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Derecha,2177,296,123,354,50,,,Negro,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083787002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDI0OTh8aW1hZ2UvanBlZ3xhRGc1TDJnNU55OHhOalV6TXpnek56RXhPVFV4T0M4eE1EZ3pOemczTURBeUxURmZPREF3VjNnNE1EQkl8MGFjNjdhMTk1OWZiNDdmNTMwOWQ1MTAwYWI0ZmJhOGRhNGViOTJlZTIxOWFiZDMzYzVkMjIyYzhhOTZkZjYxOQ,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
