PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Uso recomendado,Picture1,AllPicturesZIP,DeliveryPlant
1101585,8495,VP-A41AC,VP COMPONENTS,VPCOM HEADSET 1-1/8 S/INTEGRATED 44MM,"VP COMPONENTS juego dirección bicicleta Semi-Integrada Aluminio Negro Ø28,6x44mm",28.00,23.14,6.00,8430525084957,345,8714999089,0,1,"Juego de dirección VP. Para bicicleta MTB.
Semi-integrada.
Aluminio Negro.
Ø28,6 x 44 x 30","Juego de dirección VP. Para bicicleta MTB.
Semi-integrada.
Aluminio Negro.
Ø28,6 x 44 x 30",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,158,143,62,51,50,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101585-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA4MjE0fGltYWdlL2pwZWd8YURrNUwyZzNOUzg1TmpNeU1EazNOalkxTURVMEx6RXhNREUxT0RVdE1WODRNREJYZURnd01FZ3xlYjk4YTQ2NTllMGZkNDdiNmI5Y2QxMTBiYWE2N2RlMjkzMDJhODFhNGM0ZTNjZjJjNTlhYWQ3MjYyZTg2Y2U4,https://static.bihr.pro/eBihr/Pictures/VP_COMPONENTS-pictures.zip,Spain Warehouse (Parts)
1101647,W39NR,VP-990S,VP COMPONENTS,VPCOM MTB STEEL PAIR PEDALS. W-9/16 BLA,"VP COMPONENTS pedales de bicicleta Ciudad / Trekking Acero Negro 9/16""",6.50,5.37,1.99,8430525003743,945,8714961090,0,1,"Pedales de bicicleta CIUDAD / TREKKING.
Rosca 9/16” x 20T
Caja Acero / Cuerpo Resina. Color negro.
Con reflectores desmontables.
Medidas plataforma: 100 x 64 mm. Peso: 370gr/par.","Pedales de bicicleta CIUDAD / TREKKING.
Rosca 9/16” x 20T
Caja Acero / Cuerpo Resina. Color negro.
Con reflectores desmontables.
Medidas plataforma: 100 x 64 mm. Peso: 370gr/par.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,596,335,158,74,51,Ciudad & Trekking/Touring,https://api.mybihr.com/medias/1101647-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjEzNzk2fGltYWdlL2pwZWd8YURrMUwyZzVZUzg1TmpNeU1URTROVEExTlRBeUx6RXhNREUyTkRjdE1WODRNREJYZURnd01FZ3w3Mjk0Y2Q5NGM2MGZjYTU4OWVlN2ZlM2M5ODQzMTE5MDdiODlkYTliZWRiMzdjYmU2MTAzOWU3MzViNzYxY2Zi,https://static.bihr.pro/eBihr/Pictures/VP_COMPONENTS-pictures.zip,Spain Warehouse (Parts)
1104957,35520,VP-T501AC,VP COMPONENTS,"VPCOM HEADSET SEMI-INTEGRATED BLK 1,5",Juego de direccion semi-integrado 1.5'' rodamiento sellado,39.99,33.05,5.00,8430525355200,37,8714999089,0,1,<strong>Especial:</strong> MTB/ROAD.<br><strong>Talla:</strong> 1.5�<br><strong>Di�metro:</strong> �38.1 / �49.7 / �39.76<br><strong>Profundidad de cazoletas:</strong> 28.8mm.<br><strong>Peso:</strong> 155 gr.<br><strong>Caracter�sticas:<br></strong>-Juego de direcci�n VP-T501AC. Semi-integrada.<br>-Aluminio anodizado negro.<br>-Rodamiento sellado.<br>,Especial: MTB/ROAD.Talla: 1.5�Di�metro: �38.1 / �49.7 / �39.76Profundidad de cazoletas: 28.8mm.Peso: 155 gr.Caracter�sticas:-Juego de direcci�n VP-T501AC. Semi-integrada.-Aluminio anodizado negro.-Rodamiento sellado.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,361,176,61,61,97,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104957-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA4Njc5fGltYWdlL3BuZ3xhR1ExTDJnNVl5OHhNRGt6TkRNeU9ESTVOVFExTkM4eE1UQTBPVFUzTFRGZk9EQXdWM2c0TURCSXxlNjcyMjljMTIzNzgwMTM5YjEzYWM4ZWFjYTMzMTIwNWNmNjdhMmQ0MTgyZGJhZTY4YTQ5YjBmOTM4ZGZkZmRh,https://static.bihr.pro/eBihr/Pictures/VP_COMPONENTS-pictures.zip,Spain Warehouse (Parts)
1104815,15555,VP-ARC01,VP COMPONENTS,VPCOM ROAD CLEATS LOOK DELTA FLOAT 9º,Juego de calas CARRETERA VP-ARC01,14.50,11.98,2.99,8430525155558,156,8714961090,0,1,"<font size=1><font size=1><p align=left><font size=3>Juego de calas CARRETERA VP-ARC01</font></p><p align=left><font size=3>Sistema tipo LOOK, 9� flotante.</font></p><p align=left><font size=3>Compatible con los pedales 15339,</font></p><p><font size=3>15557 y con los pedales LOOK.</font></p></font></font>","Juego de calas CARRETERA VP-ARC01Sistema tipo LOOK, 9� flotante.Compatible con los pedales 15339,15557 y con los pedales LOOK.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,444,110,139,94,34,Carretera,https://api.mybihr.com/medias/1104815-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY4MzMwfGltYWdlL3BuZ3xhREpqTDJnNU5pOHhNRGt6TkRNeU16azNNREEzT0M4eE1UQTBPREUxTFRGZk9EQXdWM2c0TURCSXw5MzU2MjZkNGZkM2U1YmE4NTkyOWE3MTJlZmVhMmZlZTRlMDIyYTQxMjdhNGIwNWVjYWJkM2FmNzdiZGIyNDFk,https://static.bihr.pro/eBihr/Pictures/VP_COMPONENTS-pictures.zip,Spain Warehouse (Parts)
1104948,35506,M-10,VP COMPONENTS,"VPCOM HEADSET CAP A-HEAD 1,5''. W/SPRING",Araña de dirección con muelle VP M10 1.5''-34,17.50,14.46,5.49,8430525355064,3,8714999089,0,1,<p>Tap�n con ara�a VP M10 para direcci�n A-Head.</p><p>&nbsp;</p><p><strong>Caracter�sticas:<br></strong>-Sistema de muelle con tuerca de expansi�n estriada.<br>-Alumino forjado en fr�o.<br>-Mecanizado CNC.<br>-Color negro.<br>-�1.5� mm (34mm).<br></p><p>&nbsp;</p>,"
Tap�n con ara�a VP M10 para direcci�n A-Head.
 
Caracter�sticas:-Sistema de muelle con tuerca de expansi�n estriada.-Alumino forjado en fr�o.-Mecanizado CNC.-Color negro.-�1.5� mm (34mm).
 ",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,345,72,66,109,48,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104948-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODMyNjd8aW1hZ2UvcG5nfGFEWTJMMmd6TXk4eE1Ea3pORE15TkRjMU5qVXhNQzh4TVRBME9UUTRMVEZmT0RBd1YzZzRNREJJfGZkYmQzZGRiNDM0NDE1YzJmYzAxMjQ0YWQ3NTY2MmZjZmI3NjBlZjAzMTQ5MjA0OWIzZjEwMjg0NTQ4ZjhjZjM,https://static.bihr.pro/eBihr/Pictures/VP_COMPONENTS-pictures.zip,Spain Warehouse (Parts)
1104970,35614,VP-B101AC,VP COMPONENTS,"VPCOM HEADSET INTEGRATED BLK 1,25+1-1/8",Juego de direccion integrado MTB / Road 1-1/8'' arriba + 1.25'' abajo Rodamiento sellado,25.00,20.66,6.00,8430525356146,75,8714999089,0,1,<p><strong>Especial:</strong> MTB/ROAD.<br><strong>Talla:</strong> 1-1/8� superior + 1.25� inferior.<br><strong>Di�metro:</strong> �28.6 / �41-�46.9 / �33.<br><strong>Profundidad de cazoletas:</strong> 10mm.<br><strong>Peso:</strong> 79.5 gr.</p><p><strong>Caracter�sticas:</strong></p><p>-Juego de direcci�n VP-B101AC. Integrada.<br>-Aluminio anodizado negro.<br>-Rodamiento sellado.<br></p>,"
Especial: MTB/ROAD.Talla: 1-1/8� superior + 1.25� inferior.Di�metro: �28.6 / �41-�46.9 / �33.Profundidad de cazoletas: 10mm.Peso: 79.5 gr.
Caracter�sticas:
-Juego de direcci�n VP-B101AC. Integrada.-Aluminio anodizado negro.-Rodamiento sellado.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,159,92,51,51,61,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104970-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODU5Mzh8aW1hZ2UvcG5nfGFETXhMMmhsTkM4eE1Ea3pORE16TURJMk1UVXpOQzh4TVRBME9UY3dMVEZmT0RBd1YzZzRNREJJfDJlZTcwNGMyNzQ4ZmE5NzgxM2FmNmQxZjExMjFlNzE0OGJmN2FiZjg2ZGVjM2EzY2EwYzJiMjFlZjZmYjY1MDg,https://static.bihr.pro/eBihr/Pictures/VP_COMPONENTS-pictures.zip,Spain Warehouse (Parts)
1101568,8494,VP-A46ACK,VP COMPONENTS,"VPCOM HEADSET 1-1/8 INTEGRATED 41,4MM","VP COMPONENTS juego dirección bicicleta Integrada Aluminio Negro Ø28,6x41mm",37.51,31.00,4.83,8430525084940,170,8714999089,0,1,"Juego de dirección VP. Para bicicleta de carretera.
Integrada. Compatible Shimano.
Aluminio Negro.
Ø28,6 x 41 x 30","Juego de dirección VP. Para bicicleta de carretera.
Integrada. Compatible Shimano.
Aluminio Negro.
Ø28,6 x 41 x 30",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,163,104,58,53,53,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101568-1-800Wx800H?context=bWFzdGVyfHJvb3R8Nzg2NzR8aW1hZ2UvanBlZ3xhR1k1TDJobFl5ODVOak15TURreE56WTJPREUwTHpFeE1ERTFOamd0TVY4NE1EQlhlRGd3TUVnfGUxYTg5MGQ2NjQ3ZGM2NDVkNDJkZTk0NmRkMjgzMWJhMjRjMTYyN2ZkNzkyMmIzYzk2ZGIyNDRkOWY0YmI1MGY,https://static.bihr.pro/eBihr/Pictures/VP_COMPONENTS-pictures.zip,Spain Warehouse (Parts)
1104967,35572,VP-A97,VP COMPONENTS,"VPCOM HEADSET. A-HEAD. ALU. BLK. 1,5''",Juego de dirección A-Head VP-A97. 1.5”. Ø39.8 Rodamiento a bolas,26.00,21.49,7.99,8430525355729,11,8714999089,0,1,<p><strong>Especial:</strong> MTB/DOWNHILL/ENDRUO.<br><strong>Talla:</strong> 1.5�. </p><p><strong>Di�metro:</strong> �38.1 / �49.7 / �39.8<br><strong>Profundidad de cazoletas:</strong> 28.5mm.<br><strong>Peso:</strong> 241gr.<br><strong>Caracter�sticas:</strong><br>-Juego de direcci�n VP-A97. A-Head.<br>-Cuerpo aluminio. Cazoletas acero.<br>-Color negro ED. Rodamiento a bolas.</p>,"
Especial: MTB/DOWNHILL/ENDRUO.Talla: 1.5�. 
Di�metro: �38.1 / �49.7 / �39.8Profundidad de cazoletas: 28.5mm.Peso: 241gr.Caracter�sticas:-Juego de direcci�n VP-A97. A-Head.-Cuerpo aluminio. Cazoletas acero.-Color negro ED. Rodamiento a bolas.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,404,266,68,60,99,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104967-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTc1ODN8aW1hZ2UvcG5nfGFHWmlMMmd6T1M4eE1Ea3pORE15T1RBNE1UZzROaTh4TVRBME9UWTNMVEZmT0RBd1YzZzRNREJJfDExMDAwNmNiZWEyNTE3YTUzZDliZDcxYTc2ZjkwYjA3ZWVmOGRmOTk0ZTRjYmI1ZmM0M2Q3NjBiNzlkYjNlNzI,https://static.bihr.pro/eBihr/Pictures/VP_COMPONENTS-pictures.zip,Spain Warehouse (Parts)
1101734,W920,VP-X92,VP COMPONENTS,VPCOM MIXED PEDAL WITH AUTO-FITTING,VP COMPONENTS pedales de bicicleta MTB / Ciudad mixto plataforma / automático SPD,37.50,30.99,11.59,8430525044548,1451,8714961090,0,1,"Pedales de bicicleta MTB / CIUDAD.
Mixto Plataforma / Automático.
Rosca 9/16” x 20T.
Cuerpo y caja: Aluminio.
Eje: CR-MO Sellado. Mecanizado CNC
Compatible Shimano SPD. Tensión de la fijación ajustable: 8-14Nm
Rodamiento a bolas.
Medidas plataforma: 103 x 63 mm. Peso: 470gr/par.","Pedales de bicicleta MTB / CIUDAD.
Mixto Plataforma / Automático.
Rosca 9/16” x 20T.
Cuerpo y caja: Aluminio.
Eje: CR-MO Sellado. Mecanizado CNC
Compatible Shimano SPD. Tensión de la fijación ajustable: 8-14Nm
Rodamiento a bolas.
Medidas plataforma: 103 x 63 mm. Peso: 470gr/par.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,791,573,126,86,73,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101734-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ0OTkyfGltYWdlL2pwZWd8YUdFMkwyZzBOUzg1TmpNeU1UZ3pPVEV3TkRNd0x6RXhNREUzTXpRdE1WODRNREJYZURnd01FZ3w5N2NiZDBkMmYyMjNmMzc3ZWIyNWI5ODQ4NmU4ZDEwMTk5ZDQxOGI2MmNmOTlhMzVmZTU1ZGI3NWE5ZDJjNTc5,https://static.bihr.pro/eBihr/Pictures/VP_COMPONENTS-pictures.zip,Spain Warehouse (Parts)
1104391,8496,VP-A47AC,VP COMPONENTS,"VPCOM HEADSET INTEGRATED BLK Ø28,6X44",Juego de dirección VP COMPONENTS 1-1/8’’ integrada 44mm,33.50,27.69,8.99,8430525084964,39,8714999089,0,1,"Bicycle headset VP. For MTB bikes.
Integrated. Shimano system.
Aluminum. Black.
Ø28,6 x 44 x 30","Bicycle headset VP. For MTB bikes.
Integrated. Shimano system.
Aluminum. Black.
Ø28,6 x 44 x 30",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,160,122,63,53,48,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,https://api.mybihr.com/medias/800Wx800H-1104391-1.jpg?context=bWFzdGVyfHJvb3R8MTE3ODA2fGltYWdlL2pwZWd8YURRMkwyaGxPUzh6TXpreE9EUTJNREkyTkRRM09DODRNREJYZURnd01FaGZNVEV3TkRNNU1TMHhMbXB3Wnd8NjFjZTQ2ZDA3MmI5MWE4NWZjYzhhMWU5OTQ5Y2Q0NmM1OGZjNGNlODNjNjdmMDc0MDA5ZmIxOGRkZWFmYWQ1YQ,https://static.bihr.pro/eBihr/Pictures/VP_COMPONENTS-pictures.zip,Spain Warehouse (Parts)
