VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
091.219.03.2010,1047865,PD-PAXL-1125,PAXL-1125,,,
091.219.03.2019,1047865,PD-PAXL-1125,PAXL-1125,,,
091.219.04.2010,1047865,PD-PAXL-1125,PAXL-1125,,,
091.219.04.2019,1047865,PD-PAXL-1125,PAXL-1125,,,
091.219.02.2010,1047865,PD-PAXL-1125,PAXL-1125,,,
091.218.01.2005,1047865,PD-PAXL-1125,PAXL-1125,,,
091.213.03.2009,1047865,PD-PAXL-1125,PAXL-1125,,,
091.213.03.2010,1047865,PD-PAXL-1125,PAXL-1125,,,
091.213.04.2009,1047865,PD-PAXL-1125,PAXL-1125,,,
091.213.03.2019,1047865,PD-PAXL-1125,PAXL-1125,,,
091.213.04.2010,1047865,PD-PAXL-1125,PAXL-1125,,,
091.213.04.2019,1047865,PD-PAXL-1125,PAXL-1125,,,
091.213.01.2009,1047865,PD-PAXL-1125,PAXL-1125,,,
091.213.01.2010,1047865,PD-PAXL-1125,PAXL-1125,,,
091.213.01.2021,1047865,PD-PAXL-1125,PAXL-1125,,,
091.213.01.2019,1047865,PD-PAXL-1125,PAXL-1125,,,
091.213.01.2020,1047865,PD-PAXL-1125,PAXL-1125,,,
091.219.01.2022,1047865,PD-PAXL-1125,PAXL-1125,,,
091.219.01.2023,1047865,PD-PAXL-1125,PAXL-1125,,,
091.219.01.2024,1047865,PD-PAXL-1125,PAXL-1125,,,
091.219.01.2025,1047865,PD-PAXL-1125,PAXL-1125,,,
961.107.04.2008,1047859,PD-PAXL-1137,PAXL-1137,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
961.107.04.2009,1047859,PD-PAXL-1137,PAXL-1137,,,
961.107.04.2010,1047859,PD-PAXL-1137,PAXL-1137,,,
961.107.04.2011,1047859,PD-PAXL-1137,PAXL-1137,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
961.082.01.2016,1047859,PD-PAXL-1137,PAXL-1137,,,
961.082.01.2017,1047859,PD-PAXL-1137,PAXL-1137,,,
961.082.01.2018,1047859,PD-PAXL-1137,PAXL-1137,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
961.082.01.2015,1047859,PD-PAXL-1137,PAXL-1137,,,
961.082.01.2014,1047859,PD-PAXL-1137,PAXL-1137,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
961.082.01.2013,1047859,PD-PAXL-1137,PAXL-1137,,,
961.082.01.2012,1047859,PD-PAXL-1137,PAXL-1137,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
961.107.06.2014,1047859,PD-PAXL-1137,PAXL-1137,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
961.107.05.2014,1047859,PD-PAXL-1137,PAXL-1137,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
961.107.04.2014,1047859,PD-PAXL-1137,PAXL-1137,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
961.107.04.2012,1047859,PD-PAXL-1137,PAXL-1137,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
961.107.05.2012,1047859,PD-PAXL-1137,PAXL-1137,,,
961.107.06.2012,1047859,PD-PAXL-1137,PAXL-1137,,,
