VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
091.132.02.2011,1064058,870556,L10-301P,,,
091.132.02.2013,1064058,870556,L10-301P,,,
091.132.02.2017,1064058,870556,L10-301P,,,
091.132.02.2018,1064058,870556,L10-301P,,,
091.132.02.2019,1064058,870556,L10-301P,,,
091.132.02.2020,1064058,870556,L10-301P,,,
091.132.02.2021,1064058,870556,L10-301P,,,
091.132.02.2022,1064058,870556,L10-301P,,,
093.022.01.2005,1063647,87000047,74581,171,Left,"{""Position(33)"" = ""Left(171)""}"
093.022.01.2006,1063647,87000047,74581,171,Left,"{""Position(33)"" = ""Left(171)""}"
093.022.01.2007,1063647,87000047,74581,171,Left,"{""Position(33)"" = ""Left(171)""}"
093.022.01.2008,1063647,87000047,74581,171,Left,"{""Position(33)"" = ""Left(171)""}"
093.022.02.2009,1063647,87000047,74581,171,Left,"{""Position(33)"" = ""Left(171)""}"
093.022.03.2009,1063647,87000047,74581,171,Left,"{""Position(33)"" = ""Left(171)""}"
093.037.01.2005,1063647,87000047,74581,,,
093.037.01.2006,1063647,87000047,74581,,,
093.037.01.2007,1063647,87000047,74581,,,
093.037.02.2007,1063647,87000047,74581,,,
093.037.02.2008,1063647,87000047,74581,,,
093.037.02.2009,1063647,87000047,74581,,,
093.022.02.2010,1063647,87000047,74581,,,
093.022.02.2012,1063647,87000047,74581,,,
093.022.02.2011,1063647,87000047,74581,,,
093.022.02.2013,1063647,87000047,74581,,,
093.022.02.2014,1063647,87000047,74581,,,
093.022.03.2011,1063647,87000047,74581,,,
093.022.02.2016,1063647,87000047,74581,,,
093.022.02.2015,1063647,87000047,74581,,,
093.022.03.2010,1063647,87000047,74581,,,
093.022.03.2012,1063647,87000047,74581,,,
093.037.02.2012,1063647,87000047,74581,,,
093.037.02.2011,1063647,87000047,74581,,,
093.037.02.2014,1063647,87000047,74581,,,
093.037.02.2016,1063647,87000047,74581,,,
093.037.02.2015,1063647,87000047,74581,,,
093.037.02.2010,1063647,87000047,74581,,,
093.037.02.2013,1063647,87000047,74581,,,
009.089.01.2020,1060263,449520,L35-10070,,,
009.089.01.2021,1060263,449520,L35-10070,,,
009.089.01.2022,1060263,449520,L35-10070,,,
009.089.01.2023,1060263,449520,L35-10070,,,
009.089.02.2020,1060263,449520,L35-10070,,,
009.089.02.2021,1060263,449520,L35-10070,,,
009.089.02.2022,1060263,449520,L35-10070,,,
009.089.02.2023,1060263,449520,L35-10070,,,
009.089.01.2024,1060263,449520,L35-10070,,,
009.089.01.2020,1060896,1060896,JT810,,,
009.089.01.2021,1060896,1060896,JT810,,,
009.089.01.2022,1060896,1060896,JT810,,,
009.089.02.2020,1060896,1060896,JT810,,,
009.089.02.2021,1060896,1060896,JT810,,,
009.089.02.2022,1060896,1060896,JT810,,,
009.089.02.2023,1060896,1060896,JT810,,,
009.089.01.2024,1060896,1060896,JT810,,,
038.392.01.1976,1060260,322030,FRU1,,,
038.392.01.1977,1060260,322030,FRU1,,,
038.392.01.1978,1060260,322030,FRU1,,,
038.392.01.1979,1060260,322030,FRU1,,,
