VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
049.061.05.2023,1108490001,4054783029822,223-334,,,
049.061.05.2023,1108493001,4054783315987,223-432,,,
049.023.02.2023,1108521001,4054783033461,256-038,,,
049.207.02.2023,1108521001,4054783033461,256-038,,,
038.369.01.2018,1108520001,4054783033447,256-036,,,
038.369.01.2019,1108520001,4054783033447,256-036,,,
038.062.03.2017,1107703,4054783253722,253-382,,,
038.062.03.2018,1107703,4054783253722,253-382,,,
038.062.04.2019,1107703,4054783253722,253-382,,,
038.062.04.2020,1107703,4054783253722,253-382,,,
038.021.03.2017,1107703,4054783253722,253-382,,,
038.021.03.2018,1107703,4054783253722,253-382,,,
038.062.02.2013,1107703,4054783253722,253-382,,,
038.062.02.2014,1107703,4054783253722,253-382,,,
038.062.02.2015,1107703,4054783253722,253-382,,,
038.062.02.2016,1107703,4054783253722,253-382,,,
038.005.02.2014,1107703,4054783253722,253-382,,,
038.005.02.2015,1107703,4054783253722,253-382,,,
038.021.02.2013,1107703,4054783253722,253-382,,,
038.021.02.2014,1107703,4054783253722,253-382,,,
038.021.02.2015,1107703,4054783253722,253-382,,,
038.021.02.2016,1107703,4054783253722,253-382,,,
049.023.02.2023,1108520002,4054783033454,256-037,,,
049.207.02.2023,1108520002,4054783033454,256-037,,,
038.382.01.2023,1108544002,4054783043231,315-151,,,
038.382.01.2024,1108544002,4054783043231,315-151,,,
038.382.01.2025,1108544002,4054783043231,315-151,,,
038.005.02.2013,1107703,4054783253722,253-382,,,
038.369.01.2018,1108520002,4054783033454,256-037,,,
038.369.01.2019,1108520002,4054783033454,256-037,,,
038.369.01.2020,1108520002,4054783033454,256-037,,,
038.369.01.2021,1108520002,4054783033454,256-037,,,
038.369.01.2022,1108520002,4054783033454,256-037,,,
038.370.01.2019,1108520002,4054783033454,256-037,,,
038.369.01.2020,1108520001,4054783033447,256-036,,,
038.369.01.2021,1108520001,4054783033447,256-036,,,
038.369.01.2022,1108520001,4054783033447,256-036,,,
038.370.01.2019,1108520001,4054783033447,256-036,,,
049.023.02.2023,1108520001,4054783033447,256-036,,,
049.207.02.2023,1108520001,4054783033447,256-036,,,
