VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
032.152.03.2023,1093167,CG-126R,CG-126R,,,
032.152.03.2024,1093167,CG-126R,CG-126R,,,
032.152.01.2022,1093167,CG-126R,CG-126R,,,
032.152.01.2023,1093167,CG-126R,CG-126R,,,
032.152.02.2022,1093167,CG-126R,CG-126R,,,
032.152.02.2023,1093167,CG-126R,CG-126R,,,
101.001.01.2024,1119183,SP309125,SP309125,,,
926.081.02.2023,1119183,SP309125,SP309125,,,
926.082.01.2022,1119183,SP309125,SP309125,,,
926.082.01.2023,1119183,SP309125,SP309125,,,
926.082.02.2022,1119183,SP309125,SP309125,,,
926.082.02.2023,1119183,SP309125,SP309125,,,
105.354.01.2024,1119183,SP309125,SP309125,,,
926.080.01.2023,1119183,SP309125,SP309125,,,
926.080.02.2022,1119183,SP309125,SP309125,,,
926.080.02.2023,1119183,SP309125,SP309125,,,
926.081.01.2023,1119183,SP309125,SP309125,,,
926.081.01.2024,1119183,SP309125,SP309125,,,
926.081.02.2022,1119183,SP309125,SP309125,,,
082.001.01.2024,1119185,SP125,SP125,,,
101.001.01.2024,1119185,SP125,SP125,,,
130.001.01.2024,1119185,SP125,SP125,,,
130.001.02.2024,1119185,SP125,SP125,,,
105.354.01.2023,1119183,SP309125,SP309125,,,
926.080.01.2022,1119183,SP309125,SP309125,,,
028.001.02.2022,1119185,SP125,SP125,,,
028.001.02.2023,1119185,SP125,SP125,,,
028.001.03.2022,1119185,SP125,SP125,,,
028.001.03.2023,1119185,SP125,SP125,,,
031.001.01.2023,1119185,SP125,SP125,,,
031.001.01.2024,1119185,SP125,SP125,,,
041.106.01.2023,1119185,SP125,SP125,,,
041.106.01.2024,1119185,SP125,SP125,,,
041.106.02.2023,1119185,SP125,SP125,,,
041.106.02.2024,1119185,SP125,SP125,,,
028.001.01.2022,1119185,SP125,SP125,,,
028.001.01.2023,1119185,SP125,SP125,,,
926.082.02.2022,1119185,SP125,SP125,,,
926.082.02.2023,1119185,SP125,SP125,,,
041.105.01.2023,1119185,SP125,SP125,,,
041.105.01.2024,1119185,SP125,SP125,,,
