VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
009.089.01.2020,1060523,894196,SMI2050Q-L,,,
009.089.01.2021,1060523,894196,SMI2050Q-L,,,
009.089.01.2022,1060523,894196,SMI2050Q-L,,,
009.089.01.2023,1060523,894196,SMI2050Q-L,,,
009.089.02.2020,1060523,894196,SMI2050Q-L,,,
009.089.02.2021,1060523,894196,SMI2050Q-L,,,
009.089.01.2023,1088173001,3661738084211,MX_LIFT_BLACK,,,
009.089.02.2020,1088173001,3661738084211,MX_LIFT_BLACK,,,
009.089.02.2021,1088173001,3661738084211,MX_LIFT_BLACK,,,
009.089.02.2022,1088173001,3661738084211,MX_LIFT_BLACK,,,
009.089.02.2023,1088173001,3661738084211,MX_LIFT_BLACK,,,
009.089.01.2024,1088173001,3661738084211,MX_LIFT_BLACK,,,
009.089.02.2022,1088173003,3661738084228,MX_LIFT_RED,,,
009.089.02.2023,1088173003,3661738084228,MX_LIFT_RED,,,
009.089.01.2024,1088173003,3661738084228,MX_LIFT_RED,,,
009.089.01.2020,1088173001,3661738084211,MX_LIFT_BLACK,,,
009.089.01.2021,1088173001,3661738084211,MX_LIFT_BLACK,,,
009.089.01.2022,1088173001,3661738084211,MX_LIFT_BLACK,,,
009.089.01.2020,1088173003,3661738084228,MX_LIFT_RED,,,
009.089.01.2021,1088173003,3661738084228,MX_LIFT_RED,,,
009.089.01.2022,1088173003,3661738084228,MX_LIFT_RED,,,
009.089.01.2023,1088173003,3661738084228,MX_LIFT_RED,,,
009.089.02.2020,1088173003,3661738084228,MX_LIFT_RED,,,
009.089.02.2021,1088173003,3661738084228,MX_LIFT_RED,,,
026.034.03.2006,1056811,8430525875548,PT87554,,,
026.034.03.2007,1056811,8430525875548,PT87554,,,
026.034.03.2004,1056811,8430525875548,PT87554,,,
049.056.06.2022,1056811,8430525875548,PT87554,,,
049.010.01.2022,1056811,8430525875548,PT87554,,,
049.010.01.2023,1056811,8430525875548,PT87554,,,
049.016.16.2019,1056811,8430525875548,PT87554,,,
049.016.13.2018,1056811,8430525875548,PT87554,,,
049.056.06.2021,1056811,8430525875548,PT87554,,,
049.010.01.2020,1056811,8430525875548,PT87554,,,
049.010.01.2021,1056811,8430525875548,PT87554,,,
026.034.03.2005,1056811,8430525875548,PT87554,,,
049.029.08.2019,1056811,8430525875548,PT87554,,,
049.029.08.2020,1056811,8430525875548,PT87554,,,
049.016.14.2019,1056811,8430525875548,PT87554,,,
049.016.14.2020,1056811,8430525875548,PT87554,,,
049.016.09.2018,1056811,8430525875548,PT87554,,,
049.016.09.2017,1056811,8430525875548,PT87554,,,
049.061.01.2018,1056811,8430525875548,PT87554,,,
049.061.01.2019,1056811,8430525875548,PT87554,,,
049.061.02.2018,1056811,8430525875548,PT87554,,,
049.061.02.2019,1056811,8430525875548,PT87554,,,
049.028.01.2019,1056811,8430525875548,PT87554,,,
049.016.07.2019,1056811,8430525875548,PT87554,,,
049.056.06.2019,1056811,8430525875548,PT87554,,,
049.056.06.2020,1056811,8430525875548,PT87554,,,
049.056.07.2017,1056811,8430525875548,PT87554,,,
049.056.07.2018,1056811,8430525875548,PT87554,,,
049.056.07.2019,1056811,8430525875548,PT87554,,,
049.056.07.2020,1056811,8430525875548,PT87554,,,
038.012.08.2018,1056811,8430525875548,PT87554,,,
038.012.08.2019,1056811,8430525875548,PT87554,,,
049.010.01.2019,1056811,8430525875548,PT87554,,,
049.010.03.2019,1056811,8430525875548,PT87554,,,
049.010.02.2018,1056811,8430525875548,PT87554,,,
049.010.02.2017,1056811,8430525875548,PT87554,,,
038.012.05.2019,1056811,8430525875548,PT87554,,,
038.012.06.2019,1056811,8430525875548,PT87554,,,
038.012.07.2017,1056811,8430525875548,PT87554,,,
038.012.07.2018,1056811,8430525875548,PT87554,,,
038.012.07.2019,1056811,8430525875548,PT87554,,,
038.012.08.2017,1056811,8430525875548,PT87554,,,
038.015.02.2003,1056811,8430525875548,PT87554,,,
038.015.02.2004,1056811,8430525875548,PT87554,,,
038.015.02.2005,1056811,8430525875548,PT87554,,,
011.034.02.2019,1056811,8430525875548,PT87554,,,
011.034.02.2020,1056811,8430525875548,PT87554,,,
038.012.04.2019,1056811,8430525875548,PT87554,,,
038.012.03.2016,1056811,8430525875548,PT87554,,,
038.012.04.2017,1056811,8430525875548,PT87554,,,
038.012.04.2018,1056811,8430525875548,PT87554,,,
038.015.01.2000,1056811,8430525875548,PT87554,,,
038.015.01.2001,1056811,8430525875548,PT87554,,,
038.015.02.2002,1056811,8430525875548,PT87554,,,
038.012.03.2010,1056811,8430525875548,PT87554,,,
038.012.03.2011,1056811,8430525875548,PT87554,,,
038.012.03.2012,1056811,8430525875548,PT87554,,,
038.012.03.2013,1056811,8430525875548,PT87554,,,
038.012.03.2014,1056811,8430525875548,PT87554,,,
038.012.03.2015,1056811,8430525875548,PT87554,,,
038.012.02.2012,1056811,8430525875548,PT87554,,,
038.012.02.2013,1056811,8430525875548,PT87554,,,
038.012.02.2014,1056811,8430525875548,PT87554,,,
038.012.02.2015,1056811,8430525875548,PT87554,,,
038.012.02.2016,1056811,8430525875548,PT87554,,,
038.012.03.2009,1056811,8430525875548,PT87554,,,
038.012.01.2006,1056811,8430525875548,PT87554,,,
038.012.01.2007,1056811,8430525875548,PT87554,,,
038.012.02.2008,1056811,8430525875548,PT87554,,,
038.012.02.2009,1056811,8430525875548,PT87554,,,
038.012.02.2010,1056811,8430525875548,PT87554,,,
038.012.02.2011,1056811,8430525875548,PT87554,,,
038.007.03.2009,1056811,8430525875548,PT87554,,,
038.007.03.2010,1056811,8430525875548,PT87554,,,
