VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
011.075.01.2021,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.075.01.2022,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.011.01.2022,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.075.01.2023,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.011.01.2023,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.075.02.2024,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.011.02.2024,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.113.01.2020,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.113.01.2021,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.113.01.2022,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.113.01.2023,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.113.01.2024,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.153.01.2020,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.153.01.2021,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.153.01.2022,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.153.01.2023,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.153.01.2024,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.011.02.2025,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.075.02.2025,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.166.01.2022,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.166.01.2023,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.166.01.2024,1127300002,FB-430-T-RH,FB-430-T-RH,,,
011.166.01.2025,1127300002,FB-430-T-RH,FB-430-T-RH,,,
049.133.01.2016,1127302001,FK-378-LH,FK-378-LH,,,
049.133.02.2016,1127302001,FK-378-LH,FK-378-LH,,,
049.133.03.2017,1127302001,FK-378-LH,FK-378-LH,,,
049.133.03.2018,1127302001,FK-378-LH,FK-378-LH,,,
049.133.04.2016,1127302001,FK-378-LH,FK-378-LH,,,
049.133.05.2017,1127302001,FK-378-LH,FK-378-LH,,,
049.133.06.2016,1127302001,FK-378-LH,FK-378-LH,,,
049.133.03.2019,1127302001,FK-378-LH,FK-378-LH,,,
049.133.05.2019,1127302001,FK-378-LH,FK-378-LH,,,
049.133.03.2020,1127302001,FK-378-LH,FK-378-LH,,,
049.134.01.2014,1127302001,FK-378-LH,FK-378-LH,,,
049.134.01.2015,1127302001,FK-378-LH,FK-378-LH,,,
049.134.01.2016,1127302001,FK-378-LH,FK-378-LH,,,
049.134.02.2014,1127302001,FK-378-LH,FK-378-LH,,,
049.134.02.2015,1127302001,FK-378-LH,FK-378-LH,,,
049.134.02.2016,1127302001,FK-378-LH,FK-378-LH,,,
049.134.03.2017,1127302001,FK-378-LH,FK-378-LH,,,
049.134.03.2018,1127302001,FK-378-LH,FK-378-LH,,,
049.134.04.2014,1127302001,FK-378-LH,FK-378-LH,,,
049.134.04.2015,1127302001,FK-378-LH,FK-378-LH,,,
049.134.04.2016,1127302001,FK-378-LH,FK-378-LH,,,
049.134.05.2017,1127302001,FK-378-LH,FK-378-LH,,,
049.134.05.2018,1127302001,FK-378-LH,FK-378-LH,,,
049.134.06.2014,1127302001,FK-378-LH,FK-378-LH,,,
049.134.06.2015,1127302001,FK-378-LH,FK-378-LH,,,
049.134.06.2016,1127302001,FK-378-LH,FK-378-LH,,,
049.134.03.2019,1127302001,FK-378-LH,FK-378-LH,,,
049.134.05.2019,1127302001,FK-378-LH,FK-378-LH,,,
